symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ABNB,1Month,1Min,0.001,1.0,10,0.18223056803549786,0.08016528925619815,1.3006352101510026,1.72728467366068,0.18092751528733278,0.12441479238567535,-0.11849008304443993,0.5031678208339473,3393
ABNB,1Month,1Min,0.001,1.0,20,0.20116997509926282,0.08016528925619815,1.4487921230994445,1.8892852766489876,0.19960226619412336,0.1496840233281112,-0.12178913554708945,0.5037331215250198,3147
ABNB,1Month,1Min,0.001,1.0,30,0.1806772329148545,0.08016528925619815,1.331098601048246,1.6831446329806625,0.17917672606669993,0.1432676062034458,-0.11908549909285891,0.5004227972264502,2956
ABNB,1Month,1Min,0.001,1.5,10,0.12736958292806366,0.08016528925619815,0.9831611235042936,1.2413403159811789,0.126480425523319,0.08489628226122797,-0.12456020484450013,0.4976190476190476,2940
ABNB,1Month,1Min,0.001,1.5,20,0.20282329884887718,0.08016528925619815,1.5092015471086917,1.7846484540665677,0.2013037370775574,0.14508696026479703,-0.11202955241154479,0.5019282684149634,2593
ABNB,1Month,1Min,0.001,1.5,30,0.16279831912349763,0.08016528925619815,1.2781120819847611,1.4440132879111232,0.16151029154593588,0.12298019698360609,-0.10388077136022679,0.5011571638964865,2376
ABNB,1Month,1Min,0.001,2.0,10,0.14996218475418677,0.08016528925619815,1.2369763706781005,1.3743483705313309,0.1490529971839832,0.08680875194484698,-0.10792560466982683,0.5037609270176865,2459
ABNB,1Month,1Min,0.001,2.0,20,0.1261128069227757,0.08016528925619815,1.0630353200992173,1.1255589953541807,0.12498243657324036,0.10792716761036927,-0.11879070571609722,0.5037669512807634,1991
ABNB,1Month,1Min,0.001,2.0,30,0.0827485636576466,0.08016528925619815,0.7533631924768028,0.7583436825064553,0.08209788818294311,0.06212615276678669,-0.10837565330581353,0.500141924496168,1761
ABNB,1Month,1Min,0.01,1.0,10,0.21248097228273854,0.08016528925619815,1.4587008852624244,2.0426486195479465,0.21163282345981616,0.08098080439540031,-0.08555869966177125,0.5029139072847683,3775
ABNB,1Month,1Min,0.01,1.0,20,0.26983903282814703,0.08016528925619815,1.8171240135802422,2.5511686990514444,0.26877024317543363,0.10204747500325438,-0.08177766932319341,0.5039348336324727,3621
ABNB,1Month,1Min,0.01,1.0,30,0.24100756784034072,0.08016528925619815,1.665608420826413,2.297564173214742,0.23974021441244805,0.1210062400256445,-0.07969995073035487,0.502715837621498,3498
ABNB,1Month,1Min,0.01,1.5,10,0.19054405781829664,0.08016528925619815,1.425848421852703,1.9133431423621114,0.18997785338258882,0.05406090230471133,-0.08126183859018003,0.5035971223021583,3544
ABNB,1Month,1Min,0.01,1.5,20,0.27538544073610804,0.08016528925619815,1.9014112932674374,2.6299860808612823,0.2745522149102749,0.0795559644668192,-0.07680806244749983,0.5033142512805062,3319
ABNB,1Month,1Min,0.01,1.5,30,0.2339639731947496,0.08016528925619815,1.680259516833392,2.2453184254380787,0.23318201203003516,0.07466124153347228,-0.08316101028203116,0.5028625954198473,3144
ABNB,1Month,1Min,0.01,2.0,10,0.19181492886993912,0.08016528925619815,1.5111262567767787,1.9755862692165154,0.19191792558157128,-0.009834071960760839,-0.06992902858785512,0.5039044556729444,3265
