symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ABT,1Month,1Min,0.001,1.0,10,0.1735546305168234,-0.039716312056737646,2.3071646631365295,2.804641588730463,0.17320460077053404,0.01685341020845786,-0.04673899253558401,0.5058275058275058,3217
ABT,1Month,1Min,0.001,1.0,20,0.15044517074418895,-0.039716312056737646,2.069231735989951,2.40961522375871,0.15037261676601288,0.0034933658336738505,-0.050832310038201794,0.5056330923154532,2973
ABT,1Month,1Min,0.001,1.0,30,0.15903210744399887,-0.039716312056737646,2.2113961163766827,2.520700608929019,0.15895863556505846,0.0035375613864117154,-0.04886058251283726,0.5061159368906222,2820
ABT,1Month,1Min,0.001,1.5,10,0.10569312572878364,-0.039716312056737646,1.5627653531883174,1.7325105551388198,0.10612320396158734,-0.02070762544043166,-0.04251447290177406,0.5029713668287412,2776
ABT,1Month,1Min,0.001,1.5,20,0.12295831364023146,-0.039716312056737646,1.8349157400159188,1.9319392579298575,0.12317470175016117,-0.010418764746534824,-0.039129685954901766,0.5066693613581245,2474
ABT,1Month,1Min,0.001,1.5,30,0.13683456982745157,-0.039716312056737646,2.0342911693174104,2.060324009208025,0.13693262004763457,-0.004720971858225388,-0.04600930923961793,0.5053428317008014,2246
ABT,1Month,1Min,0.001,2.0,10,0.1306564829496295,-0.039716312056737646,2.0813437487276456,2.223299449528363,0.13086230954149314,-0.009910243404339778,-0.03823794269482984,0.5051679586563308,2322
ABT,1Month,1Min,0.001,2.0,20,0.14111348798562573,-0.039716312056737646,2.279642918773502,2.1576461259552384,0.1412692278037614,-0.007498639954620533,-0.0296565885049477,0.512565445026178,1910
ABT,1Month,1Min,0.001,2.0,30,0.08363829972348169,-0.039716312056737646,1.4013025310570255,1.2022076809226163,0.08342446785402804,0.010295685580289126,-0.04170270932426719,0.5064390536088649,1669
ABT,1Month,1Min,0.01,1.0,10,0.11951259097047173,-0.039716312056737646,1.5447405326350947,1.8506318224169118,0.11907641593164976,0.02100117755672071,-0.07378179034088334,0.5002050020500205,3658
ABT,1Month,1Min,0.01,1.0,20,0.131940390119218,-0.039716312056737646,1.703297795915472,2.0034163936740232,0.1326386607481973,-0.03362068930272458,-0.07760345734981801,0.5011360408974723,3521
ABT,1Month,1Min,0.01,1.0,30,0.1491685290749647,-0.039716312056737646,1.9197327368765695,2.2163600222462274,0.14975798811612187,-0.028381573643440614,-0.07083975976848075,0.5018422991893884,3392
ABT,1Month,1Min,0.01,1.5,10,0.12169811784959261,-0.039716312056737646,1.6280146965196585,1.872914343781413,0.1214384036207989,0.012504852748186992,-0.07169465827861646,0.5016006984866124,3436
ABT,1Month,1Min,0.01,1.5,20,0.12003298038563837,-0.039716312056737646,1.6313060892950366,1.8030941106461602,0.11980758038579656,0.010852673804413989,-0.07140075267743791,0.5014111006585137,3189
ABT,1Month,1Min,0.01,1.5,30,0.09233284208593195,-0.039716312056737646,1.2988723946790826,1.3842396331453073,0.09203830467425962,0.014181537064417906,-0.07811988328885687,0.49933288859239494,2998
ABT,1Month,1Min,0.01,2.0,10,0.14362434426281778,-0.039716312056737646,1.965084082845626,2.1864385191200792,0.14332524853025763,0.014401013416352228,-0.06264080361549017,0.5037938665823585,3163
ABT,1Month,1Min,0.01,2.0,20,0.13333474912473564,-0.039716312056737646,1.8940560108495061,2.011342247641188,0.13295882969937903,0.01809995964064561,-0.05233117254364246,0.5036148827367307,2835
ABT,1Month,1Min,0.01,2.0,30,0.11578281997107487,-0.039716312056737646,1.6658817445661815,1.6923181761431707,0.11523278627058166,0.02648330229404274,-0.054303447754945625,0.5033480007652573,2613
ABT,1Month,1Min,0.1,1.0,10,0.1502321209466222,-0.039716312056737646,1.9324236400842139,2.735412994510372,0.14889113601165743,0.0645664245165044,-0.0359686124923392,0.5,3918
