symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ADBE,1Month,1Min,0.001,1.0,10,0.7761179434716701,-0.058019083969465646,4.172954481426246,4.336122978511689,0.7792049679098049,0.19472630552269213,-0.07488974054574703,0.5215840171245094,4204
ADBE,1Month,1Min,0.001,1.0,20,0.7190660741267807,-0.058019083969465646,4.010001905120233,4.017781655778116,0.7222154054550276,0.19865655964386592,-0.06648050825091989,0.5191744171232004,3924
ADBE,1Month,1Min,0.001,1.0,30,0.6570172515810804,-0.058019083969465646,3.7991953883181666,3.6986321579745756,0.6599740787190934,0.18651359462589912,-0.06559220389805064,0.5188984881209503,3704
ADBE,1Month,1Min,0.001,1.5,10,0.5969054113379086,-0.058019083969465646,3.5787616249823575,3.3846082557807504,0.5997209511019114,0.17760133334990452,-0.0686733692054963,0.5205325858444289,3567
ADBE,1Month,1Min,0.001,1.5,20,0.7020251792978378,-0.058019083969465646,4.270437344392859,4.0262723315134465,0.7047005872022661,0.16876196072820904,-0.06775664469180305,0.5236294896030246,3174
ADBE,1Month,1Min,0.001,1.5,30,0.5690547644624369,-0.058019083969465646,3.6848591170066767,3.3200263933199294,0.5714006062411378,0.14797327072124214,-0.06559220389805051,0.5221238938053098,2938
ADBE,1Month,1Min,0.001,2.0,10,0.4327906095585463,-0.058019083969465646,2.9354716877977616,2.499190429065478,0.43532672510205134,0.1599755428122873,-0.06994349891046954,0.5179819328447247,2933
ADBE,1Month,1Min,0.001,2.0,20,0.4545634042970035,-0.058019083969465646,3.264344096378656,2.612316761879448,0.45608811532424687,0.09617719304619372,-0.0662206627012988,0.526128016789087,2382
ADBE,1Month,1Min,0.001,2.0,30,0.3974986295520744,-0.058019083969465646,2.987208029307444,2.1998570161061495,0.3989287797944822,0.09021239663872659,-0.06559220389805073,0.5251564455569462,1997
ADBE,1Month,1Min,0.01,1.0,10,0.5551694854037461,-0.058019083969465646,3.067276808143265,3.4499982499799002,0.5581140298257472,0.18573881361631667,-0.0768284876890347,0.5095461658841941,4792
ADBE,1Month,1Min,0.01,1.0,20,0.5347038751566073,-0.058019083969465646,2.979425208448835,3.2795678518260614,0.537781070116342,0.19410627220179663,-0.07753314139477371,0.5091127360034923,4581
ADBE,1Month,1Min,0.01,1.0,30,0.45348214952922206,-0.058019083969465646,2.6436906583012902,2.8392708483484252,0.456517211412283,0.19144856134611413,-0.07795974486677323,0.5090105406324379,4411
ADBE,1Month,1Min,0.01,1.5,10,0.5033239149043867,-0.058019083969465646,2.9330874390890656,3.1762280455052974,0.5052268597650102,0.12003579166562103,-0.07967442425530652,0.5095850248082995,4434
ADBE,1Month,1Min,0.01,1.5,20,0.5382538894495685,-0.058019083969465646,3.2002157159439615,3.4691932026802528,0.5403487598637118,0.13214225687872697,-0.07823672471581716,0.5106487750830974,4061
ADBE,1Month,1Min,0.01,1.5,30,0.4553928438178958,-0.058019083969465646,2.833424354546715,2.9828885533150653,0.45750400194874424,0.13316966918561313,-0.07954476649349133,0.5093247588424438,3887
ADBE,1Month,1Min,0.01,2.0,10,0.36620251963652106,-0.058019083969465646,2.381867774007813,2.436527070058105,0.36801126986573385,0.11409409183710238,-0.07703534342945599,0.50738121821114,4030
ADBE,1Month,1Min,0.01,2.0,20,0.38464494649710734,-0.058019083969465646,2.5565552001874674,2.5626632323521794,0.38637302780102756,0.10900557954718998,-0.07858104039047453,0.5113636363636364,3564
ADBE,1Month,1Min,0.01,2.0,30,0.34875555372136113,-0.058019083969465646,2.396467911823395,2.3055114282036477,0.3504265217801223,0.10540293517261158,-0.0804623957404733,0.5092761557177615,3288
ADBE,1Month,1Min,0.1,1.0,10,0.5331470432432055,-0.058019083969465646,2.943716008673211,3.566215019355117,0.5326998205037626,-0.028210347388780282,-0.08170914542728744,0.5054006284367636,5092
ADBE,1Month,1Min,0.1,1.0,20,0.5368625776161695,-0.058019083969465646,3.0413003496557636,3.808875764373498,0.5364653372056742,-0.02505751382609874,-0.08214733044878489,0.5052599635848675,4943
ADBE,1Month,1Min,0.1,1.0,30,0.526534447950084,-0.058019083969465646,3.011108486662045,3.719994546777661,0.5262166310890293,-0.020047558555577657,-0.08357161967220678,0.5059529972046796,4829
ADBE,1Month,1Min,0.1,1.5,10,0.4454385732779944,-0.058019083969465646,2.5999788015017122,3.077585948058122,0.44480289681149104,-0.04009781338326927,-0.08419110044119618,0.5047550874322528,4889
ADBE,1Month,1Min,0.1,1.5,20,0.47902374812777304,-0.058019083969465646,2.835142309973696,3.4456412213348915,0.47854337191902935,-0.0303016339080794,-0.08357161967220716,0.5038618322248445,4661
ADBE,1Month,1Min,0.1,1.5,30,0.4284606701241671,-0.058019083969465646,2.61821583371489,3.1260910923975747,0.4281158632890315,-0.021750058177543094,-0.08170914542728779,0.5033915267430223,4496
ADBE,1Month,1Min,0.1,2.0,10,0.3749609995638006,-0.058019083969465646,2.3959980129218534,2.8551421619911785,0.3742023896523916,-0.047852327813388,-0.08170914542728663,0.5033528012113346,4623
ADBE,1Month,1Min,0.1,2.0,20,0.3241857067793117,-0.058019083969465646,2.135374060882671,2.468307885392906,0.32358723498953895,-0.03775098089356616,-0.08239464208114966,0.5036152875014346,4356
ADBE,1Month,1Min,0.1,2.0,30,0.34698640351653864,-0.058019083969465646,2.301648307818848,2.6397271072297896,0.34659322700418904,-0.024801167338470865,-0.08170914542728738,0.5019193857965452,4168
ADBE,1Month,5Min,0.001,1.0,10,0.29834839883220887,-0.059311632870864495,2.0798757120490445,2.4072227611631893,0.30404821850261304,0.15706430072868746,-0.05847754809143834,0.5233522479266696,1145
ADBE,1Month,5Min,0.001,1.0,20,0.18134731668279147,-0.059311632870864495,1.3606759051418182,1.495854846239643,0.18799007629197437,0.1830479652439771,-0.07023510299472739,0.5143266475644699,1047
ADBE,1Month,5Min,0.001,1.0,30,0.20508364131195123,-0.059311632870864495,1.5569163812112727,1.6899291498009152,0.21252751750817508,0.20512354373974756,-0.05632240794626483,0.5123101100052383,954
ADBE,1Month,5Min,0.001,1.5,10,0.25118362926625837,-0.059311632870864495,1.8817423366797115,2.0419653953959895,0.25708178234411505,0.16252957853640776,-0.05538027341735388,0.5156576200417536,958
ADBE,1Month,5Min,0.001,1.5,20,0.19062155322308993,-0.059311632870864495,1.5119421361758927,1.612887799967273,0.19489571524337718,0.11777886104069112,-0.05194549179176795,0.5125284738041003,878
ADBE,1Month,5Min,0.001,1.5,30,0.16309808166656592,-0.059311632870864495,1.340554695383837,1.3540190757850752,0.1657717780125389,0.07367640929442121,-0.040395514466658414,0.5138086062941555,778
ADBE,1Month,5Min,0.001,2.0,10,0.13813019144175653,-0.059311632870864495,1.1657556430175557,1.173048092077326,0.14471166011648,0.18135903150246555,-0.05592122839221572,0.5105721393034826,804
ADBE,1Month,5Min,0.001,2.0,20,0.1776352519418718,-0.059311632870864495,1.5078401504299612,1.4316337896858602,0.18146677143534407,0.10558139814410697,-0.04921923156188178,0.5157894736842106,665
ADBE,1Month,5Min,0.001,2.0,30,0.1319990597244458,-0.059311632870864495,1.1667589767692004,1.0272439173744021,0.13400320099068688,0.05522614130726338,-0.04125091652089259,0.5149957155098543,583
ADBE,1Month,5Min,0.01,1.0,10,0.2687020289432316,-0.059311632870864495,2.082469781635063,2.601899530356465,0.2697291480252649,0.028303306019015373,-0.0450663026521056,0.5127038301099734,1318
