symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ADI,1Month,1Min,0.001,1.0,10,0.24348231430314282,-0.08355433713757854,1.5269036898565815,1.491442302030477,0.24000124131608383,0.07927004322126888,-0.13000127745715553,0.5169606512890095,3316
ADI,1Month,1Min,0.001,1.0,20,0.32026226369029076,-0.08355433713757854,2.0438021948215104,2.1366735611648107,0.31664766934731664,0.08231055506738745,-0.09647921133380416,0.5172468859789204,3131
ADI,1Month,1Min,0.001,1.0,30,0.2573823782855693,-0.08355433713757854,1.693240184986668,1.7039994357468287,0.25352543094206215,0.08782935139785127,-0.09304886030744976,0.5149228705566734,2982
ADI,1Month,1Min,0.001,1.5,10,0.24066698108734164,-0.08355433713757854,1.6097846807271505,1.5120553477611787,0.23745042148297146,0.07324661672136629,-0.12244458592163693,0.5162651661684544,2843
ADI,1Month,1Min,0.001,1.5,20,0.2870573095422806,-0.08355433713757854,1.928355846539859,1.7976495678308146,0.28447371123074183,0.05883299505165067,-0.09367691164288255,0.5173168789808917,2512
ADI,1Month,1Min,0.001,1.5,30,0.2981791332633017,-0.08355433713757854,2.003064480582246,1.769876655182593,0.2947993842589453,0.07696272116337316,-0.08543888162557431,0.5219554401903526,2311
ADI,1Month,1Min,0.001,2.0,10,0.1672618139535864,-0.08355433713757854,1.2201422386904297,1.0198654251549715,0.16461287156620935,0.06032099249818807,-0.12199555497240158,0.5147153598281418,2327
ADI,1Month,1Min,0.001,2.0,20,0.2801678474600302,-0.08355433713757854,2.0771159455553656,1.8885362984818643,0.2766028923078664,0.08118018497298503,-0.08580416727651441,0.5167979002624672,1905
ADI,1Month,1Min,0.001,2.0,30,0.3101413669680746,-0.08355433713757854,2.2200555477183053,1.8484615283038905,0.30706250257263135,0.07011105903453387,-0.08456575913888452,0.5268221574344023,1715
ADI,1Month,1Min,0.01,1.0,10,0.31018489922768877,-0.08355433713757854,1.956010536440547,2.203823655394226,0.3044563526860519,0.1304488971184301,-0.10346137423318535,0.5087291920422249,3694
ADI,1Month,1Min,0.01,1.0,20,0.28941505873419615,-0.08355433713757854,1.8304261814251248,1.9993670679257576,0.28366544407227295,0.13092865459892483,-0.09539770719191529,0.5097901112832793,3549
ADI,1Month,1Min,0.01,1.0,30,0.23440921150669625,-0.08355433713757854,1.534191189781336,1.6153188341631952,0.22872199900949555,0.12950764954874527,-0.08891173512594915,0.5082111436950146,3410
ADI,1Month,1Min,0.01,1.5,10,0.2935243234701539,-0.08355433713757854,1.9182396353740734,2.0522428169831053,0.28804910832428154,0.12468010377045598,-0.09813131982507498,0.5103377984857309,3434
ADI,1Month,1Min,0.01,1.5,20,0.2853674138860416,-0.08355433713757854,1.886560601505038,1.948171020186751,0.28046353522682166,0.11166978535449894,-0.09042512809482779,0.5090399002493765,3208
ADI,1Month,1Min,0.01,1.5,30,0.32746358622724814,-0.08355433713757854,2.119341295221441,2.1357291353409757,0.3222889196672213,0.11783609346713002,-0.08456575913888469,0.5127824509318819,3031
ADI,1Month,1Min,0.01,2.0,10,0.2308648137798608,-0.08355433713757854,1.6032143352833423,1.6257033759449049,0.2269917132503955,0.08819718733631708,-0.0916341573141563,0.5090938098276963,3134
ADI,1Month,1Min,0.01,2.0,20,0.21964280316780282,-0.08355433713757854,1.5641086837531772,1.4962791458770008,0.21654522576302346,0.07053718657175796,-0.08177946416498538,0.506640344580043,2786
ADI,1Month,1Min,0.01,2.0,30,0.18212801323858674,-0.08355433713757854,1.3247366624590493,1.205786922690461,0.17818046817920846,0.08989241783729382,-0.08456575913888459,0.5070921985815603,2538
ADI,1Month,1Min,0.1,1.0,10,0.39682803463221217,-0.08355433713757854,2.366402073942159,2.7543496408416113,0.39001905740235104,0.1550521696357008,-0.08711804754864237,0.5123643704264446,3963
