symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
AEP,1Month,1Min,0.001,1.0,10,0.2906825599366101,0.0022988505747127963,3.8098864928510725,4.584897260029459,0.2920589600501967,-0.04124920114734299,-0.036593665565781114,0.5125825731362064,3179
AEP,1Month,1Min,0.001,1.0,20,0.24916854544123246,0.0022988505747127963,3.4608844765187956,4.03275106583298,0.2505871660754937,-0.042514503825438865,-0.03603340761082846,0.5109844038235787,2981
AEP,1Month,1Min,0.001,1.0,30,0.24414048441376202,0.0022988505747127963,3.4227514136662407,3.8975030809919167,0.24529898163979807,-0.03471889070168439,-0.03673057036949978,0.5107017543859649,2850
AEP,1Month,1Min,0.001,1.5,10,0.2479719417629691,0.0022988505747127963,3.4865328868363115,3.8326739718299363,0.24949297749496874,-0.04558377192955654,-0.03463508332711402,0.5124489037532516,2691
AEP,1Month,1Min,0.001,1.5,20,0.2660565737708269,0.0022988505747127963,3.850966256922709,3.9848311744017186,0.2672955069959047,-0.03712946933445851,-0.02504763593222342,0.5169597989949749,2388
AEP,1Month,1Min,0.001,1.5,30,0.2379115643776506,0.0022988505747127963,3.5993975519891483,3.6490194232471422,0.2389792252661804,-0.03199662533691386,-0.02742553091532006,0.5165683159328189,2203
AEP,1Month,1Min,0.001,2.0,10,0.2391460763665172,0.0022988505747127963,3.6379372166223334,3.76260755095947,0.24024079397940334,-0.032807485677846755,-0.02913240709260943,0.5139740967961827,2200
AEP,1Month,1Min,0.001,2.0,20,0.21764275530812172,0.0022988505747127963,3.5274075393437863,3.215968868718436,0.21852568704693853,-0.026460495414319923,-0.030203549289072335,0.5152875175315568,1782
AEP,1Month,1Min,0.001,2.0,30,0.1869855849743285,0.0022988505747127963,3.078434669522442,2.546294424128858,0.18812604235810038,-0.03417825642326783,-0.023210907750380677,0.5163166397415185,1547
AEP,1Month,1Min,0.01,1.0,10,0.24730274843307343,0.0022988505747127963,3.195875443508293,4.081061542448983,0.24834368076091518,-0.03119559970104168,-0.022400814602503136,0.5080837902432166,3556
