symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
AES,1Month,1Min,0.001,1.0,10,1.8696139434496635,-0.13203182374541,4.175096766994421,8.930072934280185,1.869987279474397,-0.027927972246449627,-0.05516739247600193,0.588477366255144,2308
AES,1Month,1Min,0.001,1.0,20,1.4768458989842697,-0.13203182374541,4.17006179683856,7.151948968402465,1.4774602258089657,-0.0459556575677651,-0.05273729647711143,0.587323617857969,2161
AES,1Month,1Min,0.001,1.0,30,1.3669776590621594,-0.13203182374541,3.992544675223815,6.92379098775176,1.3678757307594072,-0.06718162666986749,-0.043918918918919025,0.5864532019704434,2030
AES,1Month,1Min,0.001,1.5,10,1.4958968933006536,-0.13203182374541,3.683593747326264,7.85810508253958,1.4961770789308682,-0.020959714536190468,-0.03169544432859434,0.573556310425921,1913
AES,1Month,1Min,0.001,1.5,20,1.1866484172883234,-0.13203182374541,3.6607211226559735,6.219748070077717,1.1874491157047924,-0.059897469495177214,-0.04391891891891915,0.5730858468677494,1724
AES,1Month,1Min,0.001,1.5,30,0.9293090709935667,-0.13203182374541,3.1116567484937976,4.977818138793596,0.9289080178487555,0.030001393799688223,-0.04391891891891896,0.5663232453316163,1553
AES,1Month,1Min,0.001,2.0,10,1.188334289953842,-0.13203182374541,3.196611953869505,6.644843591591904,1.1890191383927202,-0.05123113476035268,-0.03988387871393317,0.5592616580310881,1544
AES,1Month,1Min,0.001,2.0,20,0.7597363104134984,-0.13203182374541,3.050472788385062,4.068837986831985,0.760192793047008,-0.034147881466148444,-0.04391891891891896,0.5605146763168476,1243
AES,1Month,1Min,0.001,2.0,30,0.6563938227303023,-0.13203182374541,2.7432120221229357,3.4789674138389777,0.657116876062655,-0.05408911024074185,-0.043918918918918935,0.5578806767586821,1123
AES,1Month,1Min,0.01,1.0,10,0.9237885687913656,-0.13203182374541,2.4429345571956946,1.8642213639223824,0.9247551095423395,-0.07230355893871712,-0.17203042715038053,0.5603112840466926,2698
AES,1Month,1Min,0.01,1.0,20,0.8652237427792921,-0.13203182374541,2.3371674009061567,1.7439165260306417,0.866297899978047,-0.08035397188515381,-0.1720304271503804,0.5564673700664322,2559
AES,1Month,1Min,0.01,1.0,30,0.7980595996479267,-0.13203182374541,2.2109120014363928,1.6278156294884945,0.7992019847024913,-0.08545786097501344,-0.17203042715038047,0.5566453162530024,2498
AES,1Month,1Min,0.01,1.5,10,0.69872469098056,-0.13203182374541,2.0151584972612113,1.464352108617822,0.6995998211002009,-0.06546544687406865,-0.1720304271503804,0.5502909393183707,2406
AES,1Month,1Min,0.01,1.5,20,0.7224781740988839,-0.13203182374541,2.065293290682216,1.449225438221495,0.7233440699881609,-0.06477466615043867,-0.17203042715038044,0.5507020280811232,2243
AES,1Month,1Min,0.01,1.5,30,0.6187035081376282,-0.13203182374541,1.85305073762419,1.2628676219699113,0.618236372449754,0.03494479948885377,-0.18435242351320003,0.5501640881387717,2133
AES,1Month,1Min,0.01,2.0,10,0.5351352092053696,-0.13203182374541,1.6621068586331842,1.1425288504049802,0.5360661501520996,-0.06964046114199768,-0.17203042715038055,0.5393551446183025,2109
AES,1Month,1Min,0.01,2.0,20,0.5356860451432963,-0.13203182374541,1.6681710233302007,1.0718311029786876,0.5366803752340356,-0.07438238299612233,-0.17203042715038033,0.5435306723814626,1866
AES,1Month,1Min,0.01,2.0,30,0.4407482128992415,-0.13203182374541,1.4512760666835518,0.8892716727751709,0.4407041809889902,0.00329387438121816,-0.17723275666708538,0.546058330926942,1731
AES,1Month,1Min,0.1,1.0,10,0.807665320159199,-0.13203182374541,2.2176143142750444,1.7882494285422463,0.8079871771153586,-0.024077001798495336,-0.17203042715038055,0.5442515896202097,2909
AES,1Month,1Min,0.1,1.0,20,0.8171251875504764,-0.13203182374541,2.2384168366518504,1.77637018302663,0.8173903984400572,-0.01983950616327396,-0.17203042715038044,0.544826364280652,2822
AES,1Month,1Min,0.1,1.0,30,0.7924611501242718,-0.13203182374541,2.1915424688580702,1.717963448305169,0.7929677507437847,-0.03789703405100364,-0.17203042715038053,0.5451086956521739,2760
AES,1Month,1Min,0.1,1.5,10,0.7210230336314525,-0.13203182374541,2.052257527736765,1.5996480512688753,0.721300209076237,-0.020734533011829467,-0.17203042715038047,0.5417357656163626,2713
AES,1Month,1Min,0.1,1.5,20,0.6869491964417604,-0.13203182374541,1.984684463518094,1.5077723707180777,0.6872352346153735,-0.021397522994981318,-0.17203042715038067,0.5424154589371981,2587
AES,1Month,1Min,0.1,1.5,30,0.608245908736516,-0.13203182374541,1.8224752892081095,1.3620896606956199,0.6074430473167846,0.06005927626194491,-0.1720304271503805,0.5392764341395163,2501
AES,1Month,1Min,0.1,2.0,10,0.5902788978358227,-0.13203182374541,1.7794995095261215,1.3402369427806087,0.5905761325576443,-0.022235097905812257,-0.17203042715038047,0.5373015873015873,2520
AES,1Month,1Min,0.1,2.0,20,0.5714231535231078,-0.13203182374541,1.7418393161309869,1.2599131479015795,0.5718938559305061,-0.03521161339718655,-0.17203042715038042,0.5348032857760484,2313
AES,1Month,1Min,0.1,2.0,30,0.45604695506465887,-0.13203182374541,1.4764092635759554,1.0350161404321845,0.4552544520277649,0.059284401593453384,-0.17203042715038047,0.5328751431844215,2182
AES,1Month,5Min,0.001,1.0,10,0.44665890330636837,-0.12990184049079756,2.4020593697721724,1.5575482911756358,0.44235575899364715,-0.10932586488487742,-0.11443609963871611,0.5691176470588235,680
AES,1Month,5Min,0.001,1.0,20,0.44799400362920383,-0.12990184049079756,2.4211638700905405,1.4945792070193917,0.4433543819332201,-0.11787442339606309,-0.11443609963871637,0.5741780272654371,623
AES,1Month,5Min,0.001,1.0,30,0.4133380789104648,-0.12990184049079756,2.2728127204479622,1.3528873332451834,0.40952561368258417,-0.09685965147610748,-0.11443609963871626,0.5732758620689655,580
AES,1Month,5Min,0.001,1.5,10,0.4167176975601812,-0.12990184049079756,2.3094894019542944,1.322417602210534,0.4122530417058555,-0.11342923388474897,-0.11443609963871613,0.5807033363390441,554
AES,1Month,5Min,0.001,1.5,20,0.3351845343929618,-0.12990184049079756,1.9653475138474388,1.010177224843201,0.33546535543936123,0.007134551282589089,-0.11443609963871619,0.593945720250522,479
AES,1Month,5Min,0.001,1.5,30,0.3371798404271824,-0.12990184049079756,1.9780251191054756,0.977409210848553,0.33768703429970537,0.012885788797266137,-0.11443609963871611,0.5892448512585813,437
AES,1Month,5Min,0.001,2.0,10,0.30236909848050253,-0.12990184049079756,1.8007663971420023,0.8810626400338541,0.2979071761626196,-0.11335978554323936,-0.11443609963871605,0.5735294117647058,408
AES,1Month,5Min,0.001,2.0,20,0.2654954135802816,-0.12990184049079756,1.6409396224032873,0.7195644271020567,0.26564921861730495,0.003907577221270291,-0.11443609963871601,0.5952380952380952,357
AES,1Month,5Min,0.001,2.0,30,0.235976266450173,-0.12990184049079756,1.49790488316722,0.5959924711531316,0.23768061186853204,0.04330067117987233,-0.1144360996387163,0.5993322203672788,299
AES,1Month,5Min,0.01,1.0,10,0.24484089648065566,-0.12990184049079756,1.0883675487958036,0.6431496030368621,0.2414206869051302,-0.08689398792098653,-0.17349327091866587,0.5651328580686974,771
AES,1Month,5Min,0.01,1.0,20,0.23204518069705893,-0.12990184049079756,1.04448652211847,0.5976280503404143,0.22859373264493607,-0.08768763396757662,-0.173493270918666,0.5704560925799864,734
AES,1Month,5Min,0.01,1.0,30,0.21429473783775244,-0.12990184049079756,0.9813259862691076,0.5480376422484543,0.21207682266420183,-0.05634844591962502,-0.17349327091866515,0.573049645390071,705
AES,1Month,5Min,0.01,1.5,10,0.1989792190970654,-0.12990184049079756,0.9258061157679434,0.5126783658085038,0.19598947422550186,-0.07595758359823887,-0.1734932709186648,0.5646108663729809,681
AES,1Month,5Min,0.01,1.5,20,0.1775375419779961,-0.12990184049079756,0.8482208477187576,0.44710627072694337,0.17443303174358782,-0.07887331721998576,-0.17349327091866665,0.5729001584786054,631
AES,1Month,5Min,0.01,1.5,30,0.14022929548759477,-0.12990184049079756,0.7097836800909271,0.35626219426364003,0.14326121393106095,0.07702904713477698,-0.18067909373415694,0.5743589743589743,585
AES,1Month,5Min,0.01,2.0,10,0.1143708009576685,-0.12990184049079756,0.6051840174678371,0.3063316678271082,0.11125936249607503,-0.07904933605042558,-0.1734932709186647,0.559262510974539,569
AES,1Month,5Min,0.01,2.0,20,0.07666936934183077,-0.12990184049079756,0.45358099902505,0.21380887744919347,0.07911227513873545,0.062064567132770136,-0.18696801248591258,0.5726660250240616,519
AES,1Month,5Min,0.01,2.0,30,0.013363963938728407,-0.12990184049079756,0.17914892556379355,0.07859351904457611,0.01685663603129561,0.08873497366806089,-0.19523517465726895,0.5679287305122495,449
AES,1Month,5Min,0.1,1.0,10,0.7244935193378759,-0.12990184049079756,2.5172384182707574,2.557759526486418,0.7212929313092931,-0.08131427368833122,-0.11443609963871616,0.5661989017693716,819
AES,1Month,5Min,0.1,1.0,20,0.4576148134094977,-0.12990184049079756,2.436624702385742,1.713126427087701,0.4544101271850062,-0.08141839262546945,-0.1144360996387163,0.5689873417721519,790
AES,1Month,5Min,0.1,1.0,30,0.38626138283461775,-0.12990184049079756,2.132934811865864,1.474542842136395,0.38469965726788286,-0.03967726524796659,-0.11443609963871618,0.5620871862615587,757
AES,1Month,5Min,0.1,1.5,10,0.36482605983780547,-0.12990184049079756,2.0479979004371804,1.4052277366836021,0.3621923819328615,-0.06691133131068784,-0.1144360996387163,0.5608782435129741,751
AES,1Month,5Min,0.1,1.5,20,0.33945232599629094,-0.12990184049079756,1.928647748389589,1.283416708847999,0.3362246264880468,-0.0820030690776759,-0.11443609963871638,0.556907659269864,698
