symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
AIZ,1Month,1Min,0.001,1.0,10,0.24158715600286063,-0.03531712641848417,2.840627638058311,3.1846912435024852,0.24279938177118227,0.13466995294345382,-0.040709218922577714,0.5251013408169629,1603
AIZ,1Month,1Min,0.001,1.0,20,0.19547524846978104,-0.03531712641848417,2.376994454915888,2.5551507481566755,0.19660351126477363,0.12534224356563003,-0.055079545466341515,0.5215935721459658,1493
AIZ,1Month,1Min,0.001,1.0,30,0.1710153565535837,-0.03531712641848417,2.1295983752747145,2.2149011217621872,0.17204634701107716,0.1145359552849861,-0.05277622973029018,0.5235065394132202,1414
AIZ,1Month,1Min,0.001,1.5,10,0.1556175002324942,-0.03531712641848417,1.9985494357078892,2.0847383792675274,0.15683404263451847,0.13514950128568415,-0.06293208309825284,0.5175406871609404,1382
AIZ,1Month,1Min,0.001,1.5,20,0.12104995774313254,-0.03531712641848417,1.6214004682688912,1.6058642603775513,0.12199566565994906,0.10506165104233428,-0.07847009076310514,0.511326860841424,1236
AIZ,1Month,1Min,0.001,1.5,30,0.07635523006646072,-0.03531712641848417,1.0835690181762254,1.0210846322911216,0.07718796551302384,0.09251118589754903,-0.07590451360047037,0.5099739809193409,1153
AIZ,1Month,1Min,0.001,2.0,10,0.1140597135471817,-0.03531712641848417,1.6042822975345876,1.5411714909619316,0.11482962065924351,0.08553138966493656,-0.07454100501409541,0.5134302069572876,1135
AIZ,1Month,1Min,0.001,2.0,20,0.07583565451759977,-0.03531712641848417,1.123053187940028,0.9633763480949469,0.0768405859376565,0.11164097529275656,-0.08112107568632919,0.5114107883817427,964
AIZ,1Month,1Min,0.001,2.0,30,0.061389377288442404,-0.03531712641848417,0.9350450122902053,0.7530046412138307,0.06235948832822791,0.10777267031596025,-0.07275125519812962,0.5098389982110912,838
AIZ,1Month,1Min,0.01,1.0,10,0.04762431733821115,-0.03531712641848417,0.5996875098243228,0.6939035519751862,0.04872706306818471,0.12250747298479406,-0.08790078524664802,0.5048196089231617,1815
AIZ,1Month,1Min,0.01,1.0,20,0.057129100966679,-0.03531712641848417,0.7186011292726596,0.8245075258298871,0.058279099926381646,0.12775698210292882,-0.09448143041565155,0.5042710706150342,1756
AIZ,1Month,1Min,0.01,1.0,30,0.05453321102739328,-0.03531712641848417,0.6911636373489771,0.7822153632021516,0.0556174389021582,0.12045026651820172,-0.09048926444064442,0.5058207217694994,1718
AIZ,1Month,1Min,0.01,1.5,10,0.05934135071214164,-0.03531712641848417,0.7557913086677038,0.8691525215299928,0.06037317867952978,0.11462899687926151,-0.08724254094596312,0.5043782837127846,1713
AIZ,1Month,1Min,0.01,1.5,20,0.05127330238675443,-0.03531712641848417,0.6675071730652482,0.7272357539771384,0.052523853771502316,0.13892766557053218,-0.08947142463195179,0.507532956685499,1593
AIZ,1Month,1Min,0.01,1.5,30,0.021621818912894053,-0.03531712641848417,0.3121008412518016,0.3267759758250346,0.022844014532008235,0.1357775348577907,-0.08932390157442469,0.5047074646940148,1487
AIZ,1Month,1Min,0.01,2.0,10,0.06155592068212723,-0.03531712641848417,0.8153209304915496,0.9073740448185932,0.06252252288340573,0.10738286246912805,-0.07642127739811985,0.5049128367670365,1577
AIZ,1Month,1Min,0.01,2.0,20,0.05215329011031122,-0.03531712641848417,0.7000078696228378,0.7377950529256555,0.05325747512000803,0.12266736707190876,-0.07923549746129412,0.5065247252747253,1456
AIZ,1Month,1Min,0.01,2.0,30,0.05887140291599113,-0.03531712641848417,0.7962881555601502,0.8006933791145626,0.0600062281337854,0.1260712836446242,-0.06564821727631413,0.5063718140929535,1334
AIZ,1Month,1Min,0.1,1.0,10,0.06348722955773822,-0.03531712641848417,0.7783759443966057,0.967366532936152,0.06537307367349397,0.209504322515056,-0.060352809297163586,0.5015535991714137,1931
AIZ,1Month,1Min,0.1,1.0,20,0.0610415149755843,-0.03531712641848417,0.7611865920554011,0.9344270488981009,0.06283560384067696,0.1993109446707441,-0.051225827921090185,0.5013227513227513,1890
AIZ,1Month,1Min,0.1,1.0,30,0.02406269316866183,-0.03531712641848417,0.3259990626438435,0.38214849044784077,0.026006291797306718,0.21592045203177168,-0.05102764574570352,0.49959946595460614,1872
AIZ,1Month,1Min,0.1,1.5,10,0.06834789860426471,-0.03531712641848417,0.8433965854906698,1.027430999828224,0.07010195392455013,0.1948634929367194,-0.05558506803243814,0.5028142589118199,1865
AIZ,1Month,1Min,0.1,1.5,20,0.03843049370392526,-0.03531712641848417,0.5061626116581022,0.6044856831499186,0.04030926293769749,0.2087183517423666,-0.05193414140801311,0.5001387732445185,1801
AIZ,1Month,1Min,0.1,1.5,30,0.03233192926513517,-0.03531712641848417,0.4363374827386419,0.5120936609437393,0.03424002409540548,0.21197622399986155,-0.04927145805189093,0.5005678591709256,1761
AIZ,1Month,1Min,0.1,2.0,10,0.03904212052581735,-0.03531712641848417,0.5157534752850266,0.6139751229603515,0.04076549134949175,0.19145465621448085,-0.05424408210365941,0.5013865779256794,1803
AIZ,1Month,1Min,0.1,2.0,20,0.0397856242681085,-0.03531712641848417,0.5302065553707807,0.6180971111379887,0.041541208105933876,0.1950333007320654,-0.04619680569956925,0.5014302059496567,1748
AIZ,1Month,1Min,0.1,2.0,30,-0.00863060836700369,-0.03531712641848417,-0.07241872030205485,-0.08157409482935304,-0.0069371256425420245,0.1881342937706753,-0.05112423176554632,0.4954323995127893,1642
AIZ,1Month,5Min,0.001,1.0,10,0.0775186961901344,-0.03331662184950546,1.026823887079124,1.1353842235278746,0.07691373297409394,0.03530136216775183,-0.06854718429079316,0.5090311986863711,609
