symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
AOS,1Month,1Min,0.001,1.0,10,0.09425540017535239,-0.20273972602739732,1.030206469253093,1.1331992184637019,0.09290150361581867,0.13432810723934657,-0.09440169470122362,0.5022923161562443,2726
AOS,1Month,1Min,0.001,1.0,20,0.05843593113263035,-0.20273972602739732,0.6773971262832034,0.7299936709647952,0.05748731836324988,0.09411749879757303,-0.08322574731415625,0.5012584704743466,2582
AOS,1Month,1Min,0.001,1.0,30,0.024899174809244196,-0.20273972602739732,0.3217702565558476,0.33623196770797187,0.024018203120368363,0.0874064260410687,-0.08583866225814449,0.4996936900142945,2448
AOS,1Month,1Min,0.001,1.5,10,0.06224421047335382,-0.20273972602739732,0.7265236221569678,0.7394255079353452,0.060930898447234566,0.13030147498419525,-0.09205745308837375,0.5021943573667712,2392
AOS,1Month,1Min,0.001,1.5,20,0.039936421316768334,-0.20273972602739732,0.5057603208627791,0.5271219332269769,0.03849792574471693,0.1427216770034448,-0.08385817773481659,0.4959556274555119,2163
AOS,1Month,1Min,0.001,1.5,30,0.03663342238099854,-0.20273972602739732,0.47591762615945116,0.4693327918812857,0.03539227040680871,0.12314204827192773,-0.08158668788004358,0.49733299466598935,1968
AOS,1Month,1Min,0.001,2.0,10,0.020811876970146193,-0.20273972602739732,0.2894651632063077,0.2746779624860428,0.01932297737743824,0.14772255882441554,-0.09491481186426007,0.49901429275505177,2029
AOS,1Month,1Min,0.001,2.0,20,0.035438229298794255,-0.20273972602739732,0.47424390918700987,0.4471002454807514,0.03427353792810777,0.11555593833268721,-0.0796554213723503,0.49782797567332754,1726
AOS,1Month,1Min,0.001,2.0,30,0.04488549798749486,-0.20273972602739732,0.5954788486892503,0.5200120909519175,0.04375005299765846,0.11265423143674363,-0.0783394147778315,0.5004815409309792,1557
AOS,1Month,1Min,0.01,1.0,10,0.014500518364038317,-0.20273972602739732,0.20010207507920413,0.2415703809539493,0.01347869777270272,0.10138088098811077,-0.1075536874021023,0.49902912621359224,3090
