symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ARES,1Month,1Min,0.001,1.0,10,0.25650972927738214,-0.18980615223411434,1.2039671592590977,1.2076047942785655,0.25404155738931666,0.1693400690320656,-0.13639372940765843,0.509840098400984,3252
ARES,1Month,1Min,0.001,1.0,20,0.23157931015863986,-0.18980615223411434,1.1126911928178198,1.0792746760862044,0.2289714095972149,0.17892678513837518,-0.127615803862314,0.5106209150326797,3060
ARES,1Month,1Min,0.001,1.0,30,0.1861871723740156,-0.18980615223411434,0.9299601626883596,0.8793137767657317,0.18443033987787047,0.12053542041116633,-0.14680366315595292,0.5093847758081335,2877
ARES,1Month,1Min,0.001,1.5,10,0.22990536040066067,-0.18980615223411434,1.1773130816770048,1.2339845960235643,0.22931729680596347,0.040346756319035816,-0.11668292640560256,0.5077859316269913,2793
ARES,1Month,1Min,0.001,1.5,20,0.18609528088713878,-0.18980615223411434,0.9913934248820179,0.9426686783678536,0.18525286810475494,0.05779752999058152,-0.1641404549723106,0.5064220183486239,2452
ARES,1Month,1Min,0.001,1.5,30,0.1852065904948177,-0.18980615223411434,1.000652977100365,0.9133985887541519,0.18406408908669505,0.07838646419085625,-0.14951579425729172,0.5033377837116155,2247
ARES,1Month,1Min,0.001,2.0,10,0.3158387029036882,-0.18980615223411434,1.592869588884196,1.5502352089490605,0.31661544111187495,-0.05329162949720055,-0.1015827331995315,0.5068642405752888,2294
ARES,1Month,1Min,0.001,2.0,20,0.14964113079099683,-0.18980615223411434,0.8735346938989229,0.7665965037726152,0.14846981704620374,0.08036326455242795,-0.10925034056515312,0.5016957996347509,1916
ARES,1Month,1Min,0.001,2.0,30,0.1959390415894624,-0.18980615223411434,1.1078792158302522,0.923017368496625,0.19603537595790807,-0.006609454018025024,-0.13083835715748607,0.4988193624557261,1694
ARES,1Month,1Min,0.01,1.0,10,0.23943606501824077,-0.18980615223411434,1.1541939947478344,1.3483259850191263,0.23810431098908832,0.09137099418435086,-0.14250158609931707,0.5056763780604568,3655
ARES,1Month,1Min,0.01,1.0,20,0.1984920206638765,-0.18980615223411434,0.9970758284416998,1.1443773005395277,0.19705200053382746,0.09879907854440362,-0.1550635331438033,0.503216583273767,3497
ARES,1Month,1Min,0.01,1.0,30,0.23200822797694043,-0.18980615223411434,1.1429909164137697,1.2871046001377624,0.2305535528451128,0.09980455106633458,-0.15233243941352453,0.5027599582276593,3351
ARES,1Month,1Min,0.01,1.5,10,0.2034688426933,-0.18980615223411434,1.0307321354157173,1.1648588374492255,0.20214398826775323,0.0908976157472456,-0.14455557421614276,0.5036862282512533,3391
ARES,1Month,1Min,0.01,1.5,20,0.1648150472188754,-0.18980615223411434,0.8746144331633219,0.9511917516443361,0.1634500814908268,0.09364963264180266,-0.17520091580079097,0.5020595690747782,3156
