symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ARE,1Month,1Min,0.001,1.0,10,0.2125716321702562,-0.09003578828404601,1.6182655405541637,1.8816506693314434,0.21138843039316949,0.07466572467443555,-0.07347904121099867,0.5094624016077709,2985
ARE,1Month,1Min,0.001,1.0,20,0.20283091568313538,-0.09003578828404601,1.5758443092422583,1.7781880946241995,0.20166344264353295,0.07367316566614024,-0.0704177520627909,0.5101428823425648,2834
ARE,1Month,1Min,0.001,1.0,30,0.20202810560602913,-0.09003578828404601,1.5898996142456225,1.75980176744437,0.20094844042968632,0.06813206703921257,-0.06803812227928296,0.5101778837337245,2726
ARE,1Month,1Min,0.001,1.5,10,0.22559631121405088,-0.09003578828404601,1.7801962818391088,1.9622836004936142,0.2244180408311509,0.07435452997566022,-0.0712905951280619,0.511968085106383,2632
ARE,1Month,1Min,0.001,1.5,20,0.1720597028770694,-0.09003578828404601,1.4202615259750073,1.4475729537962725,0.17063074896814528,0.09017386653938815,-0.0690031076590397,0.50809199318569,2348
ARE,1Month,1Min,0.001,1.5,30,0.12422803155835216,-0.09003578828404601,1.0821309034713524,1.0464585238450088,0.12287196353560538,0.08557441645795888,-0.07593062878027197,0.506120527306968,2124
ARE,1Month,1Min,0.001,2.0,10,0.13728010318669615,-0.09003578828404601,1.200463517069289,1.1922135002945118,0.13662348028862195,0.04143606396810115,-0.09057180837340262,0.5084320875113947,2194
ARE,1Month,1Min,0.001,2.0,20,0.16338027851038484,-0.09003578828404601,1.4301954214371881,1.2928808541373473,0.16218002438187668,0.07574181009024544,-0.07805297311132313,0.5109950522264981,1819
ARE,1Month,1Min,0.001,2.0,30,0.11373798791646861,-0.09003578828404601,1.0226055362053832,0.8885919234766647,0.11214916568824129,0.10026232663505154,-0.08634171792327008,0.5068922305764411,1596
ARE,1Month,1Min,0.01,1.0,10,0.21994999939556026,-0.09003578828404601,1.591023103611155,1.965699348432015,0.2176188737788286,0.147105241769468,-0.06568508493976766,0.5093722106515918,3361
ARE,1Month,1Min,0.01,1.0,20,0.22531072570925614,-0.09003578828404601,1.638704167903868,1.9892760498814543,0.22293154398458792,0.1501378133845585,-0.06315273641634529,0.5106415792720543,3242
ARE,1Month,1Min,0.01,1.0,30,0.25342790495464396,-0.09003578828404601,1.828879997836035,2.186352573757203,0.25099636963746325,0.15344157695215677,-0.0651077362282305,0.511819768364271,3151
ARE,1Month,1Min,0.01,1.5,10,0.15290626877428481,-0.09003578828404601,1.1796588771425387,1.4028843729765939,0.1505637701849957,0.14782293105472025,-0.065035096478813,0.5079088895919013,3161
ARE,1Month,1Min,0.01,1.5,20,0.2000088405988778,-0.09003578828404601,1.5164734874687529,1.7414844850648836,0.19771857275273363,0.14452691987325902,-0.07056773314941679,0.5112084948592618,2966
ARE,1Month,1Min,0.01,1.5,30,0.17731341346277985,-0.09003578828404601,1.374942143692497,1.5399248552594396,0.1749225205767518,0.1508768440103094,-0.06271026769607954,0.5091496232508074,2787
ARE,1Month,1Min,0.01,2.0,10,0.23173936636060022,-0.09003578828404601,1.7587174464027864,2.0724848575110375,0.2290846492031177,0.16752542483255575,-0.07239739036170499,0.5107814386751768,2898
ARE,1Month,1Min,0.01,2.0,20,0.20296603929853818,-0.09003578828404601,1.5954353709861373,1.7412375528929644,0.20062567073508428,0.14768851617668266,-0.09059006651484579,0.5126485243388271,2609
ARE,1Month,1Min,0.01,2.0,30,0.22123392943160503,-0.09003578828404601,1.710435108173084,1.8241458143380649,0.21896857471840747,0.1429547813239506,-0.08583831641053535,0.5141910089082246,2413
ARE,1Month,1Min,0.1,1.0,10,0.20323914887823769,-0.09003578828404601,1.4565400459892972,1.811794254852494,0.1995013137200049,0.23587538170387295,-0.061364798394776314,0.5090832867523756,3578
ARE,1Month,1Min,0.1,1.0,20,0.1960845557283799,-0.09003578828404601,1.4282740851027782,1.7582002218983799,0.19238018143272484,0.23376384029058297,-0.061098777937586286,0.5082417582417582,3458
ARE,1Month,1Min,0.1,1.0,30,0.15297183139692838,-0.09003578828404601,1.1541020291381578,1.3980197328042911,0.1491243466792407,0.24279479644401017,-0.06440281251359571,0.5073257362734942,3378
ARE,1Month,1Min,0.1,1.5,10,0.20788245280359496,-0.09003578828404601,1.5222363361371771,1.8910604925153585,0.20399488250115516,0.24532438969892184,-0.06107273681559644,0.5081442699243747,3438
ARE,1Month,1Min,0.1,1.5,20,0.17332728231733352,-0.09003578828404601,1.3009523019871696,1.5510759463971644,0.16947353566749274,0.24318995448985578,-0.06261594982817517,0.5082413428096174,3306
ARE,1Month,1Min,0.1,1.5,30,0.13335084811365006,-0.09003578828404601,1.0339605338804818,1.213685465616169,0.12987613085616057,0.21927137627194498,-0.06408128759620538,0.5072238620475377,3218
ARE,1Month,1Min,0.1,2.0,10,0.2186489853367659,-0.09003578828404601,1.6194078897465516,2.007595548181302,0.21481995588331296,0.24163018048008247,-0.06267338303377597,0.5073928786964393,3314
ARE,1Month,1Min,0.1,2.0,20,0.2096769164108674,-0.09003578828404601,1.5687027085824974,1.8539633182503013,0.2056123358093008,0.25649459119378554,-0.06957258517265469,0.509401169221046,3164
ARE,1Month,1Min,0.1,2.0,30,0.15696307098015772,-0.09003578828404601,1.2215036423788121,1.4004314605129056,0.15337622814627294,0.22634703959346725,-0.06951367607121221,0.5072007945704353,3020
ARE,1Month,5Min,0.001,1.0,10,0.25121816196426705,-0.08476172537200977,1.9237840801264534,2.421960722532765,0.24802209870519495,0.2402166211443993,-0.06567205403735549,0.5086792452830189,662
ARE,1Month,5Min,0.001,1.0,20,0.26283379965316955,-0.08476172537200977,2.0235708565180013,2.4398626904010103,0.25974027336596756,0.23250992608600546,-0.07025440793295128,0.509046052631579,608
ARE,1Month,5Min,0.001,1.0,30,0.31956912285846184,-0.08476172537200977,2.4523583015797485,2.9252456385948022,0.31656551842195263,0.22575138553485657,-0.07323226696508961,0.5164444444444445,562
ARE,1Month,5Min,0.001,1.5,10,0.15800698245835298,-0.08476172537200977,1.330270606619554,1.5405570836343818,0.1558520750487739,0.161963182467923,-0.06930586834278576,0.503862660944206,582
ARE,1Month,5Min,0.001,1.5,20,0.22427522683983758,-0.08476172537200977,1.8830106993294722,2.080691392702282,0.2216326993000204,0.1986127887469274,-0.06394717183460596,0.5105527638190954,497
ARE,1Month,5Min,0.001,1.5,30,0.23873096553689632,-0.08476172537200977,2.0095884005850735,2.133274946833655,0.2358102512928171,0.21952134553329408,-0.06148432049733258,0.5098901098901099,455
ARE,1Month,5Min,0.001,2.0,10,0.26027876437249353,-0.08476172537200977,2.3198912544319508,3.015760342710624,0.258396553412514,0.14146727409222612,-0.05436425626871273,0.5136268343815513,477
ARE,1Month,5Min,0.001,2.0,20,0.21655873796991876,-0.08476172537200977,1.9225916527505413,1.9644194168496962,0.21482086478461423,0.13061882406936756,-0.060122286465524914,0.5056461731493099,398
ARE,1Month,5Min,0.001,2.0,30,0.25330076344248,-0.08476172537200977,2.2123786246125197,2.0941154103316473,0.25142189601740383,0.1412159734789192,-0.061709741105897324,0.5236051502145923,349
ARE,1Month,5Min,0.01,1.0,10,0.22283386982937747,-0.08476172537200977,1.668262631479314,2.1002460610931513,0.21977394537062042,0.22998440733401887,-0.0769552426475136,0.5191798941798942,756
ARE,1Month,5Min,0.01,1.0,20,0.22894509939870678,-0.08476172537200977,1.7372272390533703,2.172593718709054,0.22579158656697662,0.23701852428091663,-0.06820440778243526,0.5159059474412172,723
ARE,1Month,5Min,0.01,1.0,30,0.2837603110121305,-0.08476172537200977,2.11234726047257,2.6101260473072148,0.280538753651235,0.24213276187839755,-0.054168346963131137,0.5212077641984184,695
ARE,1Month,5Min,0.01,1.5,10,0.20734587615390643,-0.08476172537200977,1.6420990599939267,2.03759867178519,0.2041720904155698,0.23854223915481992,-0.07819918631036588,0.5151301900070373,710
ARE,1Month,5Min,0.01,1.5,20,0.22186212884917555,-0.08476172537200977,1.7619375654575022,2.0920127704535614,0.21893352441312908,0.2201143736121891,-0.06734687615270014,0.5190258751902588,657
ARE,1Month,5Min,0.01,1.5,30,0.22477054799686047,-0.08476172537200977,1.7847455088147122,2.0647395850564374,0.22190135663213292,0.21564887775457958,-0.0545511334712719,0.5246422893481717,629
ARE,1Month,5Min,0.01,2.0,10,0.17209097853222954,-0.08476172537200977,1.4306194144630542,1.6866657931483775,0.16874041663491007,0.251828763283905,-0.0809144799555772,0.5151057401812689,662
ARE,1Month,5Min,0.01,2.0,20,0.19665094864975496,-0.08476172537200977,1.6272320910332196,1.812401762012108,0.19394883679992914,0.20309115493160063,-0.05970881107465105,0.5206751054852321,592
ARE,1Month,5Min,0.01,2.0,30,0.18427685241876213,-0.08476172537200977,1.5476376103069502,1.664189810414527,0.1811539177211989,0.23472026687013836,-0.05142754423540285,0.5204731574158326,549
