symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
AVB,1Month,1Min,0.001,1.0,10,0.12906984312090053,-0.06058573877849305,1.719135624773514,2.0852186391631675,0.1294426574135757,-0.008943826123430188,-0.04800964866684721,0.503921568627451,2550
AVB,1Month,1Min,0.001,1.0,20,0.10025838804320397,-0.06058573877849305,1.3774355900444855,1.6150298021783298,0.10004361616700612,0.005152383786396723,-0.056891662435454265,0.5032867707477403,2434
AVB,1Month,1Min,0.001,1.0,30,0.09866691743771061,-0.06058573877849305,1.37891895719034,1.5765490678900957,0.09879512695463565,-0.003075750177168163,-0.04606690564542404,0.5036717062634989,2315
AVB,1Month,1Min,0.001,1.5,10,0.11088573719439898,-0.06058573877849305,1.555795756842177,1.7621471107065463,0.11042799095008135,0.01098134620444158,-0.04138251172438662,0.5022542831379622,2218
AVB,1Month,1Min,0.001,1.5,20,0.09410247829896146,-0.06058573877849305,1.368909299722512,1.478909331337981,0.09363370685370222,0.011245841107494055,-0.04144736094618235,0.501363073110285,2017
AVB,1Month,1Min,0.001,1.5,30,0.11391771442110787,-0.06058573877849305,1.662588381387191,1.6963080999399678,0.1134024744596313,0.01236062221279836,-0.03616525937196761,0.5046020573903628,1847
AVB,1Month,1Min,0.001,2.0,10,0.09071448605208854,-0.06058573877849305,1.3704414947966037,1.4383450976315708,0.08961146587490675,0.026461487311980565,-0.03917283608092822,0.49768707482993196,1837
AVB,1Month,1Min,0.001,2.0,20,0.10651675476970279,-0.06058573877849305,1.6288802030608207,1.5374482137624488,0.10587723291772694,0.015342148513575389,-0.04146549618728826,0.5018003273322422,1527
AVB,1Month,1Min,0.001,2.0,30,0.1008280593888502,-0.06058573877849305,1.577067439078796,1.3781103606030054,0.10040257536737904,0.010207374505492861,-0.031024148472864412,0.506661732050333,1351
AVB,1Month,1Min,0.01,1.0,10,0.10258264254522831,-0.06058573877849305,1.3242434804099268,1.7194619284248427,0.10222459893797395,0.00858947693477727,-0.05205687064583471,0.4998266897746967,2885
AVB,1Month,1Min,0.01,1.0,20,0.08201357881769633,-0.06058573877849305,1.0830561289158627,1.3589878103054354,0.08151671077800292,0.011919879255217973,-0.05372334453013895,0.5004508566275925,2772
AVB,1Month,1Min,0.01,1.0,30,0.07988759306846815,-0.06058573877849305,1.0695149378951356,1.3347811423975593,0.07918698020793735,0.016807723650997947,-0.049226034677110876,0.4986988847583643,2690
AVB,1Month,1Min,0.01,1.5,10,0.09517399816415861,-0.06058573877849305,1.2636772143371526,1.5950009984234206,0.09461759489556842,0.013348131191726384,-0.054326910169168185,0.4988921713441654,2708
AVB,1Month,1Min,0.01,1.5,20,0.08312282564680973,-0.06058573877849305,1.1352635819209747,1.3742205780717172,0.0826934736877292,0.010300166445378558,-0.048678867324721674,0.4990990990990991,2497
AVB,1Month,1Min,0.01,1.5,30,0.06239314360283155,-0.06058573877849305,0.8778318090603912,1.0280853861883532,0.06070748343101973,0.04043903835256673,-0.0519886569390504,0.4977673825217946,2351
AVB,1Month,1Min,0.01,2.0,10,0.1042796773789949,-0.06058573877849305,1.4259581260429086,1.7468715582208727,0.10223615981816504,0.049024047906239605,-0.045954264304937806,0.49818108326596605,2474
AVB,1Month,1Min,0.01,2.0,20,0.0920547419024198,-0.06058573877849305,1.2860314172225757,1.5026109040833877,0.09049202116555752,0.03748971760090937,-0.04790904467651201,0.49989051894022335,2283
AVB,1Month,1Min,0.01,2.0,30,0.07894278353770479,-0.06058573877849305,1.1297453220681366,1.2395943853584745,0.07784034835964694,0.026447453165356627,-0.04663563528261111,0.4992718446601942,2060
AVB,1Month,1Min,0.1,1.0,10,0.17902746587424967,-0.06058573877849305,2.2040455741155327,3.060768382078512,0.17737571096262852,0.03962565013818512,-0.03175714072438804,0.5049554013875124,3027
AVB,1Month,1Min,0.1,1.0,20,0.16925325266942703,-0.06058573877849305,2.1110751096226514,2.8599217571802438,0.16746106479841158,0.042994641068787164,-0.03175714072438898,0.5051124744376279,2934
AVB,1Month,1Min,0.1,1.0,30,0.1501873020125113,-0.06058573877849305,1.900584438529108,2.548326329235863,0.14843167556471232,0.04211753142332041,-0.03181599773674387,0.5034698126301179,2882
AVB,1Month,1Min,0.1,1.5,10,0.16570656335377576,-0.06058573877849305,2.0816651505581043,2.8224073033256003,0.16405573226950373,0.0396034874922216,-0.031757140724387886,0.5051688490696071,2902
AVB,1Month,1Min,0.1,1.5,20,0.14573999079574773,-0.06058573877849305,1.8770531054119775,2.4835386703892213,0.14447861195778947,0.03026051635928718,-0.03416812901648284,0.5039783001808318,2765
AVB,1Month,1Min,0.1,1.5,30,0.11833420556463925,-0.06058573877849305,1.5641307092755137,2.0067156268524204,0.11649896456068161,0.0440274870263303,-0.035142032037440755,0.5035700864336715,2661
AVB,1Month,1Min,0.1,2.0,10,0.15514079201620667,-0.06058573877849305,2.020706428895875,2.7985034803534843,0.15353653139403053,0.0384862607022171,-0.031308334717421435,0.502346570397112,2770
AVB,1Month,1Min,0.1,2.0,20,0.12541873771616419,-0.06058573877849305,1.6899356202962466,2.2118324848602575,0.1237888303019562,0.039101528016435835,-0.033916238586774235,0.5020282016611938,2588
AVB,1Month,1Min,0.1,2.0,30,0.12482006516076538,-0.06058573877849305,1.6897663143072583,2.154179792480999,0.12262771424259612,0.052594564636856966,-0.03188995058050677,0.5023078466787076,2491
AVB,1Month,5Min,0.001,1.0,10,0.10105339037036365,-0.05428611849923615,1.5394613835928697,2.1624009825242676,0.10025492760627015,0.03281703618110962,-0.027544080720459246,0.5150115473441108,649
AVB,1Month,5Min,0.001,1.0,20,0.08133788965532718,-0.05428611849923615,1.279508939749312,1.6836573520134306,0.08079232371277022,0.022422908219645293,-0.0254548432591895,0.5125838926174496,596
AVB,1Month,5Min,0.001,1.0,30,0.10364240294968607,-0.05428611849923615,1.6202521782456347,2.067755955192479,0.10253162743180404,0.045653175074244164,-0.025167594591522985,0.5202464788732394,568
AVB,1Month,5Min,0.001,1.5,10,0.102888906208908,-0.05428611849923615,1.629924300252542,2.1632398550521703,0.10198460325720997,0.037167096599990845,-0.02666711853893045,0.515017667844523,566
AVB,1Month,5Min,0.001,1.5,20,0.13107421803918662,-0.05428611849923615,2.1404753401279937,2.6410445552749913,0.1294158839530565,0.06815798075027894,-0.02516759459152388,0.5243243243243243,462
AVB,1Month,5Min,0.001,1.5,30,0.10770694203931042,-0.05428611849923615,1.8128848087804814,2.0506432138936472,0.10582297164773473,0.07743169410619966,-0.0259843053486699,0.5250596658711217,419
AVB,1Month,5Min,0.001,2.0,10,0.10277193436422705,-0.05428611849923615,1.7967568296395222,2.2998029379912306,0.10250137454694082,0.011120081877727622,-0.02755984643763599,0.5151843817787418,461
AVB,1Month,5Min,0.001,2.0,20,0.10552478210490635,-0.05428611849923615,2.0577842803617328,2.0197873810929323,0.10440213807315164,0.04614097421365365,-0.021470730803227596,0.5288888888888889,337
AVB,1Month,5Min,0.001,2.0,30,0.10727255499016786,-0.05428611849923615,2.178750283656903,2.163920759587077,0.10597635196616068,0.0532742958717686,-0.025167594591523297,0.5347682119205298,302
AVB,1Month,5Min,0.01,1.0,10,0.15646382883960452,-0.05428611849923615,2.168213507040994,3.3927725550826944,0.15441069471701302,0.08438436933530749,-0.03270708694887379,0.5141672425708362,723
AVB,1Month,5Min,0.01,1.0,20,0.13973839373242147,-0.05428611849923615,1.9820298999498307,2.9577682834970913,0.13786685523877926,0.07692073972907697,-0.030423997034587036,0.5149476831091181,669
AVB,1Month,5Min,0.01,1.0,30,0.17509518089075993,-0.05428611849923615,2.458471881446566,3.6117323104027212,0.17276983773319113,0.09557223450747504,-0.03042399703458651,0.5206225680933853,642
AVB,1Month,5Min,0.01,1.5,10,0.1755519933573637,-0.05428611849923615,2.4677243564010634,3.83763873067083,0.17349941375146777,0.08436157854871063,-0.032651976823926704,0.5214446952595937,664
AVB,1Month,5Min,0.01,1.5,20,0.1720299788641384,-0.05428611849923615,2.4923858663637013,3.662586545493069,0.16993543461906827,0.08608633660135555,-0.030423997034587168,0.5201680672268908,595
AVB,1Month,5Min,0.01,1.5,30,0.17614515443141587,-0.05428611849923615,2.5645824802604205,3.5878036204180015,0.17377079905671963,0.09758664992559933,-0.030423997034586606,0.5226860254083484,551
