symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
AXP,1Month,1Min,0.001,1.0,10,0.6088883567843859,-0.12888888888888894,4.620473341506975,5.9173474681644205,0.6033234501398481,-0.13377399598150141,-0.07472577826738636,0.5189508376819555,3641
AXP,1Month,1Min,0.001,1.0,20,0.5780731828931394,-0.12888888888888894,4.54937477185271,5.620708183823473,0.5730404246312271,-0.12098175701936444,-0.07340057400409605,0.5201813395729745,3419
AXP,1Month,1Min,0.001,1.0,30,0.5215393824007557,-0.12888888888888894,4.251876461913724,5.106495226041396,0.5168584441243466,-0.11252440663899388,-0.07328206064644634,0.5198081089445992,3231
AXP,1Month,1Min,0.001,1.5,10,0.5070283706977043,-0.12888888888888894,4.219915522485574,4.934244396390135,0.5020140644003498,-0.12053819287889112,-0.07496985302708338,0.5223395613322502,3077
AXP,1Month,1Min,0.001,1.5,20,0.5076690245274644,-0.12888888888888894,4.397709555937834,4.878213449322724,0.5032055195074938,-0.10729755964388776,-0.06785509894774092,0.5239415788500648,2704
AXP,1Month,1Min,0.001,1.5,30,0.481554480419784,-0.12888888888888894,4.342606045701659,4.550945806405262,0.4813526721329964,-0.0048512405814131665,-0.0678550989477407,0.5214587950836188,2481
AXP,1Month,1Min,0.001,2.0,10,0.37474347486462944,-0.12888888888888894,3.557735393364917,3.696831712189236,0.3692866414977729,-0.13117603789563945,-0.0719197702718002,0.5201369311316956,2483
AXP,1Month,1Min,0.001,2.0,20,0.36409155119454506,-0.12888888888888894,3.746507074284879,3.5877168938677877,0.3633971232728119,-0.016693253624040186,-0.06845327264100053,0.5170207320194523,1953
AXP,1Month,1Min,0.001,2.0,30,0.2911248922978067,-0.12888888888888894,3.154711753865933,2.8027305111877845,0.29078558891356154,-0.008156465590500655,-0.06694028007391399,0.5182944396427542,1735
AXP,1Month,1Min,0.01,1.0,10,0.2939071868932417,-0.12888888888888894,2.3827779027962936,3.0640441957544207,0.2923713562416019,-0.03691961366906134,-0.118090298450117,0.5079212674027844,4166
AXP,1Month,1Min,0.01,1.0,20,0.3138130284377374,-0.12888888888888894,2.551314610864251,3.2269243813952544,0.31235382846757415,-0.035077499662357535,-0.09815224841138817,0.5082686043598096,3991
AXP,1Month,1Min,0.01,1.0,30,0.2821515614803185,-0.12888888888888894,2.3411101446536966,2.8964601608390868,0.2806338534514943,-0.03648396652768796,-0.09409280200278475,0.5080780664340183,3868
AXP,1Month,1Min,0.01,1.5,10,0.28845537465772364,-0.12888888888888894,2.413426675626673,3.0190724352802047,0.28659760259225536,-0.044658717332560174,-0.12262630824200357,0.5087787748731954,3844
AXP,1Month,1Min,0.01,1.5,20,0.2921063924877296,-0.12888888888888894,2.499040701797769,3.01856684625959,0.29077970899923766,-0.031891954887050586,-0.10742891862421483,0.5100671140939598,3576
AXP,1Month,1Min,0.01,1.5,30,0.32167563394304355,-0.12888888888888894,2.7319131190830097,3.2519822758389387,0.3199934027551932,-0.040438915248350575,-0.09386086494098018,0.5125035929864904,3479
AXP,1Month,1Min,0.01,2.0,10,0.23604773578803062,-0.12888888888888894,2.162485389026097,2.5512934115537806,0.2341416431574659,-0.04582028849519175,-0.09442070998709312,0.508885754583921,3545
AXP,1Month,1Min,0.01,2.0,20,0.2946039934336018,-0.12888888888888894,2.639721151761874,3.0446752775812507,0.29195202715523283,-0.06375023858015937,-0.09823889377294828,0.5137285491419656,3205
AXP,1Month,1Min,0.01,2.0,30,0.22783741823290504,-0.12888888888888894,2.1721519707204973,2.3455219194401375,0.2286764322770837,0.020168938769987023,-0.10184487815069906,0.515141262053798,2955
AXP,1Month,1Min,0.1,1.0,10,0.1924642277549622,-0.12888888888888894,1.6005553642124704,2.089093304557339,0.19705260189899954,0.11029927068202444,-0.10450507771781045,0.5025210084033613,4462
AXP,1Month,1Min,0.1,1.0,20,0.1616718602333731,-0.12888888888888894,1.3832993622711647,1.7775088041713631,0.16674231396603037,0.12188791305648493,-0.11751894633435468,0.503127487774366,4396
AXP,1Month,1Min,0.1,1.0,30,0.18238492509569326,-0.12888888888888894,1.5438852319189484,1.9706935508191394,0.18765267852891654,0.1266307723776875,-0.11203599687720028,0.5033104890231154,4304
AXP,1Month,1Min,0.1,1.5,10,0.12126438991220834,-0.12888888888888894,1.087296200204641,1.3736973046959555,0.12573028734166983,0.10735507043392498,-0.12133367184362025,0.5026706920575941,4306
AXP,1Month,1Min,0.1,1.5,20,0.16592162768380625,-0.12888888888888894,1.4629284942850294,1.8532126322564983,0.16880992106698897,0.06943127209771353,-0.10237622381367643,0.5037993004462671,4145
AXP,1Month,1Min,0.1,1.5,30,0.1508349246577989,-0.12888888888888894,1.3363308512748802,1.6462986954143661,0.1564585857096668,0.13518638478730136,-0.11017766114706844,0.5043340251495544,4095
AXP,1Month,1Min,0.1,2.0,10,0.12697991105533157,-0.12888888888888894,1.1640452031300532,1.464833082055748,0.13254027442403496,0.13366478082264172,-0.11465907613294443,0.5030778515389258,4142
AXP,1Month,1Min,0.1,2.0,20,0.14931543625820565,-0.12888888888888894,1.3639109889268737,1.6731996517816956,0.15196003813757963,0.0635732068445914,-0.09757174010743633,0.5048137826197112,3947
AXP,1Month,1Min,0.1,2.0,30,0.10628584255813389,-0.12888888888888894,1.018363604579451,1.199346663567869,0.1127214137734558,0.15470377723984932,-0.09566623389387305,0.5044985445885155,3779
AXP,1Month,5Min,0.001,1.0,10,0.20404190862145066,-0.12888888888888894,1.918610583889108,2.450067510656722,0.20411724437417259,0.0018734646888455386,-0.1214931856823354,0.5064867669953296,963
AXP,1Month,5Min,0.001,1.0,20,0.21167942728854872,-0.12888888888888894,2.0084205792918746,2.460958287206184,0.2112921033240995,-0.009632050445128012,-0.12641222731584,0.5083892617449665,894
AXP,1Month,5Min,0.001,1.0,30,0.20896737093680007,-0.12888888888888894,2.0173772926076294,2.3801973603986775,0.20837134350141798,-0.014822130441746574,-0.1126964362027706,0.514488468361916,845
AXP,1Month,5Min,0.001,1.5,10,0.1256206496831549,-0.12888888888888894,1.307438983790668,1.505715381203453,0.1243467661954611,-0.031679191428630155,-0.12518432201180157,0.5054744525547445,822
AXP,1Month,5Min,0.001,1.5,20,0.12735578574013728,-0.12888888888888894,1.3434444176535352,1.468567210302339,0.12577079403250896,-0.039415893371575694,-0.11293402311898054,0.5084288604180714,741
AXP,1Month,5Min,0.001,1.5,30,0.12801672176025125,-0.12888888888888894,1.4213515045079548,1.429816347570949,0.13312878892934404,0.12712791712128274,-0.09238951086715669,0.5077951002227171,673
AXP,1Month,5Min,0.001,2.0,10,0.07017969958866721,-0.12888888888888894,0.8238871552342084,0.8481818774262688,0.0683332763331368,-0.04591722581797308,-0.12251196160045093,0.49924471299093653,662
AXP,1Month,5Min,0.001,2.0,20,0.12350632071522205,-0.12888888888888894,1.4553410911193962,1.349246137092367,0.1279492676598566,0.11048810046288786,-0.09735758018935256,0.5129757785467128,578
AXP,1Month,5Min,0.001,2.0,30,0.09891888903052992,-0.12888888888888894,1.2380500849854155,1.0468489369456617,0.1050904481264235,0.15347557598526043,-0.08210029331674358,0.5083333333333333,480
