symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
A,1Month,1Min,0.001,1.0,10,0.29419981950330376,-0.1099792646941542,2.4172587682376174,2.657725603025526,0.29071680906263775,0.12619850407343675,-0.07616863517018657,0.5111291632818846,3077
A,1Month,1Min,0.001,1.0,20,0.3219349920814709,-0.1099792646941542,2.656786989152463,2.8139651157939425,0.31868836759962194,0.11763362754066185,-0.06528148256722918,0.5121279889901944,2906
A,1Month,1Min,0.001,1.0,30,0.37885059016074507,-0.1099792646941542,3.1291705769452043,3.360542268401676,0.37633327505970854,0.09120885666123357,-0.05594508998542963,0.5125545851528385,2748
A,1Month,1Min,0.001,1.5,10,0.21901745425849395,-0.1099792646941542,1.9679892804210022,1.9585945018448154,0.2166276003435259,0.086590607223487,-0.0694020289027428,0.5111235744999065,2674
A,1Month,1Min,0.001,1.5,20,0.2163926142109498,-0.1099792646941542,1.9732928881660543,1.8550405097931266,0.21481314102884835,0.057228410939589275,-0.05793155035379053,0.50924579264492,2406
A,1Month,1Min,0.001,1.5,30,0.22300328403009617,-0.1099792646941542,2.056464342376722,1.881102424124216,0.2209337355290026,0.07498511112573351,-0.05760603199031031,0.5078899909828675,2218
A,1Month,1Min,0.001,2.0,10,0.2659134142651036,-0.1099792646941542,2.550341570083232,2.4758972610415095,0.26345207732753423,0.08918062257733422,-0.05136439434697561,0.5111208984805109,2270
A,1Month,1Min,0.001,2.0,20,0.2671274094838261,-0.1099792646941542,2.618909027647431,2.3597535380782433,0.2660653780412698,0.03848015434140681,-0.04127231156138137,0.5109370780448285,1851
A,1Month,1Min,0.001,2.0,30,0.21744782911935712,-0.1099792646941542,2.1687289474839733,1.7193220578478552,0.21658052108012654,0.031424820277263975,-0.04233946083822109,0.5099785078292908,1628
A,1Month,1Min,0.01,1.0,10,0.16754281753945088,-0.1099792646941542,1.383844996813904,1.599328714701615,0.16111173083560817,0.233014955142176,-0.13652318930158633,0.505590941259731,3532
A,1Month,1Min,0.01,1.0,20,0.11763726833422705,-0.1099792646941542,1.016935679934464,1.148026545466422,0.11146537369620733,0.22362375418777714,-0.131073749466665,0.5037549698129877,3395
A,1Month,1Min,0.01,1.0,30,0.11817944458678076,-0.1099792646941542,1.0357095339610467,1.1449149858887253,0.11205984381309834,0.2217290118193545,-0.1325847178944833,0.502954993180785,3299
A,1Month,1Min,0.01,1.5,10,0.12414216588826532,-0.1099792646941542,1.0869071108715482,1.2138506291505897,0.1177116741053122,0.23299339961497165,-0.134174373178369,0.5052535404294198,3283
A,1Month,1Min,0.01,1.5,20,0.11618319980147396,-0.1099792646941542,1.0421385709931836,1.120941505896409,0.10975062900193437,0.2330687277793932,-0.11885749956162787,0.5053260167850226,3098
A,1Month,1Min,0.01,1.5,30,0.1333663495121198,-0.1099792646941542,1.1828330923598196,1.2514146440229423,0.12741032440891614,0.2158022409213372,-0.12031060996676639,0.5032701660238135,2981
A,1Month,1Min,0.01,2.0,10,0.07495356036468448,-0.1099792646941542,0.7112776886842707,0.7551573391938664,0.06861794483631369,0.2295557867785052,-0.13234837315572556,0.502703588399148,3051
A,1Month,1Min,0.01,2.0,20,0.10579814658928055,-0.1099792646941542,0.9794049920694898,0.9886130203115366,0.1002063052454491,0.2026069185347002,-0.12269354712536115,0.5051176153708027,2784
A,1Month,1Min,0.01,2.0,30,0.11836676978917549,-0.1099792646941542,1.093876941813103,1.0656280973624181,0.11325725876841819,0.18513083964313704,-0.10755583277321036,0.5047178894665897,2596
A,1Month,1Min,0.1,1.0,10,0.09769092323274253,-0.1099792646941542,0.839475578012837,1.0113341773063207,0.0892577696664506,0.30555503143542434,-0.1345746480088953,0.5047694753577107,3774
A,1Month,1Min,0.1,1.0,20,0.0995821353360058,-0.1099792646941542,0.8545252214722168,1.0203849190174195,0.09166294754813323,0.28693271792634945,-0.13382472969628842,0.5045834456726881,3709
A,1Month,1Min,0.1,1.0,30,0.11243980920313734,-0.1099792646941542,0.9469949272618762,1.134654029720231,0.10476906912232067,0.2779308129636603,-0.1312679001162355,0.5043811610076671,3652
A,1Month,1Min,0.1,1.5,10,0.09240982801889608,-0.1099792646941542,0.8042133371388788,0.9534278549446525,0.08410583679758887,0.3008751445969077,-0.13465314611249357,0.5043015157722245,3661
A,1Month,1Min,0.1,1.5,20,0.06080540237298582,-0.1099792646941542,0.5622321526314427,0.6534903964141784,0.052420727365672826,0.30379852747800073,-0.12890427424273004,0.5025459688826025,3535
A,1Month,1Min,0.1,1.5,30,0.07758953011056047,-0.1099792646941542,0.6982953176195493,0.8038166165880088,0.06950952291586987,0.29275962224149493,-0.12146587233516346,0.5034712178189181,3457
A,1Month,1Min,0.1,2.0,10,0.09021537165238125,-0.1099792646941542,0.7935637723721265,0.9224017916522407,0.0817042176035654,0.308381191270203,-0.12331889243671697,0.5045261669024045,3535
A,1Month,1Min,0.1,2.0,20,0.0464283413887685,-0.1099792646941542,0.45634857918132476,0.5110556637670912,0.03884617180435736,0.27472167410466747,-0.11024158201061113,0.5034830294945902,3373
A,1Month,1Min,0.1,2.0,30,0.095741394684554,-0.1099792646941542,0.8523284215325602,0.9568250212313633,0.08760749422624196,0.2947123149952269,-0.10464814752313996,0.5032317636195752,3249
A,1Month,5Min,0.001,1.0,10,0.15759050650808049,-0.110085722259878,1.4638675526726908,1.7672604717367124,0.15537285478885968,0.11282019938216777,-0.08986685447332961,0.5113960113960114,702
A,1Month,5Min,0.001,1.0,20,0.13887937158383523,-0.110085722259878,1.3170549344966007,1.5234259315491405,0.13673308314249985,0.10918968374717485,-0.0926454183287313,0.5135553834237025,645
A,1Month,5Min,0.001,1.0,30,0.15901359620895517,-0.110085722259878,1.5116958304207369,1.7166433841570359,0.15659716762792517,0.12293271839834324,-0.08543823051007428,0.5136929460580912,602
A,1Month,5Min,0.001,1.5,10,0.1667118113852033,-0.110085722259878,1.6341343658888807,1.8190675407121304,0.16465830416899652,0.10446955739586157,-0.07963244955547708,0.5236541598694943,613
A,1Month,5Min,0.001,1.5,20,0.24566831161920044,-0.110085722259878,2.4352539114847467,3.234298926751212,0.24331753021143712,0.11959300228664285,-0.061247225150203116,0.5209692451071761,536
A,1Month,5Min,0.001,1.5,30,0.21969501227987154,-0.110085722259878,2.179581128187106,2.5926774030420856,0.21688838503920077,0.14278357694289107,-0.0612472251502039,0.5127942681678608,488
A,1Month,5Min,0.001,2.0,10,0.13501269082306666,-0.110085722259878,1.4577407888282188,1.45574211252702,0.13312561596323022,0.09600252379153086,-0.059272029213847076,0.5205741626794258,522
A,1Month,5Min,0.001,2.0,20,0.1575736696515182,-0.110085722259878,1.9227409583462967,2.024889817685522,0.15547454959389628,0.10679005245748018,-0.041077638997007254,0.5286458333333334,384
A,1Month,5Min,0.001,2.0,30,0.16024937339404488,-0.110085722259878,1.9836975391057523,1.937679007081907,0.15834672758635204,0.09679467588038254,-0.037802419354838926,0.5300699300699301,357
A,1Month,5Min,0.01,1.0,10,0.07773517263637264,-0.110085722259878,0.7885583951340666,1.041457353139332,0.07253040722081767,0.26478579428452426,-0.08689976471002352,0.5086151882578175,783
A,1Month,5Min,0.01,1.0,20,0.11107508365456553,-0.110085722259878,1.0823474829449753,1.4101722635300975,0.10601918116338624,0.2572125830976128,-0.07432694638724228,0.5095206828627709,761
A,1Month,5Min,0.01,1.0,30,0.09763085725740028,-0.110085722259878,0.9689472581907448,1.237030205331643,0.09227588254956834,0.2724275002191685,-0.07263504962282286,0.5061898211829436,727
A,1Month,5Min,0.01,1.5,10,0.09290824993748337,-0.110085722259878,0.9399634260870244,1.2352298293660202,0.0878776625608985,0.2559247089687893,-0.06688391038696509,0.5056328694499669,754
A,1Month,5Min,0.01,1.5,20,0.11314818772243562,-0.110085722259878,1.1387873697493622,1.4430384176403739,0.10815148757412146,0.2542007395028565,-0.06688391038696527,0.5087966220971147,710
A,1Month,5Min,0.01,1.5,30,0.13614163483955743,-0.110085722259878,1.3448333357152504,1.679374174512052,0.1306815093902256,0.27777690992060194,-0.06688391038696524,0.5109489051094891,685
A,1Month,5Min,0.01,2.0,10,0.07923385630806945,-0.110085722259878,0.8329951357520694,1.0480277525328212,0.07446060695963558,0.24283296539473095,-0.08243567435672523,0.5049575070821529,706
