symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
BALL,1Month,1Min,0.001,1.0,10,0.08768938501741963,-0.11846946284032378,1.0922916223755192,1.1759887738384125,0.0873046075620795,0.01200493410688067,-0.05071982577077361,0.5083886752883607,2861
BALL,1Month,1Min,0.001,1.0,20,0.06880972081718828,-0.11846946284032378,0.8859443162948487,0.9180878816603257,0.0684013301908191,0.012741657525376251,-0.05393919864303359,0.5072951739618407,2673
BALL,1Month,1Min,0.001,1.0,30,0.07276741686431953,-0.11846946284032378,0.9402333415426689,0.9469598738528944,0.07250931528924083,0.008052686971909482,-0.06004847741218423,0.5090408805031447,2544
BALL,1Month,1Min,0.001,1.5,10,0.03553963576390973,-0.11846946284032378,0.4968303431060414,0.4878161942642185,0.035411480542796074,0.003998402098590151,-0.053288999218856804,0.5060167244544157,2451
BALL,1Month,1Min,0.001,1.5,20,0.003746279090296456,-0.11846946284032378,0.08796789337560453,0.07750542589495699,0.003110039924644828,0.01985045941195483,-0.06982449351981944,0.5059171597633136,2197
BALL,1Month,1Min,0.001,1.5,30,0.03194965199687272,-0.11846946284032378,0.4582428889393391,0.40432577218156013,0.03152349870168932,0.013295847137365275,-0.05534235501303734,0.5069790628115654,2006
BALL,1Month,1Min,0.001,2.0,10,-0.01940068946457718,-0.11846946284032378,-0.2504881981182232,-0.2084783494427319,-0.020482461680802738,0.03375094874766593,-0.08276844428751083,0.4991368680641184,2027
BALL,1Month,1Min,0.001,2.0,20,-0.04238520881397967,-0.11846946284032378,-0.6266280971476758,-0.47727428299971686,-0.04380908447693092,0.04442446737169341,-0.0944498547173819,0.4981021897810219,1712
BALL,1Month,1Min,0.001,2.0,30,-0.015459275402537886,-0.11846946284032378,-0.20502012116887253,-0.14431398925208808,-0.01690671499337244,0.04515965441971893,-0.08199464017205756,0.5050610820244328,1432
BALL,1Month,1Min,0.01,1.0,10,0.10396051077070267,-0.11846946284032378,1.2376690979516858,1.429353257661321,0.10278940945658087,0.03653798816275759,-0.051558209486908,0.5042841564106558,3209
BALL,1Month,1Min,0.01,1.0,20,0.10195369060248272,-0.11846946284032378,1.2277563202251853,1.3867848253357336,0.10114501301629633,0.02523048323425608,-0.054023763676651106,0.5039701831145681,3085
BALL,1Month,1Min,0.01,1.0,30,0.09600661449692138,-0.11846946284032378,1.1693186546014316,1.2875727821996505,0.09526566185853029,0.02311748642430605,-0.06008052992640768,0.504739336492891,2954
BALL,1Month,1Min,0.01,1.5,10,0.07197319227317256,-0.11846946284032378,0.9069368187823924,0.992020121588801,0.0713008835344269,0.020975818609193543,-0.06346223906202089,0.5027810551154559,2966
BALL,1Month,1Min,0.01,1.5,20,0.08106324968569512,-0.11846946284032378,1.0492813167257873,1.0708578258975752,0.08039630364571614,0.020808504114969588,-0.05680448875406681,0.5061683599419449,2756
BALL,1Month,1Min,0.01,1.5,30,0.06048924962437252,-0.11846946284032378,0.7826654864856887,0.7984828085295218,0.059954788494929134,0.016675017084837252,-0.056802789303000756,0.5040713454827452,2579
BALL,1Month,1Min,0.01,2.0,10,0.08823675824491395,-0.11846946284032378,1.181851318105907,1.2302040765065967,0.08706642844153381,0.036513917273239556,-0.05680602032574805,0.5038989974006683,2693
BALL,1Month,1Min,0.01,2.0,20,0.07862435795770595,-0.11846946284032378,1.077144346764176,1.0481308535220712,0.07760948674910548,0.03166365860871257,-0.05650128433461918,0.5054347826086957,2392
BALL,1Month,1Min,0.01,2.0,30,0.060145870789351186,-0.11846946284032378,0.8443089963318464,0.7765139574393828,0.059149299231809505,0.03109271532164937,-0.05694700861272707,0.503919372900336,2232
BALL,1Month,1Min,0.1,1.0,10,0.07217168094421189,-0.11846946284032378,0.8806699593997906,1.0787412807612622,0.06903622923025975,0.09782509525675884,-0.054135451288411046,0.5025388074858552,3446
BALL,1Month,1Min,0.1,1.0,20,0.09148151527895099,-0.11846946284032378,1.0907809622803495,1.3277472585564638,0.08870226389566448,0.08671175834176188,-0.05146405656727829,0.5046089800773119,3363
BALL,1Month,1Min,0.1,1.0,30,0.08350083384326235,-0.11846946284032378,1.0069455099240243,1.2149642488579204,0.08093472152803804,0.08006188727427173,-0.05022796520745789,0.5034795763993949,3305
BALL,1Month,1Min,0.1,1.5,10,0.08740961700284133,-0.11846946284032378,1.0880513077169243,1.3884511778921589,0.08465581935684283,0.08591760984195915,-0.049213043856122525,0.503174123337364,3308
BALL,1Month,1Min,0.1,1.5,20,0.08942937851396193,-0.11846946284032378,1.1186949473671648,1.4002919300319943,0.08709772028573493,0.07274699440196612,-0.04759331743117733,0.5018885741265344,3177
BALL,1Month,1Min,0.1,1.5,30,0.0874212598855153,-0.11846946284032378,1.0990366444020383,1.3536699319503023,0.08502745189345635,0.07468604724720425,-0.04788349802216604,0.5013742926434923,3092
BALL,1Month,1Min,0.1,2.0,10,0.11169792045218219,-0.11846946284032378,1.395434809178586,1.7873906985819188,0.10943866303108593,0.07048811226938063,-0.04616989079260033,0.5017394054395952,3162
BALL,1Month,1Min,0.1,2.0,20,0.08061266863785943,-0.11846946284032378,1.0381462932173418,1.2524348867912465,0.07832635911189438,0.07133212932883945,-0.05033079633058434,0.5010013351134847,2996
BALL,1Month,1Min,0.1,2.0,30,0.08688697433750492,-0.11846946284032378,1.1140947487944457,1.32766314505609,0.08471886593109379,0.06764429202987433,-0.04380310830116465,0.5017241379310344,2900
BALL,1Month,5Min,0.001,1.0,10,0.12864445443980244,-0.11846946284032378,1.6614028728956212,1.9432603611268193,0.12749271448664887,0.043165591272329544,-0.04458206791505482,0.5179407176287052,641
