symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
BA,1Month,1Min,0.001,1.0,10,0.36768605939832777,-0.15199736158634625,3.0267706621595587,3.3640941854343915,0.37154471779514425,0.12783104701352577,-0.05125078791213773,0.5211924821775762,3857
BA,1Month,1Min,0.001,1.0,20,0.26446598970083435,-0.15199736158634625,2.3207527873629457,2.484560730583053,0.268069580145017,0.11938106256512697,-0.056342378652657496,0.5154081066074403,3602
BA,1Month,1Min,0.001,1.0,30,0.25565385800742435,-0.15199736158634625,2.2982738728094505,2.430138672861489,0.2599323487524088,0.14173940663425105,-0.0536107028506293,0.5116686114352392,3428
BA,1Month,1Min,0.001,1.5,10,0.25198172021099596,-0.15199736158634625,2.3079002452605,2.371363712433078,0.25593725691790087,0.13104046711190126,-0.04633421573906847,0.5173553719008265,3327
BA,1Month,1Min,0.001,1.5,20,0.23421471250343084,-0.15199736158634625,2.213598939810785,2.1756466590830588,0.2380953716028173,0.1285598943369562,-0.057257933162700066,0.5159267205809539,3029
BA,1Month,1Min,0.001,1.5,30,0.2154008091760764,-0.15199736158634625,2.1033314173868947,1.9844192063429469,0.21893616533531615,0.11712057221084674,-0.052031182382467886,0.5152122426671525,2744
BA,1Month,1Min,0.001,2.0,10,0.2443159503313579,-0.15199736158634625,2.4131485520757727,2.3298853243022832,0.24839494574448676,0.13513045229757167,-0.04101257386744441,0.513733285146368,2767
BA,1Month,1Min,0.001,2.0,20,0.24228488394572545,-0.15199736158634625,2.5101375361811633,2.1920457464075795,0.2432314291961325,0.03135749733768653,-0.04315875469487773,0.5149623250807319,2322
BA,1Month,1Min,0.001,2.0,30,0.25161564986398655,-0.15199736158634625,2.6722262845721505,2.1775263482635676,0.25321380297335233,0.052944200872172546,-0.03476535683428819,0.5161210317460317,2016
BA,1Month,1Min,0.01,1.0,10,0.28964827604219523,-0.15199736158634625,2.3266765440682406,2.6537743714736086,0.2961337581083027,0.21485342252166048,-0.04958935814524901,0.514324693042292,4398
BA,1Month,1Min,0.01,1.0,20,0.27382730251703236,-0.15199736158634625,2.2355027774542697,2.502883981249564,0.2805599764917883,0.22304248650355654,-0.0537704987212072,0.5135326793523224,4230
