symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
BG,1Month,1Min,0.001,1.0,10,0.3433909503469801,0.028081123244929618,2.6609634202015364,3.24320774609398,0.3436100352423172,-0.011087802618117286,-0.03710482529118218,0.5170138888888889,2880
BG,1Month,1Min,0.001,1.0,20,0.3016629640461417,0.028081123244929618,2.4051730634216066,2.799258509326804,0.3013179062333415,0.01746324370870258,-0.03710482529118224,0.5159224011713031,2732
BG,1Month,1Min,0.001,1.0,30,0.3235440151067577,0.028081123244929618,2.5842317755711486,2.9379005783586933,0.3232821997970247,0.013250372519990316,-0.0382165216352985,0.5168278529980658,2585
BG,1Month,1Min,0.001,1.5,10,0.28684249002581397,0.028081123244929618,2.411323677102637,2.811534980188179,0.287432260268892,-0.02984804605185415,-0.03710482529118238,0.5142914653784219,2484
BG,1Month,1Min,0.001,1.5,20,0.2506852211376134,0.028081123244929618,2.164513612380517,2.4450524162215963,0.2508650027201759,-0.009098677016317898,-0.03710482529118177,0.5114571746384872,2247
BG,1Month,1Min,0.001,1.5,30,0.24864617822072366,0.028081123244929618,2.183167400448522,2.25118864538157,0.24864046047891153,0.0002893727225544924,-0.038159134816021886,0.5135331077815369,2069
BG,1Month,1Min,0.001,2.0,10,0.2638548119657347,0.028081123244929618,2.3590782627789495,2.5994011246996553,0.2637864640992741,0.003459059336420424,-0.03710482529118231,0.5139461557118603,2061
BG,1Month,1Min,0.001,2.0,20,0.21168739942173942,0.028081123244929618,1.9767646622737458,1.9481204433344017,0.21163937306537645,0.0024305954958719856,-0.03710482529118202,0.5132900177200236,1693
BG,1Month,1Min,0.001,2.0,30,0.23468152332385372,0.028081123244929618,2.203116925805855,2.0449784937920845,0.23492797009124256,-0.012472576479888016,-0.03987550465603805,0.5126973232669869,1457
BG,1Month,1Min,0.01,1.0,10,0.32858305480789585,0.028081123244929618,2.372163546536424,2.850173693374143,0.32912241788056673,-0.027296958469334835,-0.04321606292364547,0.5154122985448286,3195
BG,1Month,1Min,0.01,1.0,20,0.3386666821611102,0.028081123244929618,2.470208289525244,2.877231883565032,0.33942694104906473,-0.038476411052154075,-0.04751892728504257,0.5178073198752667,3046
BG,1Month,1Min,0.01,1.0,30,0.34714371113153364,0.028081123244929618,2.525627821515959,2.9031512169219518,0.3472202592930749,-0.003874073128788263,-0.04648931670821468,0.5184433164128596,2955
BG,1Month,1Min,0.01,1.5,10,0.2235093525333629,0.028081123244929618,1.7633524219999779,2.0024060876973007,0.22380270864247337,-0.014846640292707963,-0.051017369780611985,0.51340276592112,2928
BG,1Month,1Min,0.01,1.5,20,0.2561404556117126,0.028081123244929618,1.9883622972749202,2.1208920477281987,0.25657073962249693,-0.021776508937173044,-0.07154837361662483,0.51511265799597,2729
BG,1Month,1Min,0.01,1.5,30,0.2361450487718093,0.028081123244929618,1.863032327920824,1.8990234807418005,0.23640009566953343,-0.01290782578131063,-0.07524707406125371,0.5164048518592166,2514
BG,1Month,1Min,0.01,2.0,10,0.16742533553968553,0.028081123244929618,1.3790325668062362,1.4539879853620412,0.16770577041764587,-0.01419270173452846,-0.08399394166389576,0.5103448275862069,2682
BG,1Month,1Min,0.01,2.0,20,0.15394719270541568,0.028081123244929618,1.3190334603319462,1.2939866273778926,0.15419952120088742,-0.012770248484780082,-0.07824652677267858,0.51335436382755,2377
BG,1Month,1Min,0.01,2.0,30,0.16587702172728358,0.028081123244929618,1.4296798255410679,1.3244806914969405,0.16632648938260822,-0.022747385837799672,-0.09467805277767004,0.5119583234667298,2111
