symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
BK,1Month,1Min,0.001,1.0,10,0.2891866498310429,-0.027966101694915202,2.882182663887936,3.1225192130877555,0.28896477967088025,0.007460888490371106,-0.036025449989371267,0.5170178282009724,3085
BK,1Month,1Min,0.001,1.0,20,0.2458560313585747,-0.027966101694915202,2.561976688470738,2.6653320106532647,0.24590082307234323,-0.0015062231959201116,-0.037318448715147556,0.5161290322580645,2852
BK,1Month,1Min,0.001,1.0,30,0.29550953643776734,-0.027966101694915202,3.01926784230544,3.2254769734467312,0.2947876304193597,0.02427573090458617,-0.03557820578046955,0.5157760350173263,2741
BK,1Month,1Min,0.001,1.5,10,0.2708010070619453,-0.027966101694915202,2.8340756971268464,2.8475125207193526,0.2703773935235079,0.014244968187589363,-0.034729231036937244,0.5177702955480733,2673
BK,1Month,1Min,0.001,1.5,20,0.17935396288541905,-0.027966101694915202,2.1025658903420035,1.880646278057279,0.17918369776977472,0.005725551559935028,-0.037311618231675475,0.513009540329575,2306
BK,1Month,1Min,0.001,1.5,30,0.21564278698856731,-0.027966101694915202,2.507752721642065,2.227690078057984,0.21438686585002403,0.042233203241481596,-0.0443512553011484,0.5164912280701754,2137
BK,1Month,1Min,0.001,2.0,10,0.14724365673913287,-0.027966101694915202,1.808724388869615,1.546377618899083,0.14757993950331139,-0.01130827238295477,-0.047372007734570676,0.5166043030869972,2138
BK,1Month,1Min,0.001,2.0,20,0.15663237269928287,-0.027966101694915202,2.0186941842033193,1.5607480648564886,0.15568706616223252,0.03178808117765657,-0.053564022048052023,0.5143027413587604,1678
BK,1Month,1Min,0.001,2.0,30,0.13694747773392657,-0.027966101694915202,1.826701656967023,1.3231961491737745,0.13535683681591865,0.05348891671045745,-0.03819429667311952,0.510793756227167,1505
BK,1Month,1Min,0.01,1.0,10,0.2240823599809365,-0.027966101694915202,2.223766429015671,2.676970731359383,0.22198191409992651,0.07063226747924552,-0.060416043950139095,0.5076814658210007,3547
BK,1Month,1Min,0.01,1.0,20,0.25684702818093075,-0.027966101694915202,2.5347647652787075,2.968306427984559,0.25490128464214284,0.06543004955290616,-0.06419290134024944,0.5076832151300237,3384
BK,1Month,1Min,0.01,1.0,30,0.24171686548225724,-0.027966101694915202,2.4207085754084283,2.7764002532600816,0.23978902464167598,0.06482803062932187,-0.066785649087645,0.5080018289894833,3280
BK,1Month,1Min,0.01,1.5,10,0.24956512608261727,-0.027966101694915202,2.494710119653027,2.9112611651840488,0.24738427135615576,0.07333619769281399,-0.05947667836197456,0.5083395942900075,3327
BK,1Month,1Min,0.01,1.5,20,0.21716970113846523,-0.027966101694915202,2.2437870121412993,2.487953082413542,0.2156356059333237,0.051587438575699474,-0.056353690319129755,0.5058321011992771,3043
BK,1Month,1Min,0.01,1.5,30,0.2356210893242896,-0.027966101694915202,2.459253016895849,2.6543789705649994,0.2327660238289537,0.09600806741107844,-0.05331117817281002,0.507377191459816,2880
BK,1Month,1Min,0.01,2.0,10,0.20346116248677903,-0.027966101694915202,2.210061322580972,2.4074502972372276,0.2014797239375627,0.06663037542040375,-0.052369873780507725,0.5066491544902315,3045
BK,1Month,1Min,0.01,2.0,20,0.20341385450153848,-0.027966101694915202,2.2338812364651486,2.3369925666195175,0.20093195567026825,0.08345949004999427,-0.06082591897757519,0.5049414348462665,2732
BK,1Month,1Min,0.01,2.0,30,0.21598596797412806,-0.027966101694915202,2.3743850478748514,2.364055989089746,0.21295744508959633,0.1018409664258534,-0.06097300543044236,0.5071615896711721,2478
BK,1Month,1Min,0.1,1.0,10,0.2642169248653239,-0.027966101694915202,2.551815935350559,3.2723177673057235,0.262316605584247,0.06390255562901954,-0.05014599778502934,0.5057925223802001,3798
BK,1Month,1Min,0.1,1.0,20,0.24302687636736398,-0.027966101694915202,2.391833107676184,3.0213246060267145,0.2411498591713053,0.06311897005002025,-0.050145997785031246,0.5048005409060176,3697
BK,1Month,1Min,0.1,1.0,30,0.2468878316438492,-0.027966101694915202,2.4416204426268853,3.0543437519654804,0.2445471231332248,0.07871164456466288,-0.050145997785028325,0.5047527207604353,3629
BK,1Month,1Min,0.1,1.5,10,0.23537658999178568,-0.027966101694915202,2.3333860760858594,2.939041406349317,0.23367385466412807,0.05725834604776449,-0.05014599778502873,0.5047098976109216,3662
