symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CI,1Month,1Min,0.001,1.0,10,0.2715161384137015,-0.09570897685043134,2.638665875974852,3.137579096226115,0.2708023383146341,0.07305155861740018,-0.0651901647014729,0.5097072419106318,3245
CI,1Month,1Min,0.001,1.0,20,0.26129484282708715,-0.09570897685043134,2.5832433873899605,2.9944790123786635,0.2605048826873359,0.08084591124299732,-0.06812760199330853,0.5081539465101109,3066
CI,1Month,1Min,0.001,1.0,30,0.24694777349114538,-0.09570897685043134,2.494366067929066,2.835844801806215,0.24611604396336506,0.08512066393917186,-0.06247077686965188,0.5069480185280494,2914
CI,1Month,1Min,0.001,1.5,10,0.19082459480159364,-0.09570897685043134,1.998392751191647,2.1579311388238986,0.19022795526000538,0.061061140931104,-0.07100403730219891,0.5077250932338838,2815
CI,1Month,1Min,0.001,1.5,20,0.15909600519673184,-0.09570897685043134,1.778898449736614,1.8318254102737273,0.1582095075776756,0.09072572680681978,-0.06470932691181949,0.5070878898339408,2469
CI,1Month,1Min,0.001,1.5,30,0.14703872655302552,-0.09570897685043134,1.670129389409091,1.6120446991544142,0.14621767936452154,0.08402741453386241,-0.061953647264827896,0.5076855511638121,2277
CI,1Month,1Min,0.001,2.0,10,0.1510001466641986,-0.09570897685043134,1.675255358516466,1.6636292617494075,0.1503240801168341,0.06918984051499029,-0.0544536291426966,0.5049968105464597,2351
CI,1Month,1Min,0.001,2.0,20,0.11353417357192508,-0.09570897685043134,1.3347192748318266,1.20446609934455,0.11256587814226743,0.0990970587297644,-0.06126034499737277,0.5073030777256129,1917
CI,1Month,1Min,0.001,2.0,30,0.13479146545689846,-0.09570897685043134,1.5860282885796113,1.3455877291974558,0.13378791546304147,0.10270507288737428,-0.059958782257830606,0.5094226742446903,1671
CI,1Month,1Min,0.01,1.0,10,0.21055784678561018,-0.09570897685043134,1.989076560542816,2.5170376785086885,0.20960803551372392,0.09720535748638537,-0.06531132519404413,0.5005489980785067,3643
CI,1Month,1Min,0.01,1.0,20,0.21536983927945896,-0.09570897685043134,2.0494601602634406,2.548305137608084,0.2142653227142241,0.11303816953031992,-0.06349007290978127,0.5000713775874376,3502
CI,1Month,1Min,0.01,1.0,30,0.19428549765368008,-0.09570897685043134,1.8850698771974042,2.3030446277653467,0.1932440596308096,0.10658260046966671,-0.06060675629542004,0.49963088734681826,3386
CI,1Month,1Min,0.01,1.5,10,0.22012065873684095,-0.09570897685043134,2.109493098078115,2.6463791058178288,0.21923742930084936,0.09039125519910875,-0.06173680192588624,0.5003674849331178,3401
CI,1Month,1Min,0.01,1.5,20,0.2288725211336089,-0.09570897685043134,2.196727055528307,2.684644381697823,0.22762725576923376,0.12744264938981803,-0.0693051336373044,0.5013379505745317,3176
CI,1Month,1Min,0.01,1.5,30,0.21179283558437434,-0.09570897685043134,2.075823755484936,2.4752235140400054,0.21038058225130674,0.1445324920492355,-0.06265915618173239,0.5006691201070592,2989
CI,1Month,1Min,0.01,2.0,10,0.1692656038760303,-0.09570897685043134,1.6931832361341632,2.0556801960368105,0.1679522576560172,0.13441016399629893,-0.05802425866213137,0.4981684981684982,3139
CI,1Month,1Min,0.01,2.0,20,0.18646129425851843,-0.09570897685043134,1.8833186373282973,2.152009922388034,0.1852748637107876,0.12142139068944785,-0.06190162844659543,0.5001775568181818,2816
CI,1Month,1Min,0.01,2.0,30,0.13433250954312914,-0.09570897685043134,1.440673099645306,1.5163213328278742,0.13328359901225734,0.10734735009213241,-0.05546386496250604,0.502521334367727,2578
CI,1Month,1Min,0.1,1.0,10,0.33538007694565697,-0.09570897685043134,2.932568517706542,3.7626059871970816,0.33407478170332444,0.13358621276859847,-0.04921731398728527,0.5092113982770047,3772
CI,1Month,1Min,0.1,1.0,20,0.315569980139788,-0.09570897685043134,2.8093914011125363,3.5429250952755775,0.31417344339879844,0.14292402835056806,-0.05413005248248285,0.5090237899917965,3657
CI,1Month,1Min,0.1,1.0,30,0.299024597813504,-0.09570897685043134,2.696709278372441,3.3585383609060004,0.29765275407378716,0.14039690313403824,-0.04921731398728442,0.5077982295911199,3558
CI,1Month,1Min,0.1,1.5,10,0.2989379380119881,-0.09570897685043134,2.7147351805980944,3.412598205625649,0.2976046946284663,0.13644647473410543,-0.05006923010548561,0.507242339832869,3590
CI,1Month,1Min,0.1,1.5,20,0.31215588588654697,-0.09570897685043134,2.815734532272505,3.516169018711066,0.310385933992389,0.18113999243623635,-0.04827977974683928,0.5091511745208244,3469
