symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CMI,1Month,1Min,0.001,1.0,10,0.2860767252589458,-0.09143506906123533,2.4451613536727397,2.8509073214933833,0.28631202975879727,-0.00863728649124228,-0.06831807603745334,0.508301404853129,3132
CMI,1Month,1Min,0.001,1.0,20,0.29311158126582026,-0.09143506906123533,2.5487440550112086,2.888683312432749,0.293820150160363,-0.026009330653732822,-0.05648347227461106,0.5097022415523587,2989
CMI,1Month,1Min,0.001,1.0,30,0.2241197403314208,-0.09143506906123533,2.034388546212264,2.200616290271602,0.22390693886799554,0.00781127095537805,-0.053100763961587985,0.5060326472675657,2818
CMI,1Month,1Min,0.001,1.5,10,0.22118081126530909,-0.09143506906123533,2.0757239464923853,2.298176180700452,0.2204063672761051,0.028427397735263506,-0.07270062038631049,0.5061231950283313,2735
CMI,1Month,1Min,0.001,1.5,20,0.191029315546013,-0.09143506906123533,1.8699451576435333,1.954251111770657,0.18995566912983858,0.03941017571974669,-0.06628827332385086,0.5019503182098132,2435
CMI,1Month,1Min,0.001,1.5,30,0.21716610826967275,-0.09143506906123533,2.128186028053113,2.205597402444798,0.2164344642318659,0.02685634642829015,-0.05761657254201443,0.5005459707359685,2289
CMI,1Month,1Min,0.001,2.0,10,0.21080239510603138,-0.09143506906123533,2.1264239842129977,2.184582620324478,0.21084009942978474,-0.0013840068779891743,-0.06911024696370695,0.5029781601588352,2266
CMI,1Month,1Min,0.001,2.0,20,0.15107045845744738,-0.09143506906123533,1.6071857349794454,1.5064106696935977,0.1498563826105153,0.04456489747824183,-0.06417628012931773,0.4987033195020747,1928
CMI,1Month,1Min,0.001,2.0,30,0.13174684010580506,-0.09143506906123533,1.4497062893276838,1.2597223118403171,0.13126710627601673,0.017609516732736294,-0.08171783246236776,0.4927404718693285,1653
CMI,1Month,1Min,0.01,1.0,10,0.17014796366467855,-0.09143506906123533,1.4139010426836465,1.5575728358884269,0.16681796212829275,0.12223385997375867,-0.1332895356933126,0.5032670454545455,3520
CMI,1Month,1Min,0.01,1.0,20,0.14732652516603606,-0.09143506906123533,1.2650984125065434,1.3537387957653468,0.14430239864627764,0.11100615225549708,-0.1293078375980703,0.5018510291722198,3376
CMI,1Month,1Min,0.01,1.0,30,0.16547997058225317,-0.09143506906123533,1.4357503273467114,1.5432183823433219,0.1624578992080802,0.11093071433903559,-0.11239426738586013,0.5010029316463509,3240
CMI,1Month,1Min,0.01,1.5,10,0.18198677767890015,-0.09143506906123533,1.5456160905806522,1.6439977327813098,0.17936529301104903,0.09622643903079084,-0.08837147250197393,0.5019081056327278,3275
CMI,1Month,1Min,0.01,1.5,20,0.1454776496389676,-0.09143506906123533,1.2934018446486268,1.3461048780410076,0.1424765719662701,0.11016010173167068,-0.10693589929675215,0.49884981925731187,3043
CMI,1Month,1Min,0.01,1.5,30,0.15463656136269988,-0.09143506906123533,1.3793379022841823,1.3960206712448837,0.15141718299271995,0.11817323222792782,-0.09785392794775492,0.49844128853481123,2887
CMI,1Month,1Min,0.01,2.0,10,0.17050795637902927,-0.09143506906123533,1.5136717519302554,1.5744380095582413,0.1677965908535782,0.09952568200174722,-0.08896163846350548,0.5006642311524411,3011
CMI,1Month,1Min,0.01,2.0,20,0.12774537156300392,-0.09143506906123533,1.1893426143480255,1.1631040209149375,0.12467582987865516,0.11267319979543436,-0.09788368056693678,0.5003632401017072,2753
CMI,1Month,1Min,0.01,2.0,30,0.13928155479994064,-0.09143506906123533,1.2892375930126216,1.209231510519322,0.13667231022480625,0.09577714380889625,-0.09907483651315427,0.49970172996619605,2514
CMI,1Month,1Min,0.1,1.0,10,0.23249334687524215,-0.09143506906123533,1.8057909721709104,2.084498701478315,0.22676449406062682,0.21028812902950927,-0.09922572248901497,0.5062772565085238,3783
CMI,1Month,1Min,0.1,1.0,20,0.22403665873239365,-0.09143506906123533,1.77318168356348,2.0059405478325587,0.2187687113093109,0.19336974491642317,-0.09940038035012912,0.5067439978419207,3707
CMI,1Month,1Min,0.1,1.0,30,0.23673237171190986,-0.09143506906123533,1.8614497641044416,2.0826267905563283,0.23145578943705544,0.1936867031072289,-0.10240121159118543,0.5061026352288488,3605
CMI,1Month,1Min,0.1,1.5,10,0.22723013861039276,-0.09143506906123533,1.82039000353874,2.055512266372822,0.22214820722630182,0.1865416824622305,-0.08609564942936389,0.5060717696820849,3664
CMI,1Month,1Min,0.1,1.5,20,0.20668565178017095,-0.09143506906123533,1.6742093584442355,1.8356753211519146,0.20135175757436122,0.1957904434408802,-0.10482404147803587,0.5044222539229671,3505
CMI,1Month,1Min,0.1,1.5,30,0.22410100310038805,-0.09143506906123533,1.8392806548565825,2.023943566522356,0.21874178358875113,0.19672005559043887,-0.10412021941992902,0.5052083333333334,3360
CMI,1Month,1Min,0.1,2.0,10,0.17386006351703132,-0.09143506906123533,1.4554277584350641,1.5896464079922594,0.1687478251618244,0.1876541558419402,-0.09297681755011859,0.5033672445909156,3489
CMI,1Month,1Min,0.1,2.0,20,0.18319665358598436,-0.09143506906123533,1.5428577534080268,1.625944451127405,0.17807157163133053,0.18812560389359984,-0.09467239348893361,0.5046912832929782,3304
CMI,1Month,1Min,0.1,2.0,30,0.21203438040412026,-0.09143506906123533,1.7778902965530587,1.8717764778061798,0.20721242438359364,0.17699880632859502,-0.09631554349377502,0.5050634946150137,3110
CMI,1Month,5Min,0.001,1.0,10,0.01595878648341853,-0.09143506906123533,0.2047249386566499,0.20918615878477673,0.0179822315873289,0.276035176633129,-0.16765775097012606,0.49608540925266903,702
CMI,1Month,5Min,0.001,1.0,20,-0.028150341664992418,-0.09143506906123533,-0.23025037271969048,-0.21966002732972834,-0.026416593374544127,0.23651519612092128,-0.1605799484506518,0.492,625
CMI,1Month,5Min,0.001,1.0,30,-0.006528059872318304,-0.09143506906123533,-0.015155222460690084,-0.013506867010489547,-0.004786860940769658,0.23753160078057448,-0.14728773530351463,0.488909426987061,541
CMI,1Month,5Min,0.001,1.5,10,-0.006099739806382454,-0.09143506906123533,-0.012163470890141291,-0.011351946863243804,-0.004310595158126463,0.2440722795242367,-0.14859606539440554,0.49421487603305786,605
CMI,1Month,5Min,0.001,1.5,20,-0.017253421124956203,-0.09143506906123533,-0.12626865607572424,-0.10926406513649933,-0.01529670287346594,0.26693240509840244,-0.14444153954791986,0.49269717624148,513
CMI,1Month,5Min,0.001,1.5,30,0.032957517709464756,-0.09143506906123533,0.39627629681647736,0.3524482937653064,0.0349474207803104,0.271459425601503,-0.11209967678295828,0.4983314794215795,449
CMI,1Month,5Min,0.001,2.0,10,0.03245440913735864,-0.09143506906123533,0.3846167961172747,0.3312883075526315,0.03447226429561719,0.2752726050998627,-0.1310813426868912,0.49363369245837413,510
CMI,1Month,5Min,0.001,2.0,20,0.03959293878008685,-0.09143506906123533,0.47955164675923184,0.4124634697422391,0.04141565751180065,0.24865240281973033,-0.09400999503378546,0.49466192170818507,421
CMI,1Month,5Min,0.001,2.0,30,0.02881880645488999,-0.09143506906123533,0.3577134687070405,0.2933133532640199,0.030722911127687116,0.25975494401492943,-0.11353297245985541,0.49466666666666664,375
CMI,1Month,5Min,0.01,1.0,10,0.13114476118019747,-0.09143506906123533,1.2422591321887264,1.4827751775753963,0.13406300789033743,0.3981025946964436,-0.08134808909248628,0.5117759388924252,785
CMI,1Month,5Min,0.01,1.0,20,0.12855802914319248,-0.09143506906123533,1.2578751215941641,1.5030921218628863,0.1300333029822776,0.20125452080074874,-0.08121188589607792,0.5103591160220995,724
CMI,1Month,5Min,0.01,1.0,30,0.11144428568911358,-0.09143506906123533,1.1087033597566125,1.2805824604046638,0.11300431123367315,0.21281621424396685,-0.07402526795856089,0.5087847730600292,683
CMI,1Month,5Min,0.01,1.5,10,0.14223185592938314,-0.09143506906123533,1.4062984482988294,1.6689015915659164,0.14383743720709974,0.2190308552166083,-0.07489857000426169,0.5122950819672131,732
CMI,1Month,5Min,0.01,1.5,20,0.09772726751535066,-0.09143506906123533,0.994981065862965,1.1384359879289272,0.09943624983281095,0.2331366613066977,-0.07948757249651284,0.5022761760242792,659
CMI,1Month,5Min,0.01,1.5,30,0.14193430896820103,-0.09143506906123533,1.4131228507371596,1.5814601813861746,0.1436541855477577,0.23462283928911154,-0.06947673864485715,0.5124899274778405,620
CMI,1Month,5Min,0.01,2.0,10,0.15004344232654532,-0.09143506906123533,1.5586206834126974,1.8194014010353738,0.15201079949717594,0.2683837495991339,-0.06697149790934748,0.5094625283875852,660
CMI,1Month,5Min,0.01,2.0,20,0.11847362593803079,-0.09143506906123533,1.2363443622343662,1.38963081521839,0.12024872578516337,0.24215630999712356,-0.06626489434895798,0.5051958433253397,625
CMI,1Month,5Min,0.01,2.0,30,0.13190044461335315,-0.09143506906123533,1.3413471148765006,1.4420439109559393,0.13371411675311745,0.24741828107267544,-0.07410595627947354,0.5162671232876712,584
CMI,1Month,5Min,0.1,1.0,10,0.2022037002786401,-0.09143506906123533,1.799019201801817,2.2342420690211555,0.20575496209221078,0.48445751262787584,-0.06575043791054262,0.5141822570911285,828
CMI,1Month,5Min,0.1,1.0,20,0.21437094356243724,-0.09143506906123533,1.9114447925014013,2.31836133457875,0.21784252927018952,0.47358822445172205,-0.06707825711012001,0.5177570093457944,802
CMI,1Month,5Min,0.1,1.0,30,0.21292859849603896,-0.09143506906123533,1.9060948694125244,2.275911025897879,0.2165162279648691,0.48941873056449064,-0.06543696492306975,0.5176621708413616,778
CMI,1Month,5Min,0.1,1.5,10,0.19169096300871402,-0.09143506906123533,1.7642420988182765,2.0940090944796976,0.19513206569955036,0.4694297795586838,-0.06103839764627352,0.5174603174603175,787
CMI,1Month,5Min,0.1,1.5,20,0.167092436622164,-0.09143506906123533,1.5560839150808357,1.818859200894012,0.17063643943216925,0.48346725085724734,-0.0639625859679001,0.5114247311827957,744
CMI,1Month,5Min,0.1,1.5,30,0.1289049567450673,-0.09143506906123533,1.245599459427118,1.4034699239092032,0.132620086069861,0.5068120589990448,-0.06607072397476443,0.5089863407620417,695
CMI,1Month,5Min,0.1,2.0,10,0.1782304286161469,-0.09143506906123533,1.7265812498444038,1.9533845355581925,0.18182980450290223,0.49102115829555226,-0.052439011195264805,0.5218281036834925,733
CMI,1Month,5Min,0.1,2.0,20,0.12902542773673442,-0.09143506906123533,1.2821103859983045,1.3813543203207017,0.13272214407148977,0.5043001880578643,-0.06401816400197126,0.5131086142322098,667
CMI,1Month,5Min,0.1,2.0,30,0.11441987442212653,-0.09143506906123533,1.1769525869359658,1.2905938818733231,0.11832532231654835,0.532775016868439,-0.05961412360606525,0.5067193675889328,632
CMI,1Month,15Min,0.001,1.0,10,0.12463285516597078,-0.09140468227424747,1.2774084355825033,1.4489547035104515,0.12994144389174386,0.26124855389736146,-0.07807607436720934,0.5469061876247505,250
CMI,1Month,15Min,0.001,1.0,20,0.16720461262653408,-0.09140468227424747,1.7192070211728676,1.8483579112803328,0.17278755909876917,0.2747503654364165,-0.06605586112826818,0.5515587529976019,208
CMI,1Month,15Min,0.001,1.0,30,0.13195895114443146,-0.09140468227424747,1.4361602599147407,1.4664655808287659,0.13775315118056888,0.28514666677488826,-0.07169200358980912,0.5641025641025641,195
CMI,1Month,15Min,0.001,1.5,10,0.14633908632264303,-0.09140468227424747,1.5239365286238256,1.6775129791537198,0.15116977472056464,0.23772991721109432,-0.06899210918726129,0.5513392857142857,224
CMI,1Month,15Min,0.001,1.5,20,0.13730802383109864,-0.09140468227424747,1.5272931358039004,1.5316514993198727,0.14601409373733915,0.42844686047956204,-0.06035870973358278,0.5602240896358543,178
CMI,1Month,15Min,0.001,1.5,30,0.1213019084911513,-0.09140468227424747,1.4298511232805269,1.3306836323136566,0.12896757003216852,0.3772458360796684,-0.04321234015132593,0.5737179487179487,156
CMI,1Month,15Min,0.001,2.0,10,0.14851272611987554,-0.09140468227424747,1.6364787046713436,1.6853907341594356,0.15417162450115618,0.2784881434841971,-0.06454399196897434,0.5631313131313131,198
CMI,1Month,15Min,0.001,2.0,20,0.09407516348713996,-0.09140468227424747,1.1287697023448293,1.0471814720229702,0.10158651945946257,0.36965208399937255,-0.05501983993783354,0.5588235294117647,153
CMI,1Month,15Min,0.001,2.0,30,0.10205008802645432,-0.09140468227424747,1.338871966899046,1.22746224178847,0.10697916496816762,0.24257185658772254,-0.03175410607163014,0.5661764705882353,136
