symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
COP,1Month,1Min,0.001,1.0,10,0.8531592447196363,0.10854092526690384,4.875476483450652,6.2255285216481475,0.8531912712616111,0.17131343563596238,-0.035929228961291436,0.5148678414096917,3632
COP,1Month,1Min,0.001,1.0,20,0.7827984742040148,0.10854092526690384,4.636667740778531,5.787072280612844,0.7828335604613442,0.18768018387519253,-0.03592922896129159,0.5134467219072539,3439
COP,1Month,1Min,0.001,1.0,30,0.6900454969898657,0.10854092526690384,4.232601255777784,5.079600578688995,0.6900797622321477,0.18328848562116581,-0.03693068167996901,0.5140372291730241,3277
COP,1Month,1Min,0.001,1.5,10,0.7918758187564245,0.10854092526690384,4.887847100351639,5.931436820314603,0.7919005203592961,0.13213154442290692,-0.028302455542454284,0.5188633809600257,3114
COP,1Month,1Min,0.001,1.5,20,0.8002654438237944,0.10854092526690384,5.0492248800458315,5.8317053884718115,0.8002893024621018,0.12762243583055805,-0.02888074644604211,0.5182882223847842,2734
COP,1Month,1Min,0.001,1.5,30,0.6316691044854161,0.10854092526690384,4.257674126299594,4.631153637821339,0.6316933655493174,0.12977505384115126,-0.028302455542454145,0.5159003443386672,2468
COP,1Month,1Min,0.001,2.0,10,0.7449753149918323,0.10854092526690384,4.955685880514315,5.515081581087727,0.7449990530041724,0.12697719448889352,-0.028302455542454308,0.5227088402270884,2466
COP,1Month,1Min,0.001,2.0,20,0.6179317371525279,0.10854092526690384,4.520578692819042,4.575597413414484,0.6179572068680883,0.13624026224135716,-0.03465600694722064,0.5233574818885836,2001
COP,1Month,1Min,0.001,2.0,30,0.6224430038477407,0.10854092526690384,4.550754948344096,4.322338779339088,0.6224708308432754,0.1488496076859506,-0.028302455542454325,0.5262563523433089,1771
COP,1Month,1Min,0.01,1.0,10,0.607883281044372,0.10854092526690384,3.2256439561012447,3.1839385165019283,0.6079335369316501,0.26882417456590635,-0.07752009591681014,0.5146126103718442,4020
COP,1Month,1Min,0.01,1.0,20,0.6603540721923256,0.10854092526690384,3.4657144658052794,3.338773108747531,0.6604057258501224,0.2763010001930195,-0.08641639527951886,0.5165278500780843,3842
COP,1Month,1Min,0.01,1.0,30,0.6267594876230544,0.10854092526690384,3.337635854390422,3.1425485562112865,0.626810944983685,0.2752509854274574,-0.08404722112153973,0.5173713977915432,3713
COP,1Month,1Min,0.01,1.5,10,0.6820660694185283,0.10854092526690384,3.629026420313966,3.4216564476236715,0.6821178871712221,0.2771787615382435,-0.08128089293453807,0.5166643994014419,3675
COP,1Month,1Min,0.01,1.5,20,0.6641185055818168,0.10854092526690384,3.577185534547435,3.2472353072877533,0.6641701023890323,0.2759969002871191,-0.08155845974948056,0.5167128886293971,3425
COP,1Month,1Min,0.01,1.5,30,0.6414329793036762,0.10854092526690384,3.4948413737577724,3.054692997489205,0.6414847618477255,0.2769904266925872,-0.08501916935232533,0.5205713398540599,3220
COP,1Month,1Min,0.01,2.0,10,0.6656148647058966,0.10854092526690384,3.6461865430646,3.2898555688146702,0.6656564837986648,0.22262502694851535,-0.0740596371186391,0.5176260597947345,3361
