symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CPRT,1Month,1Min,0.001,1.0,10,0.1876391754993112,-0.11593708344441478,1.4401728910065175,1.7409290743983277,0.18746363242909986,0.04950000041528372,-0.07990138955683652,0.49486590038314177,3262
CPRT,1Month,1Min,0.001,1.0,20,0.31531147337240806,-0.11593708344441478,1.8269976521939242,2.7916641112203697,0.3151193464187035,0.054176358410015904,-0.08264090269537766,0.4949544270833333,3072
CPRT,1Month,1Min,0.001,1.0,30,0.3450663264044662,-0.11593708344441478,1.9739471028282065,2.9640256588447684,0.34490916451303366,0.04431683735400998,-0.0845235142309727,0.4936989100817439,2936
CPRT,1Month,1Min,0.001,1.5,10,0.11033987489134267,-0.11593708344441478,0.9464629633266106,1.054891734301818,0.1103094249092484,0.008586349347182788,-0.08927911755477497,0.4937128885784143,2863
CPRT,1Month,1Min,0.001,1.5,20,0.13644105203845514,-0.11593708344441478,1.1516037128524184,1.2378555214161981,0.13639685739297944,0.012462098143585038,-0.08793381005751347,0.4922660479505027,2586
CPRT,1Month,1Min,0.001,1.5,30,0.16128458427847292,-0.11593708344441478,1.3446880936521763,1.384238525780776,0.16127226191604685,0.003474685411812123,-0.0833917734220281,0.49345715491768677,2369
CPRT,1Month,1Min,0.001,2.0,10,0.14746532523083133,-0.11593708344441478,1.302149158010437,1.3726138217420107,0.14752824121723238,-0.017741180835167243,-0.08783554919545578,0.4954223886808157,2403
CPRT,1Month,1Min,0.001,2.0,20,0.10830442834304321,-0.11593708344441478,1.005528240615503,0.9417034402443732,0.10818579487205733,0.03345251314106913,-0.09930290415742409,0.4932048430936496,2023
CPRT,1Month,1Min,0.001,2.0,30,0.1945463782008543,-0.11593708344441478,1.7076424268953174,1.5394810725966557,0.19449940951071876,0.013244329032278724,-0.08494165690241653,0.49377123442808607,1766
CPRT,1Month,1Min,0.01,1.0,10,0.45692940308517893,-0.11593708344441478,2.406305893118634,4.111281016941067,0.4567191340702948,0.05929209459283386,-0.07871605275743947,0.4957960027567195,3627
CPRT,1Month,1Min,0.01,1.0,20,0.4432372127572699,-0.11593708344441478,2.36909108951779,3.981914079235121,0.4429950409176901,0.06828811952154065,-0.0764020379305151,0.49584765177548684,3492
CPRT,1Month,1Min,0.01,1.0,30,0.48683973168278594,-0.11593708344441478,2.5705765115070616,4.344448550958619,0.48657487904453056,0.07468369835304887,-0.07640203793051531,0.49666814749000443,3376
CPRT,1Month,1Min,0.01,1.5,10,0.3125812296150625,-0.11593708344441478,2.2398932227816113,2.889271391862851,0.312428550215067,0.04305285508614351,-0.07640203793051528,0.498164733519307,3405
CPRT,1Month,1Min,0.01,1.5,20,0.30408771633990384,-0.11593708344441478,2.2511106329577864,2.8457008988051857,0.3038779469826055,0.059151200106508546,-0.07640203793051495,0.49937106918238994,3180
CPRT,1Month,1Min,0.01,1.5,30,0.5282567687151565,-0.11593708344441478,2.815611913725515,4.635841731248368,0.528045584040054,0.05955029436758154,-0.0764020379305152,0.5003310162197948,3021
CPRT,1Month,1Min,0.01,2.0,10,0.2618018595416671,-0.11593708344441478,2.089268015630611,2.6264203724473307,0.26170526683922085,0.0272374113398413,-0.054724118697961274,0.4976068921506063,3134
CPRT,1Month,1Min,0.01,2.0,20,0.35201325876887446,-0.11593708344441478,2.6313286079430145,3.1670974388238284,0.3518336749482508,0.050639419629307535,-0.07640203793051588,0.5007094714437744,2819
CPRT,1Month,1Min,0.01,2.0,30,0.3688030836835354,-0.11593708344441478,2.8476624144579614,3.289014166021342,0.3685604961574523,0.06840533566721292,-0.07640203793051457,0.5028593965687241,2535
CPRT,1Month,1Min,0.1,1.0,10,0.3782429805550589,-0.11593708344441478,2.4961661318862682,3.498842884932371,0.37779595997048193,0.12605179512676384,-0.06098456163241582,0.4948880548725249,3863
CPRT,1Month,1Min,0.1,1.0,20,0.5307736994241137,-0.11593708344441478,2.7060980293470793,4.7991642519336475,0.5302627691571065,0.14407318043710224,-0.0618032115039034,0.49528615057761255,3765
CPRT,1Month,1Min,0.1,1.0,30,0.5130065253130802,-0.11593708344441478,2.637298213622682,4.615008847415918,0.5125066737807807,0.14094917575852015,-0.06056249229669981,0.4953397271376469,3701
CPRT,1Month,1Min,0.1,1.5,10,0.2848808399046856,-0.11593708344441478,2.0324048530814,2.7782017106678754,0.2844145873122416,0.1314748767457543,-0.05692958493857049,0.49296718017414604,3732
CPRT,1Month,1Min,0.1,1.5,20,0.32739894676295656,-0.11593708344441478,2.294758902672654,3.1156034535465063,0.32693945574532907,0.1295682338015307,-0.05473950582041346,0.49370067838848125,3611
CPRT,1Month,1Min,0.1,1.5,30,0.3510958097490542,-0.11593708344441478,2.447499885995461,3.2790600144105784,0.35062857225450295,0.1317526014924999,-0.06461775884873514,0.4933006771358594,3470
CPRT,1Month,1Min,0.1,2.0,10,0.19079074315630962,-0.11593708344441478,1.4865736401901608,1.9579059465138173,0.19038109759597283,0.11551270797747341,-0.060103534288631535,0.49235048678720444,3595
CPRT,1Month,1Min,0.1,2.0,20,0.22014372921662706,-0.11593708344441478,1.729425185886953,2.2032504941568463,0.21976757829560656,0.10606781984791466,-0.053677713633739965,0.4933901292596945,3404
CPRT,1Month,1Min,0.1,2.0,30,0.2258578881464428,-0.11593708344441478,1.774148194632593,2.2626478224652047,0.22545980825287407,0.1122513971827419,-0.05919082073638058,0.4908809891808346,3235
CPRT,1Month,5Min,0.001,1.0,10,0.6155261522078841,-0.11593708344441478,3.038272256899679,6.119671077246308,0.6180334643986106,0.15375856560512052,-0.05926206867519299,0.5137123745819397,747
CPRT,1Month,5Min,0.001,1.0,20,0.6075573478453846,-0.11593708344441478,3.0562989963210057,6.19006615061985,0.6095349228180644,0.12127292815807303,-0.058748874437422695,0.5130927105449399,706
CPRT,1Month,5Min,0.001,1.0,30,0.5936835067529411,-0.11593708344441478,3.0232409121857775,6.048961984157633,0.5953539113773569,0.10243599499905279,-0.058748874437422625,0.511380880121396,659
CPRT,1Month,5Min,0.001,1.5,10,0.5437111974994,-0.11593708344441478,2.8780573384755153,5.943315465231756,0.5452473575801959,0.09420357442388598,-0.047401623470149055,0.5118050266565118,656
