symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CRL,1Month,1Min,0.001,1.0,10,0.22219274945241096,-0.021974601593625298,1.380374399279409,1.5357261209378197,0.21850352024457978,0.07744072271698117,-0.11073974569699137,0.4962314116928091,2454
CRL,1Month,1Min,0.001,1.0,20,0.20447813390960956,-0.021974601593625298,1.3191478391766651,1.4545088064503835,0.2010713825343212,0.07151122192662465,-0.10559375161700428,0.4951393389500972,2314
CRL,1Month,1Min,0.001,1.0,30,0.25714230738743615,-0.021974601593625298,1.6268987695100525,1.7555101263797772,0.2534141639644194,0.0782575721937055,-0.09496254235302891,0.49592391304347827,2208
CRL,1Month,1Min,0.001,1.5,10,0.15560484936484675,-0.021974601593625298,1.0556593291762535,1.1054746345101227,0.15173871191273602,0.0811542090632671,-0.11562258345152113,0.4915606936416185,2162
CRL,1Month,1Min,0.001,1.5,20,0.21898668497645324,-0.021974601593625298,1.4707069868687421,1.4854995597610223,0.21485798578093213,0.08666565061977739,-0.09414842817387258,0.49132349132349135,1930
CRL,1Month,1Min,0.001,1.5,30,0.23175397942272857,-0.021974601593625298,1.5769301236586946,1.4984179720450077,0.2262327343798443,0.11589662293437891,-0.08973520988348369,0.49331006399069227,1719
CRL,1Month,1Min,0.001,2.0,10,0.10653321101089075,-0.021974601593625298,0.8135800918895306,0.7928883775343109,0.10254774874121861,0.08365895994467434,-0.11435094554151333,0.4852941176470588,1802
CRL,1Month,1Min,0.001,2.0,20,0.18230978215179627,-0.021974601593625298,1.3256453887054693,1.1808874817140604,0.17895435539469698,0.0704338653022929,-0.08599459836721958,0.4912109375,1536
CRL,1Month,1Min,0.001,2.0,30,0.16263426772278433,-0.021974601593625298,1.2306974782151798,1.0013844654671222,0.15872997229759928,0.08195518423879104,-0.0828414309566541,0.49228989976869697,1297
CRL,1Month,1Min,0.01,1.0,10,0.11865209926295406,-0.021974601593625298,0.7727377558634055,0.9177652287512208,0.11312241678918261,0.1160737333032309,-0.09571450223965497,0.49342825848849947,2739
CRL,1Month,1Min,0.01,1.0,20,0.08884893791182047,-0.021974601593625298,0.6117568710646526,0.7110412956257218,0.08387673637485957,0.10437163397150391,-0.09082561058747468,0.4914897685982023,2614
CRL,1Month,1Min,0.01,1.0,30,0.08257378996019638,-0.021974601593625298,0.5799167809614825,0.656842501603517,0.07712275611425591,0.11442281755990925,-0.09524292985194663,0.49250449730161905,2501
CRL,1Month,1Min,0.01,1.5,10,0.14297552335820085,-0.021974601593625298,0.930146025880532,1.091940896475866,0.13717797545751187,0.12169650464184908,-0.09468949348904594,0.49185156096603183,2546
CRL,1Month,1Min,0.01,1.5,20,0.12027489564901694,-0.021974601593625298,0.8053220779224438,0.8959922137034736,0.11574135200676168,0.09516375273728701,-0.08931759741131129,0.4955770850884583,2374
CRL,1Month,1Min,0.01,1.5,30,0.11998161833771559,-0.021974601593625298,0.8170254827363754,0.880336128324533,0.1151114991346013,0.10222882059115428,-0.09039348521788418,0.4930022573363431,2215
CRL,1Month,1Min,0.01,2.0,10,0.08149844803842488,-0.021974601593625298,0.5967842329381822,0.6650809943145862,0.07673657728653036,0.09995657405313531,-0.09329717422395989,0.4923436835389196,2351
CRL,1Month,1Min,0.01,2.0,20,0.19970989725333532,-0.021974601593625298,1.3024161232622875,1.3890932681163353,0.19608646182290163,0.0760596435308127,-0.08550801436480121,0.4943127962085308,2110
CRL,1Month,1Min,0.01,2.0,30,0.14037967801779527,-0.021974601593625298,0.967465812883988,0.9740952015904875,0.1362911970379382,0.08582142882927378,-0.09985351373213193,0.49300880372863803,1931
CRL,1Month,1Min,0.1,1.0,10,0.20104393753194016,-0.021974601593625298,1.2045658565030872,1.5471647170459155,0.1894999134733107,0.24232096077544518,-0.12135391290285975,0.49931787175989084,2932
CRL,1Month,1Min,0.1,1.0,20,0.1973145571351631,-0.021974601593625298,1.2052126798885425,1.5231083204154308,0.18819731206354468,0.19138036911212614,-0.11937204701071547,0.49807826694619145,2862
CRL,1Month,1Min,0.1,1.0,30,0.16884995431705963,-0.021974601593625298,1.0452189868396864,1.300268786867604,0.1590482324214662,0.20574824298104388,-0.11937204701071398,0.49819884726224783,2776
CRL,1Month,1Min,0.1,1.5,10,0.13388652721612448,-0.021974601593625298,0.8758971408405327,1.0865962678963845,0.12444503726019515,0.19818660335884036,-0.1206652972701396,0.4977809337830641,2816
CRL,1Month,1Min,0.1,1.5,20,0.13701043502102372,-0.021974601593625298,0.8943499210856777,1.097676436422777,0.12801885554381173,0.1887425187907537,-0.12605979165019443,0.49705665930831494,2718
CRL,1Month,1Min,0.1,1.5,30,0.11609644492156046,-0.021974601593625298,0.7828269430565162,0.9432753828636226,0.10782282493367136,0.17367180927325926,-0.12691634294785356,0.4959938954597482,2621
CRL,1Month,1Min,0.1,2.0,10,0.078914279425091,-0.021974601593625298,0.5679333492673134,0.6867843820344023,0.07100428484082075,0.16603893734577804,-0.11952210984751367,0.4970695970695971,2730
CRL,1Month,1Min,0.1,2.0,20,0.1165394562458768,-0.021974601593625298,0.7986378985130871,0.9454810718080151,0.10809431066042953,0.17727230831820084,-0.11743647048865671,0.49636898920510303,2547
CRL,1Month,1Min,0.1,2.0,30,0.10480372776432212,-0.021974601593625298,0.7317956180238935,0.8525200842651063,0.09665495176188064,0.17105120537057686,-0.12883973891281494,0.49518738480442354,2441
CRL,1Month,5Min,0.001,1.0,10,-0.011366465698849693,-0.035632078077525,-0.02321372515806473,-0.028977654325571027,-0.012658870807881539,0.05717184801142782,-0.12511786451145085,0.4876923076923077,650
CRL,1Month,5Min,0.001,1.0,20,-0.009029022219545824,-0.035632078077525,-0.008447797878924627,-0.010007714980661513,-0.010503141887846018,0.06521031605163549,-0.1363246863734165,0.478984238178634,571
CRL,1Month,5Min,0.001,1.0,30,0.0019157527402633434,-0.035632078077525,0.0771993590447583,0.0899303045757912,-0.0006187699548536622,0.11211913764043571,-0.11599805815303213,0.4813039309683605,521
CRL,1Month,5Min,0.001,1.5,10,0.01913478581781769,-0.035632078077525,0.2144614391676644,0.255535645853216,0.017338851984470702,0.07944634034727029,-0.11547123327850907,0.483467381590706,559
CRL,1Month,5Min,0.001,1.5,20,0.028257656887332505,-0.035632078077525,0.2911859466269135,0.3197889406480975,0.026626993496516836,0.07213530717729144,-0.11026006219327569,0.47802197802197804,455
CRL,1Month,5Min,0.001,1.5,30,-0.03325037576742984,-0.035632078077525,-0.22807757377882062,-0.23750483668984027,-0.03451677601320775,0.05602147644517353,-0.11161071500969694,0.47555012224938875,409
CRL,1Month,5Min,0.001,2.0,10,0.05734847871663118,-0.035632078077525,0.5389308590614763,0.6053646976509567,0.056889073934872546,0.020322590939077304,-0.11701351356968057,0.48148148148148145,472
CRL,1Month,5Min,0.001,2.0,20,0.0267669008437732,-0.035632078077525,0.28842052508039795,0.2897180375578534,0.024812532230701526,0.08645498576567884,-0.09807840408381667,0.4714475431606906,376
CRL,1Month,5Min,0.001,2.0,30,-0.0039759371404379795,-0.035632078077525,0.020261316757398045,0.019465153421311845,-0.005940792258017634,0.08691887501968402,-0.08609722678145675,0.46944858420268254,335
CRL,1Month,5Min,0.01,1.0,10,0.060662294455156696,-0.035632078077525,0.49458868296541036,0.700311134051844,0.055597120273571166,0.22406702545299267,-0.09743862972797337,0.49295774647887325,745
CRL,1Month,5Min,0.01,1.0,20,0.09922740603798541,-0.035632078077525,0.7624106953313484,1.0640511959058827,0.0946708776349751,0.20156617108377622,-0.0876873371877771,0.49424460431654677,695
CRL,1Month,5Min,0.01,1.0,30,0.10270560922904592,-0.035632078077525,0.7906728245473016,1.0773699804754537,0.09828925151605986,0.19536547028979218,-0.08768733718777709,0.49321266968325794,663
CRL,1Month,5Min,0.01,1.5,10,0.05445197148541814,-0.035632078077525,0.4647548855366354,0.6446124468174723,0.0498859509491808,0.20198607254839232,-0.0901928902631375,0.48871085214857973,686
CRL,1Month,5Min,0.01,1.5,20,0.11256427337687303,-0.035632078077525,0.8726251393793566,1.1757748061284965,0.10774003572771364,0.21340876766988412,-0.0871544600893393,0.48963317384370014,627
CRL,1Month,5Min,0.01,1.5,30,0.1108280280366658,-0.035632078077525,0.8704120742281042,1.118303147400808,0.10668555955404356,0.18324949106555508,-0.08715446008933839,0.49473684210526314,570
CRL,1Month,5Min,0.01,2.0,10,0.16700469582798316,-0.035632078077525,1.2701902965219425,1.7735685642530448,0.1633895394753413,0.15992289730703582,-0.09019289026313763,0.4936608557844691,631
CRL,1Month,5Min,0.01,2.0,20,0.09740398007167017,-0.035632078077525,0.807688605777135,1.076754851523073,0.09266621680266242,0.20958341903549543,-0.08674489521358345,0.4902654867256637,565
CRL,1Month,5Min,0.01,2.0,30,0.2074158402905404,-0.035632078077525,1.6060485113000051,2.056178581290262,0.203038444327528,0.1936419277007168,-0.08317646775799169,0.5040080160320641,499
CRL,1Month,5Min,0.1,1.0,10,-0.10332509576832438,-0.035632078077525,-0.6840183241981626,-0.9045885335866332,-0.1086745846519061,0.23664419403298786,-0.16418205217857254,0.48007246376811596,828
CRL,1Month,5Min,0.1,1.0,20,-0.08672230464297914,-0.035632078077525,-0.5608012372449545,-0.7312291634974458,-0.09231786142816245,0.24752944709531577,-0.16199855342941896,0.4815043156596794,811
CRL,1Month,5Min,0.1,1.0,30,-0.09023442335044052,-0.035632078077525,-0.5905452144698192,-0.7657902613883837,-0.09549681697613288,0.23279137976309044,-0.15155042155825216,0.48099688473520247,802
CRL,1Month,5Min,0.1,1.5,10,-0.08069862082988111,-0.035632078077525,-0.5194660271580034,-0.6789606842847165,-0.08602607148356381,0.2356692935769136,-0.15107695793818257,0.4805194805194805,808
CRL,1Month,5Min,0.1,1.5,20,-0.08210224993207493,-0.035632078077525,-0.5384189778481182,-0.6853618899532385,-0.08794425103941715,0.2584313517932191,-0.15736126371722708,0.4838095238095238,787
CRL,1Month,5Min,0.1,1.5,30,-0.0888428537123831,-0.035632078077525,-0.6047143003630794,-0.7484044287070399,-0.09442399353171753,0.24689168686476737,-0.14843370208445508,0.4829842931937173,764
CRL,1Month,5Min,0.1,2.0,10,-0.08417416265486921,-0.035632078077525,-0.5809179369672286,-0.7322865231423746,-0.08891010290241001,0.2095027744253019,-0.1217380208101602,0.48260309278350516,776
CRL,1Month,5Min,0.1,2.0,20,-0.07388829514106876,-0.035632078077525,-0.49491494713612677,-0.6133926496405324,-0.07951807234571157,0.24904324846189396,-0.13367469799415008,0.482577251808021,760
CRL,1Month,5Min,0.1,2.0,30,-0.044517118856417404,-0.035632078077525,-0.26949966208589626,-0.32954399695215386,-0.04945111781107956,0.2182642550336263,-0.12981523969737382,0.4861766689143628,741
CRL,1Month,15Min,0.001,1.0,10,0.12584027390418484,-0.026278277037495967,0.9272502840618557,1.2884640221661934,0.1225725198247661,0.14420070376573307,-0.08830471679675067,0.5186046511627908,215
CRL,1Month,15Min,0.001,1.0,20,0.16013424016436129,-0.026278277037495967,1.1606563931684275,1.5923557455803925,0.1566185865341957,0.15514011010173998,-0.08663807050303868,0.5195121951219512,205
CRL,1Month,15Min,0.001,1.0,30,0.14141195140786533,-0.026278277037495967,1.0762667986065801,1.462317679793841,0.1375795037565106,0.16911971802020842,-0.0866982540940414,0.5204081632653061,196
CRL,1Month,15Min,0.001,1.5,10,0.17295649301400484,-0.026278277037495967,1.2516723055673353,1.6766015145391155,0.17017316810168953,0.12282362791387211,-0.0866380705030387,0.5357142857142857,196
CRL,1Month,15Min,0.001,1.5,20,0.12524367874072562,-0.026278277037495967,0.9998823453262825,1.2175783960841506,0.12058167463028671,0.20572670321740075,-0.0866982540940413,0.5261538461538462,162
CRL,1Month,15Min,0.001,1.5,30,0.155314345491125,-0.026278277037495967,1.336246716525763,1.6293721231258498,0.1513062046785426,0.17687277314005967,-0.08140781343879763,0.5328947368421053,152
CRL,1Month,15Min,0.001,2.0,10,0.2061334508153081,-0.026278277037495967,1.568587715818736,2.0147029873170523,0.20480960499840734,0.058419175321898574,-0.07573545784127576,0.5377358490566038,159
CRL,1Month,15Min,0.001,2.0,20,0.0678462843832417,-0.026278277037495967,0.6236691119359367,0.6669628270516123,0.06418357215385834,0.16162956830043487,-0.08540329081893716,0.5245283018867924,132
CRL,1Month,15Min,0.001,2.0,30,0.07573749672564567,-0.026278277037495967,0.8582518457091879,0.9045640742518808,0.0712044223904213,0.20003724070876544,-0.08129909143778473,0.5316455696202531,118
CRL,1Month,15Min,0.01,1.0,10,-0.02645717426104066,-0.026278277037495967,-0.10932104469686209,-0.16414772710016828,-0.032972367327189014,0.2875049353393603,-0.1204330959411727,0.4844606946983547,273
CRL,1Month,15Min,0.01,1.0,20,-0.06070056331385609,-0.026278277037495967,-0.3672942002944493,-0.5295488094350981,-0.06907327323714674,0.3694741507535987,-0.12043309594117246,0.4770992366412214,262
CRL,1Month,15Min,0.01,1.0,30,-0.0125839651334535,-0.026278277037495967,-0.01968782907176292,-0.028717121947343452,-0.021110884106776,0.37627914678487706,-0.12043309594117313,0.47992351816443596,261
CRL,1Month,15Min,0.01,1.5,10,-0.01989775618082279,-0.026278277037495967,-0.06695803781567967,-0.09728216970380046,-0.02725509077159317,0.3246672791294549,-0.12043309594117346,0.4815533980582524,257
CRL,1Month,15Min,0.01,1.5,20,-0.06799418201275187,-0.026278277037495967,-0.4362332318370095,-0.5953933831405344,-0.07486032824631844,0.3029919311476626,-0.1204330959411724,0.47121535181236673,234
CRL,1Month,15Min,0.01,1.5,30,-0.06233604597753728,-0.026278277037495967,-0.40502347237060443,-0.5509368380744092,-0.06875508466042467,0.28326179788182637,-0.12782221902823784,0.47186147186147187,231
CRL,1Month,15Min,0.01,2.0,10,-0.00029332627053790805,-0.026278277037495967,0.06793330593139556,0.09512550372064896,-0.0073232252193348646,0.31021807369262755,-0.12043309594117273,0.48484848484848486,247
CRL,1Month,15Min,0.01,2.0,20,-0.099566972810187,-0.026278277037495967,-0.6953849120590497,-0.9225351285083289,-0.10598948347337322,0.2834150107584332,-0.14056432007436476,0.4634703196347032,219
CRL,1Month,15Min,0.01,2.0,30,-0.013359924616185848,-0.026278277037495967,-0.037000714889663326,-0.04954644627205046,-0.021499251648614822,0.3591753411457715,-0.12043309594117267,0.47665847665847666,203
CRL,1Month,15Min,0.1,1.0,10,-0.06269886977330363,-0.026278277037495967,-0.3520988333090973,-0.5376811733894594,-0.06754115116475533,0.21368204813112865,-0.16354400093513335,0.46858168761220825,278
CRL,1Month,15Min,0.1,1.0,20,-0.08445519841388194,-0.026278277037495967,-0.5264596766709594,-0.7702054842107173,-0.08858398291252222,0.1821965839323134,-0.15633506621783777,0.4680451127819549,266
CRL,1Month,15Min,0.1,1.0,30,-0.03990002400560044,-0.026278277037495967,-0.21487571451018517,-0.32375784631708787,-0.04269833553962417,0.12348496329741124,-0.14152901363604709,0.4645669291338583,254
CRL,1Month,15Min,0.1,1.5,10,-0.07010850331438823,-0.026278277037495967,-0.43191543833509155,-0.653167931151819,-0.07255765635509943,0.10807716355551486,-0.15239458914134937,0.46691176470588236,272
CRL,1Month,15Min,0.1,1.5,20,-0.049907308425754304,-0.026278277037495967,-0.2815578290488747,-0.4230522599389696,-0.052744700860853505,0.12520954027043887,-0.13424952707289622,0.4695817490494297,263
CRL,1Month,15Min,0.1,1.5,30,-0.050970558890180095,-0.026278277037495967,-0.3034564300043162,-0.45258000558262235,-0.05442427163892537,0.15240675915928786,-0.1538456182754658,0.4630738522954092,250
CRL,1Month,15Min,0.1,2.0,10,-0.04655771699525979,-0.026278277037495967,-0.26069991227944117,-0.39264335728900374,-0.048800979979128585,0.0989915682587221,-0.14864490052671525,0.4692737430167598,268
CRL,1Month,15Min,0.1,2.0,20,-0.09998046031030183,-0.026278277037495967,-0.6729541961579989,-0.9745087913252255,-0.10235856145070332,0.10494175808143584,-0.14793787910696016,0.4649298597194389,249
CRL,1Month,15Min,0.1,2.0,30,-0.0619414322968187,-0.026278277037495967,-0.3962160656242407,-0.5839758133396841,-0.06476095725601522,0.1244210774494719,-0.13508607753088248,0.4620123203285421,243
