symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CSGP,1Month,1Min,0.001,1.0,10,0.5379132001406244,-0.05860215053763429,2.325784386276134,3.021314908694167,0.5399494401202922,-0.08905442150354642,-0.12265250727251592,0.5098850574712643,3262
CSGP,1Month,1Min,0.001,1.0,20,0.5212113170368375,-0.05860215053763429,2.2658884771455625,2.894551157208076,0.5231549775369208,-0.08500548224303126,-0.13217489226331922,0.5088488390972561,3079
CSGP,1Month,1Min,0.001,1.0,30,0.47398631095357646,-0.05860215053763429,2.125387106262785,2.643778041599768,0.47580640481104486,-0.0796013275338244,-0.12724195934446808,0.5093760654619843,2933
CSGP,1Month,1Min,0.001,1.5,10,0.49749907164899976,-0.05860215053763429,2.2730142347816127,2.833972724122496,0.49935699549174023,-0.08125581201872525,-0.11425052922368556,0.5063852429939695,2819
CSGP,1Month,1Min,0.001,1.5,20,0.44635205398477096,-0.05860215053763429,2.1052122599018963,2.4441611334335143,0.4484892482303342,-0.09346962984706518,-0.1184049660141967,0.5063316185199842,2527
CSGP,1Month,1Min,0.001,1.5,30,0.46063820091237817,-0.05860215053763429,2.2108305512469073,2.450009740160938,0.46303093361698344,-0.10464553733789227,-0.08379534751730483,0.5103598691384951,2292
CSGP,1Month,1Min,0.001,2.0,10,0.3399993032502604,-0.05860215053763429,1.760149797564046,1.9787279317241175,0.3422217659546821,-0.09719882353344754,-0.10334271428625948,0.5085559265442404,2396
CSGP,1Month,1Min,0.001,2.0,20,0.43474889468819256,-0.05860215053763429,2.1670619700214426,2.267210191863222,0.4365589788139247,-0.07916355454140701,-0.10103205519991748,0.5096692111959288,1965
CSGP,1Month,1Min,0.001,2.0,30,0.4539652876516145,-0.05860215053763429,2.314904145625969,2.2403455823134597,0.45630868853037915,-0.10248802287210478,-0.08215911902901941,0.5171795637884673,1673
CSGP,1Month,1Min,0.01,1.0,10,0.7394012052023451,-0.05860215053763429,2.7435958565857144,3.6599422727144746,0.7416871514228399,-0.09997525846024992,-0.07374070267499411,0.5122052704576976,3605
CSGP,1Month,1Min,0.01,1.0,20,0.64381321581455,-0.05860215053763429,2.5013846179468575,3.2453151805024536,0.6455465199732128,-0.0758056028172989,-0.07635983263598273,0.5108584754408978,3430
CSGP,1Month,1Min,0.01,1.0,30,0.5094797153269581,-0.05860215053763429,2.122105762661027,2.683133004218153,0.5109628433567133,-0.06486421542861914,-0.07635983263598317,0.5103975535168196,3270
CSGP,1Month,1Min,0.01,1.5,10,0.4143089494361847,-0.05860215053763429,1.7418876670288603,1.925596660288234,0.4173740372471317,-0.13405081158753576,-0.07439609002487109,0.5119855269109,3316
CSGP,1Month,1Min,0.01,1.5,20,0.5102416139675154,-0.05860215053763429,2.166383500527702,2.6898132249384528,0.5122652275493378,-0.08850220930506965,-0.07374070267499293,0.5113874979809401,3095
CSGP,1Month,1Min,0.01,1.5,30,0.4538069024652249,-0.05860215053763429,1.9996674469645157,2.396302467410107,0.4560325252399981,-0.09733702838153567,-0.07374070267499416,0.5124591854270493,2909
CSGP,1Month,1Min,0.01,2.0,10,0.4959053679074694,-0.05860215053763429,2.178605303010863,2.67876979287288,0.4980440817778137,-0.09353609023833831,-0.08149217151363633,0.5113841113841114,3052
CSGP,1Month,1Min,0.01,2.0,20,0.3318237550809249,-0.05860215053763429,1.6073450525559956,1.8200436084079623,0.3338150710643848,-0.08708968231078458,-0.07791213084206454,0.5115113256591163,2693
CSGP,1Month,1Min,0.01,2.0,30,0.3024933506877965,-0.05860215053763429,1.4862033847400558,1.6080065603888956,0.30508280867387266,-0.11324926593149978,-0.0785482477279523,0.5085974725502382,2413
CSGP,1Month,1Min,0.1,1.0,10,0.1521782073826421,-0.05860215053763429,0.7321672141784905,0.8442901951491568,0.15489483395440926,-0.11881095067652872,-0.10646028687357743,0.5004551957341656,3844
CSGP,1Month,1Min,0.1,1.0,20,0.136114318122454,-0.05860215053763429,0.6727495409482029,0.7643383684757044,0.13887769081766663,-0.12085538012616881,-0.10780242974549094,0.5008647066648929,3758
CSGP,1Month,1Min,0.1,1.0,30,0.17072938387730296,-0.05860215053763429,0.8061514825126036,0.9039234841711404,0.17335378632903148,-0.1147775529725621,-0.10432076844614814,0.5010911074740863,3666
CSGP,1Month,1Min,0.1,1.5,10,0.16052437235654926,-0.05860215053763429,0.7696965436138732,0.8675696329347765,0.16347316436892712,-0.1289646453358754,-0.1124234820393891,0.5018807092960774,3722
CSGP,1Month,1Min,0.1,1.5,20,0.2216671866834259,-0.05860215053763429,1.0007562991601706,1.1090439788542512,0.22418184142789238,-0.10997776577697223,-0.10696292750437693,0.503445366333849,3555
CSGP,1Month,1Min,0.1,1.5,30,0.18821666210788135,-0.05860215053763429,0.8804050744481325,0.9538626192135898,0.19087224144532555,-0.11614106589314908,-0.1106196146171278,0.5036571094207138,3418
CSGP,1Month,1Min,0.1,2.0,10,0.20532773188878384,-0.05860215053763429,0.9453344299356212,1.0523201158236062,0.2081400210950206,-0.1229947309073759,-0.11651121511152956,0.5016041288882689,3584
CSGP,1Month,1Min,0.1,2.0,20,0.18339545835988225,-0.05860215053763429,0.8684096681795004,0.9277441529800575,0.18578887999005086,-0.10467566731673449,-0.1101755864133082,0.5029134917077543,3346
CSGP,1Month,1Min,0.1,2.0,30,0.20952168251393144,-0.05860215053763429,0.968784369629259,1.0119867798891196,0.2121310224944758,-0.11411879974548055,-0.10743206229195114,0.503448275862069,3190
CSGP,1Month,5Min,0.001,1.0,10,0.6273650923683574,-0.06230601092896171,2.8141326409433236,3.480926230928518,0.6268160771337548,0.027116887500303204,-0.08889124362059098,0.5284377249820015,694
CSGP,1Month,5Min,0.001,1.0,20,0.5029020223958576,-0.06230601092896171,2.3416131253311936,2.5208046122311125,0.502123564622411,0.038449482884687275,-0.09314227226202668,0.5174089068825911,617
CSGP,1Month,5Min,0.001,1.0,30,0.4690449520941278,-0.06230601092896171,2.2355459369172537,2.3004282602206194,0.4693534073297673,-0.015235180003285873,-0.09408106008952083,0.5191972076788831,573
