symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CTSH,1Month,1Min,0.001,1.0,10,0.15990224737636738,-0.09542385596399106,1.4143066471882106,1.7609169543836036,0.15665336236503583,0.10823896715824147,-0.09234823038328835,0.49851817189206055,3205
CTSH,1Month,1Min,0.001,1.0,20,0.12754716480177075,-0.09542385596399106,1.1806471453008855,1.4472096342772165,0.12499692160075754,0.08496320710558644,-0.07589017563317249,0.4956796277833167,3009
CTSH,1Month,1Min,0.001,1.0,30,0.13362936090840827,-0.09542385596399106,1.246889599705805,1.492676568600856,0.1307211968308757,0.09688760143277994,-0.07732935849179227,0.49476987447698745,2868
CTSH,1Month,1Min,0.001,1.5,10,0.11777961517955027,-0.09542385596399106,1.1546226235146004,1.3936017223914492,0.11575005759354737,0.06761618713217968,-0.08000235946139232,0.49552452559971355,2793
CTSH,1Month,1Min,0.001,1.5,20,0.053627050973473755,-0.09542385596399106,0.5842066528441389,0.6576085968363826,0.05197416490902197,0.05506710142787947,-0.08987789279008938,0.49143767423337315,2511
CTSH,1Month,1Min,0.001,1.5,30,0.0656749381367101,-0.09542385596399106,0.6995713284105622,0.7277380807624613,0.06282489017176339,0.09495142087249449,-0.07325856119465685,0.49116528740773874,2235
CTSH,1Month,1Min,0.001,2.0,10,0.12035836803577316,-0.09542385596399106,1.2553957542468361,1.4405287565254006,0.11859625644760327,0.05870602919335334,-0.07010018050352303,0.4892979452054795,2336
CTSH,1Month,1Min,0.001,2.0,20,0.14304828156776428,-0.09542385596399106,1.502291387629095,1.5647138960597051,0.1416844157015476,0.04543818331113261,-0.060973399505384204,0.495873968492123,1999
CTSH,1Month,1Min,0.001,2.0,30,0.11626164354763713,-0.09542385596399106,1.2724615220882856,1.2175963971399364,0.1140702340273086,0.07300840204371634,-0.060295044284652405,0.4979375368296995,1697
CTSH,1Month,1Min,0.01,1.0,10,0.18407438314382252,-0.09542385596399106,1.5409621518565246,2.0318908719298734,0.17956021799527971,0.1503926952033764,-0.06062631259331467,0.49601899706662944,3579
CTSH,1Month,1Min,0.01,1.0,20,0.19971389115180416,-0.09542385596399106,1.6692683400074149,2.151728481802361,0.1951909483836349,0.15068512798544184,-0.06255802094091993,0.49773689589721126,3424
CTSH,1Month,1Min,0.01,1.0,30,0.1725576714855641,-0.09542385596399106,1.4814638389965795,1.862707977374812,0.16812903378408736,0.1475432860978452,-0.06591233154719034,0.49709923664122135,3275
CTSH,1Month,1Min,0.01,1.5,10,0.2118172227232895,-0.09542385596399106,1.8084303742784715,2.3512373246674305,0.20784379168995248,0.13237774486411824,-0.062349471806481246,0.4972334380140571,3343
CTSH,1Month,1Min,0.01,1.5,20,0.1755366555093545,-0.09542385596399106,1.554206746704171,1.9235974784955288,0.17121305250050944,0.14404397891812523,-0.06751420071214623,0.4966041397153946,3092
