symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
CVNA,1Month,1Min,0.001,1.0,10,0.27448148996704336,-0.14901812027661876,1.1265426012846604,1.137359955134453,0.2822780590332488,0.22385761607495183,-0.2152399118531464,0.5024497795198433,4082
CVNA,1Month,1Min,0.001,1.0,20,0.2738220180994846,-0.14901812027661876,1.1440517910670087,1.1188682719181744,0.28217980913858737,0.23997160312166857,-0.23663018778300948,0.5027393686407514,3833
CVNA,1Month,1Min,0.001,1.0,30,0.22320435607658062,-0.14901812027661876,0.9850629785489274,0.9409896082081692,0.23196730009558286,0.2516044866959434,-0.22424468199535155,0.49863387978142076,3660
CVNA,1Month,1Min,0.001,1.5,10,0.12680663147649662,-0.14901812027661876,0.6325829528306235,0.5951657957917735,0.13382731361745775,0.20158009939370058,-0.22473710832756985,0.49726162055891027,3560
CVNA,1Month,1Min,0.001,1.5,20,0.11012740909061636,-0.14901812027661876,0.5847981831104994,0.5193257696875673,0.11139508835695723,0.03639801765378641,-0.25444893308660554,0.4958769425943546,3153
CVNA,1Month,1Min,0.001,1.5,30,0.11229541417832323,-0.14901812027661876,0.6042029274352857,0.5125948248661596,0.11285777615971403,0.01614671933979286,-0.2518100889219255,0.49644910382144064,2957
CVNA,1Month,1Min,0.001,2.0,10,0.03472657834393211,-0.14901812027661876,0.26826742018634525,0.23109685535879715,0.03685961040122922,0.061244307246337754,-0.22806136961826803,0.4960510838514535,2975
CVNA,1Month,1Min,0.001,2.0,20,0.007237704825771907,-0.14901812027661876,0.13780261215201395,0.10587994439545657,0.009861531789898601,0.07533616956316466,-0.2378096441793553,0.4938446014127144,2477
CVNA,1Month,1Min,0.001,2.0,30,-0.11255903510615661,-0.14901812027661876,-0.5066080529914032,-0.3654187745634411,-0.10979108194759468,0.07947436753540794,-0.24810613904306622,0.49040606871932174,2241
CVNA,1Month,1Min,0.01,1.0,10,0.13330305318878755,-0.14901812027661876,0.6235213655331854,0.6815512864028255,0.14246220559404407,0.2629805502006246,-0.16561329922752693,0.4975332475332475,4662
CVNA,1Month,1Min,0.01,1.0,20,0.16323861411326113,-0.14901812027661876,0.7320109951748012,0.7879975358835256,0.1724761298444245,0.26523054339330376,-0.1667258223704513,0.4971033868092692,4488
CVNA,1Month,1Min,0.01,1.0,30,0.15975795817069804,-0.14901812027661876,0.723608350643206,0.7654405682535074,0.1689116636275899,0.2628241556550952,-0.1652879840602224,0.4968972649965525,4351
CVNA,1Month,1Min,0.01,1.5,10,0.10700337539465132,-0.14901812027661876,0.5414817306339458,0.5756254273015329,0.11530229409286817,0.23828124140338464,-0.17042470565909476,0.4953141270392225,4321
CVNA,1Month,1Min,0.01,1.5,20,0.053986010745754376,-0.14901812027661876,0.33997359857033665,0.345001668273751,0.06325993862345607,0.2662760207373792,-0.16987591010346273,0.49540159411404044,4077
CVNA,1Month,1Min,0.01,1.5,30,0.02332871492601485,-0.14901812027661876,0.21590017606792222,0.21222206689353532,0.03233145413755759,0.25848956392575084,-0.17691570616074329,0.49418376682786563,3825
CVNA,1Month,1Min,0.01,2.0,10,-0.025272729119478754,-0.14901812027661876,0.007450702608110936,0.007485560883073052,-0.015561690260908543,0.27882649278559707,-0.17163361833275395,0.49403940268540597,3984
CVNA,1Month,1Min,0.01,2.0,20,0.0924360032076097,-0.14901812027661876,0.5044432334650782,0.4829145504563277,0.09972693439626742,0.20933957757572685,-0.16878748120899112,0.49590723055934516,3665
CVNA,1Month,1Min,0.01,2.0,30,-0.0181707353075522,-0.14901812027661876,0.026197636620944157,0.02396782337272497,-0.01651190420428528,0.047628895876509404,-0.17790026296593522,0.4963361746672648,3343
CVNA,1Month,1Min,0.1,1.0,10,0.25652164260269994,-0.14901812027661876,0.9739988440949987,1.2310255617607264,0.2680408515644486,0.3307432583934377,-0.15791599630097625,0.49707602339181284,4959
CVNA,1Month,1Min,0.1,1.0,20,0.1830917471250022,-0.14901812027661876,0.7551361669508376,0.9366441504960008,0.19413208568592616,0.31699377635496856,-0.154728573980639,0.4963330234479909,4840
CVNA,1Month,1Min,0.1,1.0,30,0.18828479011985255,-0.14901812027661876,0.7722128066436447,0.9489656491000715,0.1990023318612608,0.30772552953001786,-0.15472857398063933,0.49611262870350914,4759
CVNA,1Month,1Min,0.1,1.5,10,0.1916827525690683,-0.14901812027661876,0.787427012145117,0.9820466681344305,0.20241080950434337,0.3080274451818396,-0.1547285739806389,0.494728050944775,4789
CVNA,1Month,1Min,0.1,1.5,20,0.04092287274228301,-0.14901812027661876,0.2854304502913648,0.31759927079135875,0.05187134872113397,0.3143561881472929,-0.18432902015108157,0.49503347009285253,4631
CVNA,1Month,1Min,0.1,1.5,30,-0.00530871783447473,-0.14901812027661876,0.1041561373253791,0.11362114428562199,0.004946616511020307,0.294454481085154,-0.19319052709210885,0.49441340782122906,4475
CVNA,1Month,1Min,0.1,2.0,10,0.035585400080009544,-0.14901812027661876,0.2652570763821853,0.2944534802820639,0.04556098272080309,0.2864221595376122,-0.1880318482760162,0.4946623093681917,4590
CVNA,1Month,1Min,0.1,2.0,20,-0.00587259502360693,-0.14901812027661876,0.09951616466371807,0.10709854504298491,0.003081650833713862,0.2570972070339664,-0.1787415977597796,0.49496567505720823,4370
CVNA,1Month,1Min,0.1,2.0,30,0.0019104011548800592,-0.14901812027661876,0.13008211248014834,0.13661335599657604,0.010507379961103786,0.2468392397561056,-0.17503209809580098,0.4958874716891167,4194
CVNA,1Month,5Min,0.001,1.0,10,0.2896059037501335,-0.14872632838259747,1.2909547660212877,1.5323849023107095,0.30057570135394135,0.2823957071543166,-0.12987187899372707,0.5242009132420091,1095
CVNA,1Month,5Min,0.001,1.0,20,0.24274896164966608,-0.14872632838259747,1.146836995506201,1.2975054994553852,0.25554589679096656,0.3294317433332638,-0.15960234472002374,0.5214570858283433,1002
CVNA,1Month,5Min,0.001,1.0,30,0.212756886307383,-0.14872632838259747,1.0525988512405162,1.189775741535487,0.21424997832680595,0.038436696090459896,-0.14002777427927982,0.5189075630252101,952
CVNA,1Month,5Min,0.001,1.5,10,0.20373218425880335,-0.14872632838259747,0.9994592098613427,1.1078702183010214,0.21525823239848813,0.29671527521812635,-0.13150305916341687,0.521025641025641,975
CVNA,1Month,5Min,0.001,1.5,20,0.28720429496949573,-0.14872632838259747,1.394141919364544,1.4542048325861516,0.29031946793738794,0.08019395662054553,-0.12379772432104831,0.526219512195122,820
CVNA,1Month,5Min,0.001,1.5,30,0.28325108693250334,-0.14872632838259747,1.4141795945363098,1.3854490811661921,0.28734765361088954,0.10545799346800284,-0.11973325113837145,0.5317301269205077,748
CVNA,1Month,5Min,0.001,2.0,10,0.1333131340798055,-0.14872632838259747,0.7345978992541418,0.7427058592318972,0.14484262863055467,0.29680399624332826,-0.13636498353442753,0.5179987797437462,819
CVNA,1Month,5Min,0.001,2.0,20,0.13562547483452292,-0.14872632838259747,0.7838549815703659,0.7357086881845006,0.13793152420057664,0.0593646724378447,-0.11973325113837179,0.5194610778443114,668
CVNA,1Month,5Min,0.001,2.0,30,0.13804228064497748,-0.14872632838259747,0.8189825655493951,0.7058810671461081,0.14093056539479282,0.07435316893212383,-0.11534629846408877,0.5253218884120172,582
CVNA,1Month,5Min,0.01,1.0,10,0.37770616760544784,-0.14872632838259747,1.1874178363449046,1.9522425984387408,0.3895825604483491,0.30573420553806624,-0.11897488231754483,0.5110931827349737,1239
CVNA,1Month,5Min,0.01,1.0,20,0.4272267333343036,-0.14872632838259747,1.307582540166156,2.1214846880005145,0.43817991355634545,0.2819679255812787,-0.11897488231754422,0.5123482628714944,1194
CVNA,1Month,5Min,0.01,1.0,30,0.4912592089184753,-0.14872632838259747,1.4665082156626883,2.3920010067598305,0.49477980456550524,0.09063076031615376,-0.11897488231754455,0.5123674911660777,1132
CVNA,1Month,5Min,0.01,1.5,10,0.37686124368462237,-0.14872632838259747,1.1937665747563044,1.9293909112991074,0.38797361006798675,0.2860658579424252,-0.11966776202893052,0.5091919623770842,1169
CVNA,1Month,5Min,0.01,1.5,20,0.3286530958445675,-0.14872632838259747,1.0884848569265673,1.7314787118713102,0.3395485973529977,0.2804831013660682,-0.11897488231754462,0.505277650298302,1089
CVNA,1Month,5Min,0.01,1.5,30,0.39489795152358265,-0.14872632838259747,1.2655118114703885,2.0147913316416832,0.39838110188940346,0.08966680573389568,-0.11801608882065044,0.5083088954056696,1023
CVNA,1Month,5Min,0.01,2.0,10,0.3670513913025928,-0.14872632838259747,1.1801993513951379,1.8588264717956229,0.3790492904750572,0.30886214527770256,-0.11976892057394352,0.5073597056117756,1087
CVNA,1Month,5Min,0.01,2.0,20,0.27113238074382173,-0.14872632838259747,0.9474384620190811,1.450067331598851,0.28216680895721674,0.28405949415908827,-0.11801608882064928,0.5078007045797684,993
