symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
C,1Month,1Min,0.001,1.0,10,0.5860562715399456,-0.024527910541978448,3.7197758524190148,4.422598449123849,0.5854370327945276,0.17996746786651602,-0.0650829806414511,0.5131467345207803,3537
C,1Month,1Min,0.001,1.0,20,0.5112822280753739,-0.024527910541978448,3.4221163542933235,3.9124367893729683,0.5106674351244356,0.17867540017686528,-0.07838866511993071,0.5135987978963186,3327
C,1Month,1Min,0.001,1.0,30,0.4278508250943882,-0.024527910541978448,3.019490161297706,3.3335384859418906,0.4273994253390376,0.1311889341019701,-0.07573689171273501,0.5115506329113924,3160
C,1Month,1Min,0.001,1.5,10,0.5062423821457753,-0.024527910541978448,3.4667319719229255,3.8069905971545137,0.5056687209362107,0.16672140763561208,-0.06299265524277646,0.514332784184514,3035
C,1Month,1Min,0.001,1.5,20,0.4320587411885466,-0.024527910541978448,3.2587593102265062,3.3957300783756557,0.4321104034334386,-0.015014440660104222,-0.06879466757786759,0.5131653722295889,2639
C,1Month,1Min,0.001,1.5,30,0.3547102127858901,-0.024527910541978448,2.8228357601486356,2.7659911215431103,0.35460444266578095,0.03073964740227914,-0.063704779111529,0.5147241808378267,2411
C,1Month,1Min,0.001,2.0,10,0.4355353704070861,-0.024527910541978448,3.2820063964816524,3.3240618354012237,0.4353891735507527,0.04248874644724739,-0.05668637315794036,0.5161356628982529,2432
C,1Month,1Min,0.001,2.0,20,0.3458129634385232,-0.024527910541978448,2.893254930154851,2.524833680119116,0.34591746636417436,-0.030371366541980475,-0.054258937351020484,0.521536066424494,1927
C,1Month,1Min,0.001,2.0,30,0.39889000958405196,-0.024527910541978448,3.412962844560923,2.7696448284997723,0.39904252528517536,-0.04432517303571582,-0.038583410997204026,0.5286225402504472,1677
C,1Month,1Min,0.01,1.0,10,0.33839450761300505,-0.024527910541978448,2.263301225118418,2.7500951514764154,0.33760509361569674,0.22942498227896746,-0.07945457042673325,0.5091066782307025,4035
C,1Month,1Min,0.01,1.0,20,0.3582620876314129,-0.024527910541978448,2.4204025111193705,2.9576208650866245,0.357875792982492,0.11226763559465974,-0.08956103983801113,0.5086973328179358,3880
C,1Month,1Min,0.01,1.0,30,0.3697082449878204,-0.024527910541978448,2.5394161193244087,3.180209041960857,0.3693269439409884,0.11081636025034357,-0.07987749927925879,0.5071985206709814,3785
C,1Month,1Min,0.01,1.5,10,0.32387733531505414,-0.024527910541978448,2.2599234829548482,2.7054597578146056,0.3235534105006944,0.09414128080778623,-0.08849242756508192,0.507862473347548,3752
C,1Month,1Min,0.01,1.5,20,0.4236091669211459,-0.024527910541978448,2.905775720791494,3.5035337722862763,0.4232487964014055,0.104733385001044,-0.08340693576012366,0.510282229470997,3525
C,1Month,1Min,0.01,1.5,30,0.3877761089095386,-0.024527910541978448,2.7537580574735467,3.1999339771490103,0.3874833334715433,0.08508843256242332,-0.07345194030123492,0.5113210376368271,3334
C,1Month,1Min,0.01,2.0,10,0.2784525177235935,-0.024527910541978448,2.0397733060149403,2.327167017327666,0.2781290237048501,0.09401607999176087,-0.09656932962740168,0.5065951587186549,3449
C,1Month,1Min,0.01,2.0,20,0.28567243342723714,-0.024527910541978448,2.1855814805493567,2.441789587492211,0.285475938181242,0.057106814021598944,-0.08961814908282095,0.5083843921315705,3101
C,1Month,1Min,0.01,2.0,30,0.2915947344872747,-0.024527910541978448,2.275237393795112,2.4317552601093784,0.2913922497424067,0.05884752381070634,-0.07661991381071936,0.5114517265680056,2838
C,1Month,1Min,0.1,1.0,10,0.2283438827871347,-0.024527910541978448,1.5642450067823266,1.9580178953579108,0.22794205276058419,0.11678263501134942,-0.07943585622206464,0.5115009293680297,4304
C,1Month,1Min,0.1,1.0,20,0.2358555284226207,-0.024527910541978448,1.6212205250996619,1.9972107079736585,0.2354691692809058,0.11228637893867852,-0.06737162700032483,0.5128296932808211,4189
C,1Month,1Min,0.1,1.0,30,0.21690484353302875,-0.024527910541978448,1.5223917754901624,1.8480178130138303,0.2164956810852791,0.11891363422014445,-0.06684473432680939,0.5120320855614974,4114
C,1Month,1Min,0.1,1.5,10,0.20253530926295893,-0.024527910541978448,1.4359858555032525,1.745154783099524,0.20218210956529392,0.10264935085270098,-0.07418378227432497,0.5118271783731595,4143
C,1Month,1Min,0.1,1.5,20,0.17919263027400478,-0.024527910541978448,1.3015547802134113,1.5445263915578555,0.17879365425948177,0.11595318220070261,-0.06741060556504852,0.5120481927710844,3984
C,1Month,1Min,0.1,1.5,30,0.15354149550975293,-0.024527910541978448,1.1489902444159268,1.3390840868732192,0.1531561960545065,0.11197840549245576,-0.07060328699030238,0.5116996657238365,3889
C,1Month,1Min,0.1,2.0,10,0.17859814585012956,-0.024527910541978448,1.323733940203737,1.6095168155169939,0.17826073058653014,0.09806196892366692,-0.07142966896508993,0.5113493064312736,3965
C,1Month,1Min,0.1,2.0,20,0.14035134620171097,-0.024527910541978448,1.0736002955768504,1.2266870378883437,0.14000525755834264,0.10058268683158149,-0.0718630975884169,0.5103457482312108,3745
C,1Month,1Min,0.1,2.0,30,0.17837961323957718,-0.024527910541978448,1.3303375559732484,1.5028731368083093,0.17799637895246528,0.11137821197640095,-0.06685851352244551,0.5115479791036569,3637
C,1Month,5Min,0.001,1.0,10,0.211728485079983,-0.024527910541978448,1.6679295555425757,1.7908998751440375,0.21240567279095218,0.2727118126409982,-0.08219777370096987,0.5322666666666667,937
C,1Month,5Min,0.001,1.0,20,0.2686650713994556,-0.024527910541978448,2.154836705813993,2.395340263591725,0.2690415607708287,0.15161689623734897,-0.07268722125340212,0.5390713476783692,883
C,1Month,5Min,0.001,1.0,30,0.28900390053294656,-0.024527910541978448,2.3245587445993423,2.4646137388845943,0.2894021965229208,0.16039868951264316,-0.06484594043118877,0.5405742821473158,801
C,1Month,5Min,0.001,1.5,10,0.21091136660787035,-0.024527910541978448,1.8065215280431688,1.9200458140949652,0.2109886894599186,0.031138862680294675,-0.08213578383905006,0.5389331698344574,815
C,1Month,5Min,0.001,1.5,20,0.21981059221093147,-0.024527910541978448,1.9391528682547658,2.0148414802001757,0.21989278325572117,0.03309934371871562,-0.06398856279519026,0.53737658674189,709
