symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
DHI,1Month,1Min,0.001,1.0,10,0.0932230808601977,-0.17691154422788602,0.8786232251475404,0.9559939677565746,0.09339037078138483,-0.008964804955331368,-0.08846020460405894,0.5051710421638823,3142
DHI,1Month,1Min,0.001,1.0,20,0.09710209451848928,-0.17691154422788602,0.9232811512882384,0.9763491986160534,0.09745812264483389,-0.01907898986766408,-0.09427945982540883,0.504920257889379,2947
DHI,1Month,1Min,0.001,1.0,30,0.1363192509459874,-0.17691154422788602,1.2313505732869616,1.3050052818474318,0.13515333599106794,0.06247955699414441,-0.0913432540731543,0.5043867502238137,2792
DHI,1Month,1Min,0.001,1.5,10,0.06475994580806921,-0.17691154422788602,0.6673121449720101,0.6791121118654507,0.06464933305193553,0.005927564417947535,-0.09334630713582906,0.5011985985616817,2711
DHI,1Month,1Min,0.001,1.5,20,0.06227078133085917,-0.17691154422788602,0.6588433223641738,0.6442778969181838,0.06227954552144481,-0.0004696592516397572,-0.08916569380694069,0.5008305647840532,2408
DHI,1Month,1Min,0.001,1.5,30,0.03561123099338337,-0.17691154422788602,0.411294937748971,0.3816923662349,0.03549481989663095,0.0062382884134084046,-0.09116086626281861,0.49744897959183676,2156
DHI,1Month,1Min,0.001,2.0,10,0.023518121408727666,-0.17691154422788602,0.2932216128748718,0.27706647614790886,0.023471607759694736,0.00249259362657318,-0.08478243541874111,0.49776785714285715,2240
DHI,1Month,1Min,0.001,2.0,20,0.0025969002723364998,-0.17691154422788602,0.07441225457646729,0.06450476247660308,0.0026251991431007404,-0.0015164921775159895,-0.10555234306807437,0.49392384553065083,1851
DHI,1Month,1Min,0.001,2.0,30,-0.011637829431876079,-0.17691154422788602,-0.08375661573901792,-0.06817991853858783,-0.011407675756884719,-0.012333575097703078,-0.13937164348389777,0.48752694795195567,1623
DHI,1Month,1Min,0.01,1.0,10,-0.024177224473533765,-0.17691154422788602,-0.1676289869126354,-0.19073413064722053,-0.024766699481078826,0.031589042730032525,-0.15441416365952812,0.49726162055891027,3560
DHI,1Month,1Min,0.01,1.0,20,-0.03339356165337237,-0.17691154422788602,-0.25604022613061606,-0.285005481139554,-0.035120807685710374,0.09256041057284915,-0.16324053237242034,0.4959765910753475,3417
DHI,1Month,1Min,0.01,1.0,30,-0.02798341666547599,-0.17691154422788602,-0.2068191291849398,-0.2263126375804544,-0.029679341791664936,0.09088197225057612,-0.16119434613728806,0.4952438471991545,3311
DHI,1Month,1Min,0.01,1.5,10,-0.03109045442882774,-0.17691154422788602,-0.24008521826317678,-0.2639301839572555,-0.03161716785856059,0.02822574803909915,-0.14659252073764065,0.49693159706630746,3340
DHI,1Month,1Min,0.01,1.5,20,-0.01672060819894161,-0.17691154422788602,-0.1075560596672529,-0.11650145351704898,-0.017015763116948333,0.015816889940292896,-0.14529251272871785,0.4972642420341165,3107
DHI,1Month,1Min,0.01,1.5,30,-0.038278677909250436,-0.17691154422788602,-0.32209285492875206,-0.33879170105990414,-0.04011189298741481,0.0982391258259541,-0.15683852961426684,0.49420783645655875,2935
DHI,1Month,1Min,0.01,2.0,10,-0.025687184865158308,-0.17691154422788602,-0.2026197558194166,-0.21996294572133002,-0.02627115727097108,0.03129416691846664,-0.1519790676828594,0.4943126421839454,3077
DHI,1Month,1Min,0.01,2.0,20,-0.013186521959667852,-0.17691154422788602,-0.08000862748601623,-0.08196560281534358,-0.013318862262034744,0.007091909602382228,-0.14124324548149,0.49662642045454547,2816
DHI,1Month,1Min,0.01,2.0,30,0.023466879588488476,-0.17691154422788602,0.28247040824295444,0.27879381975683537,0.022578911532927164,0.04758481783112058,-0.12003547443714821,0.49970697401836295,2559
DHI,1Month,1Min,0.1,1.0,10,-0.09679644265426401,-0.17691154422788602,-0.8176787752169092,-0.9309895004384567,-0.09907984527056621,0.12236397114889404,-0.1416370720349158,0.4939837823698666,3823
DHI,1Month,1Min,0.1,1.0,20,-0.09711258033853332,-0.17691154422788602,-0.8260261144395339,-0.9330313791295899,-0.09953224562394739,0.12966607424400156,-0.14878941837541676,0.49318181818181817,3740
DHI,1Month,1Min,0.1,1.0,30,-0.08100550921745042,-0.17691154422788602,-0.6780315853138288,-0.7590822746815588,-0.08340265013355827,0.1284590285586477,-0.14852719769409392,0.4945025111985883,3683
DHI,1Month,1Min,0.1,1.5,10,-0.09178779331730536,-0.17691154422788602,-0.7831070287260178,-0.8859243650158363,-0.0933872498912526,0.08571237357402073,-0.14677881437402038,0.4928878153515835,3726
DHI,1Month,1Min,0.1,1.5,20,-0.10536996426512368,-0.17691154422788602,-0.9238285934185317,-1.0298158403336837,-0.10754805874244286,0.11672067285876218,-0.15330882363754778,0.4921248963802155,3619
DHI,1Month,1Min,0.1,1.5,30,-0.08237802690379559,-0.17691154422788602,-0.7052529155153141,-0.7736645324375891,-0.0849969898038278,0.1403461213767631,-0.1628872471222293,0.49447278911564624,3528
DHI,1Month,1Min,0.1,2.0,10,-0.07913523510039433,-0.17691154422788602,-0.6784208831349914,-0.7626368761584907,-0.08058888423318772,0.07789878108916258,-0.14661553824811258,0.49245883492458836,3613
DHI,1Month,1Min,0.1,2.0,20,-0.04499497156730348,-0.17691154422788602,-0.3583224087206695,-0.39901727848411445,-0.04646402659360611,0.07872435880175198,-0.11593944098723494,0.494279176201373,3496
DHI,1Month,1Min,0.1,2.0,30,-0.0621523277378212,-0.17691154422788602,-0.5139362656209442,-0.5612717965121504,-0.06490586349267642,0.14755766996982428,-0.1448216892164685,0.49511545293072823,3378
DHI,1Month,5Min,0.001,1.0,10,-0.061287480513351644,-0.1724137931034483,-0.5990923595864639,-0.6734408694194771,-0.0607367643001781,0.11952810529940248,-0.16334593792673097,0.4935064935064935,731
DHI,1Month,5Min,0.001,1.0,20,-0.06330802576592631,-0.1724137931034483,-0.6263249541647689,-0.6672179614575109,-0.06286926578977477,0.09522898977023554,-0.15707068912512767,0.490551776266062,661
DHI,1Month,5Min,0.001,1.0,30,-0.06364258081686414,-0.1724137931034483,-0.6385630997436736,-0.6628298123191413,-0.06326731866013681,0.08144734712949153,-0.1482846978565937,0.4896,625
DHI,1Month,5Min,0.001,1.5,10,-0.0030849350727539804,-0.1724137931034483,0.01553787396241764,0.016824784136127327,-0.0029076613574692896,0.03847569909965174,-0.11919536270000011,0.5,625
DHI,1Month,5Min,0.001,1.5,20,-0.04975426952346229,-0.1724137931034483,-0.5127044918899331,-0.49984344398824126,-0.04934745101830782,0.08829637471836405,-0.14136351824616825,0.4928952042628774,563
DHI,1Month,5Min,0.001,1.5,30,-0.03745060027675795,-0.1724137931034483,-0.377477477300705,-0.356555361908322,-0.03703379864828924,0.0904631237375088,-0.1342080015207906,0.484251968503937,508
DHI,1Month,5Min,0.001,2.0,10,0.005596915017028525,-0.1724137931034483,0.10670806426174172,0.10851776025971945,0.005716839534945074,0.02602856074076089,-0.11575097901256214,0.4954545454545455,550
DHI,1Month,5Min,0.001,2.0,20,0.02854332415670835,-0.1724137931034483,0.359232128682376,0.33541929283368027,0.02857898630619566,0.007740155559536875,-0.09997981921323228,0.5,469
DHI,1Month,5Min,0.001,2.0,30,0.031006408363568383,-0.1724137931034483,0.39256954799533295,0.3457430995843448,0.03107387581978678,0.014643217356330483,-0.0870778416693516,0.489281210592686,396
DHI,1Month,5Min,0.01,1.0,10,-0.04052487892989676,-0.1724137931034483,-0.3287350432379696,-0.3729388420637086,-0.040273009715795595,0.054665995343185524,-0.11164387344654793,0.49752781211372066,809
DHI,1Month,5Min,0.01,1.0,20,-0.03964469844767682,-0.1724137931034483,-0.3240859632716414,-0.3543846952281675,-0.039419705854670015,0.048832661369329414,-0.12390998876417054,0.4976867151354924,756
DHI,1Month,5Min,0.01,1.0,30,-0.03322023428675458,-0.1724137931034483,-0.2632446013080115,-0.2792776272427598,-0.03299739088538419,0.04836619824716008,-0.10346024799094963,0.5027816411682893,719
DHI,1Month,5Min,0.01,1.5,10,-0.0052725533526729595,-0.1724137931034483,0.002951924964078118,0.0032600925035234,-0.005313361621721111,-0.008857075501310523,-0.10052287626215994,0.500990099009901,757
DHI,1Month,5Min,0.01,1.5,20,0.001899594646656233,-0.1724137931034483,0.07031468755299938,0.07508510249340217,0.00174433825469509,-0.033697032923359835,-0.09052846489251083,0.5017618040873855,709
