symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
DRI,1Month,1Min,0.001,1.0,10,0.19459599404226546,-0.06906307977736548,1.591612263584072,2.312883784855303,0.19408477573519947,0.012706590321400755,-0.052089493792699657,0.4966308504826079,2745
DRI,1Month,1Min,0.001,1.0,20,0.1691110445898607,-0.06906307977736548,1.4115206017875186,1.9397356064038815,0.1680822068328745,0.025572284295219086,-0.048913513523173774,0.49642926076047095,2590
DRI,1Month,1Min,0.001,1.0,30,0.12966833371672792,-0.06906307977736548,1.1187295488229925,1.4999068060047358,0.1271251143783435,0.06321300662290728,-0.05848519309773001,0.4942319368548877,2470
DRI,1Month,1Min,0.001,1.5,10,0.15013922831098148,-0.06906307977736548,1.2992231965147616,1.7715540276562072,0.14966040991070842,0.011901274204236503,-0.0464902225630165,0.49717395855139207,2388
DRI,1Month,1Min,0.001,1.5,20,0.16416023852092576,-0.06906307977736548,1.427687350551966,1.8554029521844608,0.16293374887121578,0.030485022341523577,-0.04710015812294692,0.4963348309292977,2114
DRI,1Month,1Min,0.001,1.5,30,0.11484413537670002,-0.06906307977736548,1.053725798805241,1.3385818732284234,0.11342524595326761,0.03526721630607847,-0.053381767136671664,0.4910302409021015,1951
DRI,1Month,1Min,0.001,2.0,10,0.16211769584482294,-0.06906307977736548,1.470880458185946,1.9600832767501022,0.1613613707488105,0.018798843883310837,-0.05428492896634695,0.49510173323285606,1990
DRI,1Month,1Min,0.001,2.0,20,0.1373475392771455,-0.06906307977736548,1.2841838167101733,1.6636285557850157,0.1365110829524141,0.02079054621714506,-0.06757885905073387,0.49005847953216375,1710
DRI,1Month,1Min,0.001,2.0,30,0.11009152408704859,-0.06906307977736548,1.0480814597104817,1.1777734460848408,0.10906130193659311,0.025606694097087615,-0.06250627235209012,0.49162198391420914,1492
DRI,1Month,1Min,0.01,1.0,10,0.15156197893420642,-0.06906307977736548,1.257287354100682,1.8504874875721904,0.1499043360196694,0.041201555427621134,-0.04440251908041784,0.5025330936427521,3059
DRI,1Month,1Min,0.01,1.0,20,0.12221213526831498,-0.06906307977736548,1.062695442126483,1.59934365494489,0.12087421260289002,0.033254746467983064,-0.05052119721851259,0.49784964734216414,2906
DRI,1Month,1Min,0.01,1.0,30,0.1408631306986976,-0.06906307977736548,1.2173107522110738,1.839871048491564,0.1385836117485872,0.056658599718696565,-0.04625615443758006,0.498840734795791,2803
DRI,1Month,1Min,0.01,1.5,10,0.13392269183058558,-0.06906307977736548,1.1652148175725032,1.7673706145171761,0.1329395199740246,0.0244372351775708,-0.05575056447761338,0.500786300891141,2861
DRI,1Month,1Min,0.01,1.5,20,0.11317919540762111,-0.06906307977736548,1.0010669294647738,1.413762164183239,0.11163319036390976,0.03842673952347943,-0.04717930298955045,0.499534710589987,2686
DRI,1Month,1Min,0.01,1.5,30,0.10883586981697291,-0.06906307977736548,0.9752854129714488,1.3632105688009355,0.10695031045834238,0.04686653424895405,-0.04901461551372189,0.5000984058256249,2540
DRI,1Month,1Min,0.01,2.0,10,0.1614385455070786,-0.06906307977736548,1.4193195753726373,2.216968571085678,0.15920683722012424,0.05547024143550996,-0.045422452023822404,0.501419647927314,2641
DRI,1Month,1Min,0.01,2.0,20,0.15237478286889727,-0.06906307977736548,1.35042384472719,1.9646961252516244,0.15108081685973124,0.03216218148104769,-0.04574925001103776,0.4972961730449251,2404
