symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
DUK,1Month,1Min,0.001,1.0,10,0.253783306752575,0.018903150525087398,3.5938299019668873,4.921900206075659,0.2543440300550022,-0.01617194058870012,-0.028886282004219912,0.5030177890724269,3148
DUK,1Month,1Min,0.001,1.0,20,0.19906713371353657,0.018903150525087398,2.9747050536589827,3.8771639104008435,0.19934700898611607,-0.008071942544226761,-0.03128632426284816,0.5005079580088047,2953
DUK,1Month,1Min,0.001,1.0,30,0.21861460909284114,0.018903150525087398,3.245492561940057,4.185155411716834,0.2194030339886396,-0.02273913090166092,-0.02907319144106116,0.5028551034975017,2802
DUK,1Month,1Min,0.001,1.5,10,0.23102306741446577,0.018903150525087398,3.52090079752389,4.633391347916747,0.23174168091038216,-0.020725685399361333,-0.024395963958705434,0.5029422581831555,2719
DUK,1Month,1Min,0.001,1.5,20,0.18410197689915964,0.018903150525087398,2.9091578566816123,3.4266848399391185,0.18455131454425958,-0.012959443043238759,-0.030876179481328987,0.5012315270935961,2436
DUK,1Month,1Min,0.001,1.5,30,0.1817028817344868,0.018903150525087398,2.8923596305685555,3.3257236165242436,0.18245780160892752,-0.02177280542084906,-0.029878425006953268,0.4998880179171333,2232
DUK,1Month,1Min,0.001,2.0,10,0.19000183016425676,0.018903150525087398,3.269442345039356,3.929560319378506,0.19094201783179,-0.027116153432108013,-0.01948713861600506,0.5016987542468856,2207
DUK,1Month,1Min,0.001,2.0,20,0.186397707542997,0.018903150525087398,3.1903505339777154,3.489759836538469,0.18686471824441234,-0.013469155437062435,-0.022866459168802894,0.5041835357624831,1852
DUK,1Month,1Min,0.001,2.0,30,0.16406757366688485,0.018903150525087398,2.843594343333279,2.8416529375043504,0.1645486173962411,-0.013873884994685262,-0.026683290530300736,0.49968513853904284,1588
DUK,1Month,1Min,0.01,1.0,10,0.20237369675062777,0.018903150525087398,2.5621149861924044,2.7915200591945757,0.20280678986314873,-0.012490931007763868,-0.043708128046354176,0.5048855388051368,3582
DUK,1Month,1Min,0.01,1.0,20,0.17433296870354842,0.018903150525087398,2.265950243079913,2.3900698444238184,0.17495206915475742,-0.017855608411580355,-0.04468431959464443,0.5030276177817161,3385
DUK,1Month,1Min,0.01,1.0,30,0.1868555149353477,0.018903150525087398,2.418721408472301,2.52826062221179,0.18785921560602314,-0.02894794552810252,-0.04461075516685001,0.5024472315692873,3269
DUK,1Month,1Min,0.01,1.5,10,0.21128411660480273,0.018903150525087398,2.784518943128464,2.919836307361326,0.21178671912335467,-0.014495666640869577,-0.042062983607866915,0.5057938299473288,3322
DUK,1Month,1Min,0.01,1.5,20,0.16284864589783954,0.018903150525087398,2.1828852054164165,2.163017488511539,0.16346389672351416,-0.017744580538900316,-0.043222193037649605,0.5037841395195788,3039
DUK,1Month,1Min,0.01,1.5,30,0.17908156677104747,0.018903150525087398,2.3944217512354484,2.325907034794384,0.17967002958358597,-0.0169719817275944,-0.043222193037648515,0.5049862448418156,2908
DUK,1Month,1Min,0.01,2.0,10,0.12571406732137547,0.018903150525087398,1.841063427809556,1.7672233476919401,0.12643255629550373,-0.020722094039860157,-0.0458511300843296,0.5008369601606963,2987
DUK,1Month,1Min,0.01,2.0,20,0.13951713951216038,0.018903150525087398,2.0416938235449504,1.8524167180425406,0.13947724115616067,0.0011507170114407072,-0.04220372145248224,0.5017968602231889,2643
DUK,1Month,1Min,0.01,2.0,30,0.17272870590041833,0.018903150525087398,2.4423854596414505,2.180293375037122,0.1730511673092313,-0.009300178399752905,-0.038840851115927284,0.5033407572383074,2469
DUK,1Month,1Min,0.1,1.0,10,0.19055459791348017,0.018903150525087398,2.680849381214316,3.896900914146162,0.19112850802002196,-0.0165522640241127,-0.025043657332046235,0.5039574412871416,3853
DUK,1Month,1Min,0.1,1.0,20,0.18587359638267897,0.018903150525087398,2.6388540028059637,3.724525228957558,0.18630006052460588,-0.012299743450286876,-0.02612000189893039,0.5045786330457863,3767
DUK,1Month,1Min,0.1,1.0,30,0.1960269520667992,0.018903150525087398,2.7637071931970447,3.95157835828227,0.19666539502841962,-0.018413469887740726,-0.025678966349937812,0.5035087719298246,3705
DUK,1Month,1Min,0.1,1.5,10,0.17604432978570572,0.018903150525087398,2.5708167727466744,3.708091183890137,0.176513087623345,-0.013519544966250907,-0.024675804803121718,0.5028286637931034,3712
DUK,1Month,1Min,0.1,1.5,20,0.19771578964819314,0.018903150525087398,2.873900625805487,4.155766113571602,0.1977063950912193,0.000270950425246676,-0.024013270441523585,0.5022383883603805,3574
DUK,1Month,1Min,0.1,1.5,30,0.18838098900186262,0.018903150525087398,2.7654820136352676,3.9006503075636614,0.18866189267892436,-0.008101602977663153,-0.022280479357450096,0.5031663788140472,3474
DUK,1Month,1Min,0.1,2.0,10,0.1642360901878741,0.018903150525087398,2.5238220524618202,3.6093785857582716,0.16470294434124802,-0.013464640401546645,-0.022369452266346977,0.502106149957877,3561
DUK,1Month,1Min,0.1,2.0,20,0.1757608225708498,0.018903150525087398,2.691941338710867,3.8273705477620044,0.1752046778780416,0.016039887930254085,-0.022612484929655154,0.5018493860038468,3379
DUK,1Month,1Min,0.1,2.0,30,0.20219356946507383,0.018903150525087398,3.0372214566535884,4.237659406218249,0.2021658587831667,0.0007992096984990566,-0.023533357249153914,0.50390625,3200
DUK,1Month,5Min,0.001,1.0,10,0.2187055312643229,0.018903150525087398,3.1938052866849542,4.433005025412636,0.21868932555422532,-0.004661414969794844,-0.024317630300950403,0.5322812051649928,697
DUK,1Month,5Min,0.001,1.0,20,0.20764414450042312,0.018903150525087398,3.1249893821924855,4.109590100250069,0.20766728227001258,0.006655354494332429,-0.024317630300950313,0.5331230283911672,634
DUK,1Month,5Min,0.001,1.0,30,0.20297914841671316,0.018903150525087398,3.0721356315708745,3.8923124575607773,0.20301594537843684,0.010584288327306155,-0.024317630300950247,0.534468085106383,587
DUK,1Month,5Min,0.001,1.5,10,0.1765899188523783,0.018903150525087398,2.850931876267042,3.6661644963766884,0.17657824256532084,-0.003358570463956387,-0.022324844057031088,0.5344234079173839,581
DUK,1Month,5Min,0.001,1.5,20,0.1698866979356881,0.018903150525087398,2.7425679653153394,3.2280090569207562,0.16991862744489705,0.00918421292917089,-0.02431763030095039,0.534838076545633,509
DUK,1Month,5Min,0.001,1.5,30,0.20835889648707284,0.018903150525087398,3.3352234476346347,3.81691489368141,0.20840373880652302,0.012898457266391997,-0.024317630300950396,0.5430752453653217,458
DUK,1Month,5Min,0.001,2.0,10,0.13422872787572593,0.018903150525087398,2.408656543796813,2.872959558522089,0.13422641043436406,-0.0006665894793108952,-0.017700465400167634,0.5313152400835073,479
DUK,1Month,5Min,0.001,2.0,20,0.14180049898191038,0.018903150525087398,2.5240996520130214,2.6676166990619934,0.14178130275464346,-0.005521608161986873,-0.022392830879519248,0.5331599479843954,384
DUK,1Month,5Min,0.001,2.0,30,0.15008457950958976,0.018903150525087398,2.682578225551631,2.8291551294970567,0.15013734796639205,0.015178333623760252,-0.021949906843068703,0.5208333333333334,360
DUK,1Month,5Min,0.01,1.0,10,0.2176886916589016,0.018903150525087398,3.1551650087692775,4.683043050046862,0.2175569528704514,-0.037893381831839275,-0.020527491075579624,0.5190268247036806,801
DUK,1Month,5Min,0.01,1.0,20,0.22508967219718246,0.018903150525087398,3.2729400798361894,4.776322515131167,0.22500256808523122,-0.025054651041815104,-0.021170979864673083,0.5232558139534884,774
DUK,1Month,5Min,0.01,1.0,30,0.24283780494772245,0.018903150525087398,3.515218718081132,5.073270219474758,0.24275196856224823,-0.024690001844591494,-0.018684399145898437,0.52443857331572,757
DUK,1Month,5Min,0.01,1.5,10,0.20371514272668034,0.018903150525087398,3.113490523989296,4.529143923218542,0.20359516651223672,-0.034509991765785605,-0.01868439914589969,0.521768251841929,746
DUK,1Month,5Min,0.01,1.5,20,0.2110876415902989,0.018903150525087398,3.1838982034225647,4.4339973661323535,0.21095601743432357,-0.03786040891481932,-0.018684399145899748,0.5271700776287932,708
DUK,1Month,5Min,0.01,1.5,30,0.22552443080206475,0.018903150525087398,3.4146628580549825,4.657291114802459,0.2254569631940801,-0.019406401567218897,-0.018684399145898676,0.5284005979073244,669
DUK,1Month,5Min,0.01,2.0,10,0.18232428279762747,0.018903150525087398,3.000311466581315,4.204479581350561,0.1822275780331608,-0.027816185407523196,-0.01868439914589884,0.5236728837876614,697
DUK,1Month,5Min,0.01,2.0,20,0.17795611400101774,0.018903150525087398,2.8813717132553283,3.7250143100023694,0.17792114485308064,-0.010058535460238301,-0.02019312587828981,0.5246422893481717,629
DUK,1Month,5Min,0.01,2.0,30,0.195073680048361,0.018903150525087398,3.173748592840321,4.002517049368765,0.19501552763634142,-0.016726976003227968,-0.018684399145898898,0.5288461538461539,572
DUK,1Month,5Min,0.1,1.0,10,0.0972625816062489,0.018903150525087398,1.3054654389036202,1.8476887024640667,0.09723647918225146,-0.007508108514641795,-0.03825354418144974,0.4988249118683901,851
DUK,1Month,5Min,0.1,1.0,20,0.09887477161108404,0.018903150525087398,1.3263632140561468,1.8439990367490355,0.0988275296881014,-0.013588679895357104,-0.0372741689718581,0.49818401937046003,826
DUK,1Month,5Min,0.1,1.0,30,0.10012206162261195,0.018903150525087398,1.350037583840646,1.8566429719374535,0.10012426944813409,0.0006350595486160718,-0.03703852337931095,0.495,800
DUK,1Month,5Min,0.1,1.5,10,0.09922756115006037,0.018903150525087398,1.3635804039074,1.8962532646187586,0.09912092655129325,-0.030672405713641653,-0.03727416897185855,0.4972067039106145,805
DUK,1Month,5Min,0.1,1.5,20,0.10160419000651477,0.018903150525087398,1.4061170616154224,1.940364864387975,0.10157416573048399,-0.008636191126725245,-0.03703852337930965,0.4967700258397933,774
