symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
D,1Month,1Min,0.001,1.0,10,0.34460351657847976,-0.06575589250863234,3.8516074771515743,5.107278328011026,0.34331362469030546,0.037076231154923533,-0.06296994641697581,0.5151958394279214,3076
D,1Month,1Min,0.001,1.0,20,0.40812044113854795,-0.06575589250863234,4.4748499408692055,5.808625628167768,0.40665935932104136,0.0419968585730103,-0.06316913502996209,0.5197243755383291,2902
D,1Month,1Min,0.001,1.0,30,0.3998125578326437,-0.06575589250863234,4.361641683596903,5.621793682439537,0.398255563206303,0.04475374502500857,-0.06373604166218572,0.5201091901728845,2747
D,1Month,1Min,0.001,1.5,10,0.28543302373403723,-0.06575589250863234,3.6364332177235563,4.337116141286111,0.2845248637744654,0.02610385327284147,-0.05302751918917511,0.5165170899369869,2618
D,1Month,1Min,0.001,1.5,20,0.34239408386882464,-0.06575589250863234,4.205766048266649,4.842882848762466,0.34108368546285317,0.03766566380505494,-0.05447859893264178,0.524146812620734,2329
D,1Month,1Min,0.001,1.5,30,0.3691109774325263,-0.06575589250863234,4.582534859632528,5.116044712627755,0.3675316952846909,0.04539437026374867,-0.05252784371254073,0.5238992229809277,2123
D,1Month,1Min,0.001,2.0,10,0.27329965245733323,-0.06575589250863234,3.7839289998826824,4.170648947388997,0.27269249010434,0.017452076375181005,-0.05134711904668904,0.5179570895522388,2144
D,1Month,1Min,0.001,2.0,20,0.25627230743463447,-0.06575589250863234,3.6275684621122153,3.556228393873759,0.2551419782082766,0.03248981411684539,-0.04454185961415363,0.518235294117647,1700
D,1Month,1Min,0.001,2.0,30,0.27279100487329155,-0.06575589250863234,3.862862657174896,3.585819000076063,0.2710020434587863,0.05142132262364652,-0.039427093458439574,0.5150804289544236,1492
D,1Month,1Min,0.01,1.0,10,0.3805706500858166,-0.06575589250863234,4.046884037949655,5.7819711293559175,0.37869000313297263,0.05405670179315209,-0.05364757930086266,0.5133371991881704,3449
D,1Month,1Min,0.01,1.0,20,0.42110033097387256,-0.06575589250863234,4.431845145398374,6.245618013461176,0.419133014594994,0.05654789946885168,-0.05195893913655116,0.5150370258425269,3308
D,1Month,1Min,0.01,1.0,30,0.46978004007397134,-0.06575589250863234,4.795280869987213,7.089469936892141,0.4682662859207477,0.04351085498807297,-0.0505264464163116,0.515561144294247,3181
D,1Month,1Min,0.01,1.5,10,0.39127794889729595,-0.06575589250863234,4.379442195617984,6.464507836119045,0.3900913123903399,0.03410829220039934,-0.050981201812330505,0.5134159736387887,3186
D,1Month,1Min,0.01,1.5,20,0.3781315043007418,-0.06575589250863234,4.267980540275213,5.912746769132951,0.37647570073741554,0.04759387683871961,-0.05035488083396438,0.5139381652306133,2959
D,1Month,1Min,0.01,1.5,30,0.34395228437796854,-0.06575589250863234,3.9794519066037886,5.363028689196629,0.34222523296995744,0.04964180161679043,-0.04906250430360917,0.5112115732368897,2765
D,1Month,1Min,0.01,2.0,10,0.26625549438428875,-0.06575589250863234,3.4918485774911194,4.613129333247253,0.2651057938610709,0.03304661634712172,-0.04331719561521803,0.5116319145269688,2901
D,1Month,1Min,0.01,2.0,20,0.2905373163783478,-0.06575589250863234,3.708889382848347,4.777509301664793,0.28927859481052765,0.03618028164689214,-0.04883613769050139,0.5128009170806267,2617
D,1Month,1Min,0.01,2.0,30,0.3082319807113034,-0.06575589250863234,3.830595380955973,4.881573827514792,0.306971258149826,0.03623779755505152,-0.04483403684160067,0.5112982744453575,2434
D,1Month,1Min,0.1,1.0,10,0.33025958195490124,-0.06575589250863234,3.4432569137830664,5.2750759653978205,0.3280637689679309,0.06311573134483796,-0.03657354109355232,0.5072561139478635,3721
D,1Month,1Min,0.1,1.0,20,0.368567771364249,-0.06575589250863234,3.7712287276852257,5.7144202981296965,0.3660950100771122,0.07107624283349233,-0.037941599360382695,0.5091408934707904,3637
D,1Month,1Min,0.1,1.0,30,0.3740613887333841,-0.06575589250863234,3.856603799021613,5.949544981356311,0.3718465948581455,0.06366131179806242,-0.03575610121887347,0.5079187105816398,3567
D,1Month,1Min,0.1,1.5,10,0.29794650588024685,-0.06575589250863234,3.2855017493226892,4.855441412760304,0.2954628772021774,0.07138861156916981,-0.037584155469876146,0.506761466610902,3586
D,1Month,1Min,0.1,1.5,20,0.32777550726026217,-0.06575589250863234,3.60404711682953,5.241597078468003,0.32511335502732214,0.07652003432456735,-0.03575610121887159,0.508435136707388,3438
D,1Month,1Min,0.1,1.5,30,0.33496590826872796,-0.06575589250863234,3.6386212797078,5.432000403067543,0.3327726999729311,0.06304086295243976,-0.03614056966293371,0.5076370170709793,3339
D,1Month,1Min,0.1,2.0,10,0.18519775999432952,-0.06575589250863234,2.337469647417102,3.164054111515413,0.18298128103282668,0.06370974736729149,-0.037047412474831225,0.5055425904317387,3428
D,1Month,1Min,0.1,2.0,20,0.24951501250877928,-0.06575589250863234,3.0373224641063934,4.2176451352037025,0.24757375042613416,0.05579900328725221,-0.03575610121887049,0.5061881188118812,3232
D,1Month,1Min,0.1,2.0,30,0.2870982623136844,-0.06575589250863234,3.3874641969706785,4.752133877229147,0.28510232759970405,0.05737049554626736,-0.03614056966293197,0.5063453815261044,3112
D,1Month,5Min,0.001,1.0,10,0.3211696355058349,-0.06575589250863234,4.051522599366275,5.7483438317748154,0.32112226932098775,-0.02192258369211288,-0.037527257402235295,0.5372262773722628,685
D,1Month,5Min,0.001,1.0,20,0.3507173681641178,-0.06575589250863234,4.301741012554869,6.205058306533828,0.35083051498219514,0.052367962435686394,-0.03146125032924102,0.5384615384615384,630
D,1Month,5Min,0.001,1.0,30,0.3380940777250272,-0.06575589250863234,4.238566616926039,5.9201878409947035,0.3382307193843022,0.06324212559979124,-0.02580569680406256,0.5379369138959932,586
D,1Month,5Min,0.001,1.5,10,0.27436358714016573,-0.06575589250863234,3.8812552508674507,5.316853116976878,0.27426167276080654,-0.04716923092163575,-0.03676335048964768,0.5314384151593454,580
D,1Month,5Min,0.001,1.5,20,0.3140995925834533,-0.06575589250863234,4.26398039753968,5.29880104333851,0.3140873324401541,-0.005674386029239028,-0.02863967315018073,0.5459081836327345,501
D,1Month,5Min,0.001,1.5,30,0.28413065712231544,-0.06575589250863234,4.032167412469709,4.821757322693421,0.2841345752045848,0.0018134136565914527,-0.026347394452598462,0.5399568034557235,463
D,1Month,5Min,0.001,2.0,10,0.18322987368949595,-0.06575589250863234,3.0314676966818026,3.6533419871403234,0.18312496950732857,-0.04855300718516405,-0.03504454066815038,0.5241521068859198,486
D,1Month,5Min,0.001,2.0,20,0.21858642851362364,-0.06575589250863234,3.4691079246567944,3.8709043485923873,0.21852376152124667,-0.02900428627618145,-0.02745892719069783,0.5300400534045394,374
D,1Month,5Min,0.001,2.0,30,0.19413275684654252,-0.06575589250863234,3.1990964377790396,3.1854208142992295,0.19413098375962473,-0.0008206412755039828,-0.026112143509285684,0.5290780141843971,352
D,1Month,5Min,0.01,1.0,10,0.2616282055598975,-0.06575589250863234,3.213372347188588,4.766389979578463,0.2617964088760468,0.0778498687929652,-0.038980655343199805,0.5249841872232764,790
D,1Month,5Min,0.01,1.0,20,0.2628505502927956,-0.06575589250863234,3.2345608709695166,4.6864425362789355,0.263058582184388,0.0962838060270256,-0.03248988475511147,0.5320261437908497,765
D,1Month,5Min,0.01,1.0,30,0.25776318331342307,-0.06575589250863234,3.2084799903035948,4.572050398585263,0.2579234636622516,0.0741828663789003,-0.03248988475511115,0.5308310991957105,746
D,1Month,5Min,0.01,1.5,10,0.23024195884684517,-0.06575589250863234,3.165387059474707,4.433087445765583,0.2302431446784884,0.0005488407716853904,-0.03442279938908671,0.5292535305985205,743
D,1Month,5Min,0.01,1.5,20,0.30873793194531696,-0.06575589250863234,3.8585970501474596,5.612138045330034,0.30888386760968145,0.06754368809770867,-0.031838108040990576,0.5356633380884451,701
D,1Month,5Min,0.01,1.5,30,0.2817130966178847,-0.06575589250863234,3.6448134704785815,5.154459219007336,0.28184337132788556,0.0602952980523147,-0.033006929524310405,0.5368188512518409,679
D,1Month,5Min,0.01,2.0,10,0.16901805902850464,-0.06575589250863234,2.543556188285423,3.2790555233620218,0.16898405560182359,-0.015737872274058626,-0.037029398656383425,0.5248538011695907,684
D,1Month,5Min,0.01,2.0,20,0.21480022165311863,-0.06575589250863234,3.136629547612773,3.9333850924937397,0.21476634839278524,-0.01567762712956492,-0.03236330401319984,0.5353371242891958,615
D,1Month,5Min,0.01,2.0,30,0.2595800241112505,-0.06575589250863234,3.5923378232580023,4.779414493183895,0.2595930721916326,0.006039068485688182,-0.030502321060691635,0.5321739130434783,575
D,1Month,5Min,0.1,1.0,10,0.20516969009936847,-0.06575589250863234,2.5447779209004158,3.3773142601921413,0.20526542981831836,0.04431140080441593,-0.03870028354663285,0.5314984709480123,817
D,1Month,5Min,0.1,1.0,20,0.2178733551303138,-0.06575589250863234,2.7112397769549075,3.5888045934369406,0.21800618894736104,0.06147973455658623,-0.038700283546633345,0.5318210459987398,793
D,1Month,5Min,0.1,1.0,30,0.20667592487248476,-0.06575589250863234,2.609560835177932,3.4021913032677293,0.20680368267729274,0.059130393914170035,-0.035625874502206764,0.5309849967384214,766
D,1Month,5Min,0.1,1.5,10,0.17877575681561164,-0.06575589250863234,2.3397683392719566,2.9953851248290686,0.17883272441327575,0.026366424307972116,-0.03870028354663302,0.5284237726098191,774
D,1Month,5Min,0.1,1.5,20,0.19712960751920106,-0.06575589250863234,2.5780018414091757,3.2363665239567814,0.19721402365322768,0.0390704839145319,-0.035625874502207375,0.5308724832214765,745
D,1Month,5Min,0.1,1.5,30,0.2177560071328586,-0.06575589250863234,2.806103065986782,3.6187209426041798,0.21784600513858943,0.04165395247947923,-0.035558909704341626,0.5318711446196025,729
D,1Month,5Min,0.1,2.0,10,0.1566254614869944,-0.06575589250863234,2.17957339751946,2.6672296414393037,0.15662463749617708,-0.00038136927668487835,-0.0356258745022085,0.5267123287671233,730
D,1Month,5Min,0.1,2.0,20,0.1669261213424691,-0.06575589250863234,2.318735997795122,2.729848887235064,0.16698694215006646,0.02814981297475644,-0.03521015067406837,0.5318991097922848,674
