symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
EQR,1Month,1Min,0.001,1.0,10,0.028464143119777185,-0.0782381025720007,0.43612915820422576,0.5313540095321542,0.027026867652818264,0.047237756886003096,-0.09099667902034562,0.4931302764442973,3020
EQR,1Month,1Min,0.001,1.0,20,0.02392050467455764,-0.0782381025720007,0.37747779232209727,0.44690308192977446,0.02235894432350176,0.051322526489703,-0.08025872679918104,0.49240174672489084,2862
EQR,1Month,1Min,0.001,1.0,30,0.034963025295306815,-0.0782381025720007,0.5491207282044763,0.6653677021714507,0.03351646240128008,0.04754299915306418,-0.06781204397754821,0.4922879177377892,2723
EQR,1Month,1Min,0.001,1.5,10,0.01362746393765546,-0.0782381025720007,0.23540997424554108,0.26637959853697646,0.011750627321810439,0.06168445354572368,-0.08381646889685514,0.49295774647887325,2662
EQR,1Month,1Min,0.001,1.5,20,0.021721235219673396,-0.0782381025720007,0.35837297046824884,0.3854721913115073,0.0205030031137257,0.04003863794686581,-0.0878137763488509,0.4927295388450353,2407
EQR,1Month,1Min,0.001,1.5,30,0.03421399805612113,-0.0782381025720007,0.5585238360974608,0.6110141753805916,0.03284119465313798,0.04511880630621613,-0.07174400492022137,0.4914311150678834,2246
EQR,1Month,1Min,0.001,2.0,10,0.007092292655787702,-0.0782381025720007,0.1437381307804803,0.15191694084229787,0.005718104921792976,0.04516430398100272,-0.08594622159878942,0.49104180491041804,2260
EQR,1Month,1Min,0.001,2.0,20,0.033185567274971906,-0.0782381025720007,0.57450949456307,0.5710173710291329,0.032061291460396796,0.03695065338733015,-0.0733020386017225,0.4917321767416644,1844
EQR,1Month,1Min,0.001,2.0,30,0.04483158710614621,-0.0782381025720007,0.7670395933379007,0.7206362141710715,0.043757056588000984,0.03531571542797783,-0.075714546446028,0.49244256348246673,1654
EQR,1Month,1Min,0.01,1.0,10,0.023853290988009812,-0.0782381025720007,0.35895240634361675,0.4799982519048953,0.023351371845373083,0.016496165823014514,-0.07234193350654199,0.4928644990436957,3398
EQR,1Month,1Min,0.01,1.0,20,0.02353343124697238,-0.0782381025720007,0.36152171042653725,0.49695321143151183,0.022713988681983703,0.026931948368172,-0.06933401353187034,0.4920416284052648,3267
EQR,1Month,1Min,0.01,1.0,30,0.022286430634050003,-0.0782381025720007,0.34551220509341696,0.46589733480305423,0.0215187938405991,0.025229290459197154,-0.0648774476931622,0.4920434851110761,3173
EQR,1Month,1Min,0.01,1.5,10,0.009865416162945229,-0.0782381025720007,0.17264262451855406,0.22482965003791372,0.009603292259031011,0.008615011896994752,-0.08377949207123968,0.4919844357976654,3212
