symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
EXE,1Month,1Min,0.001,1.0,10,0.30438365911807486,0.021704206482843658,1.836932529253684,2.1433648100822555,0.29879504174722354,0.14998410761775477,-0.07175305613657601,0.504532186203718,3254
EXE,1Month,1Min,0.001,1.0,20,0.31943590336589645,0.021704206482843658,1.9265008829879045,2.179172999220796,0.3131477717166539,0.16875727061109067,-0.07085987522698921,0.5052219321148825,3064
EXE,1Month,1Min,0.001,1.0,30,0.29858249537803716,0.021704206482843658,1.834608152164545,2.0309942395995275,0.292602895797958,0.16047706389909058,-0.06950897977167583,0.5026572947025544,2916
EXE,1Month,1Min,0.001,1.5,10,0.28766753884832474,0.021704206482843658,1.806031681167642,1.9856052148242644,0.2818173792972441,0.15700322664184405,-0.07134640171874575,0.5013243863676496,2831
EXE,1Month,1Min,0.001,1.5,20,0.1966314258999804,0.021704206482843658,1.3733183901056965,1.3492035686551245,0.19187592178558593,0.12762549187749506,-0.06563378603503807,0.5022858278672232,2515
EXE,1Month,1Min,0.001,1.5,30,0.22178317848175255,0.021704206482843658,1.5444507028533423,1.4537879885932068,0.2173195077822031,0.11979343407248882,-0.06307483971496733,0.5035830618892508,2302
EXE,1Month,1Min,0.001,2.0,10,0.1640893954940834,0.021704206482843658,1.2500117059769489,1.152137279004603,0.15918447126304444,0.13163554326729932,-0.07586007098889821,0.5014780405405406,2368
EXE,1Month,1Min,0.001,2.0,20,0.25884535112351426,0.021704206482843658,1.8678209430364783,1.6487986425612648,0.25525435955779624,0.09637297200846995,-0.0676086301563366,0.5033045246568378,1967
EXE,1Month,1Min,0.001,2.0,30,0.28321419124683556,0.021704206482843658,1.9470731182200869,1.6902807657036494,0.27944043495484144,0.1012779069065879,-0.06951620250424946,0.5078593883966848,1749
EXE,1Month,1Min,0.01,1.0,10,0.2790153422086603,0.021704206482843658,1.685166727250401,2.1458602025726563,0.2739348944291748,0.136346143588045,-0.13210291923319406,0.4941781749255348,3693
EXE,1Month,1Min,0.01,1.0,20,0.30553648141738154,0.021704206482843658,1.8327638353282243,2.292719438485913,0.3005673931856899,0.13335753991521196,-0.12351859844741996,0.4959281100814378,3561
