symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
EXPE,1Month,1Min,0.001,1.0,10,0.21583559181247014,0.13499456239065677,1.1427369081493663,1.1766283597528076,0.21652510694368252,-0.030374461922437965,-0.15481990868236922,0.5144938769183073,3225
EXPE,1Month,1Min,0.001,1.0,20,0.25180214721603655,0.13499456239065677,1.2963276972409632,1.3105581540666789,0.252573633583084,-0.03398545183244876,-0.1490438841485273,0.5162197947699437,3021
EXPE,1Month,1Min,0.001,1.0,30,0.22445536704402058,0.13499456239065677,1.1881083011738816,1.1700747397083286,0.224614190456787,-0.006996475472528798,-0.1748492033007548,0.5162417045057632,2863
EXPE,1Month,1Min,0.001,1.5,10,0.2006664707124206,0.13499456239065677,1.1008284564577702,1.054895574863903,0.20173194430724267,-0.046936152189121165,-0.17013349135317019,0.514441416893733,2752
EXPE,1Month,1Min,0.001,1.5,20,0.09279303736488065,0.13499456239065677,0.5904892548665736,0.5308165073414187,0.09354256540350579,-0.03301814541616911,-0.18224018246602852,0.5132617938854019,2469
EXPE,1Month,1Min,0.001,1.5,30,0.07991869815319341,0.13499456239065677,0.5321632030594632,0.4572193098887329,0.07977484504681011,0.006337004808845004,-0.1873700450202035,0.5115452930728241,2252
EXPE,1Month,1Min,0.001,2.0,10,0.020986308008828614,0.13499456239065677,0.20705178600248533,0.1744322898907747,0.022123585062947884,-0.05009923207177342,-0.1930683995264001,0.509063114217078,2289
EXPE,1Month,1Min,0.001,2.0,20,0.005416361850313578,0.13499456239065677,0.11652045744240197,0.09149586190920045,0.006049189515307082,-0.027877270481378297,-0.20248576245376165,0.5077733860342556,1897
EXPE,1Month,1Min,0.001,2.0,30,0.02949055448242177,0.13499456239065677,0.25770874869243654,0.19228203292186932,0.0288920012680976,0.02636741529525995,-0.16829514491067682,0.5039976310334616,1688
EXPE,1Month,1Min,0.01,1.0,10,0.09062200145835364,0.13499456239065677,0.5314435477837876,0.5811022613810035,0.09247943968231966,-0.08182371068193275,-0.18076772594645657,0.5065567121806137,3698
EXPE,1Month,1Min,0.01,1.0,20,0.08020483109714682,0.13499456239065677,0.48602868486413214,0.5190155616463957,0.08201928158681429,-0.0799300186663749,-0.1694139751818663,0.5082586786114222,3572
EXPE,1Month,1Min,0.01,1.0,30,0.08684199433301476,0.13499456239065677,0.5196383048445827,0.5461107666994846,0.08828730840172574,-0.06366885244249124,-0.15273538846834453,0.5072379849449913,3454
