symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
EXR,1Month,1Min,0.001,1.0,10,0.12966536509155424,-0.08494933905924984,1.5445671641250598,1.7785463383344409,0.12697025909112206,0.07126690615892545,-0.05139344005699064,0.5056437727185766,2613
EXR,1Month,1Min,0.001,1.0,20,0.11014879071293082,-0.08494933905924984,1.3555695530009195,1.4969464213222277,0.10710750760961901,0.08042089531606222,-0.04989860186768541,0.5056619312332715,2428
EXR,1Month,1Min,0.001,1.0,30,0.11158605796768217,-0.08494933905924984,1.3888962079191,1.493053713572396,0.1090877892264508,0.06606192257839298,-0.04811637948225708,0.5068403908794789,2302
EXR,1Month,1Min,0.001,1.5,10,0.11366507820827687,-0.08494933905924984,1.4811002399025532,1.5994550124931355,0.11115918540207789,0.06626352634555768,-0.03983647217042508,0.5051111111111111,2250
EXR,1Month,1Min,0.001,1.5,20,0.10797346394501472,-0.08494933905924984,1.4082156785054902,1.3928176814178939,0.10529051511801577,0.07094543303761403,-0.042489915073292896,0.5062437562437563,2002
EXR,1Month,1Min,0.001,1.5,30,0.10805822615061733,-0.08494933905924984,1.4588338242126901,1.438502418820374,0.1049354303400085,0.08257634243419566,-0.04321009299501653,0.5027427317608338,1823
EXR,1Month,1Min,0.001,2.0,10,0.09872060775653702,-0.08494933905924984,1.4316682596577988,1.504343850325896,0.09609225524631299,0.0695017382131441,-0.03161337113778514,0.5054974524001072,1864
EXR,1Month,1Min,0.001,2.0,20,0.12011869585249446,-0.08494933905924984,1.761555455971128,1.6367959158391931,0.11808937827878765,0.053661408890347644,-0.039862870635716106,0.5071707953063885,1534
EXR,1Month,1Min,0.001,2.0,30,0.10146947313882082,-0.08494933905924984,1.5272992751921795,1.2534774907998163,0.09903971544281433,0.06425027946301663,-0.04521689514172172,0.505259203606311,1331
EXR,1Month,1Min,0.01,1.0,10,0.07015549664695286,-0.08494933905924984,0.8312968082754483,0.9791683205950895,0.0677591070981546,0.06336792284498217,-0.0646511641926346,0.5028504359490275,2982
EXR,1Month,1Min,0.01,1.0,20,0.06402809964226575,-0.08494933905924984,0.7708062806762468,0.8781425012477757,0.06169182848135352,0.061778207447067246,-0.07493064502536217,0.5035832896346792,2860
EXR,1Month,1Min,0.01,1.0,30,0.040339146996513975,-0.08494933905924984,0.5108949736583485,0.5711009112863242,0.038307570690473206,0.05372113673231625,-0.07534977050159952,0.5015345730276223,2769
EXR,1Month,1Min,0.01,1.5,10,0.02756549709054945,-0.08494933905924984,0.3657842912220779,0.40596325251458554,0.025833288431970136,0.04580493379438636,-0.07285249804276678,0.502259989152052,2765
