symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
FANG,1Month,1Min,0.001,1.0,10,0.5175879827143024,0.11099396708252818,2.927299813523646,3.1140835398451086,0.5188926242255738,-0.04985525550486009,-0.0651892079354337,0.5141052012929768,3403
FANG,1Month,1Min,0.001,1.0,20,0.5260754441873658,0.11099396708252818,2.820634756923477,2.566973173380634,0.5190793522657049,0.26734696640918554,-0.10371245731732387,0.5182926829268293,3198
FANG,1Month,1Min,0.001,1.0,30,0.4692378796815193,0.11099396708252818,2.790405266453337,2.7419893157157595,0.4711672053045635,-0.07372678322584618,-0.0651891223748926,0.5170715692711753,3046
FANG,1Month,1Min,0.001,1.5,10,0.4689347260963499,0.11099396708252818,2.9194344734845052,3.051232142281837,0.4699068378250494,-0.037148042734248835,-0.052170632578811715,0.512396694214876,2904
FANG,1Month,1Min,0.001,1.5,20,0.45996656429714844,0.11099396708252818,2.986200830674913,2.8571710014067433,0.4606948970169882,-0.027832330587713613,-0.05126194451417439,0.5193630823668174,2543
FANG,1Month,1Min,0.001,1.5,30,0.4631567726773884,0.11099396708252818,3.0144127738355087,2.694535651622353,0.4636939085768985,-0.02052598148959265,-0.04400461135962287,0.5193346295096133,2314
FANG,1Month,1Min,0.001,2.0,10,0.5829294014390474,0.11099396708252818,3.760220890483339,3.921359761070047,0.583842533079745,-0.034894191901182724,-0.047109143172441845,0.5142314990512334,2371
FANG,1Month,1Min,0.001,2.0,20,0.3667240338755653,0.11099396708252818,2.7376154260050285,2.2727085162850904,0.3671948036806491,-0.017989883591513357,-0.05111339925413175,0.5170499603489295,1891
FANG,1Month,1Min,0.001,2.0,30,0.4053891650573187,0.11099396708252818,3.0511763309826674,2.3816598716846245,0.40518656780266094,0.007742002541144304,-0.04511363049696033,0.518574448807007,1655
FANG,1Month,1Min,0.01,1.0,10,0.4999739401229151,0.11099396708252818,2.548572419842979,2.6404871622359107,0.49113212189973277,0.33787910536030513,-0.103824698322229,0.5126731120982493,3827
