symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
FDS,1Month,1Min,0.001,1.0,10,0.16880617210990212,-0.0008785201815607602,1.1245578556269413,1.27155044495657,0.1686806707620881,0.004859458948277935,-0.09817511685866409,0.5072877059569075,3156
FDS,1Month,1Min,0.001,1.0,20,0.1087211000274606,-0.0008785201815607602,0.7849669354148173,0.8613112077303096,0.10818304369388224,0.02083374171215624,-0.1320267061521203,0.5050791007493756,3002
FDS,1Month,1Min,0.001,1.0,30,0.13373969746344838,-0.0008785201815607602,0.9448112538130381,1.0116644349493453,0.13374355711068767,-0.00014944697918287675,-0.1361355383811267,0.5078781512605042,2856
FDS,1Month,1Min,0.001,1.5,10,0.15816227864805898,-0.0008785201815607602,1.098470339735562,1.1653968471897531,0.15744495714069934,0.027774956033908837,-0.10744478946091889,0.5087403135700126,2774
FDS,1Month,1Min,0.001,1.5,20,0.08332571677336276,-0.0008785201815607602,0.652648402347048,0.6430508366709472,0.08272845273002584,0.023126286294383066,-0.11530071692582826,0.5061928934010153,2462
FDS,1Month,1Min,0.001,1.5,30,0.08942009080897728,-0.0008785201815607602,0.7068220471738869,0.6699393880751565,0.08917210752549862,0.009602005133119306,-0.11122911172153292,0.5072369842298553,2314
FDS,1Month,1Min,0.001,2.0,10,0.2063485947068544,-0.0008785201815607602,1.4875285892627144,1.511552253798979,0.20639955373746688,-0.0019731526522911683,-0.10008394661397443,0.5081897468623697,2350
FDS,1Month,1Min,0.001,2.0,20,0.16974527925697003,-0.0008785201815607602,1.3339067407673422,1.2345966635279395,0.16971222331377664,0.0012799384368600499,-0.0786901909482505,0.5059864653826133,1921
FDS,1Month,1Min,0.001,2.0,30,0.2227452001034027,-0.0008785201815607602,1.7172812846986076,1.4596978422598705,0.22209625338645253,0.02512745867328925,-0.07265636616604637,0.5064935064935064,1617
FDS,1Month,1Min,0.01,1.0,10,0.36108194341781163,-0.0008785201815607602,2.0515499866263704,2.5817687642887504,0.35880499773957736,0.08816418503516037,-0.08598995781003757,0.5111993195350156,3527
FDS,1Month,1Min,0.01,1.0,20,0.30074104582941197,-0.0008785201815607602,1.7872682496888754,2.162660182342823,0.29837491246691855,0.09161756540037755,-0.07831598224553799,0.508524833209785,3372
FDS,1Month,1Min,0.01,1.0,30,0.353638211567868,-0.0008785201815607602,2.0565546768917256,2.4526915664300146,0.35095955057296285,0.10371875177295496,-0.08302671217411811,0.5114643839804341,3271
FDS,1Month,1Min,0.01,1.5,10,0.300958655468321,-0.0008785201815607602,1.8528630512189437,2.2124566757289292,0.2987941487660887,0.08381050599039376,-0.08344256805133896,0.5102786660575606,3283
FDS,1Month,1Min,0.01,1.5,20,0.32005700225321565,-0.0008785201815607602,2.005573297328814,2.318914215384613,0.3189421009306752,0.04316939461314893,-0.06600971922246163,0.5106938775510204,3062
FDS,1Month,1Min,0.01,1.5,30,0.36844422959859013,-0.0008785201815607602,2.227793719777374,2.533636033561517,0.36671482431541863,0.06696321692863347,-0.07066457559002741,0.5111265646731572,2876
FDS,1Month,1Min,0.01,2.0,10,0.34009056992263864,-0.0008785201815607602,2.1452916978621355,2.4538153871902653,0.33855178692206417,0.059582251121955615,-0.07390364239595804,0.5119442601194426,3014
FDS,1Month,1Min,0.01,2.0,20,0.29136191908380993,-0.0008785201815607602,1.9424758467080667,2.066731243920469,0.2901935959960133,0.04523790526844263,-0.06424127671084616,0.5134629768137622,2674
FDS,1Month,1Min,0.01,2.0,30,0.26552855058574254,-0.0008785201815607602,1.8306185055111317,1.8471688207719816,0.26487692477857444,0.025231194044736713,-0.06424127671084677,0.511632695079267,2428
FDS,1Month,1Min,0.1,1.0,10,0.4228025793596739,-0.0008785201815607602,2.2998644939481645,2.985459754924737,0.419606046152244,0.12377095679745541,-0.08674473149856746,0.5090713613761592,3720
FDS,1Month,1Min,0.1,1.0,20,0.3571264982750342,-0.0008785201815607602,2.0243338366738386,2.6013752442317046,0.35416443795539015,0.11469207921943834,-0.07759742602446573,0.5080523055746731,3632
FDS,1Month,1Min,0.1,1.0,30,0.3370351322449707,-0.0008785201815607602,1.945981289774971,2.4581863429887028,0.3342240772638568,0.10884509624802724,-0.0782401977490425,0.5072217502124045,3531
FDS,1Month,1Min,0.1,1.5,10,0.4062172886743285,-0.0008785201815607602,2.2687145713064685,2.8899302261238224,0.40318213545281933,0.11752226361355685,-0.09070190582225007,0.5087842586085735,3557
FDS,1Month,1Min,0.1,1.5,20,0.3535322949676363,-0.0008785201815607602,2.06543188564386,2.577238364793226,0.3511963815475213,0.09044743797174647,-0.0760665888880353,0.5078896917858723,3390
FDS,1Month,1Min,0.1,1.5,30,0.3838016764106562,-0.0008785201815607602,2.2150864330662494,2.7318465391846436,0.3815724960527098,0.0863146940365911,-0.0782401977490425,0.5087349397590362,3320
FDS,1Month,1Min,0.1,2.0,10,0.3616620891104618,-0.0008785201815607602,2.148553259154839,2.6679129424955845,0.35915778764293826,0.09696748590760777,-0.08512340741762056,0.5075287865367581,3387
FDS,1Month,1Min,0.1,2.0,20,0.39427636784344866,-0.0008785201815607602,2.332320744112019,2.8582419459243673,0.39203220708409153,0.08689474076080733,-0.08108188135045957,0.5057835525273332,3155
FDS,1Month,1Min,0.1,2.0,30,0.3844349196257679,-0.0008785201815607602,2.29842462673348,2.726464571077849,0.3818234489335518,0.10111711821820178,-0.0765108420510636,0.5064526803441429,3022
FDS,1Month,5Min,0.001,1.0,10,0.42794958272048267,-0.000927281600780816,2.5885191771285494,3.1809680607232154,0.42797668111854087,-0.0024609116552764807,-0.08698507493080725,0.5227920227920227,702
FDS,1Month,5Min,0.001,1.0,20,0.4975679611584223,-0.000927281600780816,3.013132248628997,3.438852360570109,0.49771578444782544,-0.013424411842809241,-0.060574530649174264,0.5372035977105478,611
FDS,1Month,5Min,0.001,1.0,30,0.49058213931676575,-0.000927281600780816,2.9730224492657507,3.295640998826668,0.49077675126277565,-0.017673472991407074,-0.06057453064917399,0.5353625783348255,558
FDS,1Month,5Min,0.001,1.5,10,0.413148396576122,-0.000927281600780816,2.627295138400969,2.8816614176211175,0.4127968663772466,0.03192383408556447,-0.08344163154024525,0.5305410122164049,573
FDS,1Month,5Min,0.001,1.5,20,0.49181393643936433,-0.000927281600780816,3.0862485026324817,3.1485750361051577,0.49175230309987134,0.005597164938911832,-0.06057453064917423,0.5505050505050505,495
FDS,1Month,5Min,0.001,1.5,30,0.4459820071486047,-0.000927281600780816,2.8236122406928397,2.763278840804377,0.44669435987791734,-0.0646915411925531,-0.060574530649174424,0.5382830626450116,431
FDS,1Month,5Min,0.001,2.0,10,0.3362165081482127,-0.000927281600780816,2.4189900290522863,2.4073198209656548,0.33435059049236326,0.16945128996946351,-0.08013749280010517,0.5366357069143447,484
FDS,1Month,5Min,0.001,2.0,20,0.33750146880317855,-0.000927281600780816,2.3435260869731382,2.0853419258090393,0.3376684292072999,-0.015162328178573015,-0.05694822888283338,0.5373333333333333,375
FDS,1Month,5Min,0.001,2.0,30,0.2835637678937366,-0.000927281600780816,2.097696460196223,1.673597024072986,0.28390693726964056,-0.031164555007366652,-0.06057453064917443,0.5448717948717948,312
FDS,1Month,5Min,0.01,1.0,10,0.34852295075249606,-0.000927281600780816,2.0679373789758206,2.584643147600446,0.34853323195296476,-0.0009336760796476428,-0.06933478517880351,0.5222437137330754,775
FDS,1Month,5Min,0.01,1.0,20,0.38642010404654425,-0.000927281600780816,2.269312373820053,2.7770855625190753,0.38669662747823147,-0.025112175802235508,-0.065250888963573,0.5246238030095759,731
FDS,1Month,5Min,0.01,1.0,30,0.3591759440722635,-0.000927281600780816,2.14037258297905,2.5671961187912613,0.35956554116929096,-0.03538083819117206,-0.0652508889635726,0.5247524752475248,707
FDS,1Month,5Min,0.01,1.5,10,0.2516844465505017,-0.000927281600780816,1.6157363615598876,1.8889939272781122,0.2514072575333729,0.025172620222869823,-0.07887612936607445,0.5216773276474769,703
FDS,1Month,5Min,0.01,1.5,20,0.3480429018703355,-0.000927281600780816,2.1461462883630036,2.4647452294847456,0.3480716612984591,-0.0026117563007464133,-0.06525088896357306,0.5227447956823439,648
FDS,1Month,5Min,0.01,1.5,30,0.335610433529963,-0.000927281600780816,2.1003916419758184,2.3619582041809077,0.3356857483018963,-0.006839629400495787,-0.06525088896357312,0.5226537216828478,618
FDS,1Month,5Min,0.01,2.0,10,0.16854230801155334,-0.000927281600780816,1.2529436297820247,1.400772529872631,0.16884919890148192,-0.027869963615625385,-0.07887612936607445,0.5208169677926159,636
FDS,1Month,5Min,0.01,2.0,20,0.1761186358501472,-0.000927281600780816,1.2478202546403776,1.3272125523230531,0.1757204201948185,0.036163523224053,-0.06507895529035686,0.5146048109965635,582
