symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
FE,1Month,1Min,0.001,1.0,10,0.17814120014149482,0.008761449621664585,2.371490881828211,3.206344615371885,0.1776935482936188,0.016532221065485346,-0.050327724226402845,0.5050352467270897,2979
FE,1Month,1Min,0.001,1.0,20,0.1417653293130703,0.008761449621664585,1.9582794356501523,2.5582966992536966,0.14110796265675626,0.024277194285753128,-0.0568671457045845,0.503155996393147,2772
FE,1Month,1Min,0.001,1.0,30,0.13088208446155236,0.008761449621664585,1.8235052489818153,2.3201631572318915,0.1303741593191107,0.018758172851079724,-0.06288673351945726,0.5026365348399247,2655
FE,1Month,1Min,0.001,1.5,10,0.16151632162430185,0.008761449621664585,2.2709032883971045,2.8094295238698836,0.16131457705056254,0.007450624648698686,-0.05339326187530154,0.5080405002977963,2518
FE,1Month,1Min,0.001,1.5,20,0.16696118525899184,0.008761449621664585,2.4103685070804564,3.0645327517254572,0.16669360599292646,0.00988196429909177,-0.057452527884391535,0.5041703248463565,2278
FE,1Month,1Min,0.001,1.5,30,0.13411905985067474,0.008761449621664585,1.9732834174318137,2.3569438210854505,0.13385961662904772,0.009581492211481957,-0.060073602682483275,0.5017709563164109,2117
FE,1Month,1Min,0.001,2.0,10,0.12086058043198888,0.008761449621664585,1.819298265248049,2.098201701426737,0.12067724233166276,0.006770855562640564,-0.051994108710567755,0.4986582093193462,2049
FE,1Month,1Min,0.001,2.0,20,0.18048538143807846,0.008761449621664585,2.766820594118666,3.407025959636252,0.17993379198515774,0.020370738591480645,-0.035824949673334695,0.5037302297821545,1675
FE,1Month,1Min,0.001,2.0,30,0.12986956540565497,0.008761449621664585,2.0273978785512945,2.1367053773660714,0.1295888557000155,0.010366884289382677,-0.047252625635704135,0.4941294867494129,1490
FE,1Month,1Min,0.01,1.0,10,0.16011987187493237,0.008761449621664585,2.053351467480361,3.1321463634244093,0.16007787100753618,0.0015511331585709098,-0.054276289961371196,0.49932745479001645,3345
FE,1Month,1Min,0.01,1.0,20,0.15366075507227372,0.008761449621664585,1.9897241570233888,2.9646711233027054,0.15355146515185733,0.004036183773452319,-0.05238742837507875,0.4990610328638498,3195
FE,1Month,1Min,0.01,1.0,30,0.16561855693846228,0.008761449621664585,2.1253276117410147,3.1312670163464182,0.16551354758811276,0.0038780981295133397,-0.04871989121141213,0.499515503875969,3096
FE,1Month,1Min,0.01,1.5,10,0.15719453732124355,0.008761449621664585,2.069642440483484,3.0492026387710602,0.15711056023738867,0.003101355933882172,-0.053046622209929783,0.4987063389391979,3092
FE,1Month,1Min,0.01,1.5,20,0.17265219890275207,0.008761449621664585,2.282666449257103,3.307996529773779,0.17261841472935768,0.001247682603614311,-0.0502380211520183,0.4991352473192667,2891
FE,1Month,1Min,0.01,1.5,30,0.15076429876308173,0.008761449621664585,2.0226395800888937,2.7783289521485126,0.1505193937772115,0.009044580929704673,-0.041981775518068906,0.4983407079646018,2712
FE,1Month,1Min,0.01,2.0,10,0.15307335244848264,0.008761449621664585,2.0809262568107516,3.016097217770594,0.15320134896806287,-0.004727036797352994,-0.04653722302095307,0.49849157054126,2817
FE,1Month,1Min,0.01,2.0,20,0.1346027457546859,0.008761449621664585,1.8736342372044466,2.5607407962262085,0.13459336918020937,0.0003462860765980466,-0.04645102533119019,0.4951436665317685,2471
FE,1Month,1Min,0.01,2.0,30,0.13078938138001717,0.008761449621664585,1.8365791767947766,2.4190943880950146,0.13092479620660355,-0.005001002138810791,-0.04065507734673551,0.4927695004382121,2282
FE,1Month,1Min,0.1,1.0,10,0.16874226938794923,0.008761449621664585,2.1470063072319454,3.390432388389271,0.16894660054033223,-0.007546149530687858,-0.030446633920378892,0.5007693383690026,3574
FE,1Month,1Min,0.1,1.0,20,0.18259768692764378,0.008761449621664585,2.3008784886980447,3.611025223121998,0.18289779672595152,-0.01108334870744515,-0.02919880166860877,0.500428326670474,3502
FE,1Month,1Min,0.1,1.0,30,0.1824826273490736,0.008761449621664585,2.306648041229285,3.612397199044101,0.18275720100215478,-0.010140273860218658,-0.026823844715863326,0.49898314933178384,3442
FE,1Month,1Min,0.1,1.5,10,0.16112499293450244,0.008761449621664585,2.082964443805553,3.261431051901204,0.16124120001574305,-0.004291641295707315,-0.03043256331981164,0.49963804835673953,3453
FE,1Month,1Min,0.1,1.5,20,0.1767825243229808,0.008761449621664585,2.297986999806002,3.5952669465294775,0.17721039951583042,-0.01580184983082312,-0.027148920178188676,0.5000755857898715,3307
FE,1Month,1Min,0.1,1.5,30,0.16888922836617049,0.008761449621664585,2.1911053744615754,3.339253764238664,0.1692330033036062,-0.012695945050659978,-0.026197772636727245,0.49851632047477745,3201
FE,1Month,1Min,0.1,2.0,10,0.1708043291714474,0.008761449621664585,2.2544112206366,3.5655339199493334,0.1710112796415185,-0.00764288349764459,-0.02642244047071698,0.4992401215805471,3290
FE,1Month,1Min,0.1,2.0,20,0.16985050305139793,0.008761449621664585,2.2560150397017895,3.4960135464870508,0.1700389329142692,-0.0069588993390901814,-0.026866595522273776,0.4991218266006706,3131
FE,1Month,1Min,0.1,2.0,30,0.19560474120433602,0.008761449621664585,2.5749064942081317,3.9316600031307543,0.1957596614507306,-0.005721356391281538,-0.025311440833256132,0.4998341625207297,3015
FE,1Month,5Min,0.001,1.0,10,0.08772230082152022,0.008761449621664585,1.2489958692816923,1.7321003553596508,0.08810040002321137,-0.0163693148520354,-0.04644446992081513,0.49417249417249415,643
FE,1Month,5Min,0.001,1.0,20,0.10429694333978823,0.008761449621664585,1.4672124362588488,1.979142481927267,0.10439399813390082,-0.004201861510477798,-0.043203962723313706,0.4995871180842279,605
FE,1Month,5Min,0.001,1.0,30,0.10189141209788999,0.008761449621664585,1.4470257363300039,1.8765549135124433,0.10184141364021895,0.0021646184177926482,-0.04381320166304763,0.4977738201246661,561
FE,1Month,5Min,0.001,1.5,10,0.10480173687189276,0.008761449621664585,1.5516073782392599,2.346561994585324,0.1051281693981133,-0.01413247310692331,-0.037845491723910385,0.496316758747698,543
FE,1Month,5Min,0.001,1.5,20,0.12495445401502403,0.008761449621664585,1.853620102657988,2.5858246385761525,0.1252321574615103,-0.012022810761559753,-0.030012520409494002,0.5057712486883525,476
FE,1Month,5Min,0.001,1.5,30,0.13187039619497276,0.008761449621664585,1.9322293001536888,2.610280172326694,0.1306473536548016,0.052950041491620435,-0.02496901985124399,0.5005847953216375,427
FE,1Month,5Min,0.001,2.0,10,0.09610228139966392,0.008761449621664585,1.481441235941131,2.0939925410056475,0.09643980519005535,-0.014612655012910591,-0.03787874207727153,0.4956616052060738,461
FE,1Month,5Min,0.001,2.0,20,0.12260901674141422,0.008761449621664585,1.8792751461103727,2.338501397617365,0.12114904044424488,0.06320778139170882,-0.022797777937657172,0.49698795180722893,332
FE,1Month,5Min,0.001,2.0,30,0.12139941909507579,0.008761449621664585,1.8723106857946756,2.3455363458384495,0.11980277671466633,0.06912456232154328,-0.032794557345044585,0.4823529411764706,297
FE,1Month,5Min,0.01,1.0,10,0.1099324533479844,0.008761449621664585,1.493028134252286,2.0578755685541097,0.10972257191391731,0.009086544643506922,-0.025552000000000918,0.5068306010928961,732
FE,1Month,5Min,0.01,1.0,20,0.10612948622555463,0.008761449621664585,1.4496542431751276,1.9441309772275057,0.10564364797562081,0.021033737296342274,-0.023333333333333234,0.5061460592913956,691
FE,1Month,5Min,0.01,1.0,30,0.11638243859884723,0.008761449621664585,1.5781199021770387,2.097046640428123,0.11598085596642482,0.017385999546757177,-0.02333333333333331,0.5066176470588235,680
FE,1Month,5Min,0.01,1.5,10,0.12930892528809435,0.008761449621664585,1.7616564466002604,2.3814946916387116,0.12909066908962138,0.009449119213244893,-0.025552000000000918,0.5107604017216643,697
FE,1Month,5Min,0.01,1.5,20,0.13783720150308043,0.008761449621664585,1.8964895150379166,2.4953190474172198,0.13735026837443398,0.02108113865104485,-0.023333333333333168,0.5134706814580031,631
FE,1Month,5Min,0.01,1.5,30,0.16879051292786507,0.008761449621664585,2.359908524502022,3.3961454255665737,0.16854633104727523,0.01057153801610549,-0.021048824593129577,0.5152284263959391,591
FE,1Month,5Min,0.01,2.0,10,0.12521751275365678,0.008761449621664585,1.8259578915970893,2.6410669278303174,0.1249283440176266,0.012519185611266262,-0.023794830695252567,0.5122918318794607,630
FE,1Month,5Min,0.01,2.0,20,0.1509506640478624,0.008761449621664585,2.1841581951974933,3.080755584981579,0.15085951122774705,0.003946343196297232,-0.022227573750753498,0.516532618409294,559
