symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
GDDY,1Month,1Min,0.001,1.0,10,0.00861957816491854,-0.05627559894518319,0.14457485247859767,0.12925810334660298,0.0074302671077234065,0.04282572395506843,-0.12638265250246425,0.501875,3200
GDDY,1Month,1Min,0.001,1.0,20,-0.01895542945272577,-0.05627559894518319,0.004569979195612316,0.003923279538187586,-0.01947890857340509,0.018849881351751686,-0.1263826525024642,0.5034115493426526,3004
GDDY,1Month,1Min,0.001,1.0,30,-0.026177049581046608,-0.05627559894518319,-0.03516532919735954,-0.029239213203092966,-0.02691066743914733,0.02641673571388928,-0.1324111986036604,0.5038582953349702,2851
GDDY,1Month,1Min,0.001,1.5,10,-0.037197143130011656,-0.05627559894518319,-0.09691444303484852,-0.0800104782068504,-0.03784583000689747,0.023358468715749536,-0.13954464867055758,0.5017058717902676,2784
GDDY,1Month,1Min,0.001,1.5,20,0.01892715544111412,-0.05627559894518319,0.19501026977599983,0.14919997727392323,0.018406390891276145,0.018752132776385527,-0.12638265250246417,0.5068603712671509,2478
GDDY,1Month,1Min,0.001,1.5,30,-0.017979573968235796,-0.05627559894518319,-0.0008664304694949442,-0.0006244134943748611,-0.017184605474854973,-0.02862590156253624,-0.1398305836109261,0.5052916009907679,2220
GDDY,1Month,1Min,0.001,2.0,10,-0.03127539379160127,-0.05627559894518319,-0.07353814964173293,-0.05512355031954799,-0.03138119926887814,0.003809933604316932,-0.1390382753061173,0.5030752916224814,2357
GDDY,1Month,1Min,0.001,2.0,20,-0.01846077156244008,-0.05627559894518319,-0.008266770600169839,-0.005558053570329255,-0.01850383685365378,0.0015507316293787504,-0.15779269234819293,0.504014504014504,1930
GDDY,1Month,1Min,0.001,2.0,30,-0.0576875705769373,-0.05627559894518319,-0.244620926821206,-0.14870206640005157,-0.057384996561479794,-0.010895342461979245,-0.18130489888583715,0.5054911531421599,1639
GDDY,1Month,1Min,0.01,1.0,10,-0.09402381703711393,-0.05627559894518319,-0.36332231629095063,-0.34985387620642866,-0.09259464193018631,-0.051462952641745614,-0.23241111277020218,0.4942068965517241,3625
