symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
GRMN,1Month,1Min,0.001,1.0,10,0.4960056059022686,0.07620817843866168,2.5467128070657337,2.9969921923627343,0.49078217420105147,0.10527315243329469,-0.08112626399092064,0.511744966442953,2384
GRMN,1Month,1Min,0.001,1.0,20,0.586043952215374,0.07620817843866168,2.9096690996209165,3.3642859621144274,0.5804864004811,0.1120070146110669,-0.08112626399092075,0.5169340463458111,2244
GRMN,1Month,1Min,0.001,1.0,30,0.5409298714844324,0.07620817843866168,2.7391520657571378,3.0958706522808233,0.5360601583164389,0.09814430167070903,-0.08112626399092089,0.5128811155755141,2115
GRMN,1Month,1Min,0.001,1.5,10,0.40689965282301555,0.07620817843866168,2.225336860270618,2.483191874341864,0.4007065284401902,0.1248163591455792,-0.08112626399092054,0.5094974753546525,2079
GRMN,1Month,1Min,0.001,1.5,20,0.4596586156314282,0.07620817843866168,2.487430320531298,2.5754546478521516,0.4539962670163071,0.11411909315310849,-0.08112626399092072,0.5169350360910605,1801
GRMN,1Month,1Min,0.001,1.5,30,0.45826653459146294,0.07620817843866168,2.5034669452227387,2.5249534793036745,0.45177163405849574,0.1308983620264085,-0.08112626399092077,0.5162663423532988,1644
GRMN,1Month,1Min,0.001,2.0,10,0.43262278569180257,0.07620817843866168,2.431302863436817,2.6069384805072393,0.42652065121527494,0.12298254665917581,-0.08112626399092068,0.5108790252393386,1723
GRMN,1Month,1Min,0.001,2.0,20,0.42973846545100214,0.07620817843866168,2.4320246045341465,2.3525986106395504,0.42294747628504886,0.13686573856678666,-0.08112626399092064,0.5175896900034831,1435
GRMN,1Month,1Min,0.001,2.0,30,0.3993479093395145,0.07620817843866168,2.36386161579888,2.0698705897584366,0.3914469191256805,0.15923672304571276,-0.08112626399092067,0.5233881163084703,1186
GRMN,1Month,1Min,0.01,1.0,10,0.30971385633722925,0.07620817843866168,1.6426888326221591,1.9671475463359072,0.3058797778856704,0.07727209780078334,-0.10956507725942442,0.5078352769679301,2744
