symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
GWW,1Month,1Min,0.001,1.0,10,0.4036336888609129,-0.0686685723954299,3.6738243516559494,5.101538666162607,0.4043918670286475,0.06266255703602354,-0.03623883063720152,0.5196652719665272,1792
GWW,1Month,1Min,0.001,1.0,20,0.42215708481858893,-0.0686685723954299,3.8767299989170096,5.228029384233551,0.4227989873971878,0.053052512792878426,-0.036945789827988816,0.5220895522388059,1675
GWW,1Month,1Min,0.001,1.0,30,0.41417267894680143,-0.0686685723954299,3.8749802031346934,5.104307328932222,0.4147429320654021,0.047130767001709345,-0.035846807176972875,0.5248911014312383,1607
GWW,1Month,1Min,0.001,1.5,10,0.3175165050524422,-0.0686685723954299,3.159184656452175,4.030447456994727,0.31806141970837715,0.04503657208873838,-0.0318508133173862,0.5195018026876433,1525
GWW,1Month,1Min,0.001,1.5,20,0.37076399680718786,-0.0686685723954299,3.6758679013769147,4.508131962330405,0.3713312423570806,0.046882194893306285,-0.030778584909292236,0.5250186706497386,1339
GWW,1Month,1Min,0.001,1.5,30,0.3618172665744579,-0.0686685723954299,3.69777038627623,4.267330476464803,0.3621480843868977,0.02734171323144547,-0.025379169218808294,0.5274725274725275,1228
GWW,1Month,1Min,0.001,2.0,10,0.2727767479588348,-0.0686685723954299,2.9146275885588615,3.3941832346025174,0.2731757610064114,0.0329779712947877,-0.03394244693606826,0.5220500595947557,1258
GWW,1Month,1Min,0.001,2.0,20,0.27332579021161707,-0.0686685723954299,3.06039195318156,3.1608305033342443,0.2734387973022227,0.00933990658384113,-0.031283390716922405,0.5256078634247284,966
GWW,1Month,1Min,0.001,2.0,30,0.27273048789853793,-0.0686685723954299,3.1509129139550605,2.9788617301863614,0.2727791399180779,0.004021033681898284,-0.024146388052107823,0.5377008652657602,809
GWW,1Month,1Min,0.01,1.0,10,0.418737584184635,-0.0686685723954299,3.719447601352706,5.221412487783653,0.41901076936408943,0.022578442135977057,-0.028198718092960474,0.5159010600706714,1981
GWW,1Month,1Min,0.01,1.0,20,0.39643644049352345,-0.0686685723954299,3.602817939534192,4.921193166919901,0.3965940690103106,0.013027816341889905,-0.02657497993200378,0.5181745821172725,1884
GWW,1Month,1Min,0.01,1.0,30,0.37490084994443706,-0.0686685723954299,3.505126078967214,4.7193000518831045,0.3753248117886935,0.03503996076040576,-0.026574979932003723,0.5160220994475138,1810
