symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
HAL,1Month,1Min,0.001,1.0,10,1.3217676581206792,0.05479050688543796,5.638173025754764,6.44213893995787,1.321185402351011,-0.11309293900973613,-0.05844992038168876,0.5111558946307758,3473
HAL,1Month,1Min,0.001,1.0,20,1.1915661046460504,0.05479050688543796,5.339600930407183,5.899342008194059,1.191083710935467,-0.0936964910124698,-0.058249487075332486,0.5105504587155963,3270
HAL,1Month,1Min,0.001,1.0,30,1.1190831582247833,0.05479050688543796,5.152309123824405,5.597392776023793,1.1185987443638885,-0.09408886966783228,-0.05824948707533285,0.5058260175578612,3132
HAL,1Month,1Min,0.001,1.5,10,0.8803732551045844,0.05479050688543796,4.47673634101823,4.645139098132065,0.8798897904155476,-0.09390450973419119,-0.05824948707533229,0.508736559139785,2976
HAL,1Month,1Min,0.001,1.5,20,0.924312708054551,0.05479050688543796,4.826355488248347,4.927542917408028,0.9237684166980394,-0.10571901970257239,-0.04371802432143843,0.5078776645041705,2697
HAL,1Month,1Min,0.001,1.5,30,1.0728039731872383,0.05479050688543796,5.481397682242233,5.600651918433522,1.0722073803255914,-0.11587766687881139,-0.04371802432143847,0.5102897102897103,2502
HAL,1Month,1Min,0.001,2.0,10,0.6453827041067917,0.05479050688543796,3.8732177731345256,3.7000848856252135,0.6451348104614177,-0.04814897915593635,-0.0582494870753326,0.5059487799959669,2479
HAL,1Month,1Min,0.001,2.0,20,0.7900080223214638,0.05479050688543796,4.7302625974780454,4.29766772060691,0.7895363548691915,-0.09161310405410085,-0.04371802432143843,0.5080108454523047,2028
HAL,1Month,1Min,0.001,2.0,30,0.7682750150477984,0.05479050688543796,4.709323143205581,3.9599653089297657,0.7678246881340334,-0.08746807991596531,-0.04371802432143835,0.5113732097725358,1780
HAL,1Month,1Min,0.01,1.0,10,0.9866917409245526,0.05479050688543796,4.032254427457614,4.929518460020806,0.9848608444371817,-0.35561942975227023,-0.06857073033379568,0.5117948717948718,3900
HAL,1Month,1Min,0.01,1.0,20,1.0381794372530693,0.05479050688543796,4.227310846340407,5.102770942372381,1.036299426511767,-0.36515900945883006,-0.06857073033379579,0.5129161118508655,3755
HAL,1Month,1Min,0.01,1.0,30,0.9584413344947418,0.05479050688543796,4.01178167025968,4.765256558630294,0.9565485785985055,-0.3676345315656555,-0.06857073033379607,0.5107586206896552,3625
