symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
HII,1Month,1Min,0.001,1.0,10,0.5000031887773442,0.026428759862819895,3.0775389058383076,3.405605314759312,0.5014508327510812,-0.04545403259952614,-0.07183644177934291,0.5217546362339515,2804
HII,1Month,1Min,0.001,1.0,20,0.4498149390294144,0.026428759862819895,2.887180763175631,3.1147871591847127,0.4512236798176952,-0.044232526005341846,-0.07055092635972383,0.518960940462647,2637
HII,1Month,1Min,0.001,1.0,30,0.46775859639358175,0.026428759862819895,3.016965265236266,3.2142308305313376,0.46959051588470085,-0.05751975608621787,-0.06089887030208261,0.5168784749801429,2518
HII,1Month,1Min,0.001,1.5,10,0.5187635165982225,0.026428759862819895,3.3748317716316287,3.5852572309740496,0.5187705678712408,-0.00022140028864350795,-0.06293860950411734,0.5232510288065844,2430
HII,1Month,1Min,0.001,1.5,20,0.4316237947148096,0.026428759862819895,2.9868083391356772,3.026148699923354,0.43163902927403724,-0.00047834423679775655,-0.06472521832940527,0.5187471422039324,2187
HII,1Month,1Min,0.001,1.5,30,0.4164287042122974,0.026428759862819895,2.936595905280582,2.8576625035144785,0.41713046213744687,-0.022034235064287467,-0.0660046348247035,0.5211062590975255,2061
HII,1Month,1Min,0.001,2.0,10,0.33046465803069314,0.026428759862819895,2.4809563066897082,2.347551246649553,0.33120537249407644,-0.023257416862416072,-0.06462525514962487,0.5172413793103449,1943
HII,1Month,1Min,0.001,2.0,20,0.2917493503107891,0.026428759862819895,2.4333467381343867,2.246875455877718,0.291645049973445,0.0032748873478477734,-0.06389580860263107,0.5151515151515151,1617
HII,1Month,1Min,0.001,2.0,30,0.29389468570304,0.026428759862819895,2.5086282990385786,2.188363664931717,0.2940542091452353,-0.005008816997465891,-0.059082312079366685,0.5184528034066714,1409
HII,1Month,1Min,0.01,1.0,10,0.3356400406864406,0.026428759862819895,1.9997958373719502,2.0988616157738664,0.33651319111042355,-0.027415724139380326,-0.07205721420838765,0.5127347978350844,3141
HII,1Month,1Min,0.01,1.0,20,0.3243960712827354,0.026428759862819895,1.9567020248155567,2.0167342440553573,0.32493514421643466,-0.016926149762247884,-0.07193654422977808,0.5125348189415042,3051
HII,1Month,1Min,0.01,1.0,30,0.38593721807738346,0.026428759862819895,2.3130660578168003,2.34930033420825,0.387074890386891,-0.035721348053861665,-0.07193654422977765,0.5145960624575696,2946
HII,1Month,1Min,0.01,1.5,10,0.25132123406427764,0.026428759862819895,1.602285069044911,1.6043459676616663,0.25173594080797496,-0.01302122219913048,-0.07212065563496592,0.511663807890223,2915
HII,1Month,1Min,0.01,1.5,20,0.3369882546867009,0.026428759862819895,2.105327591446446,2.0178618884317503,0.3360875227244081,0.028281746562176694,-0.0719365442297775,0.5133458646616541,2660
HII,1Month,1Min,0.01,1.5,30,0.32456238669417403,0.026428759862819895,2.0736169457311697,1.9068849559819498,0.32493963503070056,-0.011845079658867008,-0.07193654422977745,0.5122399020807834,2451
HII,1Month,1Min,0.01,2.0,10,0.29643779335964493,0.026428759862819895,1.903608899929822,1.830496188841839,0.2953970186708473,0.032678895841529394,-0.07113352105393483,0.5121035841621318,2664
HII,1Month,1Min,0.01,2.0,20,0.31950954610421056,0.026428759862819895,2.090739980379044,1.8752457709292432,0.3189047250187407,0.018990551430170765,-0.07193654422977729,0.5112117291936179,2319
HII,1Month,1Min,0.01,2.0,30,0.2574167552278752,0.026428759862819895,1.7654295577845762,1.5078097388499827,0.2569205694909004,0.015579550685829778,-0.07193654422977777,0.5090694935217903,2122
HII,1Month,1Min,0.1,1.0,10,0.40238059367431767,0.026428759862819895,2.269786224330018,2.511573764914784,0.40323698234490457,-0.02688942810312422,-0.07366461810489804,0.5100851636037651,3346
HII,1Month,1Min,0.1,1.0,20,0.31501705786725376,0.026428759862819895,1.8634446774051496,2.0273634729398595,0.3155784872168458,-0.017628110517263842,-0.07366461810489736,0.5068997240110396,3261
HII,1Month,1Min,0.1,1.0,30,0.30214295751163456,0.026428759862819895,1.8124586493701902,1.9473126471559368,0.303030559202887,-0.027869474084457075,-0.07366461810489794,0.5061728395061729,3199
HII,1Month,1Min,0.1,1.5,10,0.28825298470359195,0.026428759862819895,1.7563318779090444,1.8925310342982216,0.2886230798813697,-0.011620480298213637,-0.07366461810489655,0.5062383031815346,3206
HII,1Month,1Min,0.1,1.5,20,0.2468773389027239,0.026428759862819895,1.5448881444043714,1.626954868473708,0.2472404878943771,-0.011402379593705728,-0.07366461810489722,0.504703211157963,3083
HII,1Month,1Min,0.1,1.5,30,0.23510871456826332,0.026428759862819895,1.4905340231024709,1.5435839405091636,0.23603420387218718,-0.02905909308797347,-0.07323894378110327,0.5034447991934129,2975
