symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
HSIC,1Month,1Min,0.001,1.0,10,0.018858856758799503,-0.06663262701046713,0.22219775319152835,0.22142865491786537,0.019054307624429202,-0.007697669515029986,-0.08408124386363214,0.4986311370688082,2739
HSIC,1Month,1Min,0.001,1.0,20,0.030256484077195278,-0.06663262701046713,0.324116024587913,0.30901838461557185,0.029791380904790634,0.01831770097322585,-0.06518278485221927,0.4986317435496482,2558
HSIC,1Month,1Min,0.001,1.0,30,0.053786153068697606,-0.06663262701046713,0.531245049410739,0.4977552076865651,0.05352340994831001,0.010347918908291431,-0.06431041001177708,0.4989866234292663,2467
HSIC,1Month,1Min,0.001,1.5,10,0.050569090294325214,-0.06663262701046713,0.5057657135725449,0.47319199377362997,0.05039977198992527,0.0066684603617225505,-0.06644472271641261,0.4976036674307147,2399
HSIC,1Month,1Min,0.001,1.5,20,0.042765889596554585,-0.06663262701046713,0.44798551432096334,0.3907405733791604,0.04270443720135557,0.002420251389652267,-0.06501520447511702,0.5,2110
HSIC,1Month,1Min,0.001,1.5,30,0.05154375242146436,-0.06663262701046713,0.5367999837521371,0.44308082470077664,0.05192547467853414,-0.01503381308641269,-0.062416944700962526,0.5010443864229766,1915
HSIC,1Month,1Min,0.001,2.0,10,0.08721647524949039,-0.06663262701046713,0.8714993403545117,0.7754226824619799,0.08668871928517329,0.02078522898740109,-0.06231905910056574,0.5042606516290726,1995
HSIC,1Month,1Min,0.001,2.0,20,0.03101328808396886,-0.06663262701046713,0.3482699043137055,0.26763570615353727,0.03171770342367783,-0.027742811314381305,-0.05914110167218048,0.5022872827081427,1639
HSIC,1Month,1Min,0.001,2.0,30,0.03767259880904472,-0.06663262701046713,0.41916807951347385,0.3057185468649035,0.0387605180080136,-0.04284679131882063,-0.05470875215936666,0.49863107460643397,1461
HSIC,1Month,1Min,0.01,1.0,10,0.08421276977373848,-0.06663262701046713,0.7705683162732135,0.8724215043006934,0.08288416607240306,0.05232594993312552,-0.0753766575728593,0.49952546662448594,3161
HSIC,1Month,1Min,0.01,1.0,20,0.08574436308254674,-0.06663262701046713,0.7833840462952559,0.8777305463450836,0.08480578484921461,0.03696512180140296,-0.07448645966453549,0.4997525977238991,3031
HSIC,1Month,1Min,0.01,1.0,30,0.09000638995698562,-0.06663262701046713,0.8243121028539522,0.9045444921500537,0.0888544983076271,0.045366292982728026,-0.07391003771298847,0.499743370402053,2922
HSIC,1Month,1Min,0.01,1.5,10,0.11127654752839966,-0.06663262701046713,0.9945642749097352,1.1069725793579734,0.11003836729798622,0.0487646968615838,-0.07498028313261935,0.5009377664109121,2932
HSIC,1Month,1Min,0.01,1.5,20,0.09068894152892448,-0.06663262701046713,0.837831764159661,0.8937053990685393,0.08947643939461035,0.047753386438829246,-0.06477799126307734,0.49963924963924966,2772
HSIC,1Month,1Min,0.01,1.5,30,0.0798431661639496,-0.06663262701046713,0.7551779843166898,0.7839630917855946,0.07882088587703297,0.04026165745064152,-0.061443307100794896,0.49838495154854645,2631
HSIC,1Month,1Min,0.01,2.0,10,0.14032478244530733,-0.06663262701046713,1.24877243844039,1.3327053508685323,0.13929207458539697,0.04067233872591177,-0.0738940251411347,0.5023905847738139,2719
HSIC,1Month,1Min,0.01,2.0,20,0.05688465496311923,-0.06663262701046713,0.6012761360168842,0.558293853688324,0.055670339353613665,0.047824808648459186,-0.08242769256530398,0.5019689119170985,2412
HSIC,1Month,1Min,0.01,2.0,30,0.0639000976127575,-0.06663262701046713,0.6777692940110226,0.6088114718559324,0.06247121169780895,0.05627548137235705,-0.08024609777100887,0.4994445678738058,2250
HSIC,1Month,1Min,0.1,1.0,10,0.10632346690908934,-0.06663262701046713,0.9042885580895075,0.9393846839539592,0.10312507917862893,0.12596583622533755,-0.12492526400697297,0.508446455505279,3315
HSIC,1Month,1Min,0.1,1.0,20,0.08657874085430395,-0.06663262701046713,0.7593140988704237,0.777887378206012,0.08365599736683414,0.11510981735109849,-0.1230949860191681,0.5069573283858998,3234
