symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
HWM,1Month,1Min,0.001,1.0,10,0.19990261477393156,-0.041557721258220326,1.669250767454016,2.0953925397946738,0.20040161173312232,-0.04516858671896669,-0.10649234520054264,0.5053729948606136,3210
HWM,1Month,1Min,0.001,1.0,20,0.14911279572648461,-0.041557721258220326,1.3034856074849195,1.5508203127880935,0.1498958710583739,-0.07088300917361641,-0.12088804069269074,0.503931738330266,2988
HWM,1Month,1Min,0.001,1.0,30,0.13148295619600803,-0.041557721258220326,1.1808032627684302,1.3621858252823982,0.13230461972970226,-0.07437596540802233,-0.1189723766148081,0.5043372657876475,2882
HWM,1Month,1Min,0.001,1.5,10,0.10575412089510738,-0.041557721258220326,1.0072356167339152,1.171624909861866,0.10622424517310293,-0.04255506737710512,-0.13296693907773902,0.5031605562579013,2768
HWM,1Month,1Min,0.001,1.5,20,0.18305773558009797,-0.041557721258220326,1.668310001746749,1.841536545878742,0.1833648850020693,-0.02780278526043764,-0.11904588095880171,0.5069049553208773,2462
HWM,1Month,1Min,0.001,1.5,30,0.17993724542751388,-0.041557721258220326,1.6598841336181405,1.768446314299729,0.18055862709423254,-0.056246698866211566,-0.11752220391639383,0.5041868664609961,2269
HWM,1Month,1Min,0.001,2.0,10,0.16977691036305198,-0.041557721258220326,1.638667124928501,1.8476416662126827,0.17028041685552525,-0.045576784086468945,-0.0897015388940412,0.5031364914557647,2311
HWM,1Month,1Min,0.001,2.0,20,0.1639307956345064,-0.041557721258220326,1.6417328690275148,1.6423448712091333,0.16425237756520256,-0.029109198074990232,-0.09653125114578286,0.5064152919612463,1909
HWM,1Month,1Min,0.001,2.0,30,0.18703028731836513,-0.041557721258220326,1.8594826061969538,1.7171068920292294,0.1874168837822616,-0.03499423309727541,-0.11199526193975706,0.5029239766081871,1624
HWM,1Month,1Min,0.01,1.0,10,0.24615214086487547,-0.041557721258220326,1.9691846672114568,2.5149851294201353,0.24602396896115358,0.011601961979059229,-0.0472712927391046,0.5032744874715261,3512
HWM,1Month,1Min,0.01,1.0,20,0.2352276393653654,-0.041557721258220326,1.9041749509073425,2.37420640639062,0.23513198699628038,0.008658333980426496,-0.047112196099545,0.5024586499776487,3355
HWM,1Month,1Min,0.01,1.0,30,0.2051492428413948,-0.041557721258220326,1.7045347061795164,2.0830793254800866,0.20505302449134946,0.008709565875966314,-0.04581578607997134,0.500852052672347,3227
HWM,1Month,1Min,0.01,1.5,10,0.2125793572511232,-0.041557721258220326,1.7842099725852412,2.237408695102814,0.21251938604769713,0.005428519057480096,-0.048237875168476566,0.5016783643576442,3277
HWM,1Month,1Min,0.01,1.5,20,0.22268383907340783,-0.041557721258220326,1.9007795994397123,2.2396784121386863,0.2225952687195897,0.008017278729816378,-0.048190714742679414,0.5030603804797353,3022
HWM,1Month,1Min,0.01,1.5,30,0.21917897702031586,-0.041557721258220326,1.8818261735412403,2.1516658902754076,0.21908802699994193,0.008232683199141099,-0.051709545232154146,0.5004420866489832,2827
