symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
IBKR,1Month,1Min,0.001,1.0,10,0.5062705372635565,-0.08616537329408613,3.179342196962324,3.9983302338391318,0.50696809033448,0.11140387910378544,-0.055378470964788505,0.5098536876679606,3349
IBKR,1Month,1Min,0.001,1.0,20,0.4905302107098477,-0.08616537329408613,3.1478114893605804,3.844672538547406,0.49121152324519635,0.10881015722488277,-0.055111309392989534,0.5065883473567233,3149
IBKR,1Month,1Min,0.001,1.0,30,0.46131128547111677,-0.08616537329408613,3.047484263278115,3.7145212335301685,0.46191110688147974,0.09579548090223358,-0.05454399349971107,0.5050288540807915,3032
IBKR,1Month,1Min,0.001,1.5,10,0.4342342496850795,-0.08616537329408613,2.9621475637565595,3.4637264087656403,0.4349328194231088,0.11156624762322329,-0.04919924786399826,0.5068421964316646,2886
IBKR,1Month,1Min,0.001,1.5,20,0.49863104530956504,-0.08616537329408613,3.4256450435206727,3.9522644156579876,0.4991826486290785,0.08809473010989244,-0.059056958753188414,0.5052244582043344,2584
IBKR,1Month,1Min,0.001,1.5,30,0.4117668458343029,-0.08616537329408613,2.942066686376847,3.214205594698714,0.4124122040129688,0.10306800659562525,-0.05473398590814876,0.5034497177503658,2391
IBKR,1Month,1Min,0.001,2.0,10,0.2930992723421906,-0.08616537329408613,2.331157593457955,2.465553413044716,0.2936760008253428,0.09210738636380121,-0.05189333208332516,0.5040016849199663,2374
IBKR,1Month,1Min,0.001,2.0,20,0.294297881683272,-0.08616537329408613,2.447229935211937,2.422191796823398,0.2946919165811266,0.06293000196409024,-0.05280931796978792,0.5014311735623211,1921
IBKR,1Month,1Min,0.001,2.0,30,0.37128793653959424,-0.08616537329408613,2.978784838358282,2.8407193732333735,0.3719171705606303,0.10049287105093693,-0.05017548226616344,0.5032505910165485,1692
IBKR,1Month,1Min,0.01,1.0,10,0.4358033010809301,-0.08616537329408613,2.5894823524901533,3.218143100098474,0.4379561353985664,0.34382200301254157,-0.07029684834031899,0.5039798355001327,3769
IBKR,1Month,1Min,0.01,1.0,20,0.3866070001355959,-0.08616537329408613,2.3802416182056816,2.8644151372304547,0.3887411866652455,0.3408438268636316,-0.07655430636154903,0.5042841348811498,3618
IBKR,1Month,1Min,0.01,1.0,30,0.39623981817009324,-0.08616537329408613,2.450989513659125,2.9174794774163066,0.39834388139221855,0.33603293368643017,-0.0718308980940116,0.5035755148741419,3496
IBKR,1Month,1Min,0.01,1.5,10,0.42365574601577105,-0.08616537329408613,2.7039887381881154,3.3368195921868016,0.4250108312253826,0.2164161483327009,-0.06546058080883387,0.5051145368102579,3470
IBKR,1Month,1Min,0.01,1.5,20,0.34843373032875613,-0.08616537329408613,2.2536571680849566,2.5780756519449572,0.3504674272325575,0.32479496320605333,-0.07355412902115897,0.5017815646785437,3227
IBKR,1Month,1Min,0.01,1.5,30,0.3682321208743671,-0.08616537329408613,2.3922211827563755,2.649390202616412,0.3701377947876184,0.3043488375186274,-0.0673717911517707,0.50311986863711,3045
IBKR,1Month,1Min,0.01,2.0,10,0.2150744499402839,-0.08616537329408613,1.5977929876259982,1.845252025397725,0.21620712938401426,0.1808964637567121,-0.07306846611722703,0.5004766444232602,3147
IBKR,1Month,1Min,0.01,2.0,20,0.24562934721912222,-0.08616537329408613,1.807364173906134,1.9785015167385274,0.2468238768885379,0.19077435742818566,-0.06440386461426756,0.49991226530970345,2849
IBKR,1Month,1Min,0.01,2.0,30,0.2331535080925431,-0.08616537329408613,1.705166506785917,1.716352859362217,0.23502277353014545,0.29853416106084757,-0.07137248140572115,0.5006713984270094,2606
IBKR,1Month,1Min,0.1,1.0,10,0.29138947963974693,-0.08616537329408613,1.8155975606024009,2.263819973267343,0.2937851971209266,0.3826120646087321,-0.09735655007958181,0.502537442752816,4039
IBKR,1Month,1Min,0.1,1.0,20,0.271601842192839,-0.08616537329408613,1.7194173627576168,2.115115006328667,0.27399313386589075,0.3819052335242318,-0.09853896764100555,0.5022149095051259,3950
IBKR,1Month,1Min,0.1,1.0,30,0.26299635918829933,-0.08616537329408613,1.679847808841206,2.058029024214114,0.26529451661585973,0.3670310731805464,-0.09789424970655962,0.5005141388174807,3890
IBKR,1Month,1Min,0.1,1.5,10,0.21253263973304737,-0.08616537329408613,1.4223898740213015,1.715646039480371,0.2149154680356691,0.38055357680376073,-0.09668509723696514,0.5014164305949008,3883
IBKR,1Month,1Min,0.1,1.5,20,0.2380782625838762,-0.08616537329408613,1.565109634352915,1.8706883565541423,0.24037120723302227,0.366198557691087,-0.09606210115072943,0.5010663822980539,3751
IBKR,1Month,1Min,0.1,1.5,30,0.21811440951404637,-0.08616537329408613,1.481345020082081,1.7178759065801232,0.2203169860374162,0.35176616511989145,-0.09506833408875687,0.5010346254655814,3624
IBKR,1Month,1Min,0.1,2.0,10,0.17903824689946313,-0.08616537329408613,1.261629394674368,1.47400263548859,0.18131471850462882,0.3635677026686421,-0.09402957533675729,0.5010139245640124,3698
IBKR,1Month,1Min,0.1,2.0,20,0.17322618488210617,-0.08616537329408613,1.2271586219670518,1.4063097027048537,0.17541400830254714,0.34940999615784085,-0.09535093646278697,0.5009831460674158,3560
IBKR,1Month,1Min,0.1,2.0,30,0.18539933055538427,-0.08616537329408613,1.3055529140904065,1.4658906974226285,0.18756908361421235,0.34652403885308486,-0.09423427309239484,0.5008779631255488,3417
IBKR,1Month,5Min,0.001,1.0,10,0.1579465732959482,-0.08616537329408613,1.2074761386281436,1.514178706353681,0.1655888438136763,0.3968897662879555,-0.07048617355484355,0.5033929673041333,810
