symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
INTC,1Month,1Min,0.001,1.0,10,0.6539332757231702,-0.030892201339382197,3.1445023611762206,3.120480689928908,0.65940707224201,0.2079193452117893,-0.0692558204543144,0.5264444625539891,6135
INTC,1Month,1Min,0.001,1.0,20,0.6532227208604535,-0.030892201339382197,3.206278176781116,3.0610228011780043,0.658358901111753,0.19509516494892665,-0.08114231758301234,0.5267435762978501,5721
INTC,1Month,1Min,0.001,1.0,30,0.6062704284157496,-0.030892201339382197,3.052344162155728,2.859449175136081,0.6111522409436738,0.18543313781562493,-0.09377483156710524,0.5250068574563409,5468
INTC,1Month,1Min,0.001,1.5,10,0.4581030269256503,-0.030892201339382197,2.4773149686829177,2.25732587418492,0.46314520322987063,0.19152447337192896,-0.09364671344292538,0.524529378208785,5259
INTC,1Month,1Min,0.001,1.5,20,0.4422488966501186,-0.030892201339382197,2.4945828715324923,2.1006592470662326,0.44698499418575444,0.1798982287849631,-0.08125799696021872,0.5237474187588306,4600
INTC,1Month,1Min,0.001,1.5,30,0.4451098992202791,-0.030892201339382197,2.5679355989950725,2.0941790673344567,0.44998267619271587,0.1850899268880532,-0.06663131928262674,0.5232873481900719,4240
INTC,1Month,1Min,0.001,2.0,10,0.26018290616860273,-0.030892201339382197,1.6646318434620633,1.3939365214280577,0.26493938638721254,0.18067245451348937,-0.11126036150714505,0.5169609665427509,4304
INTC,1Month,1Min,0.001,2.0,20,0.24685609970499267,-0.030892201339382197,1.6551977632349437,1.2065356218443617,0.25157936449539736,0.17941078355813506,-0.088638001589068,0.5181831249101624,3478
INTC,1Month,1Min,0.001,2.0,30,0.23275737791485906,-0.030892201339382197,1.6174356952394424,1.0954579039907197,0.23717668794403154,0.16786521829791917,-0.06898858178995394,0.5195623342175066,3016
INTC,1Month,1Min,0.01,1.0,10,0.43070185658260707,-0.030892201339382197,2.1829259147912157,2.36557702885017,0.4372408764884718,0.2483813076490522,-0.09935899028200325,0.5145026140514216,6981
INTC,1Month,1Min,0.01,1.0,20,0.42481373934339506,-0.030892201339382197,2.1854845914838306,2.310959132549069,0.43167990849359,0.2608079034191999,-0.09957712431584945,0.5140913508260447,6688
INTC,1Month,1Min,0.01,1.0,30,0.34216828293559987,-0.030892201339382197,1.8468595636375547,1.9162676498476547,0.34945145138500033,0.2766474073076197,-0.09876625080448774,0.5133476526541884,6518
INTC,1Month,1Min,0.01,1.5,10,0.34302711156946475,-0.030892201339382197,1.8491870924843719,1.9238257968392134,0.3500271611146993,0.2658932813607282,-0.0881771952272525,0.512230882012501,6479
INTC,1Month,1Min,0.01,1.5,20,0.24850436190886405,-0.030892201339382197,1.4430665559748974,1.4430050248592958,0.25541357814267424,0.2624430247481997,-0.09629004917645809,0.5102479338842976,6050
INTC,1Month,1Min,0.01,1.5,30,0.34197218616472425,-0.030892201339382197,1.932148615257351,1.9012991669406076,0.3478359827845252,0.22273329844247333,-0.08066598823518076,0.5132519616390584,5735
INTC,1Month,1Min,0.01,2.0,10,0.3335408964302302,-0.030892201339382197,1.8880890586240826,1.9013228208291353,0.3403781515567275,0.25970961910154833,-0.07812438012008019,0.5112312109440973,5921
INTC,1Month,1Min,0.01,2.0,20,0.2549251888515187,-0.030892201339382197,1.5344975703272061,1.467995960128025,0.2616596887951689,0.2558065163352774,-0.07134349744768033,0.5092627245508982,5344
INTC,1Month,1Min,0.01,2.0,30,0.17978964267575215,-0.030892201339382197,1.1652645046135612,1.0502732938955388,0.1854433044112358,0.21475143294874657,-0.0733096258126663,0.5083307461450896,4831
INTC,1Month,1Min,0.1,1.0,10,0.15654143424519384,-0.030892201339382197,0.9237063234838152,1.0770139424521556,0.16350866661395685,0.2646467377926262,-0.1264737338744003,0.5019551616266945,7672
INTC,1Month,1Min,0.1,1.0,20,0.13709477284402416,-0.030892201339382197,0.827172148167974,0.949273850721247,0.1435441853575711,0.24497761694320708,-0.13663045452775116,0.5023888520238885,7535
INTC,1Month,1Min,0.1,1.0,30,0.1628551336942281,-0.030892201339382197,0.96094790612821,1.0920143474561674,0.16915525189666983,0.23930674932838086,-0.1270187183829644,0.5023693474140265,7386
INTC,1Month,1Min,0.1,1.5,10,0.11292105983944456,-0.030892201339382197,0.7157462755118658,0.82189317260589,0.11967636009432321,0.25659660545823576,-0.11490870836663546,0.5018208794173186,7414
INTC,1Month,1Min,0.1,1.5,20,0.11831105186196211,-0.030892201339382197,0.7496547709528083,0.8520250312832989,0.12573685980902374,0.2820654952568102,-0.09862865408895655,0.5006630836881413,7163
INTC,1Month,1Min,0.1,1.5,30,0.15516657943762557,-0.030892201339382197,0.9526271811595,1.0781800562450483,0.1622442879951393,0.2688431189966927,-0.10710247119870242,0.5008976660682226,6962
INTC,1Month,1Min,0.1,2.0,10,0.0917728405387459,-0.030892201339382197,0.6103344527726575,0.6858418785491849,0.09800817353806654,0.23684591671138638,-0.12908258872993283,0.5008065081702784,7129
INTC,1Month,1Min,0.1,2.0,20,0.10430663249399585,-0.030892201339382197,0.6947149594185569,0.769812502097592,0.11133666928016024,0.2670323312829136,-0.11770817642250699,0.4998889629136131,6754
INTC,1Month,1Min,0.1,2.0,30,0.11086588088004468,-0.030892201339382197,0.7342096926025167,0.8011770707415734,0.11728268071090565,0.24373884096636464,-0.12797281639259075,0.49946244816464447,6511
INTC,1Month,5Min,0.001,1.0,10,-0.049859220989635356,-0.028006947459835008,-0.26355183435957774,-0.2634260021430384,-0.03483758501040635,0.5299122977806392,-0.16472262592600329,0.5115681233933161,1556
