symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
INTU,1Month,1Min,0.001,1.0,10,0.848726486414455,0.13050505050505046,3.1696977020110904,4.071653714096491,0.849016225498065,0.11118849184134344,-0.07299207554085906,0.5125770020533881,3896
INTU,1Month,1Min,0.001,1.0,20,0.7630582574285982,0.13050505050505046,2.977523027583478,3.7088655473755407,0.7633927974254432,0.12838101524430487,-0.0773964884853471,0.5114816839803171,3658
INTU,1Month,1Min,0.001,1.0,30,0.7692451434431049,0.13050505050505046,3.033477590420944,3.7001292066404843,0.7695592754920841,0.12054938646819807,-0.07514824348134104,0.5107388316151202,3492
INTU,1Month,1Min,0.001,1.5,10,0.7243534146629533,0.13050505050505046,2.943765783475627,3.5181900053228112,0.7246800231021219,0.12533724936706156,-0.07873421866535225,0.510673732021196,3302
INTU,1Month,1Min,0.001,1.5,20,0.6339826151605341,0.13050505050505046,2.728793758795133,3.0817836328608657,0.6343588082420458,0.1443655472823444,-0.07588446919413613,0.5110124637186273,2928
INTU,1Month,1Min,0.001,1.5,30,0.4879238028179256,0.13050505050505046,2.2760820456935686,2.4063287807047806,0.4880815552227643,0.06053809434277346,-0.08288454894810354,0.5122767857142857,2688
INTU,1Month,1Min,0.001,2.0,10,0.8125536155620363,0.13050505050505046,3.420024907070095,3.891022706952014,0.8126777147198021,0.04762353086384182,-0.08501482953092826,0.5118310884601384,2747
INTU,1Month,1Min,0.001,2.0,20,0.5183745271191567,0.13050505050505046,2.468282376168057,2.464288733062036,0.5185540618548604,0.06889714790051377,-0.07902746497861048,0.5111849390919159,2257
INTU,1Month,1Min,0.001,2.0,30,0.4650214471061589,0.13050505050505046,2.3361440062632735,2.2235810525125093,0.46523755201937184,0.08293109469484863,-0.07377362753720082,0.5079928952042628,1970
INTU,1Month,1Min,0.01,1.0,10,0.6069903391341966,0.13050505050505046,2.321254170770707,2.89036148006931,0.6070381278499642,0.018339104158909738,-0.08267223772039531,0.5054669703872438,4390
INTU,1Month,1Min,0.01,1.0,20,0.5629911751871419,0.13050505050505046,2.2057004636209907,2.68360087399984,0.5630249616755353,0.012965695349989178,-0.08267223772039509,0.505579297245964,4212
INTU,1Month,1Min,0.01,1.0,30,0.49527326932553506,0.13050505050505046,2.0154479750021106,2.415933203000543,0.4952964191837792,0.008883847468677845,-0.08478934491906627,0.503644224830142,4047
INTU,1Month,1Min,0.01,1.5,10,0.5929638240849433,0.13050505050505046,2.333409089454707,2.8070029633993254,0.5929366220591759,-0.01043888239869531,-0.07908478733684882,0.5056193651969866,4048
INTU,1Month,1Min,0.01,1.5,20,0.49086198252570123,0.13050505050505046,2.0391902577362617,2.3610094808563664,0.490886733146769,0.009498146381829652,-0.08689735796451371,0.5044816053511706,3737
INTU,1Month,1Min,0.01,1.5,30,0.47412592086880956,0.13050505050505046,2.010216394134072,2.2610936893474034,0.4739622390017855,-0.06281354834641906,-0.09244077244779433,0.507203804727934,3574
INTU,1Month,1Min,0.01,2.0,10,0.5337579840972899,0.13050505050505046,2.231056145529029,2.6431070851225305,0.5337414277174107,-0.006353574692729545,-0.09388167452300235,0.504978471474704,3716
INTU,1Month,1Min,0.01,2.0,20,0.46622701231796837,0.13050505050505046,2.0204063436872626,2.1965212983405666,0.46612583222708565,-0.038828250470914365,-0.07515450048273846,0.5055207400775887,3351
INTU,1Month,1Min,0.01,2.0,30,0.37556457222245165,0.13050505050505046,1.727831591210714,1.780422476439217,0.3754253766463098,-0.05341683969371513,-0.07301670752486826,0.5061932287365813,3027
INTU,1Month,1Min,0.1,1.0,10,0.38927042932578937,0.13050505050505046,1.6768493303549823,2.054219431627879,0.3892780810169733,0.002936366030356717,-0.1110286425181246,0.5032047914258695,4758
INTU,1Month,1Min,0.1,1.0,20,0.3045847635206218,0.13050505050505046,1.3879365568597688,1.6692740336290752,0.30440435355869855,-0.06923301934096746,-0.10847541649577806,0.502466223461291,4663
INTU,1Month,1Min,0.1,1.0,30,0.26507745371426306,0.13050505050505046,1.245903987372837,1.4823480954064077,0.26488569765891984,-0.07358712649122731,-0.11623493011126661,0.5015273838097316,4583
INTU,1Month,1Min,0.1,1.5,10,0.3745716084921067,0.13050505050505046,1.672981514346536,2.0397873449906845,0.3743837570492593,-0.07208871637262869,-0.0937883812534514,0.5025081788440567,4585
