symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
IRM,1Month,1Min,0.001,1.0,10,0.5437023821994622,-0.04820198928844688,3.906447904114427,4.512807764851065,0.5425825027819258,0.04913060914899113,-0.049305392041440965,0.5211449676823638,2707
IRM,1Month,1Min,0.001,1.0,20,0.500844442230113,-0.04820198928844688,3.693908596654753,4.156863492238275,0.49970365565681635,0.05004783405909439,-0.04930539204144126,0.5189775367931836,2582
IRM,1Month,1Min,0.001,1.0,30,0.49406435454219455,-0.04820198928844688,3.6765110695007452,4.085395445357047,0.4931142265536872,0.041683386723511566,-0.04872302327773002,0.516751269035533,2462
IRM,1Month,1Min,0.001,1.5,10,0.46966135814716004,-0.04820198928844688,3.619201685112278,3.8598574127454746,0.4687542734702767,0.03979501902359352,-0.0496304115437477,0.5211267605633803,2343
IRM,1Month,1Min,0.001,1.5,20,0.39743434346369644,-0.04820198928844688,3.432335660851179,3.4964268320086234,0.39603408972137943,0.06143100609396807,-0.04872302327773033,0.5190140845070422,2130
IRM,1Month,1Min,0.001,1.5,30,0.4060084213374193,-0.04820198928844688,3.5364346006764014,3.4685720893529957,0.40403864831942593,0.0864165790922004,-0.04796038670124953,0.5163432073544433,1958
IRM,1Month,1Min,0.001,2.0,10,0.38203848590793665,-0.04820198928844688,3.432341304814975,3.3412304502027164,0.3810017145875163,0.04548454567770461,-0.04886850241836416,0.5224616982601922,1925
IRM,1Month,1Min,0.001,2.0,20,0.34400286661661483,-0.04820198928844688,3.237637677259701,2.883874448041389,0.3425633113353063,0.06315521721965733,-0.046926635822868254,0.5192133131618759,1652
IRM,1Month,1Min,0.001,2.0,30,0.28987919698299547,-0.04820198928844688,2.837069831198305,2.363860439075618,0.2889653303574503,0.04009255218989416,-0.04692663582286826,0.5137268359643102,1457
IRM,1Month,1Min,0.01,1.0,10,0.37671205935269114,-0.04820198928844688,2.8120981698512355,3.6337405272788295,0.37583850833017385,0.03832385271747701,-0.04861092972072521,0.5068207350345049,3115
IRM,1Month,1Min,0.01,1.0,20,0.3886238532618622,-0.04820198928844688,2.920554480841396,3.6973119627787963,0.38764772588505986,0.042824014691516886,-0.04861092972072525,0.5064586478778729,2980
IRM,1Month,1Min,0.01,1.0,30,0.3706841607237521,-0.04820198928844688,2.825292140651816,3.5278749107743113,0.3694550744712906,0.053921659184454615,-0.04820696191394555,0.5045967042497832,2882
IRM,1Month,1Min,0.01,1.5,10,0.3334173218326366,-0.04820198928844688,2.585594641971393,3.228197953165598,0.33244933527477316,0.04246686606714051,-0.04739799625686915,0.5041393583994481,2899
IRM,1Month,1Min,0.01,1.5,20,0.29134147748956996,-0.04820198928844688,2.4180822133852278,2.8076269401683196,0.2900566543106618,0.05636691275866632,-0.04739799625686888,0.503422756706753,2702
IRM,1Month,1Min,0.01,1.5,30,0.3331819417397801,-0.04820198928844688,2.741064416193563,3.109534821075408,0.33194620629625315,0.05421336809728891,-0.04765921281563241,0.5063903950426026,2582
IRM,1Month,1Min,0.01,2.0,10,0.2740757494595141,-0.04820198928844688,2.2705072689736348,2.718993617413666,0.2739014593370306,0.007646340982945135,-0.04692663582286818,0.5014266692029675,2628
IRM,1Month,1Min,0.01,2.0,20,0.2421441008878824,-0.04820198928844688,2.1373886969720934,2.296842883358753,0.24145680829753532,0.030152445967462634,-0.04432945356361809,0.502437990248039,2358
IRM,1Month,1Min,0.01,2.0,30,0.2629684838187225,-0.04820198928844688,2.309396846853926,2.40429123564974,0.26224342314036553,0.03180938254586677,-0.047659212815634185,0.5047857793983591,2194
IRM,1Month,1Min,0.1,1.0,10,0.2854039989226824,-0.04820198928844688,2.1024482804072036,2.640253368151947,0.28365306310509036,0.07681589816904418,-0.06180348849104181,0.5024125452352232,3316
IRM,1Month,1Min,0.1,1.0,20,0.31233856829242534,-0.04820198928844688,2.283588851722002,2.82276970141607,0.31073001900257785,0.07056921059433062,-0.0580126914285227,0.5034342803621604,3203
IRM,1Month,1Min,0.1,1.0,30,0.3143780198581265,-0.04820198928844688,2.3072675809241545,2.8300262628454607,0.31280652471807335,0.06894359544114037,-0.053221935338821004,0.5037260187093705,3153
IRM,1Month,1Min,0.1,1.5,10,0.24091891872460391,-0.04820198928844688,1.8507878550881909,2.2604096329419874,0.2393062869162473,0.07074831614629849,-0.05534004400446584,0.5022075055187638,3171
IRM,1Month,1Min,0.1,1.5,20,0.2895356740871826,-0.04820198928844688,2.1743580629060757,2.6043314372535353,0.28831870082441885,0.0533902461116298,-0.05492479019553587,0.5035449299258038,3032
IRM,1Month,1Min,0.1,1.5,30,0.2791052986130129,-0.04820198928844688,2.1295948257208495,2.488262539302069,0.2783101324752035,0.034885002897161524,-0.05256682938479686,0.503020887277749,2896
IRM,1Month,1Min,0.1,2.0,10,0.22960127752986814,-0.04820198928844688,1.8065475337132408,2.166014372307348,0.228813012171208,0.034582256478306754,-0.05665818074703847,0.501153972964062,3033
IRM,1Month,1Min,0.1,2.0,20,0.222612526960833,-0.04820198928844688,1.7874671617069477,2.0467274091365306,0.22184822988781633,0.03353073570251521,-0.050907699659193846,0.5040280210157618,2855
IRM,1Month,1Min,0.1,2.0,30,0.233038500456082,-0.04820198928844688,1.8663383694648215,2.0703985730349515,0.23208035476496056,0.04203513406991091,-0.05321658670383803,0.5055637982195845,2696
IRM,1Month,5Min,0.001,1.0,10,0.2097439500981666,-0.03438199168987721,1.8797936794761247,2.3204109415158922,0.20816816714964925,0.06191670494120106,-0.046476478367655415,0.5142642642642643,666
IRM,1Month,5Min,0.001,1.0,20,0.131643634498396,-0.03438199168987721,1.3025538481285313,1.5047379543526713,0.12983722125276256,0.07097878298340485,-0.05705311432531227,0.5035742652899127,629
IRM,1Month,5Min,0.001,1.0,30,0.13521638431176886,-0.03438199168987721,1.349477673670338,1.4931964031011191,0.1332348312865467,0.07786049094100463,-0.06271808416440451,0.5051457975986278,583
IRM,1Month,5Min,0.001,1.5,10,0.11860765717577793,-0.03438199168987721,1.216378310241268,1.3159884369325638,0.11821064522310258,0.015599656002788075,-0.04792864009703384,0.5104895104895105,572
IRM,1Month,5Min,0.001,1.5,20,0.1669762267953161,-0.03438199168987721,1.6983053729397346,1.684043175930972,0.16536391616884719,0.06335197460193906,-0.04602589547301752,0.5130344108446299,479
IRM,1Month,5Min,0.001,1.5,30,0.1620476995140745,-0.03438199168987721,1.6862628024761814,1.593441629794134,0.16075681878138187,0.05072213880446816,-0.04602589547301788,0.5156794425087108,430
IRM,1Month,5Min,0.001,2.0,10,0.19804605990336954,-0.03438199168987721,2.0411905508867423,2.028102718544744,0.19726280802314192,0.030776050475939586,-0.041951404707669025,0.5231243576567317,486
IRM,1Month,5Min,0.001,2.0,20,0.1570696470937314,-0.03438199168987721,1.6999094444174345,1.4580875907142905,0.15622105613471116,0.03334339673802426,-0.04031184635862367,0.5225718194254446,365
IRM,1Month,5Min,0.001,2.0,30,0.18571696142955596,-0.03438199168987721,2.008492880132245,1.5941970915998713,0.1830829607440061,0.10349689556900131,-0.045294140845247785,0.5348837209302325,322
IRM,1Month,5Min,0.01,1.0,10,0.1681278661382073,-0.03438199168987721,1.4748946548440254,1.844947564245684,0.1661977063015373,0.07584111581414138,-0.0814853892670908,0.5026990553306343,741
IRM,1Month,5Min,0.01,1.0,20,0.19698976128103518,-0.03438199168987721,1.708681173824305,2.0585716772039127,0.1955252698484523,0.05754376515209026,-0.0766696846363432,0.5080409356725146,684
IRM,1Month,5Min,0.01,1.0,30,0.1916052934672896,-0.03438199168987721,1.6758102236272527,1.987273434402832,0.18945633342854296,0.0844383579443491,-0.07703248034340487,0.5034013605442177,661
IRM,1Month,5Min,0.01,1.5,10,0.14712981779256862,-0.03438199168987721,1.3314480699491231,1.571982299292974,0.1456936250117253,0.05643183582728059,-0.0790622315291039,0.5070527097253155,673
