symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
ITW,1Month,1Min,0.001,1.0,10,0.19929889123806044,-0.1324282957343449,2.787454557365459,3.4620908481694475,0.1976250384823534,0.04937417356669229,-0.0375649457046683,0.5132672634271099,3128
ITW,1Month,1Min,0.001,1.0,20,0.1653071927431864,-0.1324282957343449,2.367468988102121,2.79781273769607,0.16363019226450645,0.049467022964510374,-0.03637463228569111,0.5125780854296809,2961
ITW,1Month,1Min,0.001,1.0,30,0.14421563315104047,-0.1324282957343449,2.1245067991547733,2.4291212301840748,0.14241781663875225,0.05303077239986364,-0.03395684837954082,0.5125915342025361,2799
ITW,1Month,1Min,0.001,1.5,10,0.130715389943312,-0.1324282957343449,1.9947789203523703,2.2702897321101334,0.12894966419641019,0.05208418076289074,-0.03598757792257725,0.5130323054331865,2724
ITW,1Month,1Min,0.001,1.5,20,0.10419201079331275,-0.1324282957343449,1.6560771468875202,1.76497698872459,0.10232675961195775,0.05501991454128742,-0.05226192683143963,0.5129856638271348,2406
ITW,1Month,1Min,0.001,1.5,30,0.11881741294818937,-0.1324282957343449,1.9015671046291789,1.9586051968240359,0.11691703562967695,0.056056041516509794,-0.033674993548684036,0.5122345337026778,2166
ITW,1Month,1Min,0.001,2.0,10,0.10166947080413813,-0.1324282957343449,1.7082437324858675,1.739558050837618,0.09980835397149136,0.054897962326548345,-0.03853342744662162,0.5136186770428015,2184
ITW,1Month,1Min,0.001,2.0,20,0.11407463623245473,-0.1324282957343449,1.926718878462642,1.8358881737562802,0.11255458638287111,0.04483739973392366,-0.040463717452210654,0.5082553659878921,1817
ITW,1Month,1Min,0.001,2.0,30,0.11928167664027645,-0.1324282957343449,2.0532286934803983,1.8218646362374318,0.11773416998997698,0.04564730182328526,-0.04918484157767102,0.5121951219512195,1578
ITW,1Month,1Min,0.01,1.0,10,0.16108785386948243,-0.1324282957343449,2.1352011959185067,2.545138384951449,0.15769057008892273,0.10021077329816303,-0.04947444461164222,0.5130927105449399,3532
ITW,1Month,1Min,0.01,1.0,20,0.14905626878057254,-0.1324282957343449,2.0070808427458404,2.353616748935603,0.14577483797965596,0.09679342066328261,-0.04988848485970796,0.5116176470588235,3400
ITW,1Month,1Min,0.01,1.0,30,0.14359030549869578,-0.1324282957343449,1.956813982733605,2.2479792502634175,0.1402867632307547,0.0974456497240282,-0.04813303386217845,0.5130723893002871,3308
ITW,1Month,1Min,0.01,1.5,10,0.14151051011048388,-0.1324282957343449,1.9745580349149567,2.282156638987504,0.13855460733277197,0.08719121577176504,-0.042894234871495567,0.5123513266239708,3279
ITW,1Month,1Min,0.01,1.5,20,0.1574861343348879,-0.1324282957343449,2.198526236404894,2.44681766328804,0.15450281102098712,0.08800004815469989,-0.04279254530851376,0.5156275568646703,3055
ITW,1Month,1Min,0.01,1.5,30,0.15365931202672134,-0.1324282957343449,2.1594639004278013,2.337341824608579,0.15057469951577923,0.09098780820593465,-0.041137074671047255,0.5164777680906714,2867
ITW,1Month,1Min,0.01,2.0,10,0.11596838589526359,-0.1324282957343449,1.7194648000960242,1.8614914634317372,0.1130876338285806,0.08497447105670508,-0.05140562230450349,0.5131777740473392,2978
ITW,1Month,1Min,0.01,2.0,20,0.1283360344530764,-0.1324282957343449,1.9091593301682934,1.951509217416051,0.1253459247190313,0.08820022937432023,-0.04205052767523957,0.5139760410724472,2629
ITW,1Month,1Min,0.01,2.0,30,0.11759652705766266,-0.1324282957343449,1.768686169982358,1.7268719382130207,0.11449106288391925,0.09160287641596379,-0.040982127153231684,0.5134059488898198,2387
ITW,1Month,1Min,0.1,1.0,10,0.15028656841297927,-0.1324282957343449,1.923393214703976,2.286268202208772,0.14445987617378783,0.1718718166557118,-0.03864010588924183,0.511301324060452,3738
ITW,1Month,1Min,0.1,1.0,20,0.15366489931551341,-0.1324282957343449,1.9694040654745915,2.3066300631923533,0.14777906597128354,0.17361632086920206,-0.04109426420187315,0.5117905127502056,3647
ITW,1Month,1Min,0.1,1.0,30,0.14263418715428355,-0.1324282957343449,1.850859480202837,2.135288965571118,0.13647891343150365,0.18156409045111221,-0.04608681413016419,0.5119181155356142,3566
ITW,1Month,1Min,0.1,1.5,10,0.17109313224745337,-0.1324282957343449,2.260358977880809,2.7602352673804913,0.16515581538070154,0.17513494690614437,-0.03691060000459943,0.5113906359189379,3577
ITW,1Month,1Min,0.1,1.5,20,0.1607997753954511,-0.1324282957343449,2.1359443436473295,2.526691905719294,0.15511760258002133,0.16760888069062238,-0.03731081104274427,0.5124633431085044,3410
ITW,1Month,1Min,0.1,1.5,30,0.1631550906479733,-0.1324282957343449,2.1860611130373435,2.5459462325257953,0.15723695441511734,0.1745691695736604,-0.0362772535975029,0.51144806671721,3297
ITW,1Month,1Min,0.1,2.0,10,0.18347557488353372,-0.1324282957343449,2.4688707850253953,2.951100126270367,0.17707576751746376,0.1887771780453069,-0.04598963111848718,0.5133666274970623,3404
ITW,1Month,1Min,0.1,2.0,20,0.1614907580762266,-0.1324282957343449,2.228153895946351,2.5404218257510176,0.1558251269271208,0.16712094583411996,-0.03741163737269469,0.5129500947567909,3166
ITW,1Month,1Min,0.1,2.0,30,0.16162610687113688,-0.1324282957343449,2.2039701066905724,2.4875837202225544,0.15609781564892222,0.16306978579937983,-0.03527427025108234,0.5133203378817414,3078
ITW,1Month,5Min,0.001,1.0,10,0.1082057218334529,-0.13025784715967847,1.6343881473450397,1.7397636166166288,0.10698059171165836,0.0501428180475565,-0.048023317010663084,0.5446224256292906,655
ITW,1Month,5Min,0.001,1.0,20,0.08962278670440793,-0.13025784715967847,1.3987466705776992,1.3881188960230657,0.08879597111508968,0.03384037574175458,-0.05442205611054448,0.543572044866264,579
ITW,1Month,5Min,0.001,1.0,30,0.09982548282494674,-0.13025784715967847,1.5766433103046575,1.5129984979764082,0.09881151898785619,0.041500084999592346,-0.0508180435568922,0.5489642184557438,531
ITW,1Month,5Min,0.001,1.5,10,0.10294071495845958,-0.13025784715967847,1.6312584498917635,1.570329254040891,0.10183744193779709,0.045155381740858626,-0.043927218190958704,0.5514705882352942,544
ITW,1Month,5Min,0.001,1.5,20,0.06505827729423763,-0.13025784715967847,1.0801374007301472,0.9620791873284275,0.06399806084101463,0.043393138213854626,-0.05299620729456206,0.5406593406593406,455
