symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
JNJ,1Month,1Min,0.001,1.0,10,0.23699603471326958,-0.030817146135562745,3.2267170050165044,4.144785041542068,0.2372430781340188,-0.0067844218212307,-0.03829754230476463,0.5066864784546805,3365
JNJ,1Month,1Min,0.001,1.0,20,0.21987491116824853,-0.030817146135562745,3.0360157171542608,3.68823592310706,0.22001947559159224,-0.00397009572378875,-0.03501810308336477,0.5045669291338583,3175
JNJ,1Month,1Min,0.001,1.0,30,0.22491062698402087,-0.030817146135562745,3.111519666544874,3.6461956262415964,0.22520022995269545,-0.007953212007064645,-0.03753066018175981,0.5053315561479507,3001
JNJ,1Month,1Min,0.001,1.5,10,0.21578828267520223,-0.030817146135562745,3.24667278662467,4.1270849690930795,0.2159061755554176,-0.003237629347404573,-0.0351635973158631,0.5071539389760387,2900
JNJ,1Month,1Min,0.001,1.5,20,0.22774393965799966,-0.030817146135562745,3.4243936817962535,4.078455083474124,0.22778120904703864,-0.0010235093713204268,-0.03612703966444433,0.5071275141573911,2560
JNJ,1Month,1Min,0.001,1.5,30,0.2339434435126988,-0.030817146135562745,3.5219614385758717,4.010075258417005,0.23404186692312717,-0.0027029496734018612,-0.036220418336284914,0.5072734829592684,2406
JNJ,1Month,1Min,0.001,2.0,10,0.1902548401772406,-0.030817146135562745,3.0500137693604716,3.5867946777067754,0.1904609940252441,-0.005661493273870424,-0.03712369110564997,0.5056367432150313,2395
JNJ,1Month,1Min,0.001,2.0,20,0.19690367141274479,-0.030817146135562745,3.331082091899563,3.6678583073716777,0.1970148551735324,-0.003053380375669728,-0.027946934635619397,0.5092918131592165,1991
JNJ,1Month,1Min,0.001,2.0,30,0.18213411036082072,-0.030817146135562745,3.1380904536680374,3.1283195803382933,0.182033753151644,0.0027560565579581547,-0.028944057376882864,0.512,1750
JNJ,1Month,1Min,0.01,1.0,10,0.17797076371034204,-0.030817146135562745,2.1999711721366007,2.5170699827798124,0.17761097058227485,0.009880806952012405,-0.06579610877440668,0.5050664561126464,3799
JNJ,1Month,1Min,0.01,1.0,20,0.19570985584967215,-0.030817146135562745,2.42264745970332,2.715563118613245,0.19531496190418443,0.01084476199654916,-0.06475925800838452,0.5045292341476805,3643
JNJ,1Month,1Min,0.01,1.0,30,0.18092692241433017,-0.030817146135562745,2.259451152341628,2.4673220927558726,0.18079898161951852,0.0035135698716986315,-0.06477945415648853,0.5043366984217261,3516
JNJ,1Month,1Min,0.01,1.5,10,0.21221045459426913,-0.030817146135562745,2.70901945186096,3.078835740572001,0.21181099745718712,0.010970078495701047,-0.06542187643073605,0.5056545094713034,3537
JNJ,1Month,1Min,0.01,1.5,20,0.21452582094375283,-0.030817146135562745,2.7357026932297677,2.940901039365182,0.21408917982439168,0.011991242386687072,-0.05963636377887781,0.507309721175584,3317
