symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
JPM,1Month,1Min,0.001,1.0,10,0.6767260078856518,-0.04980830248545742,5.348896680720576,6.819602648888962,0.6816123654008295,0.1439332826966376,-0.04877502088903219,0.5182570593963,4108
JPM,1Month,1Min,0.001,1.0,20,0.7101349601346352,-0.04980830248545742,5.506335191943508,7.058843215274094,0.7113417168443911,0.03554640734163312,-0.04629472514093108,0.518140735958683,3872
JPM,1Month,1Min,0.001,1.0,30,0.6714434309449158,-0.04980830248545742,5.306289674623542,6.621847012590126,0.6727235371528842,0.03770700120507807,-0.044578456513541725,0.5177208287895311,3668
JPM,1Month,1Min,0.001,1.5,10,0.7047424945935161,-0.04980830248545742,5.855041415650472,7.052020316528555,0.7097439286955817,0.1473229959668713,-0.04306475644508739,0.5217641143513863,3480
JPM,1Month,1Min,0.001,1.5,20,0.5663086697254316,-0.04980830248545742,5.091708923394116,5.660565453259709,0.5709788624543523,0.13756590020512996,-0.03997129653949748,0.5214663143989432,3028
JPM,1Month,1Min,0.001,1.5,30,0.5366539120546918,-0.04980830248545742,5.145840127289976,6.047496867844545,0.5376139767030851,0.028279808838180355,-0.03640625181108775,0.5193674484719261,2814
JPM,1Month,1Min,0.001,2.0,10,0.6178753339866181,-0.04980830248545742,5.726824376446555,6.2726809694649495,0.6232051780586677,0.15699668949078552,-0.040598254196365195,0.5239114917915775,2802
JPM,1Month,1Min,0.001,2.0,20,0.5617240540010946,-0.04980830248545742,5.735093990962471,6.638711215695114,0.5635419171380406,0.0535472502740782,-0.03689593362399925,0.5236004390779363,2277
JPM,1Month,1Min,0.001,2.0,30,0.46211207350961714,-0.04980830248545742,5.057362617353164,5.309098688388845,0.46344361677953816,0.03922213904673311,-0.03269735776390317,0.5221260815822002,2022
JPM,1Month,1Min,0.01,1.0,10,0.5909458041368785,-0.04980830248545742,4.503573999444557,6.055060925936765,0.5936933249237943,0.08093138598837879,-0.04379810780818088,0.5152300712896954,4629
JPM,1Month,1Min,0.01,1.0,20,0.5657825448828,-0.04980830248545742,4.417003483338457,5.822293713115342,0.5685503435639254,0.08152869469341816,-0.040006086214508685,0.5162597051873523,4443
JPM,1Month,1Min,0.01,1.0,30,0.5467133009227347,-0.04980830248545742,4.336842630786661,5.614664300634164,0.5492634643574723,0.075117998106893,-0.03902286573161106,0.5151018496839148,4271
JPM,1Month,1Min,0.01,1.5,10,0.5708479558600335,-0.04980830248545742,4.673258347903961,5.900378915973349,0.5774447634480687,0.19431655758194785,-0.04000608621451041,0.5170990566037735,4240
JPM,1Month,1Min,0.01,1.5,20,0.4663896056980903,-0.04980830248545742,4.046386089108915,4.890203784930964,0.47302589528932526,0.19547954541292972,-0.04192239990648449,0.5157280568239473,3942
JPM,1Month,1Min,0.01,1.5,30,0.42639175181168376,-0.04980830248545742,3.8957799725378726,4.8999439682411925,0.4293657969849974,0.08760392242145519,-0.0392648279469058,0.5128515677566949,3715
JPM,1Month,1Min,0.01,2.0,10,0.4995112734196119,-0.04980830248545742,4.377147890410268,5.316683584022506,0.5057250913256405,0.18303515584273075,-0.03725753518597226,0.5151633986928105,3825
JPM,1Month,1Min,0.01,2.0,20,0.403207669426108,-0.04980830248545742,3.8476422665131516,4.689194732713491,0.40670992450764487,0.103162953009643,-0.04163414275711234,0.5123275609040211,3407
JPM,1Month,1Min,0.01,2.0,30,0.4002810125229703,-0.04980830248545742,3.878793945660666,4.532742833811455,0.4035620582409776,0.09664697669043933,-0.03644945858297208,0.5129508978229779,3146
JPM,1Month,1Min,0.1,1.0,10,0.3488927162090816,-0.04980830248545742,2.8622691193540386,3.9952008597643185,0.34945152672314383,0.016460406641254418,-0.045087004334044015,0.5093317278747742,4983
JPM,1Month,1Min,0.1,1.0,20,0.3152427412706227,-0.04980830248545742,2.649407565183122,3.663589661984211,0.3157253757032136,0.01421655251574618,-0.042174928627045145,0.5082169268693508,4868
JPM,1Month,1Min,0.1,1.0,30,0.30142761153724407,-0.04980830248545742,2.5591159551768197,3.508575117271176,0.30176567777505525,0.009958130002956898,-0.044422507403751546,0.5080510246758678,4782
JPM,1Month,1Min,0.1,1.5,10,0.36324445700516894,-0.04980830248545742,3.0130857672252485,4.152651761036942,0.36429441533928997,0.030927730780100714,-0.04217492862704486,0.5094791666666667,4800
JPM,1Month,1Min,0.1,1.5,20,0.3023480416663362,-0.04980830248545742,2.592676836792637,3.514147832262068,0.30325186242406044,0.026623080326098416,-0.04217492862704325,0.5083992630324049,4613
JPM,1Month,1Min,0.1,1.5,30,0.28629936609578666,-0.04980830248545742,2.494217679661384,3.332641460414791,0.2871523537486133,0.025125732734391837,-0.04217492862704254,0.5072837292693859,4462
JPM,1Month,1Min,0.1,2.0,10,0.31660993320133857,-0.04980830248545742,2.7388507574934438,3.725215718345349,0.3176663465219927,0.031117869835335044,-0.039432587194170525,0.5076114335779214,4565
JPM,1Month,1Min,0.1,2.0,20,0.28948720944630346,-0.04980830248545742,2.567213136584535,3.3821455770442754,0.2901901819553195,0.020706864070811248,-0.03943258719417052,0.5081324258853386,4334
JPM,1Month,1Min,0.1,2.0,30,0.30022755221525954,-0.04980830248545742,2.6602453146480034,3.4568000929873013,0.3004902027161137,0.0077366726999469095,-0.04217492862704347,0.5069561045814344,4169
JPM,1Month,5Min,0.001,1.0,10,0.3055876476878945,-0.04839296944821425,3.1154779527220073,3.819317488055845,0.3126706073695342,0.15511087073670404,-0.04094723833567389,0.5206758559359715,1124
JPM,1Month,5Min,0.001,1.0,20,0.3117306461651548,-0.04839296944821425,3.1891525478108926,3.777077169139613,0.31982625307677714,0.17728699493502004,-0.03942087454450839,0.5222007722007722,1036
JPM,1Month,5Min,0.001,1.0,30,0.27714670352208537,-0.04839296944821425,2.9978378448649896,3.3180073452172203,0.28781560702544295,0.2336400299582883,-0.043829224312025065,0.5250260688216892,959
JPM,1Month,5Min,0.001,1.5,10,0.27444692591369413,-0.04839296944821425,3.0993746850747743,3.5636865759333194,0.282469699765928,0.1756920120792736,-0.039420874544507545,0.5180345007841087,956
JPM,1Month,5Min,0.001,1.5,20,0.28757193457204755,-0.04839296944821425,3.367608865112208,4.039969335216169,0.29127977649849157,0.08119862537910795,-0.039420874544507864,0.5217910447761194,837
JPM,1Month,5Min,0.001,1.5,30,0.2905662037904171,-0.04839296944821425,3.5120480130158986,3.9529690079383712,0.2938971289621987,0.07294446488141505,-0.03942087454450731,0.5288773523685918,770
JPM,1Month,5Min,0.001,2.0,10,0.21193354378720208,-0.04839296944821425,2.656532573152176,2.7180925964338,0.2196463221478623,0.16890337106143918,-0.03437626445030573,0.5200764818355641,784
JPM,1Month,5Min,0.001,2.0,20,0.22934769943032718,-0.04839296944821425,3.021925475013766,3.1481566813902306,0.23307694834124754,0.0816674203675329,-0.03384132074545522,0.5246398786959818,659
JPM,1Month,5Min,0.001,2.0,30,0.2065232499061853,-0.04839296944821425,2.7799615464517347,2.808340207252013,0.20958271002862042,0.06699960820125259,-0.03942087454450833,0.5266666666666666,600
JPM,1Month,5Min,0.01,1.0,10,0.16750511535005264,-0.04839296944821425,1.7221135223887307,2.1793545833895562,0.17957394488356276,0.26429723475176153,-0.04815035569679455,0.507537688442211,1293
JPM,1Month,5Min,0.01,1.0,20,0.15183417207088867,-0.04839296944821425,1.5994312672387372,2.084372593426919,0.15857701730191462,0.1476626498013799,-0.03949789814502285,0.5041584158415842,1262
JPM,1Month,5Min,0.01,1.0,30,0.1705743576417491,-0.04839296944821425,1.7998483509192653,2.286985064072978,0.17696837571522192,0.14002362789858291,-0.04089956753957015,0.5092860090796533,1211
JPM,1Month,5Min,0.01,1.5,10,0.14920086468122373,-0.04839296944821425,1.6243860296741297,2.068996107593233,0.15525295151605606,0.13253562083070608,-0.039420874544507406,0.5071868583162218,1217
JPM,1Month,5Min,0.01,1.5,20,0.17450489038595962,-0.04839296944821425,1.8988497114750518,2.3541406848874757,0.18096832666813087,0.14154382839105606,-0.04035010648437677,0.5102575294631165,1145
JPM,1Month,5Min,0.01,1.5,30,0.17488361418932774,-0.04839296944821425,1.9226716727987394,2.2744508928658465,0.18161475269062935,0.147406282248459,-0.03942087454450799,0.5119731800766284,1044
JPM,1Month,5Min,0.01,2.0,10,0.14078765289490525,-0.04839296944821425,1.5977146259882045,1.933301087582652,0.14658379643291397,0.12693067749996245,-0.03530203732748947,0.5105333930972658,1115
JPM,1Month,5Min,0.01,2.0,20,0.15901581170331625,-0.04839296944821425,1.7978248781770305,2.0906248716173756,0.1646795078885544,0.1240301916665798,-0.039420874544507864,0.5127576054955839,1019
JPM,1Month,5Min,0.01,2.0,30,0.1859479284890735,-0.04839296944821425,2.0985541658404396,2.377377725375897,0.19208599902814824,0.1344185917685162,-0.03942087454450776,0.512348922753547,951
JPM,1Month,5Min,0.1,1.0,10,0.14612741745466784,-0.04839296944821425,1.5188606071693693,1.8936130317363264,0.16117114103053756,0.32944491679433374,-0.05388838368529062,0.5089734386216799,1393
JPM,1Month,5Min,0.1,1.0,20,0.1366610253476095,-0.04839296944821425,1.435912202680089,1.7663933832299552,0.15166277195299147,0.3285256563811876,-0.05388838368528977,0.5093440820813485,1364
JPM,1Month,5Min,0.1,1.0,30,0.1197282013634442,-0.04839296944821425,1.2822675365354441,1.553256221880655,0.13492662348622014,0.33283268509894914,-0.05388838368529071,0.508252063015754,1333
JPM,1Month,5Min,0.1,1.5,10,0.11396293072455999,-0.04839296944821425,1.2289075379267984,1.495130296584854,0.12962249301039436,0.34293126753322023,-0.05334636382017666,0.5099213777611381,1335
JPM,1Month,5Min,0.1,1.5,20,0.125944327259504,-0.04839296944821425,1.3553655589584597,1.6197366116400949,0.14103836335370254,0.330546718707335,-0.05388838368529213,0.509819021948402,1298
JPM,1Month,5Min,0.1,1.5,30,0.11463477516880527,-0.04839296944821425,1.2561702442292444,1.4879271096429532,0.13044204989370461,0.3461660459410942,-0.053888383685290496,0.5097882540950859,1251
JPM,1Month,5Min,0.1,2.0,10,0.0851347222947334,-0.04839296944821425,0.9659153078453486,1.138806773128417,0.10043612567396026,0.335087888160329,-0.05228609550016571,0.5057199211045365,1267
JPM,1Month,5Min,0.1,2.0,20,0.10030942115224706,-0.04839296944821425,1.1359232410286997,1.3149647843569738,0.11592836549219096,0.34204176861782504,-0.05334636382017878,0.5089026915113871,1207
JPM,1Month,5Min,0.1,2.0,30,0.10696827730434788,-0.04839296944821425,1.2075060868096847,1.37006924934436,0.1226975258005123,0.3444573370364329,-0.05334636382017696,0.5135938827527613,1177
JPM,1Month,15Min,0.001,1.0,10,0.08500283648921014,-0.04839296944821425,1.0891887709240173,1.2463584878590734,0.0872459325038195,0.07786463939391011,-0.042759391670222885,0.5144076840981857,468
JPM,1Month,15Min,0.001,1.0,20,0.08833193583746923,-0.04839296944821425,1.1757445104420332,1.3350898980485133,0.09273748903232364,0.15293006122511799,-0.04071601834522685,0.5076923076923077,422
JPM,1Month,15Min,0.001,1.0,30,0.10791978624138698,-0.04839296944821425,1.4478137815478207,1.642841703223411,0.11103940071289518,0.10829124312554819,-0.04336841673962868,0.5110246433203631,385
JPM,1Month,15Min,0.001,1.5,10,0.09302664361644974,-0.04839296944821425,1.2383722701397504,1.3166481216947472,0.09645567106567163,0.11903190236463428,-0.03942087454450803,0.5187878787878788,412
JPM,1Month,15Min,0.001,1.5,20,0.08473447205215257,-0.04839296944821425,1.2185769914013018,1.2817877930034562,0.08829708734202626,0.12366913990240269,-0.03971099717457947,0.5087976539589443,341
JPM,1Month,15Min,0.001,1.5,30,0.10142757806649194,-0.04839296944821425,1.476809788475652,1.4164120471083061,0.10602816408704702,0.15970023982837472,-0.039420874544508204,0.5200698080279232,286
JPM,1Month,15Min,0.001,2.0,10,0.08902802203852156,-0.04839296944821425,1.2444144092174703,1.1801215930093172,0.09217897692617089,0.10937916365386717,-0.03942087454450796,0.5216741405082213,334
JPM,1Month,15Min,0.001,2.0,20,0.0894757798725998,-0.04839296944821425,1.4406023972017041,1.3414236102471737,0.09453302643833747,0.17555230699111743,-0.039420874544508044,0.52,275
JPM,1Month,15Min,0.001,2.0,30,0.07948839062689439,-0.04839296944821425,1.2920816843817482,1.0770822627124697,0.08495397010888128,0.18972677614862554,-0.043144234274833194,0.5334685598377282,246
JPM,1Month,15Min,0.01,1.0,10,0.032185106117208706,-0.04839296944821425,0.413923674424656,0.471784449678079,0.04197077901416908,0.3396902702273663,-0.056444348482760955,0.5112570356472795,533
JPM,1Month,15Min,0.01,1.0,20,0.0279310422832435,-0.04839296944821425,0.3695406828253492,0.40616640902356616,0.038092554651119666,0.3527367937298175,-0.059841036644870456,0.5135678391959799,497
JPM,1Month,15Min,0.01,1.0,30,0.04143021808785674,-0.04839296944821425,0.5289809817975905,0.5582747622095612,0.053069689972683215,0.40404123369877504,-0.06719019313634458,0.5169029443838604,458
JPM,1Month,15Min,0.01,1.5,10,0.032864188027368124,-0.04839296944821425,0.42708023292141684,0.4722885604603717,0.04269605164512402,0.3412936896952192,-0.06454217820508107,0.5094527363184079,502
JPM,1Month,15Min,0.01,1.5,20,0.04844377372328679,-0.04839296944821425,0.6224273200120141,0.6639356851899781,0.05688828292047967,0.2931344263533424,-0.05953834691926782,0.5126791620727673,453
JPM,1Month,15Min,0.01,1.5,30,0.0503141772622786,-0.04839296944821425,0.6550052622878633,0.6624770184229881,0.06025913506589195,0.34521953056069443,-0.058898371070822526,0.5215311004784688,418
JPM,1Month,15Min,0.01,2.0,10,0.015515475329839212,-0.04839296944821425,0.2292356857241584,0.23982211004507853,0.024942129185260696,0.32722763464560684,-0.06040404122007811,0.5082146768893757,456
JPM,1Month,15Min,0.01,2.0,20,0.05099138460233954,-0.04839296944821425,0.6803597859952836,0.6875480123507439,0.06085654195348403,0.3424494157664595,-0.05680377779951803,0.5100755667506297,397
JPM,1Month,15Min,0.01,2.0,30,0.06842113877386824,-0.04839296944821425,0.9104224517856103,0.8630296714193427,0.0796200352622686,0.38874753064499723,-0.053346363820178995,0.5213675213675214,351
JPM,1Month,15Min,0.1,1.0,10,0.04679903772454708,-0.04839296944821425,0.5593089052422464,0.6466757860949962,0.06254340372401443,0.5465345099138642,-0.0607882840556768,0.5126811594202898,552
JPM,1Month,15Min,0.1,1.0,20,0.07916259981095664,-0.04839296944821425,0.9135546073716476,1.0655864914478212,0.09534513221020743,0.5617445894162375,-0.05334636382017859,0.5128676470588235,544
JPM,1Month,15Min,0.1,1.0,30,0.08799319479326728,-0.04839296944821425,1.010822953610832,1.1514747406579113,0.10449795064866679,0.5729299390641654,-0.053346363820178544,0.5171428571428571,525
JPM,1Month,15Min,0.1,1.5,10,0.06304212183130598,-0.04839296944821425,0.7431242985286742,0.8543766058479636,0.07904528272644333,0.5555180626004568,-0.05334636382017865,0.5118035882908404,529
JPM,1Month,15Min,0.1,1.5,20,0.08294036099694169,-0.04839296944821425,0.9691648328955182,1.0895073879758654,0.09968514881016466,0.5812621734924779,-0.053346363820179585,0.518664047151277,509
JPM,1Month,15Min,0.1,1.5,30,0.07392029280732082,-0.04839296944821425,0.8835424073678552,0.9431958639411488,0.09087771187693172,0.5886432467923666,-0.05334636382017885,0.517799352750809,463
JPM,1Month,15Min,0.1,2.0,10,0.057662084363023336,-0.04839296944821425,0.6938013553819588,0.7770441174142523,0.07387584266813675,0.5628285349468368,-0.05334636382017998,0.5113974231912785,504
JPM,1Month,15Min,0.1,2.0,20,0.050927310980768414,-0.04839296944821425,0.6395830722745135,0.6768022506571882,0.0670207846586876,0.5586530921391689,-0.053346363820178606,0.5157096424702059,461
JPM,1Month,15Min,0.1,2.0,30,0.05403718024309234,-0.04839296944821425,0.6811353274280588,0.6911956584966469,0.07038511998591471,0.5674863780318036,-0.05334636382017917,0.5175644028103045,427
JPM,1Month,30Min,0.001,1.0,10,0.025082820667045036,-0.05427810125333066,0.36631583103431364,0.3840596045273908,0.029572895055342073,0.16011201020453739,-0.07191955847281448,0.5,234
JPM,1Month,30Min,0.001,1.0,20,0.027177494401626978,-0.05427810125333066,0.41601711445672,0.41731145319882584,0.030851159154422426,0.1309995776285394,-0.0695847116893952,0.5011655011655012,214
JPM,1Month,30Min,0.001,1.0,30,0.05035287838639757,-0.05427810125333066,0.7524027937057537,0.7009970523086008,0.054520523379119154,0.14861446824639632,-0.06731072826445578,0.5172413793103449,188
JPM,1Month,30Min,0.001,1.5,10,0.02071131195274467,-0.05427810125333066,0.3193997533416682,0.3126957330502874,0.026583934832406973,0.20941244467722778,-0.08206972052318788,0.5023584905660378,212
JPM,1Month,30Min,0.001,1.5,20,0.0388048005115047,-0.05427810125333066,0.5971698416836961,0.5464056506842542,0.042974947278901277,0.1487036792789208,-0.06342908701732979,0.5097493036211699,179
JPM,1Month,30Min,0.001,1.5,30,0.04636610543011521,-0.05427810125333066,0.7188246461624177,0.6308896439635756,0.05061830932430639,0.15162976254313934,-0.058979766774989555,0.5176470588235295,170
JPM,1Month,30Min,0.001,2.0,10,0.05178903290466774,-0.05427810125333066,0.7811700329372775,0.7326402247966782,0.0561567867788593,0.15575017079855177,-0.06706444365739603,0.5118733509234829,189
JPM,1Month,30Min,0.001,2.0,20,0.03846277979776014,-0.05427810125333066,0.6291775731995092,0.5014317190597335,0.042740942915051934,0.15255544506742483,-0.053966088735509135,0.5176056338028169,142
JPM,1Month,30Min,0.001,2.0,30,0.04649854369221118,-0.05427810125333066,0.806167406788493,0.5967427843905995,0.05074096623394524,0.15128096832081867,-0.04848534201954412,0.532,125
JPM,1Month,30Min,0.01,1.0,10,0.026320905121197002,-0.05427810125333066,0.3628805896558008,0.3920335593458044,0.03924468037182241,0.46085018996625016,-0.06011454437710365,0.5115452930728241,281
JPM,1Month,30Min,0.01,1.0,20,0.04693058193794597,-0.05427810125333066,0.6118386547909476,0.6269966252082535,0.060060788370645116,0.46821134006587256,-0.05253666892771606,0.5268199233716475,261
JPM,1Month,30Min,0.01,1.0,30,0.049421184907683546,-0.05427810125333066,0.6640570138701429,0.663534075662973,0.06018449920104933,0.38381009732616955,-0.0495683652477025,0.5301455301455301,240
JPM,1Month,30Min,0.01,1.5,10,0.04254506389834445,-0.05427810125333066,0.5632083247088162,0.5869511744904297,0.05596130446508827,0.4784110597650327,-0.053216034457592695,0.5205223880597015,268
JPM,1Month,30Min,0.01,1.5,20,0.017827193804921704,-0.05427810125333066,0.26643911228444517,0.25392778940323896,0.03095954558936523,0.46828784137758445,-0.050019866833900375,0.5251641137855579,228
JPM,1Month,30Min,0.01,1.5,30,0.063974537967876,-0.05427810125333066,0.8796825753069222,0.8253391269082359,0.07591977945094151,0.4259565568038701,-0.04848534201954431,0.5357142857142857,210
JPM,1Month,30Min,0.01,2.0,10,0.027173545031550894,-0.05427810125333066,0.38049342320105195,0.38021852048436733,0.04027145200770217,0.46705957052506675,-0.04969621741977167,0.5201612903225806,248
JPM,1Month,30Min,0.01,2.0,20,0.05476993602116731,-0.05427810125333066,0.7624011384332676,0.714541029602348,0.06597951627063,0.3997235395405705,-0.04691040687252744,0.5315533980582524,206
JPM,1Month,30Min,0.01,2.0,30,0.057444715119817635,-0.05427810125333066,0.8194963365701282,0.7326601238090031,0.06952438812692682,0.4307502639205255,-0.04691040687252669,0.5305039787798409,188
JPM,1Month,30Min,0.1,1.0,10,0.07298142653333595,-0.05427810125333066,0.8899429701555692,0.9883565348437943,0.09446076219831565,0.7659337716412025,-0.0653220951234217,0.5341506129597198,285
JPM,1Month,30Min,0.1,1.0,20,0.052502829543250806,-0.05427810125333066,0.663539059832302,0.7229052200812773,0.07364096513967201,0.7537668843840081,-0.0653220951234191,0.5254545454545455,275
JPM,1Month,30Min,0.1,1.0,30,0.0668792680726078,-0.05427810125333066,0.8334146356344142,0.8924666961101692,0.08831480545011555,0.7643719641422158,-0.06532209512341892,0.5328330206378987,266
JPM,1Month,30Min,0.1,1.5,10,0.0524715976928638,-0.05427810125333066,0.6624547809975507,0.7207536936714517,0.07396751016741651,0.766524885746223,-0.06532209512341951,0.5293040293040293,273
JPM,1Month,30Min,0.1,1.5,20,0.046101174443433646,-0.05427810125333066,0.5935539759287369,0.6206010320245415,0.0672377922266105,0.753712760530225,-0.06532209512341992,0.5249500998003992,250
JPM,1Month,30Min,0.1,1.5,30,0.052703923414582965,-0.05427810125333066,0.6844973451457897,0.6944939580336035,0.07510026485793744,0.7986333721038241,-0.06532209512341905,0.5308641975308642,243
JPM,1Month,30Min,0.1,2.0,10,0.035851484012204615,-0.05427810125333066,0.4753699691358626,0.501481800483966,0.057659246776445114,0.7776451863129393,-0.06532209512342016,0.5232558139534884,258
JPM,1Month,30Min,0.1,2.0,20,0.03246271621908803,-0.05427810125333066,0.4413647997098259,0.45154210260992356,0.05376618732406624,0.7596625997650828,-0.06532209512341977,0.5180467091295117,235
JPM,1Month,30Min,0.1,2.0,30,0.047026041377649985,-0.05427810125333066,0.6327734470801225,0.6340106557232175,0.0690443521927872,0.78515314024831,-0.06532209512341798,0.5278969957081545,233
JPM,1Month,60Min,0.001,1.0,10,-0.015896844226320428,-0.049791707994445544,-0.16797601520782054,-0.17706100999944785,-0.0027652550683010535,0.43913847502652703,-0.0835967757105753,0.5198412698412699,126
JPM,1Month,60Min,0.001,1.0,20,0.019888569825281532,-0.049791707994445544,0.3023524780637841,0.3093544195309572,0.030259018379737365,0.34680212034836994,-0.05898446603338959,0.5384615384615384,117
JPM,1Month,60Min,0.001,1.0,30,0.016638298588845357,-0.049791707994445544,0.2660899805958357,0.268750970695849,0.02638745828829872,0.3260253630912222,-0.06427213108477778,0.5384615384615384,110
JPM,1Month,60Min,0.001,1.5,10,0.033329643798119646,-0.049791707994445544,0.4856895140692853,0.500615779449565,0.04510436481817718,0.3937629307762135,-0.049841997242417294,0.5364806866952789,116
JPM,1Month,60Min,0.001,1.5,20,0.018229770498062292,-0.049791707994445544,0.2970561201885839,0.27610545470378023,0.029732307045798358,0.3846607061587035,-0.04691040687252596,0.5463917525773195,97
JPM,1Month,60Min,0.001,1.5,30,0.02745089156402991,-0.049791707994445544,0.43757999904894157,0.3932552022160732,0.038496196363544836,0.3693702451009173,-0.046910406872526726,0.5459770114942529,87
JPM,1Month,60Min,0.001,2.0,10,0.026619328069656722,-0.049791707994445544,0.4095066612310586,0.39297392416743143,0.03783413912780495,0.3750387684630132,-0.047644136050118066,0.5365853658536586,102
JPM,1Month,60Min,0.001,2.0,20,0.03239551702116761,-0.049791707994445544,0.544603025249156,0.4629707714205549,0.04570258287237011,0.4450066579646202,-0.04691040687252664,0.5454545454545454,82
