symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
KEYS,1Month,1Min,0.001,1.0,10,0.24888825556386496,0.20805942115598053,1.2233330454558444,1.040372592727255,0.24862711283107444,0.059934633442238566,-0.16116645496314688,0.5032742373422776,3130
KEYS,1Month,1Min,0.001,1.0,20,0.2479619716182766,0.20805942115598053,1.2308202373358093,1.0104639617171751,0.247687797427949,0.06292547152667648,-0.16214490681315077,0.5051494175249029,2961
KEYS,1Month,1Min,0.001,1.0,30,0.21658935512579136,0.20805942115598053,1.1124643934360445,0.8935079538274082,0.21644358378748269,0.0334558485873054,-0.1813723716369043,0.5063622102143978,2868
KEYS,1Month,1Min,0.001,1.5,10,0.14720345241143806,0.20805942115598053,0.8118240918458518,0.6387512003064466,0.14702612391764966,0.04069850292406035,-0.1613155785284037,0.5010112152969296,2719
KEYS,1Month,1Min,0.001,1.5,20,0.2536897553449895,0.20805942115598053,1.2929652883325136,0.9600709964307177,0.2536137523253313,0.01744338460061032,-0.1625495607623874,0.505654281098546,2476
KEYS,1Month,1Min,0.001,1.5,30,0.1867807778970474,0.20805942115598053,1.0069513763440519,0.7171563276964219,0.18664483166104845,0.03120089820376381,-0.16344756270819846,0.5047639670853183,2309
KEYS,1Month,1Min,0.001,2.0,10,0.06017696067289835,0.20805942115598053,0.4168875447662323,0.2894625740690698,0.060194065443765814,-0.003925700558848848,-0.16069190522276958,0.5010799136069114,2315
KEYS,1Month,1Min,0.001,2.0,20,0.16246047282674936,0.20805942115598053,0.9410025827146086,0.5898689171193148,0.16237381894103542,0.01988785527789399,-0.15941772680946187,0.5093326514957811,1955
KEYS,1Month,1Min,0.001,2.0,30,0.1703588036052195,0.20805942115598053,0.9886812668967874,0.5734087003885093,0.17022422873243545,0.030886157867231954,-0.16007094867678137,0.5106257378984652,1694
KEYS,1Month,1Min,0.01,1.0,10,0.10893798871740801,0.20805942115598053,0.6337027523546408,0.5565057009867979,0.10865755380223248,0.06436236484870506,-0.1748301352781537,0.5004347826086957,3450
KEYS,1Month,1Min,0.01,1.0,20,0.06261706607525852,0.20805942115598053,0.4138564213965051,0.35597079250808417,0.062394142239297866,0.05116304884715329,-0.17255122665339792,0.5,3326
KEYS,1Month,1Min,0.01,1.0,30,0.07025346648352082,0.20805942115598053,0.4527938876069883,0.3818320948614137,0.0700045542042931,0.05712763305863426,-0.1640361436530831,0.49875156054931336,3204
KEYS,1Month,1Min,0.01,1.5,10,0.036758437539240685,0.20805942115598053,0.2865832472483711,0.24198195443531018,0.036410402467195964,0.07987721597742893,-0.16807977826783133,0.4971295577967417,3222
KEYS,1Month,1Min,0.01,1.5,20,0.05919645374948779,0.20805942115598053,0.40126439382210954,0.32422702464982467,0.05893307270968385,0.06044834526928323,-0.1634609092601118,0.49815621857190745,2983
KEYS,1Month,1Min,0.01,1.5,30,0.04813766268303077,0.20805942115598053,0.34662490140722696,0.2716100075525715,0.04781593947112108,0.07383840465181744,-0.1659082396872414,0.49858657243816257,2830
KEYS,1Month,1Min,0.01,2.0,10,0.02039952963707048,0.20805942115598053,0.20376178878699086,0.1645625209714787,0.020191400650884928,0.047767496198114934,-0.18064253032684774,0.4973181361045927,2983
KEYS,1Month,1Min,0.01,2.0,20,0.055763816697862456,0.20805942115598053,0.38959146268253103,0.2920996587618299,0.055429397819828856,0.07675217555139648,-0.17805461477416942,0.5024280911468061,2677
