symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
KEY,1Month,1Min,0.001,1.0,10,0.24851812276349627,-0.12125403411710478,2.285019370436335,2.5702558959304733,0.24802000211624817,0.03119029984792695,-0.0956629958643881,0.5092987544787579,2930
KEY,1Month,1Min,0.001,1.0,20,0.22708412983846182,-0.12125403411710478,2.1549274518095043,2.3041501295882556,0.22671821077077275,0.022912371740356534,-0.1058937198562422,0.510986017795533,2753
KEY,1Month,1Min,0.001,1.0,30,0.1863823373491642,-0.12125403411710478,1.8355178997022379,1.9118971494745793,0.18611202346575623,0.01692596185910061,-0.09943426974043214,0.5078574166347259,2609
KEY,1Month,1Min,0.001,1.5,10,0.2475655452704142,-0.12125403411710478,2.4423306220741563,2.6506332520893747,0.2473522462267136,0.01335592324279538,-0.09625096047350207,0.5140690480941927,2505
KEY,1Month,1Min,0.001,1.5,20,0.18542522423243546,-0.12125403411710478,1.956796374377447,2.014229377342618,0.18485502407910354,0.03570362693056111,-0.09400621826615257,0.5092760180995475,2210
KEY,1Month,1Min,0.001,1.5,30,0.16131139554232532,-0.12125403411710478,1.749695357988888,1.7187230257220436,0.16085522043849693,0.028563839604263203,-0.09200131142703563,0.5074736584170546,2040
KEY,1Month,1Min,0.001,2.0,10,0.13386224056776008,-0.12125403411710478,1.480064489034997,1.4673767161287194,0.13350383471918645,0.022441924353106265,-0.09792802424929963,0.5061485489424495,2033
KEY,1Month,1Min,0.001,2.0,20,0.1343716899818579,-0.12125403411710478,1.5498975283799707,1.4032070352406678,0.13349943189845734,0.05461727257511123,-0.09929491210518157,0.5064236629817748,1673
KEY,1Month,1Min,0.001,2.0,30,0.11048106640848565,-0.12125403411710478,1.32860823518785,1.0981425172903814,0.11004196389089704,0.027494823318870713,-0.08616977588046287,0.5031667839549613,1421
KEY,1Month,1Min,0.01,1.0,10,0.21169201573999108,-0.12125403411710478,1.8879161280784336,2.284019302822987,0.20994561680202897,0.1093524366638177,-0.06707072321181098,0.5065013607499244,3307
KEY,1Month,1Min,0.01,1.0,20,0.1805367751545892,-0.12125403411710478,1.6565862870992667,1.9597857543885988,0.17904748098703532,0.09325357602500166,-0.07492722020272549,0.5060449050086355,3184
KEY,1Month,1Min,0.01,1.0,30,0.19108212609098651,-0.12125403411710478,1.7543583930974191,2.04372346866348,0.18956613699906194,0.0949251041982247,-0.0821312572641164,0.5070172608485239,3099
KEY,1Month,1Min,0.01,1.5,10,0.1430996006030556,-0.12125403411710478,1.37183572300697,1.5776827300309477,0.1415301803058731,0.09827075012243447,-0.10015399013542166,0.5059339944724435,3075
KEY,1Month,1Min,0.01,1.5,20,0.15287366277933723,-0.12125403411710478,1.466192039965908,1.6181472699407995,0.15152708140539675,0.08431747821510528,-0.08710086197999073,0.5072489391796322,2828
KEY,1Month,1Min,0.01,1.5,30,0.1832853495299489,-0.12125403411710478,1.7375944326257216,1.8763461268529822,0.18191770231370905,0.08563653604074899,-0.06980266786884373,0.5091076356945722,2717
KEY,1Month,1Min,0.01,2.0,10,0.17392731299570863,-0.12125403411710478,1.7208527483047638,2.005276445657524,0.17270473504720263,0.07655288535424266,-0.08365619227583332,0.5080818965517241,2784
KEY,1Month,1Min,0.01,2.0,20,0.14564046454061796,-0.12125403411710478,1.4831455408724854,1.6153528922101008,0.14424225561839119,0.08755018643621419,-0.06584362382539675,0.509430176565008,2492
KEY,1Month,1Min,0.01,2.0,30,0.12440843873809349,-0.12125403411710478,1.2958345280100332,1.3615670029375126,0.12311703573041309,0.08086243213685439,-0.07638912835726834,0.5025436850254369,2260
KEY,1Month,1Min,0.1,1.0,10,0.1898953140308246,-0.12125403411710478,1.6041984998909364,1.9497998966731702,0.18620721891133638,0.2309335966698369,-0.07715819687657031,0.5105544610188573,3553
KEY,1Month,1Min,0.1,1.0,20,0.18524073419553333,-0.12125403411710478,1.5821976043150014,1.8985394560897006,0.18142420604439394,0.23897555355258937,-0.07026989078031882,0.5088048498845266,3464
KEY,1Month,1Min,0.1,1.0,30,0.18076956474028982,-0.12125403411710478,1.5541070315137124,1.8434734108884614,0.17699420763715398,0.23639758907876487,-0.06905575054913902,0.5083222860509647,3394
KEY,1Month,1Min,0.1,1.5,10,0.15853457990180142,-0.12125403411710478,1.381998957308035,1.6529561183055232,0.15475410775915435,0.23671787216072718,-0.07763084092723158,0.5078878177037687,3423
KEY,1Month,1Min,0.1,1.5,20,0.17671252400360626,-0.12125403411710478,1.535536822447696,1.793599528482831,0.1729332819805526,0.2366408470480776,-0.06833298991438018,0.5079437824625725,3273
KEY,1Month,1Min,0.1,1.5,30,0.17406577426184966,-0.12125403411710478,1.5200453160260656,1.7440353865900322,0.17026580986623496,0.23793839818816806,-0.06620202756602768,0.5072463768115942,3174
KEY,1Month,1Min,0.1,2.0,10,0.16903907271886975,-0.12125403411710478,1.4979578083489964,1.7600229716539477,0.1652971353247547,0.23430498209500095,-0.0800457583007511,0.5081213607110021,3263
