symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
KHC,1Month,1Min,0.001,1.0,10,0.5191322128123963,-0.10918614020950845,4.435046941314481,5.841501370953321,0.5195792360774655,0.02186837272296868,-0.03751676111493846,0.5086363636363637,3300
KHC,1Month,1Min,0.001,1.0,20,0.5654223120503961,-0.10918614020950845,4.859737214537942,6.262850996308445,0.5651419191440553,-0.01371681758842396,-0.037565417430331094,0.5095686020110283,3083
KHC,1Month,1Min,0.001,1.0,30,0.527058780133193,-0.10918614020950845,4.638503015833039,5.870607836360781,0.52683610098528,-0.01089346122385667,-0.03776129914283417,0.5073766321858573,2948
KHC,1Month,1Min,0.001,1.5,10,0.4126996686175082,-0.10918614020950845,3.926282695265162,4.787568799846634,0.412632958071162,-0.00326347912076811,-0.02983919027364629,0.5086529884032114,2802
KHC,1Month,1Min,0.001,1.5,20,0.43791052790719953,-0.10918614020950845,4.2811661394745215,4.975638782765336,0.4375793926706184,-0.016199131770341258,-0.029491535914091916,0.5105585158871127,2533
KHC,1Month,1Min,0.001,1.5,30,0.34002516497132174,-0.10918614020950845,3.5444434161924465,3.8835191399979956,0.33995705443374535,-0.0033319666748241774,-0.027875104920930923,0.5077087794432548,2335
KHC,1Month,1Min,0.001,2.0,10,0.2867295456872696,-0.10918614020950845,3.0967538453007863,3.366498128035858,0.2866253531573831,-0.005097097302430237,-0.030757666143178722,0.5034995625546806,2286
KHC,1Month,1Min,0.001,2.0,20,0.3144059570468034,-0.10918614020950845,3.5602648590440733,3.4213902876233133,0.3144494703820728,0.00212867183533241,-0.02418529689422165,0.5155792276964047,1877
KHC,1Month,1Min,0.001,2.0,30,0.27476919907708086,-0.10918614020950845,3.2684843765255933,2.9958806572753653,0.27490363631303427,0.006576667957582876,-0.024578918259249034,0.5129297231518102,1643
KHC,1Month,1Min,0.01,1.0,10,0.4477607416673215,-0.10918614020950845,3.7493084114347903,5.055547744018074,0.44762284341565767,-0.006745980804296162,-0.05036585421555105,0.509184224743382,3702
KHC,1Month,1Min,0.01,1.0,20,0.4761527242115269,-0.10918614020950845,3.987970456553058,5.320089392618028,0.4758318378568327,-0.015697756592335632,-0.05095030107772644,0.508874059349709,3521
KHC,1Month,1Min,0.01,1.0,30,0.4518634568642146,-0.10918614020950845,3.8266425656437044,4.973958691832112,0.451564843186245,-0.014608177516229615,-0.049335465813474706,0.5095774235999415,3419
KHC,1Month,1Min,0.01,1.5,10,0.4144370377269364,-0.10918614020950845,3.6684366072592556,4.893943880733722,0.4139080795921806,-0.025876625557497528,-0.04832761310420307,0.5094201840221995,3423
KHC,1Month,1Min,0.01,1.5,20,0.36781500674073997,-0.10918614020950845,3.3435173699128184,4.155678274384792,0.3674460357624044,-0.018050055799558137,-0.04955481520956054,0.5100344935716525,3189
KHC,1Month,1Min,0.01,1.5,30,0.3513168806294009,-0.10918614020950845,3.282512201663646,3.985915967499882,0.3512674351408823,-0.0024188727005662347,-0.04590481247990025,0.509212730318258,2985
KHC,1Month,1Min,0.01,2.0,10,0.3341415494809832,-0.10918614020950845,3.2092465788356352,3.9898951644063656,0.33386046988164814,-0.013750410601404509,-0.04553779645798309,0.5107890499194847,3105
KHC,1Month,1Min,0.01,2.0,20,0.28578472182975845,-0.10918614020950845,2.863676439411532,3.2372668066252945,0.2853731028662374,-0.02013639471924697,-0.04674569664775111,0.5104166666666666,2736
KHC,1Month,1Min,0.01,2.0,30,0.2769398783387971,-0.10918614020950845,2.8856563736070004,3.2694206501465897,0.27665867822081,-0.013756306372405266,-0.04734464112748254,0.5076464746772592,2517
KHC,1Month,1Min,0.1,1.0,10,0.23704707456017404,-0.10918614020950845,2.091592431421518,2.7357189704278486,0.23586266819405896,-0.05794114511165854,-0.05168906519975529,0.5076326326326326,3996
KHC,1Month,1Min,0.1,1.0,20,0.2455442772497487,-0.10918614020950845,2.16906104817262,2.800556544632839,0.2444211228939892,-0.054944697505558554,-0.05128825753500233,0.5088370901639344,3904
KHC,1Month,1Min,0.1,1.0,30,0.2103527927219484,-0.10918614020950845,1.9055314336950664,2.4382553387177697,0.20922368377288467,-0.055235996138014706,-0.051288257535004475,0.5072954663887441,3838
KHC,1Month,1Min,0.1,1.5,10,0.26363462848063346,-0.10918614020950845,2.3378643377031896,3.0228186597538533,0.26243585426933086,-0.05864401992453275,-0.05068577390182662,0.5085164477961254,3845
KHC,1Month,1Min,0.1,1.5,20,0.24421979320068488,-0.10918614020950845,2.2123060903292275,2.773677715663097,0.2428911645277913,-0.06499649861570851,-0.048960973137354244,0.5091131664853101,3676
KHC,1Month,1Min,0.1,1.5,30,0.24624123881701498,-0.10918614020950845,2.2610448931890312,2.7881885408288642,0.24501448194036957,-0.06001293157481185,-0.04896097313735358,0.5087719298245614,3534
KHC,1Month,1Min,0.1,2.0,10,0.20079585039277847,-0.10918614020950845,1.9156900694711578,2.4245897874248836,0.19953809286062474,-0.061529483267501406,-0.052374937744624796,0.50759545641166,3653
KHC,1Month,1Min,0.1,2.0,20,0.20620185678228986,-0.10918614020950845,1.9660607515173756,2.3674447949747615,0.20494169254158284,-0.06164721942083244,-0.04896097313735252,0.5086545454545455,3437
KHC,1Month,1Min,0.1,2.0,30,0.20181486677563854,-0.10918614020950845,1.9750206383491946,2.418089801663641,0.20056342800538984,-0.06122036951149724,-0.04896097313735323,0.5063025210084033,3332
KHC,1Month,5Min,0.001,1.0,10,0.32520707254756465,-0.10875503626107985,3.1759906119557866,3.8257815100911876,0.3272215352906385,0.05298627925619612,-0.05344897135941864,0.5259259259259259,877
KHC,1Month,5Min,0.001,1.0,20,0.3085645984570997,-0.10875503626107985,3.10601364885327,3.5514200248308194,0.31028037547609383,0.045129968564750815,-0.053448971359418666,0.5241379310344828,797
KHC,1Month,5Min,0.001,1.0,30,0.3236348721829485,-0.10875503626107985,3.310276515414361,3.7368146251098375,0.3260290803395937,0.06297469755727117,-0.046728531948283296,0.5250990752972259,757
KHC,1Month,5Min,0.001,1.5,10,0.33079179575979745,-0.10875503626107985,3.3558243484466144,3.8112392634489547,0.33308588334494094,0.0603412328386401,-0.050011538321396445,0.525935653315824,761
KHC,1Month,5Min,0.001,1.5,20,0.2747655483813993,-0.10875503626107985,3.02850170340709,3.102579448279145,0.27675227115562895,0.05225663670470536,-0.051911530598227146,0.5267716535433071,635
KHC,1Month,5Min,0.001,1.5,30,0.19975566948722867,-0.10875503626107985,2.376148735933021,2.29735418004335,0.20085787398508836,0.028991211439291745,-0.048730990632684185,0.5123239436619719,568
KHC,1Month,5Min,0.001,2.0,10,0.24754721689334036,-0.10875503626107985,2.7577392447644327,2.798268943984444,0.24914343241634548,0.04198515050517539,-0.050011538321396445,0.5185185185185185,621
KHC,1Month,5Min,0.001,2.0,20,0.23010398699812074,-0.10875503626107985,2.6962253815676713,2.380539522835292,0.23268642887179217,0.06792579646941226,-0.05240122688862872,0.527643064985451,515
