symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
LEN,1Month,1Min,0.001,1.0,10,0.1663241300336329,-0.22158626328699915,1.27506454893785,1.492219226934434,0.16548319863084618,0.051946842486998185,-0.10484970701845352,0.49692118226600984,3248
LEN,1Month,1Min,0.001,1.0,20,0.1797861281758395,-0.22158626328699915,1.414115462638204,1.5644084264489118,0.17907597463209324,0.04386830383111198,-0.1024864657874216,0.49967500812479687,3077
LEN,1Month,1Min,0.001,1.0,30,0.2487833063699798,-0.22158626328699915,1.8451341498396199,2.0577295958550246,0.2482800905526594,0.031085142869779224,-0.09051540823883572,0.4981151473612063,2918
LEN,1Month,1Min,0.001,1.5,10,0.15849144269388082,-0.22158626328699915,1.3024664213814408,1.3854122292253626,0.1578616329996205,0.03890522446433625,-0.08981291055330831,0.49652715939447906,2807
LEN,1Month,1Min,0.001,1.5,20,0.14921653875052732,-0.22158626328699915,1.253049180716396,1.2479040908325232,0.1484686121480172,0.04620165840362006,-0.10271268644431335,0.49653396712220244,2524
LEN,1Month,1Min,0.001,1.5,30,0.13249344608988478,-0.22158626328699915,1.1509647172642294,1.1039288158232918,0.13220391080554042,0.01788545862411956,-0.0986924506433036,0.49236723285314987,2325
LEN,1Month,1Min,0.001,2.0,10,0.1994637383053668,-0.22158626328699915,1.719026932273902,1.6551897913312972,0.19883684479833774,0.03872508287577774,-0.07921166354300886,0.5009373047281817,2400
LEN,1Month,1Min,0.001,2.0,20,0.13333950524669125,-0.22158626328699915,1.2077242480632537,1.0508941048403584,0.13289966424042537,0.027170291650543955,-0.08363885469869838,0.4917818940777459,1916
LEN,1Month,1Min,0.001,2.0,30,0.11242120245581178,-0.22158626328699915,1.0618190606100548,0.8598104959790726,0.11212881881966424,0.018061409815829592,-0.07037019065158796,0.49402854646082145,1716
LEN,1Month,1Min,0.01,1.0,10,0.009299697726452782,-0.22158626328699915,0.13622250657927862,0.15167020931412997,0.006888379069950606,0.14895434992698067,-0.14317428239976515,0.4884917411318711,3693
