symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
LRCX,1Month,1Min,0.001,1.0,10,1.0423027978123938,-0.029963667450309872,3.9862188139543817,4.868714081074699,1.0427886942344096,0.10035776049960145,-0.07796772056040503,0.516620315190041,3775
LRCX,1Month,1Min,0.001,1.0,20,0.937740210466484,-0.029963667450309872,3.78179027321768,4.428918238459891,0.9382159549632331,0.09826096694777832,-0.07562720183787759,0.5180825414834775,3525
LRCX,1Month,1Min,0.001,1.0,30,0.9071437868499002,-0.029963667450309872,3.7684962422516803,4.31198777441905,0.9076271279318225,0.09982997680440203,-0.07757484673651587,0.5202164437096047,3326
LRCX,1Month,1Min,0.001,1.5,10,0.7801084413491381,-0.029963667450309872,3.3924958329648196,3.8453803639085473,0.7804841796931035,0.07760554930153983,-0.07281845536609827,0.5130906274206042,3227
LRCX,1Month,1Min,0.001,1.5,20,0.6902538386055574,-0.029963667450309872,3.2219029033634636,3.4695086083453677,0.690609248568407,0.07340689561543004,-0.07531646754231835,0.514440749168563,2856
LRCX,1Month,1Min,0.001,1.5,30,0.6984085975912688,-0.029963667450309872,3.3065597615602296,3.386610091767225,0.6990493510539681,0.13234216107640012,-0.0794101005426629,0.5173286604361371,2568
LRCX,1Month,1Min,0.001,2.0,10,0.5508096224151555,-0.029963667450309872,2.7869062009066963,2.8620842777615527,0.5517169963953115,0.1874103542608441,-0.07281845536609904,0.5119428249012601,2658
LRCX,1Month,1Min,0.001,2.0,20,0.5744358933108797,-0.029963667450309872,3.0163336296301373,2.852117184132473,0.575042281159048,0.1252442365882628,-0.08270081767132759,0.5139908256880734,2180
LRCX,1Month,1Min,0.001,2.0,30,0.5153318370052224,-0.029963667450309872,2.8511467453434074,2.4873083251297357,0.5156794006613329,0.071786307899926,-0.08168075595236654,0.5141635489043292,1871
LRCX,1Month,1Min,0.01,1.0,10,0.7792836466616,-0.029963667450309872,3.0891077456978677,3.8556320173736123,0.7805113615132246,0.2535740282465751,-0.09092168232351831,0.5105789351313648,4301
LRCX,1Month,1Min,0.01,1.0,20,0.7181280936241288,-0.029963667450309872,2.929827415195678,3.596435179162267,0.719361228730849,0.25469353569316383,-0.09240255173642764,0.5078021047538406,4133
LRCX,1Month,1Min,0.01,1.0,30,0.624673236987819,-0.029963667450309872,2.6636362488133236,3.1926225536735457,0.6259154569258114,0.25656993008443824,-0.09015463848919354,0.507778469197262,4017
LRCX,1Month,1Min,0.01,1.5,10,0.6761878531318857,-0.029963667450309872,2.8448882391640185,3.4144034314149634,0.6774784490366709,0.2665615733016781,-0.08929429923099125,0.5093581208390906,3980
LRCX,1Month,1Min,0.01,1.5,20,0.5867576445239353,-0.029963667450309872,2.610014126132706,3.0457694901379195,0.5880670797734124,0.2704526792182953,-0.08909615138804537,0.5071751262290726,3763
LRCX,1Month,1Min,0.01,1.5,30,0.5649268274108787,-0.029963667450309872,2.5729782285789096,2.9319909883633186,0.5664355419584595,0.3116121180728576,-0.08907276283379065,0.5085391672547636,3542
LRCX,1Month,1Min,0.01,2.0,10,0.6007839714303316,-0.029963667450309872,2.703089418277281,3.106696814083642,0.6021731491577291,0.28692280770282774,-0.08547781358324802,0.5083707635769702,3673
