symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
LULU,1Month,1Min,0.001,1.0,10,0.43609473041791835,-0.060193621867881464,2.7114172755909256,2.912326453234134,0.4351826818919503,-0.0878704402001927,-0.06278594826890278,0.5149444918872759,3513
LULU,1Month,1Min,0.001,1.0,20,0.36960521384080547,-0.060193621867881464,2.4052782954354206,2.4989275677351506,0.3688119317870891,-0.07642799837759479,-0.05413083350536376,0.5135544449492655,3301
LULU,1Month,1Min,0.001,1.0,30,0.39567278726313115,-0.060193621867881464,2.573099895558317,2.6247482602318093,0.3945070316983543,-0.11231360144356323,-0.05402306541696462,0.5118047852955158,3155
LULU,1Month,1Min,0.001,1.5,10,0.2765578645688964,-0.060193621867881464,1.9272696544167163,1.9064017251972318,0.2756172610088307,-0.0906215475641705,-0.056751436893654875,0.5102605863192182,3070
LULU,1Month,1Min,0.001,1.5,20,0.3380745983849929,-0.060193621867881464,2.3628132615311332,2.243735750604369,0.33708715953505125,-0.09513384863272531,-0.0608203590306472,0.5141180784745141,2727
LULU,1Month,1Min,0.001,1.5,30,0.2970406236689007,-0.060193621867881464,2.1525984755783933,1.952017007735634,0.2958923646064456,-0.11062791771381239,-0.06716060431678937,0.5105570078423487,2486
LULU,1Month,1Min,0.001,2.0,10,0.27428054669763613,-0.060193621867881464,2.024041112297855,1.8424919722869653,0.27331761256783277,-0.09277296488123027,-0.0700132705426121,0.5135922330097087,2575
LULU,1Month,1Min,0.001,2.0,20,0.23114296955267166,-0.060193621867881464,1.8134479924271691,1.4738256588757934,0.23014830005432757,-0.0958304785158609,-0.05890164708486915,0.5117731859682845,2081
LULU,1Month,1Min,0.001,2.0,30,0.3057304074313407,-0.060193621867881464,2.4849811325580826,2.186005132333575,0.3053591933822025,-0.03576426141542338,-0.05257620549448142,0.5078794581144594,1808
LULU,1Month,1Min,0.01,1.0,10,0.36901417494833266,-0.060193621867881464,2.2559145315418174,2.549807041707004,0.3686346247470431,-0.036567399996600504,-0.08278362505679676,0.5103597305198933,3933
LULU,1Month,1Min,0.01,1.0,20,0.35304511798704774,-0.060193621867881464,2.1527218458938853,2.428102524746435,0.3509026351714674,-0.20641545133421066,-0.08528004400064634,0.5109933774834438,3775
LULU,1Month,1Min,0.01,1.0,30,0.3485974257447153,-0.060193621867881464,2.1441950426998955,2.3846265406240974,0.34633073317047053,-0.21838232136387511,-0.08511673058696564,0.509016393442623,3660
LULU,1Month,1Min,0.01,1.5,10,0.3030832410965938,-0.060193621867881464,1.9615432726156659,2.119661608641594,0.3026408204499627,-0.04262459273410394,-0.08259495139127544,0.509670389539635,3671
LULU,1Month,1Min,0.01,1.5,20,0.24732440651446108,-0.060193621867881464,1.670880612176695,1.7348319492248874,0.24646529101829112,-0.08277065822910981,-0.07900844709033042,0.5085613932386945,3416
LULU,1Month,1Min,0.01,1.5,30,0.34369507513712194,-0.060193621867881464,2.287222487336917,2.613136196771738,0.342142765071117,-0.14955582399770995,-0.07335035120025417,0.5078874110733065,3233
