symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
L,1Month,1Min,0.001,1.0,10,0.20303243217880862,-0.03411882449276682,2.8703017008361336,3.152388347949518,0.20101755019931017,0.06785021237187244,-0.041777519900521115,0.518141153081511,2012
L,1Month,1Min,0.001,1.0,20,0.19330014203986678,-0.03411882449276682,2.782722803567625,2.947697280288016,0.19118546654798108,0.07121071242979483,-0.03673043217183,0.5186853962364166,1886
L,1Month,1Min,0.001,1.0,30,0.1284948517501996,-0.03411882449276682,1.9073115988556715,1.9079637998688919,0.12640893385006374,0.07024231391941774,-0.04054841050176438,0.5121203677904709,1794
L,1Month,1Min,0.001,1.5,10,0.14711561259579242,-0.03411882449276682,2.323135403423439,2.5470662182504804,0.14539100664290067,0.058075302351271375,-0.03588756243530309,0.5125510799766492,1713
L,1Month,1Min,0.001,1.5,20,0.13818781814511327,-0.03411882449276682,2.2290514912477306,2.2975459038288615,0.13642387701102782,0.059399896260411415,-0.04247452404353627,0.512291052114061,1525
L,1Month,1Min,0.001,1.5,30,0.13204744998151208,-0.03411882449276682,2.1651591958309404,2.138042664616322,0.1298347112930539,0.07451294490842496,-0.041524052508356134,0.5139231582657737,1418
L,1Month,1Min,0.001,2.0,10,0.14699948558137677,-0.03411882449276682,2.519404022845016,2.6540566882391246,0.14582265229593774,0.03962931286089611,-0.026457510516188377,0.5091508052708639,1366
L,1Month,1Min,0.001,2.0,20,0.13145322905092094,-0.03411882449276682,2.383585212591114,2.3614358744368333,0.12976684059982507,0.05678834577537407,-0.029023313312916552,0.514369012911287,1200
L,1Month,1Min,0.001,2.0,30,0.0905947997129748,-0.03411882449276682,1.6266536365344362,1.3862790300784424,0.0889255791059625,0.05621022662056011,-0.04591679414970903,0.5136890951276102,1077
L,1Month,1Min,0.01,1.0,10,0.1481813702550152,-0.03411882449276682,2.136245126787091,2.80262976699146,0.14650228496033219,0.056542415384096316,-0.04481761426066629,0.5076653526062199,2283
L,1Month,1Min,0.01,1.0,20,0.13500857079407336,-0.03411882449276682,1.9683063953601052,2.5132025038804264,0.1327710693024227,0.07534682077442013,-0.044817614260665,0.507177033492823,2194
L,1Month,1Min,0.01,1.0,30,0.13685240618488792,-0.03411882449276682,2.0084376717921857,2.5217527891817118,0.13467689442941266,0.0732593452760165,-0.04411966499108251,0.5086854460093897,2130
L,1Month,1Min,0.01,1.5,10,0.1314143793767173,-0.03411882449276682,1.9608734090030877,2.4782113810943747,0.12953188890795642,0.0633919898996991,-0.04307346250840195,0.5070054618855379,2105
L,1Month,1Min,0.01,1.5,20,0.11401923973290162,-0.03411882449276682,1.7520287052858885,2.13332438247064,0.11174137531548337,0.07670602350348706,-0.04481761426066562,0.508044243338361,1989
L,1Month,1Min,0.01,1.5,30,0.08277334989199558,-0.03411882449276682,1.3081102064183954,1.5476521744271372,0.08047332604401743,0.07745223200841528,-0.047829513458284366,0.5039745627980922,1887
L,1Month,1Min,0.01,2.0,10,0.11331146077260934,-0.03411882449276682,1.7992175592806736,2.1614729745921806,0.11199314643307048,0.044393621472986665,-0.038898965382582036,0.5067602704108164,1923
L,1Month,1Min,0.01,2.0,20,0.11651429077582409,-0.03411882449276682,1.8715349602575688,2.254257296597888,0.11441053657365262,0.07084294308448039,-0.03266925987190723,0.5069267741023467,1768
L,1Month,1Min,0.01,2.0,30,0.0896751182543849,-0.03411882449276682,1.4605725049011524,1.6430407287161914,0.08705205473231996,0.08833044260057382,-0.04139319270782097,0.5063253012048192,1660
L,1Month,1Min,0.1,1.0,10,0.11539009561794944,-0.03411882449276682,1.6115074327004675,2.273569095816688,0.11388889914963225,0.050552091995274134,-0.03454810865980239,0.5019439328831594,2443
L,1Month,1Min,0.1,1.0,20,0.12901538860662143,-0.03411882449276682,1.7852679898214538,2.500838433146735,0.127511589152702,0.05063974632327508,-0.026703054865071674,0.502495840266223,2404
L,1Month,1Min,0.1,1.0,30,0.1227287626943725,-0.03411882449276682,1.7058521242356985,2.374802159543307,0.12144791405383647,0.04313198150604671,-0.028285458630046164,0.502214722632356,2370
L,1Month,1Min,0.1,1.5,10,0.11162313648696243,-0.03411882449276682,1.6085025660028602,2.238751723228398,0.11050690753540836,0.03758849013947156,-0.03370551980117324,0.5016899028305872,2367
L,1Month,1Min,0.1,1.5,20,0.13846599252753133,-0.03411882449276682,1.9898697444168405,2.850043958562035,0.13663922584298846,0.06151551741554047,-0.028284414928990455,0.5031638664630155,2291
L,1Month,1Min,0.1,1.5,30,0.12988478627104327,-0.03411882449276682,1.878027608173813,2.6574590215803076,0.12837007649393256,0.0510071463760351,-0.026602619101178056,0.5011175681716584,2237
L,1Month,1Min,0.1,2.0,10,0.10529934626427462,-0.03411882449276682,1.5794156055147066,2.1609863855657006,0.10463423798248546,0.02239721166245132,-0.029992625577003214,0.5005481254110941,2280
L,1Month,1Min,0.1,2.0,20,0.11890496910346715,-0.03411882449276682,1.8014962480987622,2.478339365170393,0.11777903937124408,0.037915159411052675,-0.025393095916298545,0.501759324419423,2131
L,1Month,1Min,0.1,2.0,30,0.13029077194135041,-0.03411882449276682,1.987057909572847,2.667896153255766,0.12908689936400533,0.040539848424208644,-0.02539309591629986,0.5038111630194246,2033
L,1Month,5Min,0.001,1.0,10,0.019294864803008238,-0.03341527815715195,0.37253650733707305,0.4738464218809927,0.01855421309485716,0.033166177113986936,-0.046763059217858505,0.48758465011286684,664
L,1Month,5Min,0.001,1.0,20,0.006284997799139269,-0.03341527815715195,0.1416120775038355,0.175682816651445,0.005708174173905571,0.02583000121040774,-0.04546541783512046,0.4849921011058452,633
