symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
MKC,1Month,1Min,0.001,1.0,10,0.030852631480144943,-0.22233187649795583,0.4234546315261997,0.484154012021454,0.030767653451962067,0.003193956187346854,-0.11337336035293813,0.502895752895753,3108
MKC,1Month,1Min,0.001,1.0,20,0.04772831934934518,-0.22233187649795583,0.6425582202597652,0.7184933869695532,0.04756370704304906,0.006187063944064142,-0.10937459342546246,0.501193724420191,2932
MKC,1Month,1Min,0.001,1.0,30,0.031095945585085882,-0.22233187649795583,0.44229310326793886,0.4858162261605879,0.031111920278287502,-0.0006004195588356155,-0.1169918431575853,0.498750892219843,2802
MKC,1Month,1Min,0.001,1.5,10,-0.02275229772552534,-0.22233187649795583,-0.2682197545972209,-0.28294985119141175,-0.02267626340432201,-0.0028578009616258768,-0.1139908008661407,0.4984337571402248,2713
MKC,1Month,1Min,0.001,1.5,20,-0.05896263634250454,-0.22233187649795583,-0.8267466969033438,-0.8046558493342633,-0.05896195988749343,-2.5425015317437136e-05,-0.13051150108863158,0.4946930280957336,2402
MKC,1Month,1Min,0.001,1.5,30,-0.07146674796125552,-0.22233187649795583,-1.0379740399332589,-0.9845020009625882,-0.0714845981222909,0.0006709102753170414,-0.1474755066219207,0.4905952644390352,2259
MKC,1Month,1Min,0.001,2.0,10,-0.060229570703051794,-0.22233187649795583,-0.8584099333245052,-0.8074661353814528,-0.059898661844090435,-0.012437431417601409,-0.10898619827467983,0.4963728291932293,2274
MKC,1Month,1Min,0.001,2.0,20,-0.11042722374207536,-0.22233187649795583,-1.7368649766510538,-1.4915436166336427,-0.1102503965341421,-0.0066461692151089736,-0.14840184923857527,0.4903796151846074,1923
MKC,1Month,1Min,0.001,2.0,30,-0.09702074008770467,-0.22233187649795583,-1.5474466616746683,-1.2612457664080534,-0.09696202556096191,-0.0022068248697605652,-0.1424238074913327,0.49244799088059277,1754
MKC,1Month,1Min,0.01,1.0,10,-0.12682069941795082,-0.22233187649795583,-1.5707071361958542,-1.8666399427533857,-0.12679343560338235,-0.0010247287574643355,-0.1736088122654568,0.493576934056523,3503
MKC,1Month,1Min,0.01,1.0,20,-0.11848998950157708,-0.22233187649795583,-1.51708675960415,-1.8251882111869988,-0.11843064080184008,-0.0022306606871134228,-0.16052887718631276,0.4914776937898325,3373
MKC,1Month,1Min,0.01,1.0,30,-0.1104590609994438,-0.22233187649795583,-1.413413733722025,-1.6677417502002738,-0.11045171647400276,-0.0002760489149627464,-0.16433301580957108,0.4917682926829268,3280
MKC,1Month,1Min,0.01,1.5,10,-0.1285443594594955,-0.22233187649795583,-1.6592368931328836,-1.9549338833988994,-0.12826489748947587,-0.010503765589281662,-0.16837744895133946,0.49229839927514346,3311
MKC,1Month,1Min,0.01,1.5,20,-0.11741675411169183,-0.22233187649795583,-1.533317549981124,-1.771913043752886,-0.11783462593231978,0.01570599266130599,-0.16432836752111019,0.49079263410728585,3122
MKC,1Month,1Min,0.01,1.5,30,-0.08754340996986165,-0.22233187649795583,-1.1347331891363164,-1.2802773568743604,-0.08779563036527249,0.009479872735619349,-0.14999649908030602,0.49370277078085645,2977
MKC,1Month,1Min,0.01,2.0,10,-0.13066974371119133,-0.22233187649795583,-1.7259515109065187,-1.972017870020356,-0.13062936345733142,-0.0015177189259429926,-0.17349990825760464,0.4909498638475092,3121
MKC,1Month,1Min,0.01,2.0,20,-0.11761529356196154,-0.22233187649795583,-1.5907436071535253,-1.7385282809303102,-0.11778377395742806,0.006332448670012523,-0.15245850132848585,0.4894634319107491,2823
MKC,1Month,1Min,0.01,2.0,30,-0.09729963562095367,-0.22233187649795583,-1.332673530427298,-1.3993646138353737,-0.09727045616388388,-0.0010967294657730979,-0.13406644156546918,0.4891157773068773,2595
MKC,1Month,1Min,0.1,1.0,10,-0.19328518390412186,-0.22233187649795583,-2.433163176358436,-2.974866533791604,-0.19470785360038476,0.05347199477435497,-0.19658157967247386,0.492078162133615,3787
MKC,1Month,1Min,0.1,1.0,20,-0.17838429560381797,-0.22233187649795583,-2.2449740635358344,-2.72625551040283,-0.18012620105182037,0.06547068462741261,-0.17987380920859697,0.49323872004284375,3734
MKC,1Month,1Min,0.1,1.0,30,-0.16620282583865198,-0.22233187649795583,-2.0883168248996946,-2.51946472164002,-0.16796238849160658,0.06613434251892031,-0.17473160373058005,0.4937584803256445,3685
MKC,1Month,1Min,0.1,1.5,10,-0.1823186783945554,-0.22233187649795583,-2.302701285549391,-2.783622591454603,-0.18375251759827432,0.053891808203916265,-0.18565988546627513,0.4927712471287664,3700
MKC,1Month,1Min,0.1,1.5,20,-0.17321849627139685,-0.22233187649795583,-2.2027986649867133,-2.6282819534965096,-0.17507292830262208,0.06970007173383165,-0.17471737499461748,0.4936182019977802,3604
MKC,1Month,1Min,0.1,1.5,30,-0.15890130320977802,-0.22233187649795583,-2.010181502040193,-2.370440837269069,-0.16041093789058108,0.05674063204912017,-0.16750476720847687,0.49504108812694814,3529
MKC,1Month,1Min,0.1,2.0,10,-0.1888667210667414,-0.22233187649795583,-2.427800392081313,-2.878459999080393,-0.1904366050135447,0.05900514112328278,-0.1921811715452699,0.49381514940931204,3597
MKC,1Month,1Min,0.1,2.0,20,-0.1706552496807172,-0.22233187649795583,-2.190128146135719,-2.5598972556929707,-0.17245871325877626,0.06778438823504175,-0.17215877533394264,0.49393238948280843,3461
MKC,1Month,1Min,0.1,2.0,30,-0.1557378892292277,-0.22233187649795583,-1.9961969175670005,-2.2903057543225893,-0.15745789627091264,0.06464761833785106,-0.1643737112834062,0.4948407357559444,3343
MKC,1Month,5Min,0.001,1.0,10,-0.1971726015156947,-0.2121125553492359,-2.796504592626371,-2.9966348069726885,-0.19850118750894102,0.06639751017172568,-0.2059023763933017,0.47966919365954513,725
MKC,1Month,5Min,0.001,1.0,20,-0.18097056171285242,-0.2121125553492359,-2.5606854218079422,-2.6609330291646565,-0.1819015448597,0.04652688141885203,-0.1934700018778448,0.4855072463768116,690
MKC,1Month,5Min,0.001,1.0,30,-0.17783214807913494,-0.2121125553492359,-2.5724365975580454,-2.5559953879300674,-0.17882664122094732,0.04970086154367437,-0.19601485746213654,0.47977795400475814,630
MKC,1Month,5Min,0.001,1.5,10,-0.18697866841365318,-0.2121125553492359,-2.742613666133485,-2.7620766218554524,-0.18812955267119524,0.057516675311254865,-0.19347167854130737,0.4821020563594821,656
MKC,1Month,5Min,0.001,1.5,20,-0.1519841321707508,-0.2121125553492359,-2.238766875941514,-2.0748901182488666,-0.15348371618093307,0.07494331949574895,-0.15760205534140667,0.4911660777385159,566
MKC,1Month,5Min,0.001,1.5,30,-0.153036058584072,-0.2121125553492359,-2.3054449079458466,-2.0445814462980425,-0.1541921570345683,0.0577772601973489,-0.1619471885680426,0.4873046875,512
MKC,1Month,5Min,0.001,2.0,10,-0.16374248789983237,-0.2121125553492359,-2.4622513073462127,-2.395328580867007,-0.16531509859044458,0.07859290618513277,-0.16888234195169216,0.4846473029045643,602
MKC,1Month,5Min,0.001,2.0,20,-0.1106910739096344,-0.2121125553492359,-1.751578619537333,-1.5444530735371689,-0.1120569658589383,0.06826191534338373,-0.12092810039171047,0.494028230184582,460
MKC,1Month,5Min,0.001,2.0,30,-0.09803180909946974,-0.2121125553492359,-1.59851089455822,-1.3322483649026624,-0.09982903223268057,0.08981815394323862,-0.128588110942517,0.4969021065675341,403
MKC,1Month,5Min,0.01,1.0,10,-0.17526394394622946,-0.2121125553492359,-2.3908463662353507,-2.789034407332028,-0.17819973942560208,0.1467195282764147,-0.1781873189756448,0.48756218905472637,804
MKC,1Month,5Min,0.01,1.0,20,-0.17064228924141944,-0.2121125553492359,-2.348053657622232,-2.674498842320413,-0.17383871271479753,0.15974469184955473,-0.17710189950814623,0.4843137254901961,765
MKC,1Month,5Min,0.01,1.0,30,-0.15913743833488614,-0.2121125553492359,-2.183575609469306,-2.4432501629893286,-0.16224493862969291,0.1553006606135597,-0.17228848241619182,0.48785425101214575,741
