symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
MRNA,1Month,1Min,0.001,1.0,10,0.7184930158276537,0.2385829575124614,2.149789974606083,2.622562514147384,0.7220221724592963,0.10271854665996943,-0.12197794225111518,0.5035051039232566,4065
MRNA,1Month,1Min,0.001,1.0,20,0.7350808642087603,0.2385829575124614,2.212846427835683,2.6278749767575333,0.7388193713581063,0.10881183839097239,-0.13233527787536475,0.5045186640471513,3817
MRNA,1Month,1Min,0.001,1.0,30,0.846298568905439,0.2385829575124614,2.467498598693218,2.8654655102979842,0.8501305941252107,0.11153374656428709,-0.10990187929271221,0.5048543689320388,3605
MRNA,1Month,1Min,0.001,1.5,10,0.5133303298266763,0.2385829575124614,1.7328971400363562,1.9757409753615285,0.5152032288217883,0.05451202168073815,-0.11188013263072562,0.5014184397163121,3525
MRNA,1Month,1Min,0.001,1.5,20,0.5243532940370401,0.2385829575124614,1.7875817029588938,1.9594201232509207,0.52568947898789,0.038890587906928065,-0.12635044797342693,0.4991282295133936,3154
MRNA,1Month,1Min,0.001,1.5,30,0.46907107469471954,0.2385829575124614,1.6695861637360438,1.7426042254378038,0.4711613166459433,0.060837938864014306,-0.11036573378264218,0.4999128464354192,2868
MRNA,1Month,1Min,0.001,2.0,10,0.33408995673776865,0.2385829575124614,1.3054230397431377,1.4281920945841902,0.3312421429274171,-0.08288759221812841,-0.11054452349659076,0.49494097807757165,2965
MRNA,1Month,1Min,0.001,2.0,20,0.28398417912500795,0.2385829575124614,1.1826197234312177,1.1185679773937036,0.29178664115900166,0.22709605839409566,-0.12168555268144628,0.4957983193277311,2439
MRNA,1Month,1Min,0.001,2.0,30,0.2658058433275714,0.2385829575124614,1.1473369882047424,1.0227160741464874,0.27426356743327746,0.24616791456624937,-0.10024418659746323,0.4959518852648624,2161
MRNA,1Month,1Min,0.01,1.0,10,0.6708890555637763,0.2385829575124614,1.9783236787125416,2.5800500422448875,0.6720433254012326,0.03359582260925493,-0.1435874910341883,0.503758579365944,4589
MRNA,1Month,1Min,0.01,1.0,20,0.7231697795630652,0.2385829575124614,2.109490349330559,2.7132945610123476,0.724520121380683,0.03930263331364948,-0.10741907457742894,0.5040696359936695,4423
MRNA,1Month,1Min,0.01,1.0,30,0.7549273039973792,0.2385829575124614,2.194322947025131,2.768664589084346,0.7529238683312351,-0.05831138184911894,-0.10801833476207204,0.5055549058589639,4275
MRNA,1Month,1Min,0.01,1.5,10,0.5933556172322021,0.2385829575124614,1.849893403222778,2.3336446004436517,0.5917345403033683,-0.04718256612949511,-0.1352568856464534,0.5035527082119977,4292
MRNA,1Month,1Min,0.01,1.5,20,0.6182568630774208,0.2385829575124614,1.9436547328407332,2.335408010113786,0.6177710396198901,-0.014140228020325172,-0.12563245477060744,0.506294058408862,3972
MRNA,1Month,1Min,0.01,1.5,30,0.7415050814271105,0.2385829575124614,2.2545891430603957,2.7790255195448057,0.73975219051478,-0.051019103361316306,-0.12757770628644835,0.5057135264416689,3763
MRNA,1Month,1Min,0.01,2.0,10,0.5946121598876575,0.2385829575124614,1.9528300808073216,2.449373619756735,0.5930341607712384,-0.04592875658053219,-0.14030454406955778,0.5037299279302061,3954
MRNA,1Month,1Min,0.01,2.0,20,0.8241593980159925,0.2385829575124614,2.502555113840818,3.009488225505356,0.8209688382487506,-0.09286345054351361,-0.1102261397442487,0.5074146614437605,3574
MRNA,1Month,1Min,0.01,2.0,30,0.5742977190906746,0.2385829575124614,1.9490044814413945,2.225435054914585,0.5718412561574316,-0.07149705404527855,-0.1495022892113438,0.5047824745448936,3241
MRNA,1Month,1Min,0.1,1.0,10,1.6443640224807878,0.2385829575124614,3.501427201928222,4.757697908290358,1.6348111700161185,-0.27804238350600174,-0.09583878069526423,0.5149339161203039,4804
MRNA,1Month,1Min,0.1,1.0,20,1.6072763847329519,0.2385829575124614,3.4797929974811614,4.652553690459231,1.5996646156820253,-0.2215458071234977,-0.09629184912486315,0.5156883671291356,4685
MRNA,1Month,1Min,0.1,1.0,30,1.5697219603998591,0.2385829575124614,3.453704019965002,4.58941649830471,1.561829352923519,-0.22971980389261387,-0.10146609468334543,0.5151415764731606,4573
MRNA,1Month,1Min,0.1,1.5,10,1.5948945788845248,0.2385829575124614,3.490926266891332,4.679102482491001,1.586409694052176,-0.2469584463159512,-0.10068976023487733,0.5130890052356021,4584
MRNA,1Month,1Min,0.1,1.5,20,1.454615018306321,0.2385829575124614,3.3254393234807624,4.3291534466766235,1.4460725693320173,-0.24863389051366522,-0.10368826653383759,0.5130853994490359,4356
MRNA,1Month,1Min,0.1,1.5,30,1.4499373200574652,0.2385829575124614,3.334556796214663,4.290737985314272,1.4394887549636124,-0.3041127195941745,-0.09177025958806558,0.5140456182472989,4165
MRNA,1Month,1Min,0.1,2.0,10,1.25459664741284,0.2385829575124614,3.097910523575095,3.967674353852959,1.2461800849874065,-0.24496987536964265,-0.10458727964595602,0.5118527042577675,4345
MRNA,1Month,1Min,0.1,2.0,20,1.342920119723999,0.2385829575124614,3.247633863039367,4.08798591640152,1.3343615333644125,-0.2491035802826884,-0.1069179252028886,0.5140652228030869,4017
MRNA,1Month,1Min,0.1,2.0,30,1.13109948937361,0.2385829575124614,2.9061361507726113,3.5983541452019927,1.1204279840570943,-0.31060154909486365,-0.09070727729634812,0.5122902848224736,3844
MRNA,1Month,5Min,0.001,1.0,10,0.7777600473307937,0.23795966785290634,2.3334735445100816,3.0114963433392483,0.7752190290862001,-0.040979848418880936,-0.11990262325833811,0.5209932279909707,1107
MRNA,1Month,5Min,0.001,1.0,20,0.5909194847798733,0.23795966785290634,1.9396079788758438,2.3659853979185885,0.5898474234595827,-0.017289490342986474,-0.11455243267864881,0.5173453996983409,994
MRNA,1Month,5Min,0.001,1.0,30,0.6475207819233879,0.23795966785290634,2.122468106444753,2.681063992966792,0.6515303821801534,0.06466416016183804,-0.13808749598882683,0.5139694254085398,948
MRNA,1Month,5Min,0.001,1.5,10,0.47412193937366,0.23795966785290634,1.6813692354506338,2.0029959201937046,0.4734926331632689,-0.010149031068846803,-0.12813947839827194,0.5146290491118077,957
MRNA,1Month,5Min,0.001,1.5,20,0.45487278066845915,0.23795966785290634,1.6650474317813533,1.948320746673231,0.4529176335588562,-0.0315313092924897,-0.11919040745091013,0.5087825560266506,825
MRNA,1Month,5Min,0.001,1.5,30,0.43575267320747013,0.23795966785290634,1.6571660011672948,1.8877412723620515,0.43730824200115265,0.02508717657021254,-0.17809433438898828,0.5092961487383798,753
MRNA,1Month,5Min,0.001,2.0,10,0.37021517083318534,0.23795966785290634,1.4349734233298004,1.5400027243362624,0.3676110548160491,-0.04199744723379133,-0.15575484122825883,0.5134443021766966,781
MRNA,1Month,5Min,0.001,2.0,20,0.3917155499201408,0.23795966785290634,1.5752526464308085,1.6829410983487791,0.3959076372065615,0.06760718933118565,-0.10138814018090105,0.5055679287305123,673
MRNA,1Month,5Min,0.001,2.0,30,0.35999833130356484,0.23795966785290634,1.5178300270163931,1.6223745415230326,0.35583172363607174,-0.06719627102170686,-0.11339651251612654,0.5044091710758377,567
MRNA,1Month,5Min,0.01,1.0,10,0.8259073414007931,0.23795966785290634,2.3029121358305478,3.218842326440443,0.8056589809233884,-0.3265520603247813,-0.1563680110190358,0.5122820919175911,1262
MRNA,1Month,5Min,0.01,1.0,20,0.8579854474387678,0.23795966785290634,2.3957410051942327,3.308862252028957,0.8380626322240275,-0.32130188333535525,-0.13775941853511384,0.509812108559499,1197
MRNA,1Month,5Min,0.01,1.0,30,0.9064249122786188,0.23795966785290634,2.5339719757848918,3.5191387423098632,0.8882926811283095,-0.29242453713850436,-0.13292017119566282,0.5082626172398392,1119
MRNA,1Month,5Min,0.01,1.5,10,0.7868918182572233,0.23795966785290634,2.2762359172823157,3.073761914366309,0.7642174577422655,-0.36567697177106717,-0.1523397575750802,0.5089324618736384,1147
MRNA,1Month,5Min,0.01,1.5,20,0.7288774580627853,0.23795966785290634,2.2052993836831134,2.958309674167701,0.7065612111550436,-0.3599015542306076,-0.1411822086464814,0.5069014754878629,1050
MRNA,1Month,5Min,0.01,1.5,30,0.6725550184921927,0.23795966785290634,2.092531674160686,2.7504548004404747,0.6529207407696138,-0.31664854299941086,-0.1340764119010657,0.5068897637795275,1016
MRNA,1Month,5Min,0.01,2.0,10,0.6205042919756709,0.23795966785290634,1.9577002581916014,2.5430271560092974,0.5964745204496797,-0.38753613704687984,-0.1630259350538161,0.5035663338088445,1051
MRNA,1Month,5Min,0.01,2.0,20,0.6310472535813008,0.23795966785290634,2.0346553632223197,2.5483621482235455,0.6087963702989184,-0.3588474132518735,-0.13122486500236416,0.5083378160301237,929
MRNA,1Month,5Min,0.01,2.0,30,0.7345763803623873,0.23795966785290634,2.343117180170951,3.1226144608005817,0.7089554948848327,-0.4131965622291724,-0.12858520728016518,0.5040840140023337,857
MRNA,1Month,5Min,0.1,1.0,10,0.5508936316922393,0.23795966785290634,1.6924045568843136,2.371336520732274,0.5179384510125945,-0.5314791862443523,-0.17034149444111324,0.5089184060721063,1317
MRNA,1Month,5Min,0.1,1.0,20,0.5375142770334158,0.23795966785290634,1.687242567887846,2.3935252323644467,0.5043821350169796,-0.5343331007225921,-0.1703414944411133,0.5080360642885143,1275
MRNA,1Month,5Min,0.1,1.0,30,0.48261316419358713,0.23795966785290634,1.563077565414027,2.184530871168891,0.45148710886384535,-0.5019802718868355,-0.1703414944411132,0.5054766734279919,1232
MRNA,1Month,5Min,0.1,1.5,10,0.4491879680762083,0.23795966785290634,1.4650324113527835,2.0129581561781413,0.41482692627022566,-0.554151977350006,-0.1715334254897741,0.5051383399209486,1265
MRNA,1Month,5Min,0.1,1.5,20,0.4856030426291147,0.23795966785290634,1.576213402258015,2.183310009247435,0.45357328019826565,-0.5165546576069057,-0.17034149444111396,0.507622579316028,1213
MRNA,1Month,5Min,0.1,1.5,30,0.6282997447967082,0.23795966785290634,1.9489919272268923,2.82215724349964,0.6017702717570671,-0.42784965677062614,-0.16479233551094646,0.5057422373458103,1175
MRNA,1Month,5Min,0.1,2.0,10,0.4402582315141397,0.23795966785290634,1.466399731195274,1.9918146454375156,0.40750785548706947,-0.5281762333293774,-0.16996831231374895,0.5056320400500626,1198
MRNA,1Month,5Min,0.1,2.0,20,0.41084912421174846,0.23795966785290634,1.4152513463412508,1.9150300890457213,0.3792336519675817,-0.5098732616398397,-0.15544912798363741,0.5043936731107206,1138
MRNA,1Month,5Min,0.1,2.0,30,0.6423971698305866,0.23795966785290634,2.011134386513372,2.850198610670429,0.6164034300079165,-0.4192097085643725,-0.15785257745579725,0.5060619667714414,1113
MRNA,1Month,15Min,0.001,1.0,10,0.5257308301203374,0.23795966785290634,1.7258851532668293,2.316321683346459,0.5166194173965909,-0.22311062966474562,-0.14354972699251223,0.5200458190148912,436
MRNA,1Month,15Min,0.001,1.0,20,0.7207433183930436,0.23795966785290634,2.2668477974576824,3.237442221962965,0.7063181965615557,-0.35322711333512985,-0.1474177228517686,0.53125,400
MRNA,1Month,15Min,0.001,1.0,30,0.5910730526882473,0.23795966785290634,1.9720285281638525,2.7495965547682584,0.5744715299464782,-0.40652051494235164,-0.14218288932044387,0.5218543046357615,377
MRNA,1Month,15Min,0.001,1.5,10,0.4122786451661544,0.23795966785290634,1.46507836316634,1.8182955088695527,0.39975334911125004,-0.30670619082635614,-0.13698677856961985,0.5249343832020997,381
MRNA,1Month,15Min,0.001,1.5,20,0.6035081326904947,0.23795966785290634,2.0625078258326512,2.9359454317728533,0.5960238541160778,-0.18326709105961037,-0.1395961112269939,0.52,325
MRNA,1Month,15Min,0.001,1.5,30,0.4684774661935909,0.23795966785290634,1.9642707329091469,2.0556935510323733,0.4575124971917664,-0.268498553673854,-0.11716963117589832,0.5327102803738317,267
MRNA,1Month,15Min,0.001,2.0,10,0.21635472975827885,0.23795966785290634,0.9990869732573875,0.9857858203348306,0.20688576482828802,-0.23186598959540639,-0.11648502931519042,0.5290322580645161,310
