symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
NEE,1Month,1Min,0.001,1.0,10,0.42863754662141873,-0.03988019508057672,4.024081412800567,5.216688527151454,0.428453412540793,0.014180972284287937,-0.023673666744420774,0.5112234279768099,3363
NEE,1Month,1Min,0.001,1.0,20,0.36042089709815084,-0.03988019508057672,3.5721279829492745,4.514582182502886,0.360254360395792,0.012825721085643473,-0.02396378120045068,0.5092092727850112,3149
NEE,1Month,1Min,0.001,1.0,30,0.35626541880634544,-0.03988019508057672,3.5630594206090835,4.368931506049735,0.35606957169672304,0.015083043964890512,-0.02783908658200228,0.5110102538241721,2974
NEE,1Month,1Min,0.001,1.5,10,0.3713551176005818,-0.03988019508057672,3.880836810457467,4.674658502695644,0.3712321344321463,0.009471472619793562,-0.026224781355001447,0.5127493495229836,2882
NEE,1Month,1Min,0.001,1.5,20,0.34521158026008414,-0.03988019508057672,3.665892675947915,4.3265302597451365,0.34498863398502794,0.017170069422852662,-0.02383627604750212,0.5120328702797887,2555
NEE,1Month,1Min,0.001,1.5,30,0.3526195294756955,-0.03988019508057672,3.7422826581462685,4.214206006102023,0.35232292142122423,0.022843085785421068,-0.02411115555679028,0.5126648524178354,2388
NEE,1Month,1Min,0.001,2.0,10,0.3041493854650066,-0.03988019508057672,3.489239466995233,3.857964833543344,0.30389728751951167,0.019415167283754694,-0.02654460450319786,0.5138917902653019,2393
NEE,1Month,1Min,0.001,2.0,20,0.24518312400177233,-0.03988019508057672,3.030312777379963,3.0875108197520533,0.24481602455878657,0.028271936454498398,-0.025700832364299247,0.5125641025641026,1950
NEE,1Month,1Min,0.001,2.0,30,0.29823359408904704,-0.03988019508057672,3.4546031701414344,3.464140120146105,0.2981502181563286,0.006421145868481505,-0.023202945947486203,0.5146932952924393,1752
NEE,1Month,1Min,0.01,1.0,10,0.2997450872306784,-0.03988019508057672,2.825489256448067,3.8093657895644095,0.2992305547660602,0.03962639938962183,-0.03685585272510507,0.5089473684210526,3800
NEE,1Month,1Min,0.01,1.0,20,0.315884647299016,-0.03988019508057672,2.99018729861542,3.976317974960266,0.3153628353255497,0.0401870262592796,-0.03523882278990083,0.5093039283252929,3627
NEE,1Month,1Min,0.01,1.0,30,0.3283755720969792,-0.03988019508057672,3.1101860568859254,4.12045788139248,0.3276849306568731,0.05318932316734691,-0.02945462321723215,0.5092041914471821,3531
NEE,1Month,1Min,0.01,1.5,10,0.29114312870379067,-0.03988019508057672,2.8720645428167297,3.79690922491555,0.2906270344320078,0.039746681002023936,-0.03186156312255449,0.5096683133380381,3542
NEE,1Month,1Min,0.01,1.5,20,0.2916676624715726,-0.03988019508057672,2.9445607257290645,3.8032501908625163,0.2912745427995717,0.030275868291779882,-0.033667521992459544,0.5094455536783904,3255
