symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
NFLX,1Month,1Min,0.001,1.0,10,0.8943396932076138,0.23418310043097845,4.786594809204511,4.6804856919345195,0.8928011120376564,-0.041782316864299666,-0.05654125553113036,0.5317558193309696,6487
NFLX,1Month,1Min,0.001,1.0,20,0.8984872372568384,0.23418310043097845,4.847924573743455,4.554471952043194,0.8966212177054752,-0.05067436264815193,-0.05654125553113038,0.5332619792524288,6073
NFLX,1Month,1Min,0.001,1.0,30,0.8475504899771533,0.23418310043097845,4.705077094965486,4.277904960658918,0.845639195556226,-0.051903864856455144,-0.05654125553113031,0.5334267940068343,5706
NFLX,1Month,1Min,0.001,1.5,10,0.5913533073862649,0.23418310043097845,3.6293137018845605,3.013852296126529,0.5895298141624485,-0.0495195009305301,-0.0919510441908952,0.5290639497862276,5496
NFLX,1Month,1Min,0.001,1.5,20,0.5394209211690171,0.23418310043097845,3.4328078503888966,2.6410811970994734,0.5371939164659876,-0.060477417751604146,-0.09167215882407675,0.5305144761508019,4801
NFLX,1Month,1Min,0.001,1.5,30,0.5431565231310034,0.23418310043097845,3.4838158048651997,2.5620578735794575,0.5412899200963823,-0.05069020794955099,-0.08947445773591836,0.5304720063084375,4438
NFLX,1Month,1Min,0.001,2.0,10,0.5039344409845465,0.23418310043097845,3.4206436571087475,2.4948517296908896,0.5048172414342332,0.023973677071440762,-0.09218365137159112,0.5293274531422272,4535
NFLX,1Month,1Min,0.001,2.0,20,0.42345663113248655,0.23418310043097845,2.989944057802323,1.9825901581057754,0.4212492796342315,-0.0599437075741261,-0.08995177713873023,0.5318004571735915,3718
NFLX,1Month,1Min,0.001,2.0,30,0.4244958710193327,0.23418310043097845,3.0078283745109013,1.8709542397380303,0.4225934711949594,-0.05166231968558388,-0.08906117275896026,0.530781010719755,3265
NFLX,1Month,1Min,0.01,1.0,10,0.7400628608633044,0.23418310043097845,3.9891423000757498,3.967571101172634,0.7395393455254167,-0.014216788920895538,-0.08745514520740728,0.5211590296495957,7420
NFLX,1Month,1Min,0.01,1.0,20,0.6808119002840851,0.23418310043097845,3.784770437027181,3.683994123574759,0.6803028197731777,-0.013824791068227314,-0.08745514520740744,0.5195511010728402,7084
NFLX,1Month,1Min,0.01,1.0,30,0.5955934214016869,0.23418310043097845,3.4392534645173662,3.2757778367235155,0.5949401953812798,-0.017739263356129603,-0.08911549608739439,0.5189994131455399,6816
NFLX,1Month,1Min,0.01,1.5,10,0.6227805651932217,0.23418310043097845,3.595871552567263,3.4210953474329027,0.622623593927222,-0.004262773588194099,-0.08745514520740724,0.5182079011255794,6796
NFLX,1Month,1Min,0.01,1.5,20,0.5956950710622544,0.23418310043097845,3.5140730049521998,3.1899354262957664,0.5955516702643315,-0.0038942486067018397,-0.08745514520740716,0.5198949546395034,6283
NFLX,1Month,1Min,0.01,1.5,30,0.5338912646122189,0.23418310043097845,3.26123889051371,2.8713410839032734,0.5338143997921624,-0.00208737135877469,-0.08745514520740742,0.5181325199118794,5901
NFLX,1Month,1Min,0.01,2.0,10,0.4499965581690297,0.23418310043097845,2.914901039512491,2.5760761324969494,0.45213864139028004,0.05817125651060749,-0.1009857622264402,0.5169280257338158,6217
NFLX,1Month,1Min,0.01,2.0,20,0.37322833488795326,0.23418310043097845,2.5544191737054307,2.079785945251342,0.37534772186946064,0.05755490847575369,-0.08710476683959929,0.5175172413793103,5437
NFLX,1Month,1Min,0.01,2.0,30,0.3731603229555567,0.23418310043097845,2.587470284738209,2.013252199555791,0.37616930286818395,0.08171304485105041,-0.0871047668395994,0.5172897664628646,4988
NFLX,1Month,1Min,0.1,1.0,10,0.5440844346173876,0.23418310043097845,3.074237123985927,3.065287262626376,0.5486946381333093,0.12519650433294266,-0.1031816745400808,0.5155848228284728,7972
NFLX,1Month,1Min,0.1,1.0,20,0.4953647024726957,0.23418310043097845,2.8751549702021317,2.813604975541529,0.49996915604585257,0.12504035662020307,-0.10094105474126727,0.5150713225327568,7746
NFLX,1Month,1Min,0.1,1.0,30,0.46830116528035837,0.23418310043097845,2.7669703640585017,2.672400530912581,0.4730319138761906,0.12847007405002983,-0.09991723560700932,0.5138227513227513,7560
NFLX,1Month,1Min,0.1,1.5,10,0.48225250975032785,0.23418310043097845,2.833052639799377,2.748101495047395,0.48654643686161625,0.11660757759113342,-0.10129787362166984,0.5145510430972468,7645
