symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
NSC,1Month,1Min,0.001,1.0,10,0.12248782908242362,-0.10578616352201253,1.759296121810881,1.955787477464855,0.12021566345101882,0.06223871726694929,-0.07362257890181435,0.5113543538637477,3060
NSC,1Month,1Min,0.001,1.0,20,0.1315181043472391,-0.10578616352201253,1.9149061216345895,2.073051800905917,0.1287059186780797,0.07703084068601322,-0.05870413824950882,0.5123084868307798,2904
NSC,1Month,1Min,0.001,1.0,30,0.11186826051051435,-0.10578616352201253,1.655510789340696,1.7239421989644481,0.10932961603630302,0.06953805369111923,-0.06717895980469671,0.5129916997473836,2771
NSC,1Month,1Min,0.001,1.5,10,0.11416725094082025,-0.10578616352201253,1.7190701299010571,1.762840638381408,0.11177147673772451,0.06562457912442651,-0.0708314720580389,0.5113053391601748,2631
NSC,1Month,1Min,0.001,1.5,20,0.08732647450666708,-0.10578616352201253,1.393639680715791,1.3393964247661854,0.08508426874157021,0.061418062459605294,-0.06196745817238107,0.5096234309623431,2390
NSC,1Month,1Min,0.001,1.5,30,0.06641233574905958,-0.10578616352201253,1.0754386684542587,0.9994437622798884,0.06404795491017143,0.06476465822254829,-0.07060278840116614,0.5095628415300546,2196
NSC,1Month,1Min,0.001,2.0,10,0.10150621803953075,-0.10578616352201253,1.7631061404225368,1.9622608220106077,0.09938099812526248,0.05821360887870454,-0.04692549831663687,0.5130925507900678,2215
NSC,1Month,1Min,0.001,2.0,20,0.0654180259075301,-0.10578616352201253,1.129218030811701,0.9501056885748891,0.06374314169648161,0.04587810123766168,-0.06334319058041012,0.5115269867100624,1843
NSC,1Month,1Min,0.001,2.0,30,0.052911009207633475,-0.10578616352201253,0.9315443738036462,0.7343890923384876,0.051394497172757354,0.04154000151486574,-0.06429103928969339,0.5085049239033125,1675
NSC,1Month,1Min,0.01,1.0,10,0.12215151324713247,-0.10578616352201253,1.510008924332188,1.4791161739770236,0.12219771366069185,-0.001265512706202011,-0.06726093380161026,0.5149985578309778,3467
NSC,1Month,1Min,0.01,1.0,20,0.10103985880875266,-0.10578616352201253,1.2731317439574301,1.2108225854864394,0.1009438778608916,0.002629091380651232,-0.07151992410704379,0.5147875694340189,3330
NSC,1Month,1Min,0.01,1.0,30,0.08846767717421522,-0.10578616352201253,1.1343839596456913,1.0558186995624914,0.08881138425290584,-0.009414757180377134,-0.07219518373095596,0.5130407621427456,3201
NSC,1Month,1Min,0.01,1.5,10,0.0841981627952757,-0.10578616352201253,1.1022542329624356,1.0279829235297142,0.08470985098056788,-0.014016062849057596,-0.06585780335743019,0.5124784178307958,3185
NSC,1Month,1Min,0.01,1.5,20,0.12810880503107303,-0.10578616352201253,1.830307434863516,2.0120445378658514,0.12410294670373326,0.10972768903850104,-0.05583931276091349,0.5127388535031847,2983
NSC,1Month,1Min,0.01,1.5,30,0.11361245592133384,-0.10578616352201253,1.6604429825649907,1.764639768724415,0.10951945294665148,0.11211473820090298,-0.05257954153069988,0.5124977840808367,2820
NSC,1Month,1Min,0.01,2.0,10,0.11460706434900603,-0.10578616352201253,1.7165352438030859,1.9415638541814724,0.11106959056929991,0.09689779097585154,-0.07606069474817079,0.5124524386025596,2891
NSC,1Month,1Min,0.01,2.0,20,0.08542666586520875,-0.10578616352201253,1.3113641837262024,1.3518855552888744,0.08155143774456966,0.10614949192602213,-0.06933434793389531,0.5087181452385514,2609
NSC,1Month,1Min,0.01,2.0,30,0.0772376736618503,-0.10578616352201253,1.1978133397109527,1.1687816180244655,0.0732931393411346,0.10804791382440612,-0.06509356468329074,0.5099337748344371,2416
NSC,1Month,1Min,0.1,1.0,10,0.1116100174497392,-0.10578616352201253,1.3969668099605241,1.7257933043170988,0.10328660173093318,0.2279933779729631,-0.07557225809227959,0.5127825618945102,3716
NSC,1Month,1Min,0.1,1.0,20,0.0810304733604792,-0.10578616352201253,1.0426579095400976,1.2720333497005156,0.07246568290077487,0.2346050677399914,-0.0741100103581938,0.5105386416861827,3629
NSC,1Month,1Min,0.1,1.0,30,0.09783632742935189,-0.10578616352201253,1.2455788041708389,1.5118948043130325,0.08931936362776985,0.23329500926029534,-0.06780382152364714,0.5110150585610709,3586
NSC,1Month,1Min,0.1,1.5,10,0.08851799518544623,-0.10578616352201253,1.1592554579737966,1.4354451783341753,0.08056019751377691,0.21797843982368484,-0.06682755445436478,0.5108085345311623,3562
NSC,1Month,1Min,0.1,1.5,20,0.08983755624866396,-0.10578616352201253,1.1667544016651012,1.388249819761178,0.08166666499867382,0.22381545750813578,-0.07447136955488769,0.5102218355806872,3448
NSC,1Month,1Min,0.1,1.5,30,0.09132473290079446,-0.10578616352201253,1.1861069920466452,1.391347034881174,0.08313543031365458,0.22431977725997546,-0.07514747025642642,0.5100731234144158,3350
NSC,1Month,1Min,0.1,2.0,10,0.08834635130801649,-0.10578616352201253,1.1785526088849687,1.4437867258567723,0.080570887877969,0.21298397588340934,-0.0607301826522899,0.5114268971579256,3413
NSC,1Month,1Min,0.1,2.0,20,0.10891308385473097,-0.10578616352201253,1.4442174183306715,1.7132681495035895,0.10038030609871675,0.23372818201195303,-0.0598103188136383,0.5106580166821131,3237
NSC,1Month,1Min,0.1,2.0,30,0.11190656293948442,-0.10578616352201253,1.5043914773426004,1.8243082163815354,0.10316107281240218,0.2395547577417775,-0.07156730016721473,0.5092936802973977,3093
NSC,1Month,5Min,0.001,1.0,10,0.050936066579761574,-0.10164752712970138,0.7527214160847693,0.8901616681696437,0.04865334273418789,0.10425139902164568,-0.06396040170402172,0.5168287210172027,668
NSC,1Month,5Min,0.001,1.0,20,0.029550993539385617,-0.10164752712970138,0.464832395898174,0.5464581086507693,0.026554716387075444,0.13683919129798486,-0.06835140116029018,0.508957654723127,614
NSC,1Month,5Min,0.001,1.0,30,0.03549991742390746,-0.10164752712970138,0.5540555700752847,0.6270622368727643,0.032535395312132974,0.1353889469295064,-0.05825191296464274,0.5118110236220472,571
NSC,1Month,5Min,0.001,1.5,10,0.0746311126408945,-0.10164752712970138,1.1796522648603815,1.5572983567684213,0.07305348393089785,0.07204988920266517,-0.04239924049649754,0.5158526135389888,583
NSC,1Month,5Min,0.001,1.5,20,0.02686472850887256,-0.10164752712970138,0.4894048460328505,0.4779662626714619,0.024699672678062806,0.09887753166444196,-0.05621585918554726,0.5095969289827256,521
NSC,1Month,5Min,0.001,1.5,30,0.057776132655684265,-0.10164752712970138,1.072973509441972,1.110830884618682,0.05510333274268218,0.12206607066189976,-0.040383447415039755,0.5139353400222966,448
NSC,1Month,5Min,0.001,2.0,10,0.05274800215629538,-0.10164752712970138,0.8865036395346801,1.0501092261954057,0.05140526744935849,0.061322341721063815,-0.05173044489535739,0.5135135135135135,462
NSC,1Month,5Min,0.001,2.0,20,0.05241559619805969,-0.10164752712970138,1.0019642059815554,0.9873332411915635,0.050512008086837874,0.08693636952216312,-0.045982169582073275,0.5190930787589498,419
NSC,1Month,5Min,0.001,2.0,30,0.05215556051639636,-0.10164752712970138,1.0075337681541905,0.9238734190933576,0.04951595545004552,0.12055007072594084,-0.0381309478890336,0.5240793201133145,353
NSC,1Month,5Min,0.01,1.0,10,0.0409549246556713,-0.10164752712970138,0.5978595387177112,0.7594878245324197,0.03825266349047298,0.12341155831882435,-0.08818978775505729,0.5143979057591623,764
NSC,1Month,5Min,0.01,1.0,20,0.0241652515060351,-0.10164752712970138,0.36968565253533486,0.4625555660253108,0.021089997262930784,0.14044605431030852,-0.09088751595927273,0.5142478462557986,754
NSC,1Month,5Min,0.01,1.0,30,0.04464867973842379,-0.10164752712970138,0.6505465809823487,0.7987312692648961,0.04125816953069105,0.15484371148910392,-0.09040408434886732,0.5194274028629857,733
NSC,1Month,5Min,0.01,1.5,10,0.05350648609302988,-0.10164752712970138,0.7832434200683193,0.9585638743088525,0.05135749709971463,0.0981437634121397,-0.08826572766657145,0.5202470830473576,728
NSC,1Month,5Min,0.01,1.5,20,0.05769074822313347,-0.10164752712970138,0.8609119770093533,1.0637487210117906,0.054586715834708074,0.1417603446554978,-0.07437350987628841,0.5194139194139195,682
NSC,1Month,5Min,0.01,1.5,30,0.06019155680106758,-0.10164752712970138,0.886388681909089,1.0798818496951257,0.05668581524547077,0.16010629690839304,-0.0764849691627158,0.5178707224334601,657
NSC,1Month,5Min,0.01,2.0,10,0.05922258449095752,-0.10164752712970138,0.9078357456595972,1.1391141651919026,0.05714292004331448,0.0949777296026267,-0.07538080440563855,0.52,675
NSC,1Month,5Min,0.01,2.0,20,0.05027244685882959,-0.10164752712970138,0.790106185131677,0.9581901104103341,0.04790256294878631,0.1082319762944471,-0.07283380587517127,0.51671974522293,628
NSC,1Month,5Min,0.01,2.0,30,0.05983456540903309,-0.10164752712970138,0.9352621224710714,1.0984357110656016,0.05716680014914804,0.12183613937517963,-0.07175973786489924,0.5170357751277683,587
NSC,1Month,5Min,0.1,1.0,10,0.08775328585146025,-0.10164752712970138,1.1934441192491971,1.5474045451042635,0.08235535350377915,0.2465221538562964,-0.07943140204105367,0.524506683640993,785
NSC,1Month,5Min,0.1,1.0,20,0.08830433851348962,-0.10164752712970138,1.2014393401602546,1.5414836249506865,0.0827895351431141,0.2518596227948233,-0.0758153528979634,0.5244845360824743,776
NSC,1Month,5Min,0.1,1.0,30,0.08424339020647631,-0.10164752712970138,1.1521579886130398,1.4584759689866829,0.07907202579019396,0.23617485588262357,-0.07581535289796362,0.5253456221198156,759
NSC,1Month,5Min,0.1,1.5,10,0.09081977968174892,-0.10164752712970138,1.251822877005109,1.5900986457119524,0.0854072594694173,0.24718837780690936,-0.07697187888923344,0.5243171219187208,750
NSC,1Month,5Min,0.1,1.5,20,0.09214062596481254,-0.10164752712970138,1.2764742266863471,1.5803684483641487,0.08665222690091973,0.2506537450464674,-0.07349910731791753,0.5251396648044693,716
NSC,1Month,5Min,0.1,1.5,30,0.10127787864992999,-0.10164752712970138,1.3988494436994379,1.6919335420177284,0.09586318246167333,0.24728775405641132,-0.0748175890575009,0.5274323335771763,683
NSC,1Month,5Min,0.1,2.0,10,0.07769003235930905,-0.10164752712970138,1.1110516924680516,1.3420254726080332,0.07322122192341077,0.2040893999544848,-0.07790377399000316,0.5264663805436338,699
NSC,1Month,5Min,0.1,2.0,20,0.10189598152965207,-0.10164752712970138,1.4452227366975916,1.7118955005038938,0.0966758112724207,0.23840380583170667,-0.07543609610440574,0.5313710302091402,645
