symbol,lookback,timeframe,m_var,z_thresh,window,total_return,buy_and_hold_return,sharpe,sortino,alpha,beta,max_drawdown,win_rate,total_trades
NVDA,1Month,1Min,0.001,1.0,10,0.2332137593876833,-0.009505440158259049,1.967338865910834,1.9777645505555297,0.2374332590391122,0.1684579413703458,-0.09544186505284266,0.5124073696376368,7354
NVDA,1Month,1Min,0.001,1.0,20,0.14250009655441764,-0.009505440158259049,1.2993071998990229,1.2541743558043301,0.14667452659190514,0.16665859665885804,-0.08970862639341474,0.5103807497615729,6815
NVDA,1Month,1Min,0.001,1.0,30,0.1796658491523917,-0.009505440158259049,1.627307614672223,1.5242414849546362,0.18388415785560874,0.16841039433856067,-0.08847938928136673,0.5132324408226621,6442
NVDA,1Month,1Min,0.001,1.5,10,0.17857981567196113,-0.009505440158259049,1.6327164515659816,1.504654964779926,0.18277683036138723,0.16756025900900334,-0.0940728361927914,0.5137455691217014,6347
NVDA,1Month,1Min,0.001,1.5,20,0.1617423348092777,-0.009505440158259049,1.5768235549423764,1.4006725784761018,0.16525998302697123,0.1404374513971228,-0.09434269999750798,0.5123607715294757,5521
NVDA,1Month,1Min,0.001,1.5,30,0.15236487379436037,-0.009505440158259049,1.5127033282881248,1.2732984941858645,0.1572322740397654,0.19432451544077692,-0.10085647548989347,0.5125086522298032,5056
NVDA,1Month,1Min,0.001,2.0,10,0.19668758136090525,-0.009505440158259049,1.9156985735693455,1.6420927892352732,0.2014671385462361,0.19081749747983073,-0.09263345740514514,0.5132910793680825,5285
NVDA,1Month,1Min,0.001,2.0,20,0.14850181243165705,-0.009505440158259049,1.57768251106847,1.231560706383973,0.15204147140566748,0.14131620172380904,-0.1138625069222127,0.5132373432419879,4306
NVDA,1Month,1Min,0.001,2.0,30,0.17115964926582983,-0.009505440158259049,1.8273088880336408,1.3242580355614342,0.17438791544314425,0.12888425627473232,-0.09281150958107219,0.5168731874505669,3793
NVDA,1Month,1Min,0.01,1.0,10,0.23813530594206367,-0.009505440158259049,1.9055650897451382,2.145011444600573,0.24232143929373173,0.16712583599454647,-0.07978413332856645,0.5100018130174654,8273
